year,month,day,rainfall_mm,max_temp,min_temp,solar_exp
2013,6,1,0,15.8,6.9,2.8
2013,6,2,5,15.7,10.4,8
2013,6,3,0.2,14.8,10.7,5.2
2013,6,4,0.2,15,11.1,3.8
2013,6,5,0,14.6,11.9,4.9
2013,6,6,0,17.3,12.6,6.2
2013,6,7,13,14.5,10.9,6.1
2013,6,8,0.6,15.7,5,8.2
2013,6,9,0,14.4,5.3,8.3
2013,6,10,0,16.9,6.5,7.6
2013,6,11,0,14.8,10.2,3.1
2013,6,12,0.2,13.3,8.7,2.7
2013,6,13,9.6,12.8,10.8,2.5
2013,6,14,9.2,13.8,11.3,5.7
2013,6,15,0,14.2,8.2,4.3
2013,6,16,0.6,14.1,7,6.5
2013,6,17,1,11.6,6,2.8
2013,6,18,2,14.8,7.9,6.7
2013,6,19,0,14.1,3.7,8.1
2013,6,20,0,14.9,2.4,8.2
2013,6,21,0,15,2.9,8
2013,6,22,0,12.7,2.4,8.1
2013,6,23,0,12.3,1.3,8
2013,6,24,0,12.3,1.8,6.2
2013,6,25,0,16.4,3.5,7.9
2013,6,26,0,17.6,2.8,8
2013,6,27,0,18.2,4.6,6.9
2013,6,28,0,16.4,7,7.6
2013,6,29,0,13.3,6.6,4.6
2013,6,30,0,18.3,5.2,7.2
2013,7,1,0.2,17.9,7.9,3.8
2013,7,2,1.6,18.8,12.3,8.2
2013,7,3,0,16.2,9.5,8.7
2013,7,4,0,16.8,9.6,3
2013,7,5,0.6,14.1,9,6.5
2013,7,6,0.2,15.6,9.8,5.9
2013,7,7,1.2,13.6,6.5,5.8
2013,7,8,2,13.9,4.3,8.5
2013,7,9,0,13.6,3,9.1
2013,7,10,0,15.3,3,9.1
2013,7,11,0,16.3,4,7.7
2013,7,12,0,17.3,4.9,8.4
2013,7,13,0,15.4,7.9,2.9
2013,7,14,17,16.3,11,2.6
2013,7,15,1.4,18.5,12.3,6.7
2013,7,16,0.2,16.8,9.8,6.5
2013,7,17,0,18.7,10,6.8
2013,7,18,0,23.8,11,5.9
2013,7,19,6.6,16.9,14.3,7.6
2013,7,20,13.4,9.9,7.8,3.2
2013,7,21,9.8,10.7,5.5,9.8
2013,7,22,0,14.7,6.2,7.1
2013,7,23,3,12.9,8.3,5
2013,7,24,0,14,10.3,5.9
2013,7,25,0.2,12.5,3.8,8.7
2013,7,26,0.2,15,7.1,8.3
2013,7,27,0,14.2,8.8,8.5
2013,7,28,0,18.6,10.7,4.8
2013,7,29,5.2,19.2,12,10.5
2013,7,30,1.4,14.4,10.1,11
2013,7,31,0.2,15,3.3,11.1
2013,8,1,0,14.1,5.7,10.4
2013,8,2,0,14.2,7.6,5.2
2013,8,3,2.6,13.3,7.1,4.9
2013,8,4,12.2,13.7,7.7,7.2
2013,8,5,2.2,15.9,9.6,4.4
2013,8,6,3.8,16,11.2,9.3
2013,8,7,0.6,13.8,6.7,6.9
2013,8,8,15.2,13.4,6.5,12.3
2013,8,9,6.4,12.2,8,2.7
2013,8,10,0,17.9,9.1,11.6
2013,8,11,0,16.3,8.3,11.6
2013,8,12,0,14.1,10.9,9.5
2013,8,13,1.8,16.5,7.9,12
2013,8,14,0,14.4,11.2,4.2
2013,8,15,0.8,16.9,7.5,11.6
2013,8,16,0,17.9,10,13.7
2013,8,17,0,15.7,9.1,9.9
2013,8,18,0.2,17.6,10,9.8
2013,8,19,0.4,12.8,7.3,10.5
2013,8,20,0.6,12.7,5.5,12.3
2013,8,21,0,14.1,7.2,9.2
2013,8,22,0,15.1,9.5,9.8
2013,8,23,3.2,14.8,11.3,4.1
2013,8,24,0.4,16.5,10.6,7.3
2013,8,25,0,17.3,11.4,7.3
2013,8,26,0,19.4,10.5,12.6
2013,8,27,0,20.3,8.7,13
2013,8,28,0,22.4,10.9,11.4
2013,8,29,0,23.8,12.4,7.2
2013,8,30,2.4,19.1,14.7,7.7
2013,8,31,1.4,22.2,10.4,16.4
2013,9,1,0,23.4,13.7,15
2013,9,2,0,18.8,13,15.5
2013,9,3,0,24.2,10.3,14.8
2013,9,4,0,24.1,12.6,11.4
2013,9,5,0,19.7,19.6,2.3
2013,9,6,2.6,15.2,10.9,4.2
2013,9,7,0,17.9,9.8,10
2013,9,8,0,16.8,8.9,16.8
2013,9,9,0.2,23.2,11.6,9.5
2013,9,10,0,16.6,11.7,12
2013,9,11,0.2,16.9,11,12.9
2013,9,12,1,13.9,8.2,13.9
2013,9,13,1,16.4,3.6,13.2
2013,9,14,0,17.5,7.9,14.6
2013,9,15,0,21.9,10.1,17.4
2013,9,16,3.2,16.9,12.8,3.6
2013,9,17,25.4,17.7,11.4,13
2013,9,18,0,19.7,12.7,8.1
2013,9,19,10.8,17.2,10.4,9.3
2013,9,20,1.8,17.1,10.3,12.9
2013,9,21,1.4,19.4,6.5,15.5
2013,9,22,0,21.7,11.8,17.9
2013,9,23,0,24.3,9.6,14
2013,9,24,0,24,13.4,12.6
2013,9,25,0,23.6,16.3,17
2013,9,26,30.2,15.3,12.1,13.7
2013,9,27,0.8,20.3,7,20.7
2013,9,28,2.4,15.9,8.3,17.3
2013,9,29,0.8,21,6.4,20.8
2013,9,30,0,23.8,14.8,4.9
2013,10,1,2.2,16.3,11.3,11.7
2013,10,2,0.2,17.1,9.9,8.7
2013,10,3,1.8,14.7,8.4,15.7
