date,street,people_count,total_rain,rain_quality,max_temp,max_temp_quality,min_temp,min_temp_quality,solar_exp,WeekDay,population_annual,population_change_annual
31/07/2022,Bourke Street Mall (North),15434,0,N,14.7,Y,4.3,Y,4.8,6,5151000,1.78
31/07/2022,Spencer St-Collins St (North),12349,0,N,14.7,Y,4.3,Y,4.8,6,5151000,1.78
31/07/2022,Southern Cross Station,1661,0,N,14.7,Y,4.3,Y,4.8,6,5151000,1.78
31/07/2022,QV Market-Peel St,3203,0,N,14.7,Y,4.3,Y,4.8,6,5151000,1.78
31/07/2022,Melbourne Central,23363,0,N,14.7,Y,4.3,Y,4.8,6,5151000,1.78
31/07/2022,Collins Place (North),1410,0,N,14.7,Y,4.3,Y,4.8,6,5151000,1.78
31/07/2022,Chinatown-Swanston St (North),11123,0,N,14.7,Y,4.3,Y,4.8,6,5151000,1.78
30/07/2022,Spencer St-Collins St (North),15937,0,N,13,Y,2.1,Y,11.3,5,5151000,1.78
30/07/2022,Southern Cross Station,2540,0,N,13,Y,2.1,Y,11.3,5,5151000,1.78
30/07/2022,QV Market-Peel St,4457,0,N,13,Y,2.1,Y,11.3,5,5151000,1.78
30/07/2022,Melbourne Central,31828,0,N,13,Y,2.1,Y,11.3,5,5151000,1.78
30/07/2022,Collins Place (North),2248,0,N,13,Y,2.1,Y,11.3,5,5151000,1.78
30/07/2022,Chinatown-Swanston St (North),15223,0,N,13,Y,2.1,Y,11.3,5,5151000,1.78
30/07/2022,Bourke Street Mall (North),21160,0,N,13,Y,2.1,Y,11.3,5,5151000,1.78
29/07/2022,Collins Place (North),5204,1,N,12.7,Y,6.5,Y,11.2,4,5151000,1.78
29/07/2022,Chinatown-Swanston St (North),12257,1,N,12.7,Y,6.5,Y,11.2,4,5151000,1.78
29/07/2022,Bourke Street Mall (North),16796,1,N,12.7,Y,6.5,Y,11.2,4,5151000,1.78
29/07/2022,Melbourne Central,28332,1,N,12.7,Y,6.5,Y,11.2,4,5151000,1.78
29/07/2022,Spencer St-Collins St (North),20037,1,N,12.7,Y,6.5,Y,11.2,4,5151000,1.78
29/07/2022,QV Market-Peel St,3273,1,N,12.7,Y,6.5,Y,11.2,4,5151000,1.78
29/07/2022,Southern Cross Station,7028,1,N,12.7,Y,6.5,Y,11.2,4,5151000,1.78
28/07/2022,Spencer St-Collins St (North),19435,1,N,13.2,Y,9.3,Y,9.3,3,5151000,1.78
28/07/2022,Southern Cross Station,8941,1,N,13.2,Y,9.3,Y,9.3,3,5151000,1.78
28/07/2022,QV Market-Peel St,2679,1,N,13.2,Y,9.3,Y,9.3,3,5151000,1.78
28/07/2022,Melbourne Central,21934,1,N,13.2,Y,9.3,Y,9.3,3,5151000,1.78
28/07/2022,Collins Place (North),5549,1,N,13.2,Y,9.3,Y,9.3,3,5151000,1.78
28/07/2022,Chinatown-Swanston St (North),8642,1,N,13.2,Y,9.3,Y,9.3,3,5151000,1.78
28/07/2022,Bourke Street Mall (North),15550,1,N,13.2,Y,9.3,Y,9.3,3,5151000,1.78
27/07/2022,Collins Place (North),5298,3,N,15.3,Y,9.3,Y,7.7,2,5151000,1.78
27/07/2022,Bourke Street Mall (North),14540,3,N,15.3,Y,9.3,Y,7.7,2,5151000,1.78
27/07/2022,Chinatown-Swanston St (North),8122,3,N,15.3,Y,9.3,Y,7.7,2,5151000,1.78
27/07/2022,Spencer St-Collins St (North),19160,3,N,15.3,Y,9.3,Y,7.7,2,5151000,1.78
27/07/2022,Melbourne Central,22192,3,N,15.3,Y,9.3,Y,7.7,2,5151000,1.78
27/07/2022,QV Market-Peel St,3206,3,N,15.3,Y,9.3,Y,7.7,2,5151000,1.78
27/07/2022,Southern Cross Station,9103,3,N,15.3,Y,9.3,Y,7.7,2,5151000,1.78
