date,street,people_count
2022-07-31,Bourke Street Mall (North),15434
2022-07-31,Spencer St-Collins St (North),12349
2022-07-31,Southern Cross Station,1661
2022-07-31,QV Market-Peel St,3203
2022-07-31,Melbourne Central,23363
2022-07-31,Collins Place (North),1410
2022-07-31,Chinatown-Swanston St (North),11123
2022-07-30,Spencer St-Collins St (North),15937
2022-07-30,Southern Cross Station,2540
2022-07-30,QV Market-Peel St,4457
2022-07-30,Melbourne Central,31828
2022-07-30,Collins Place (North),2248
2022-07-30,Chinatown-Swanston St (North),15223
2022-07-30,Bourke Street Mall (North),21160
2022-07-29,Collins Place (North),5204
2022-07-29,Chinatown-Swanston St (North),12257
2022-07-29,Bourke Street Mall (North),16796
2022-07-29,Melbourne Central,28332
2022-07-29,Spencer St-Collins St (North),20037
2022-07-29,QV Market-Peel St,3273
2022-07-29,Southern Cross Station,7028
2022-07-28,Spencer St-Collins St (North),19435
2022-07-28,Southern Cross Station,8941
2022-07-28,QV Market-Peel St,2679
2022-07-28,Melbourne Central,21934
2022-07-28,Collins Place (North),5549
2022-07-28,Chinatown-Swanston St (North),8642
2022-07-28,Bourke Street Mall (North),15550
2022-07-27,Collins Place (North),5298
2022-07-27,Bourke Street Mall (North),14540
2022-07-27,Chinatown-Swanston St (North),8122
2022-07-27,Spencer St-Collins St (North),19160
2022-07-27,Melbourne Central,22192
2022-07-27,QV Market-Peel St,3206
2022-07-27,Southern Cross Station,9103
2022-07-26,Collins Place (North),5744
2022-07-26,Bourke Street Mall (North),14101
2022-07-26,Chinatown-Swanston St (North),8194
2022-07-26,Spencer St-Collins St (North),18576
2022-07-26,Melbourne Central,21048
2022-07-26,Southern Cross Station,9268
2022-07-26,QV Market-Peel St,2418
2022-07-25,Spencer St-Collins St (North),17335
2022-07-25,Southern Cross Station,7236
2022-07-25,QV Market-Peel St,1645
2022-07-25,Melbourne Central,19601
2022-07-25,Collins Place (North),4344
2022-07-25,Chinatown-Swanston St (North),7147
2022-07-25,Bourke Street Mall (North),12800
2022-07-24,Collins Place (North),1486
2022-07-24,Chinatown-Swanston St (North),13078
2022-07-24,Bourke Street Mall (North),20092
2022-07-24,Melbourne Central,27334
2022-07-24,Southern Cross Station,2100
2022-07-24,Spencer St-Collins St (North),13937
2022-07-24,QV Market-Peel St,4104
2022-07-23,Collins Place (North),1618
2022-07-23,Bourke Street Mall (North),21269
2022-07-23,Chinatown-Swanston St (North),13956
2022-07-23,Melbourne Central,28014
2022-07-23,QV Market-Peel St,3822
2022-07-23,Southern Cross Station,2399
2022-07-23,Spencer St-Collins St (North),16770
2022-07-22,Spencer St-Collins St (North),20693
2022-07-22,Southern Cross Station,8186
2022-07-22,QV Market-Peel St,3066
2022-07-22,Collins Place (North),5213
2022-07-22,Chinatown-Swanston St (North),13113
2022-07-22,Bourke Street Mall (North),19411
2022-07-22,Melbourne Central,28262
2022-07-21,Bourke Street Mall (North),17171
2022-07-21,Spencer St-Collins St (North),19324
2022-07-21,Southern Cross Station,9906
2022-07-21,QV Market-Peel St,2895
2022-07-21,Melbourne Central,23881
2022-07-21,Collins Place (North),5727
2022-07-21,Chinatown-Swanston St (North),9992
2022-07-20,Melbourne Central,24631
2022-07-20,Bourke Street Mall (North),16711
2022-07-20,Chinatown-Swanston St (North),10102
2022-07-20,Collins Place (North),5525
2022-07-20,Spencer St-Collins St (North),21104
2022-07-20,QV Market-Peel St,3676
2022-07-20,Southern Cross Station,10851
2022-07-19,Melbourne Central,24976
2022-07-19,Bourke Street Mall (North),17503
2022-07-19,Chinatown-Swanston St (North),10053
2022-07-19,Collins Place (North),6000
2022-07-19,QV Market-Peel St,2939
2022-07-19,Southern Cross Station,11148
2022-07-19,Spencer St-Collins St (North),20622
2022-07-18,Melbourne Central,21875
2022-07-18,Chinatown-Swanston St (North),9164
2022-07-18,Collins Place (North),4594
2022-07-18,Bourke Street Mall (North),16290
2022-07-18,QV Market-Peel St,1914
2022-07-18,Southern Cross Station,8415
2022-07-18,Spencer St-Collins St (North),18290
2022-07-17,Spencer St-Collins St (North),13380
2022-07-17,Southern Cross Station,1730
2022-07-17,QV Market-Peel St,3646
