date,total_people
2022-07-31,327383
2022-07-30,462115
2022-07-29,405511
2022-07-28,334858
2022-07-27,340569
2022-07-26,316316
2022-07-25,274106
2022-07-24,406977
2022-07-23,371336
2022-07-22,416838
2022-07-21,358685
2022-07-20,386373
2022-07-19,394150
2022-07-18,322024
2022-07-17,353027
2022-07-16,471033
2022-07-15,459686
2022-07-14,367252
2022-07-13,342126
2022-07-12,284010
2022-07-11,295108
2022-07-10,372983
2022-07-09,458521
2022-07-08,379723
2022-07-07,390030
2022-07-06,423220
2022-07-05,370637
2022-07-04,356396
2022-07-03,386038
2022-07-02,501883
2022-07-01,435062
2022-06-30,444681
2022-06-29,440722
2022-06-28,389162
2022-06-27,357787
2022-06-26,347684
2022-06-25,554399
2022-06-24,453301
2022-06-23,397567
2022-06-22,394408
2022-06-21,349916
2022-06-20,327116
2022-06-19,394259
2022-06-18,507418
2022-06-17,449618
2022-06-16,349039
2022-06-15,341787
2022-06-14,321941
2022-06-13,348091
2022-06-12,481918
2022-06-11,535643
2022-06-10,457746
2022-06-09,355992
2022-06-08,356351
2022-06-07,297106
2022-06-06,289301
2022-06-05,350874
2022-06-04,502668
2022-06-03,425071
2022-06-02,355834
2022-06-01,266898
2022-05-31,292125
2022-05-30,246741
2022-05-29,393216
2022-05-28,512767
2022-05-27,433927
2022-05-26,361682
2022-05-25,362992
2022-05-24,366155
2022-05-23,316774
2022-05-22,368910
2022-05-21,511973
2022-05-20,451122
2022-05-19,384217
2022-05-18,369180
2022-05-17,368089
2022-05-16,309336
2022-05-15,419038
2022-05-14,552349
2022-05-13,468219
2022-05-12,380344
2022-05-11,358866
2022-05-10,366277
2022-05-09,316045
2022-05-08,371252
2022-05-07,465876
2022-05-06,401208
2022-05-05,388036
2022-05-04,356204
2022-05-03,365384
2022-05-02,337870
2022-05-01,396405
2022-04-30,467242
2022-04-29,356465
2022-04-28,367319
2022-04-27,331293
2022-04-26,326627
2022-04-25,396577
2022-04-24,489266
2022-04-23,563433
2022-04-22,505425
2022-04-21,445103
2022-04-20,426978
2022-04-19,330994
2022-04-18,316898
2022-04-17,443602
2022-04-16,570005
2022-04-15,439553
2022-04-14,479107
2022-04-13,450585
2022-04-12,444829
2022-04-11,414494
2022-04-10,499763
2022-04-09,615940
2022-04-08,526164
2022-04-07,435683
2022-04-06,398451
2022-04-05,372479
2022-04-04,317327
2022-04-03,400726
2022-04-02,481195
2022-04-01,437674
2022-03-31,346682
2022-03-30,324164
2022-03-29,304375
2022-03-28,273283
2022-03-27,311760
2022-03-26,425986
2022-03-25,379657
2022-03-24,349275
2022-03-23,334900
2022-03-22,291177
2022-03-21,278767
2022-03-20,311307
2022-03-19,420557
2022-03-18,378303
2022-03-17,350232
2022-03-16,329757
2022-03-15,292404
2022-03-14,357154
2022-03-13,461228
2022-03-12,488499
2022-03-11,378195
2022-03-10,331910
2022-03-09,317700
2022-03-08,313678
2022-03-07,283267
2022-03-06,273770
2022-03-05,347792
2022-03-04,337901
2022-03-03,311522
2022-03-02,300513
2022-03-01,272364
2022-02-28,346559
2022-02-27,398309
2022-02-26,537273
2022-02-25,450165
2022-02-24,364531
2022-02-23,350809
2022-02-22,343774
2022-02-21,310014
2022-02-20,386008
2022-02-19,517922
2022-02-18,432394
2022-02-17,342887
2022-02-16,323299
2022-02-15,311349
2022-02-14,329486
2022-02-13,335177
2022-02-12,472866
2022-02-11,384121
2022-02-10,317538
2022-02-09,300513
2022-02-08,284861
2022-02-07,275835
2022-02-06,358587
2022-02-05,465237
2022-02-04,364975
2022-02-03,280271
2022-02-02,279330
2022-02-01,272041
2022-01-31,293008
2022-01-30,369180
2022-01-29,455520
2022-01-28,291979
2022-01-27,313676
2022-01-26,308064
2022-01-25,338201
2022-01-24,292979
2022-01-23,354155
2022-01-22,444365
2022-01-21,394106
2022-01-20,337860
2022-01-19,331012
2022-01-18,309359
2022-01-17,289691
2022-01-16,317230
2022-01-15,379340
2022-01-14,299387
2022-01-13,257684
2022-01-12,272946
2022-01-11,262354
2022-01-10,258998
2022-01-09,279634
2022-01-08,312566
2022-01-07,287120
2022-01-06,297833
2022-01-05,308639
2022-01-04,332428
2022-01-03,349159
2022-01-02,336214
2022-01-01,369862
2021-12-31,323497
2021-12-30,324047
2021-12-29,359146
2021-12-28,397342
2021-12-27,378037
2021-12-26,398546
2021-12-25,234852
2021-12-24,389753
2021-12-23,433771
2021-12-22,420964
2021-12-21,409645
2021-12-20,394666
2021-12-19,359449
2021-12-18,476995
2021-12-17,474115
2021-12-16,438416
2021-12-15,401956
2021-12-14,365569
2021-12-13,318565
2021-12-12,461539
2021-12-11,528052
2021-12-10,451440
2021-12-09,353054
2021-12-08,354583
2021-12-07,298883
2021-12-06,311564
2021-12-05,385920
2021-12-04,460112
2021-12-03,404104
2021-12-02,284493
2021-12-01,272570
2021-11-30,287471
2021-11-29,288175
2021-11-28,368545
2021-11-27,493321
2021-11-26,394878
2021-11-25,287160
2021-11-24,286221
2021-11-23,283486
2021-11-22,260238
2021-11-21,333853
2021-11-20,492839
2021-11-19,345396
2021-11-18,282036
2021-11-17,286736
2021-11-16,251412
2021-11-15,224407
2021-11-14,258131
2021-11-13,382530
2021-11-12,243408
2021-11-11,248077
2021-11-10,205541
2021-11-09,239465
2021-11-08,217738
2021-11-07,250532
2021-11-06,348916
2021-11-05,283807
2021-11-04,218795
2021-11-03,149652
2021-11-02,230588
2021-11-01,269136
2021-10-31,42729
2021-10-30,35560
2021-10-29,23025
2021-10-28,18424
2021-10-27,27145
2021-10-26,24059
2021-10-25,20222
2021-10-24,29858
2021-10-23,25948
2021-10-22,29631
2021-10-21,17473
2021-10-20,20155
2021-10-19,16243
2021-10-18,13756
2021-10-17,20100
2021-10-16,14380
2021-10-15,10309
2021-10-14,16249
2021-10-13,14650
2021-10-12,17171
2021-10-11,13352
2021-10-10,18333
2021-10-09,18302
2021-10-08,17561
2021-10-07,15314
2021-10-06,16978
2021-10-05,14776
2021-10-04,13226
2021-10-03,16112
2021-10-02,17507
2021-10-01,14630
2021-09-30,48772
2021-09-29,56693
2021-09-28,70695
2021-09-27,67351
2021-09-26,65565
2021-09-25,56212
2021-09-24,58075
2021-09-23,70591
2021-09-22,72071
2021-09-21,67593
2021-09-20,52560
2021-09-19,60060
2021-09-18,52187
2021-09-17,67711
2021-09-16,67560
2021-09-15,67337
2021-09-14,66557
2021-09-13,61267
2021-09-12,55544
2021-09-11,63073
2021-09-10,65341
2021-09-09,65979
2021-09-08,63812
2021-09-07,55025
2021-09-06,58770
2021-09-05,49771
2021-09-04,55432
2021-09-03,44650
2021-09-02,68374
2021-09-01,69723
2021-08-31,53446
2021-08-30,55518
2021-08-29,40167
2021-08-28,57402
2021-08-27,56397
2021-08-26,51520
2021-08-25,52161
2021-08-24,51172
2021-08-23,43461
2021-08-22,50580
2021-08-21,57221
2021-08-20,53164
2021-08-19,56315
2021-08-18,52962
2021-08-17,50790
2021-08-16,52595
2021-08-15,55032
2021-08-14,59482
2021-08-13,65407
2021-08-12,59857
2021-08-11,55399
2021-08-10,57684
2021-08-09,54309
2021-08-08,49295
2021-08-07,49058
2021-08-06,53458
2021-08-05,127664
2021-08-04,114446
2021-08-03,110561
2021-08-02,111492
2021-08-01,120597
2021-07-31,442730
2021-07-30,383044
2021-07-29,323787
2021-07-28,277925
2021-07-27,163409
2021-07-26,156749
2021-07-25,142662
2021-07-24,179451
2021-07-23,164414
2021-07-22,160265
2021-07-21,161338
2021-07-20,110157
2021-07-19,147649
2021-07-18,145048
2021-07-17,114937
2021-07-16,153873
2021-07-15,450133
2021-07-14,427993
2021-07-13,434748
2021-07-12,417238
2021-07-11,487400
2021-07-10,626250
2021-07-09,665736
2021-07-08,559751
2021-07-07,545835
2021-07-06,517908
2021-07-05,467501
2021-07-04,454924
2021-07-03,579196
2021-07-02,535812
2021-07-01,548766
2021-06-30,264769
2021-06-29,255634
2021-06-28,235550
2021-06-27,233771
2021-06-26,243149
2021-06-25,195308
2021-06-24,180643
2021-06-23,163654
2021-06-22,163861
2021-06-21,156560
2021-06-20,172600
2021-06-19,215314
2021-06-18,164643
2021-06-17,139129
2021-06-16,139752
2021-06-15,132918
2021-06-14,136185
2021-06-13,181070
2021-06-12,182888
2021-06-11,152498
2021-06-10,70495
2021-06-09,53109
2021-06-08,64328
2021-06-07,73271
2021-06-06,68431
2021-06-05,74837
2021-06-04,75212
2021-06-03,76076
2021-06-02,73580
2021-06-01,68436
2021-05-31,68355
2021-05-30,69564
2021-05-29,65141
2021-05-28,64515
2021-05-27,166024
2021-05-26,184518
2021-05-25,197937
2021-05-24,217572
2021-05-23,273297
2021-05-22,372196
2021-05-21,329858
2021-05-20,249468
2021-05-19,252342
2021-05-18,235748
2021-05-17,214790
2021-05-16,240967
2021-05-15,317155
2021-05-14,292871
2021-05-13,226007
2021-05-12,247228
2021-05-11,211878
2021-05-10,195784
2021-05-09,255850
2021-05-08,329662
2021-05-07,322403
2021-05-06,266418
2021-05-05,253474
2021-05-04,216252
2021-05-03,199613
2021-05-02,263069
2021-05-01,351792
2021-04-30,434911
2021-04-29,366029
2021-04-28,356416
2021-04-27,325551
2021-04-26,303122
2021-04-25,348318
2021-04-24,409052
2021-04-23,413982
2021-04-22,354084
2021-04-21,345711
2021-04-20,266241
2021-04-19,305507
2021-04-18,371045
2021-04-17,512343
2021-04-16,515093
2021-04-15,444188
2021-04-14,421300
2021-04-13,399870
2021-04-12,353102
2021-04-11,298437
2021-04-10,434482
2021-04-09,453178
2021-04-08,414996
2021-04-07,403322
2021-04-06,381638
2021-04-05,344640
2021-04-04,410828
2021-04-03,464813
2021-04-02,351407
2021-04-01,409485
2021-03-31,324658
2021-03-30,313894
2021-03-29,266985
2021-03-28,307169
2021-03-27,376524
2021-03-26,382212
2021-03-25,315652
2021-03-24,283660
2021-03-23,275653
2021-03-22,243385
2021-03-21,240108
2021-03-20,387758
2021-03-19,374546
2021-03-18,311201
2021-03-17,296385
2021-03-16,277140
2021-03-15,269703
2021-03-14,288324
2021-03-13,270362
2021-03-12,346199
2021-03-11,290041
2021-03-10,284918
2021-03-09,254976
2021-03-08,240541
2021-03-07,390415
2021-03-06,411552
2021-03-05,328516
2021-03-04,277092
2021-03-03,266300
2021-03-02,246913
2021-03-01,238362
2021-02-28,264096
2021-02-27,316622
2021-02-26,296123
2021-02-25,253982
2021-02-24,246545
2021-02-23,231357
2021-02-22,212009
2021-02-21,242014
2021-02-20,299777
2021-02-19,251242
2021-02-18,211499
2021-02-17,81307
2021-02-16,80085
2021-02-15,79501
2021-02-14,76349
2021-02-13,71929
2021-02-12,279556
2021-02-11,242485
2021-02-10,253091
2021-02-09,250571
2021-02-08,221318
2021-02-07,239602
2021-02-06,317734
2021-02-05,241930
2021-02-04,245309
2021-02-03,263763
2021-02-02,235213
2021-02-01,223984
2021-01-31,296213
2021-01-30,349598
2021-01-29,254290
2021-01-28,284213
2021-01-27,303218
2021-01-26,278846
2021-01-25,230713
2021-01-24,249646
2021-01-23,348940
2021-01-22,345932
2021-01-21,295085
2021-01-20,312554
2021-01-19,285983
2021-01-18,264004
2021-01-17,297882
2021-01-16,327661
2021-01-15,281387
2021-01-14,276713
2021-01-13,247031
2021-01-12,252544
2021-01-11,186014
2021-01-10,223058
2021-01-09,287993
2021-01-08,284962
2021-01-07,262296
2021-01-06,243480
2021-01-05,217111
2021-01-04,195985
2021-01-03,218676
2021-01-02,246443
2021-01-01,272759
