date,total_people,total_rain,rain_quality,max_temp,max_temp_quality,min_temp,min_temp_quality,solar_exp,WeekDay,population_annual,population_change_annual
31/07/2022,327383,0,N,14.7,Y,4.3,Y,4.8,6,5151000,1.78
30/07/2022,462115,0,N,13,Y,2.1,Y,11.3,5,5151000,1.78
29/07/2022,405511,1,N,12.7,Y,6.5,Y,11.2,4,5151000,1.78
28/07/2022,334858,1,N,13.2,Y,9.3,Y,9.3,3,5151000,1.78
27/07/2022,340569,3,N,15.3,Y,9.3,Y,7.7,2,5151000,1.78
26/07/2022,316316,4.4,N,13.2,Y,8.8,Y,6.4,1,5151000,1.78
25/07/2022,274106,0,N,16.8,Y,8.1,Y,5.1,0,5151000,1.78
24/07/2022,406977,7.8,N,19.3,Y,10.4,Y,10.1,6,5151000,1.78
23/07/2022,371336,1.2,N,14.5,Y,8.1,Y,5.1,5,5151000,1.78
22/07/2022,416838,0,N,19,Y,3.4,Y,9.9,4,5151000,1.78
21/07/2022,358685,0,N,13.8,Y,1.2,Y,10.5,3,5151000,1.78
20/07/2022,386373,0.2,N,11.2,Y,0.8,Y,10.4,2,5151000,1.78
19/07/2022,394150,0,N,12.8,Y,3.8,Y,9.8,1,5151000,1.78
18/07/2022,322024,4,N,11.4,Y,7.2,Y,8.3,0,5151000,1.78
17/07/2022,353027,0,N,15.8,Y,9.1,Y,5.2,6,5151000,1.78
16/07/2022,471033,0,N,13.8,Y,8.1,Y,6.4,5,5151000,1.78
15/07/2022,459686,0,N,15.5,Y,7.2,Y,8.5,4,5151000,1.78
14/07/2022,367252,1.6,N,12.6,Y,7.5,Y,7.6,3,5151000,1.78
13/07/2022,342126,1.6,N,12.4,Y,7.1,Y,8.2,2,5151000,1.78
12/07/2022,284010,1.2,N,11,Y,8,Y,5.1,1,5151000,1.78
11/07/2022,295108,0,N,14,Y,5.8,Y,9.4,0,5151000,1.78
10/07/2022,372983,0.6,N,15.9,Y,3.8,Y,8.4,6,5151000,1.78
9/07/2022,458521,5.8,N,12.9,Y,7.6,Y,7,5,5151000,1.78
8/07/2022,379723,2.4,N,11.9,Y,8.2,Y,5.4,4,5151000,1.78
7/07/2022,390030,0.4,N,13.9,Y,4.9,Y,8.4,3,5151000,1.78
6/07/2022,423220,0,N,17.6,Y,3.1,Y,9.6,2,5151000,1.78
5/07/2022,370637,0,N,15,Y,7.5,Y,9.3,1,5151000,1.78
4/07/2022,356396,0,N,13.3,Y,4.6,Y,9.5,0,5151000,1.78
3/07/2022,386038,0,N,13.2,Y,3.7,Y,8.8,6,5151000,1.78
2/07/2022,501883,0,N,12.5,Y,7,Y,6.8,5,5151000,1.78
1/07/2022,435062,0,N,12.5,Y,5.9,Y,5.4,4,5151000,1.78
30/06/2022,444681,0,N,14.1,Y,4.3,Y,9.1,3,5151000,1.78
29/06/2022,440722,0,N,11.7,Y,6.6,Y,7.3,2,5151000,1.78
28/06/2022,389162,0.2,N,13.4,Y,6,Y,6.7,1,5151000,1.78
27/06/2022,357787,5.4,N,12.8,Y,6.2,Y,7.1,0,5151000,1.78
26/06/2022,347684,0,N,13.1,Y,10.7,Y,5.6,6,5151000,1.78
25/06/2022,554399,0.2,N,16.2,Y,9.4,Y,9.2,5,5151000,1.78
24/06/2022,453301,4.8,N,17.3,Y,11.7,Y,7.1,4,5151000,1.78
23/06/2022,397567,0.2,N,16.4,Y,10.9,Y,6.4,3,5151000,1.78
22/06/2022,394408,1.2,N,15.8,Y,7.6,Y,6,2,5151000,1.78
21/06/2022,349916,3.8,N,14.9,Y,11,Y,8.3,1,5151000,1.78
20/06/2022,327116,0,N,17.7,Y,6.7,Y,6.8,0,5151000,1.78
19/06/2022,394259,0.2,N,16.2,Y,5.1,Y,8.9,6,5151000,1.78
18/06/2022,507418,0.2,N,15.7,Y,8,Y,8.8,5,5151000,1.78
17/06/2022,449618,3.6,N,13.8,Y,10.5,Y,7.6,4,5151000,1.78
16/06/2022,349039,0.4,N,14.4,Y,10.6,Y,5.4,3,5151000,1.78
15/06/2022,341787,0,N,13.8,Y,9.4,Y,5.8,2,5151000,1.78
14/06/2022,321941,0.2,N,13.5,Y,6.4,Y,6.9,1,5151000,1.78
13/06/2022,348091,4,N,13,Y,8.9,Y,7.6,0,5151000,1.78
12/06/2022,481918,0.2,N,13.3,Y,9.8,Y,6.9,6,5151000,1.78
11/06/2022,535643,0,N,13,Y,9.2,Y,5.3,5,5151000,1.78
10/06/2022,457746,0.4,N,14.1,Y,10.1,Y,7.7,4,5151000,1.78
9/06/2022,355992,0,N,13.4,Y,9,Y,6,3,5151000,1.78
8/06/2022,356351,3.6,N,12.8,Y,7.1,Y,6.7,2,5151000,1.78
7/06/2022,297106,6.4,N,11.9,Y,7.2,Y,7.2,1,5151000,1.78
6/06/2022,289301,2,N,13.3,Y,8.2,Y,6.7,0,5151000,1.78
5/06/2022,350874,0.2,N,13.7,Y,10.6,Y,4,6,5151000,1.78
4/06/2022,502668,0,N,14.9,Y,8.9,Y,7.4,5,5151000,1.78
3/06/2022,425071,0,N,12.6,Y,6.1,Y,7,4,5151000,1.78
2/06/2022,355834,10.8,N,13,Y,4.7,Y,8.3,3,5151000,1.78
1/06/2022,266898,4.4,N,11.9,Y,6.1,Y,3.8,2,5151000,1.78
31/05/2022,292125,10.2,N,11.4,Y,7.6,Y,5.1,1,5151000,1.78
30/05/2022,246741,0,N,11.7,Y,6.1,Y,3.6,0,5151000,1.78
29/05/2022,393216,0,N,16.5,Y,6.3,Y,7.3,6,5151000,1.78
28/05/2022,512767,0,N,14.6,Y,7.4,Y,7.4,5,5151000,1.78
27/05/2022,433927,3.4,N,16.6,Y,11.8,Y,6.8,4,5151000,1.78
26/05/2022,361682,0.2,N,16.3,Y,9.4,Y,4.3,3,5151000,1.78
25/05/2022,362992,0,N,19.6,Y,7.4,Y,8.4,2,5151000,1.78
24/05/2022,366155,0,N,20.8,Y,6,Y,10.1,1,5151000,1.78
23/05/2022,316774,0,N,17.1,Y,6.3,Y,9.8,0,5151000,1.78
22/05/2022,368910,0,N,14.3,Y,6.8,Y,7.6,6,5151000,1.78
21/05/2022,511973,0,N,14.9,Y,4.6,Y,10.3,5,5151000,1.78
20/05/2022,451122,0,N,15.8,Y,10.4,Y,5.2,4,5151000,1.78
19/05/2022,384217,0.2,N,14.7,Y,8.9,Y,5.7,3,5151000,1.78
18/05/2022,369180,0,N,15.4,Y,10.8,Y,8.5,2,5151000,1.78
17/05/2022,368089,3.2,N,15.6,Y,9.1,Y,7.8,1,5151000,1.78
16/05/2022,309336,1.4,N,15.9,Y,11.6,Y,5.3,0,5151000,1.78
15/05/2022,419038,2,N,21.8,Y,14.3,Y,8.7,6,5151000,1.78
14/05/2022,552349,0,N,18.5,Y,14.9,Y,2.4,5,5151000,1.78
13/05/2022,468219,0.8,N,17.9,Y,14.4,Y,4,4,5151000,1.78
12/05/2022,380344,0,N,18.1,Y,12.5,Y,8.6,3,5151000,1.78
11/05/2022,358866,0,N,17.5,Y,8.7,Y,5.8,2,5151000,1.78
10/05/2022,366277,0.2,N,18.4,Y,6.1,Y,11.3,1,5151000,1.78
9/05/2022,316045,0.6,N,16.6,Y,7.9,Y,10.4,0,5151000,1.78
8/05/2022,371252,0,N,16.3,Y,11.4,Y,9,6,5151000,1.78
7/05/2022,465876,1.6,N,15.3,Y,9.1,Y,4.9,5,5151000,1.78
6/05/2022,401208,0,N,15.2,Y,5.3,Y,8.9,4,5151000,1.78
5/05/2022,388036,0.4,N,14.1,Y,6.9,Y,11.8,3,5151000,1.78
4/05/2022,356204,0,N,16.4,Y,13.3,Y,5.1,2,5151000,1.78
3/05/2022,365384,0,N,20.7,Y,11.9,Y,11.8,1,5151000,1.78
2/05/2022,337870,0,N,22.1,Y,13.6,Y,9.9,0,5151000,1.78
1/05/2022,396405,0,N,19.3,Y,11.7,Y,8.8,6,5151000,1.78
30/04/2022,467242,31.4,N,17.9,Y,11.6,Y,9.2,5,5151000,1.78
29/04/2022,356465,0,N,20.8,Y,17.7,Y,4.9,4,5151000,1.78
28/04/2022,367319,0,N,22.4,Y,16.3,Y,7.3,3,5151000,1.78
27/04/2022,331293,0,N,22,Y,13.8,Y,8.1,2,5151000,1.78
26/04/2022,326627,0,N,23.1,Y,10,Y,11.1,1,5151000,1.78
25/04/2022,396577,0,N,24.2,Y,7.7,Y,12.9,0,5151000,1.78
24/04/2022,489266,0,N,17.6,Y,8.7,Y,11.3,6,5151000,1.78
23/04/2022,563433,0,N,17.8,Y,7.6,Y,13.4,5,5151000,1.78
22/04/2022,505425,0.2,N,18.2,Y,7.7,Y,13.1,4,5151000,1.78
21/04/2022,445103,0.6,N,17.1,Y,12.7,Y,8.6,3,5151000,1.78
20/04/2022,426978,9,N,19.9,Y,9,Y,8.3,2,5151000,1.78
19/04/2022,330994,13.2,N,15.8,Y,15,Y,2.2,1,5151000,1.78
18/04/2022,316898,13.4,N,17.5,Y,16.1,Y,2.6,0,5151000,1.78
17/04/2022,443602,0,N,28,Y,15.7,Y,13.4,6,5151000,1.78
16/04/2022,570005,0,N,28.9,Y,15.5,Y,13.1,5,5151000,1.78
15/04/2022,439553,0,N,26.2,Y,13.9,Y,11,4,5151000,1.78
14/04/2022,479107,0,N,24.7,Y,10.2,Y,12.7,3,5151000,1.78
13/04/2022,450585,0,N,20,Y,11.4,Y,14.3,2,5151000,1.78
12/04/2022,444829,0,N,17.7,Y,13,Y,8.2,1,5151000,1.78
11/04/2022,414494,1.4,N,18.8,Y,14.2,Y,8.2,0,5151000,1.78
10/04/2022,499763,0,N,26.7,Y,16.7,Y,15.3,6,5151000,1.78
9/04/2022,615940,0,N,25.1,Y,16.3,Y,9.5,5,5151000,1.78
8/04/2022,526164,0,N,23.4,Y,12.3,Y,14.3,4,5151000,1.78
7/04/2022,435683,0,N,22.8,Y,11.3,Y,13.6,3,5151000,1.78
6/04/2022,398451,0,N,22.3,Y,13.6,Y,10.9,2,5151000,1.78
5/04/2022,372479,0,N,19.9,Y,11.9,Y,12.7,1,5151000,1.78
4/04/2022,317327,1.8,N,18.4,Y,14.9,Y,5.8,0,5151000,1.78
3/04/2022,400726,1.2,N,17.8,Y,14.5,Y,5.5,6,5151000,1.78
