date,total_people,total_rain,rain_quality,max_temp,max_temp_quality,min_temp,min_temp_quality,solar_exp,WeekDay
2022-07-31,327383,0.0,N,14.7,Y,4.3,Y,4.8,6
2022-07-30,462115,0.0,N,13.0,Y,2.1,Y,11.3,5
2022-07-29,405511,1.0,N,12.7,Y,6.5,Y,11.2,4
2022-07-28,334858,1.0,N,13.2,Y,9.3,Y,9.3,3
2022-07-27,340569,3.0,N,15.3,Y,9.3,Y,7.7,2
2022-07-26,316316,4.4,N,13.2,Y,8.8,Y,6.4,1
2022-07-25,274106,0.0,N,16.8,Y,8.1,Y,5.1,0
2022-07-24,406977,7.8,N,19.3,Y,10.4,Y,10.1,6
2022-07-23,371336,1.2,N,14.5,Y,8.1,Y,5.1,5
2022-07-22,416838,0.0,N,19.0,Y,3.4,Y,9.9,4
2022-07-21,358685,0.0,N,13.8,Y,1.2,Y,10.5,3
2022-07-20,386373,0.2,N,11.2,Y,0.8,Y,10.4,2
2022-07-19,394150,0.0,N,12.8,Y,3.8,Y,9.8,1
2022-07-18,322024,4.0,N,11.4,Y,7.2,Y,8.3,0
2022-07-17,353027,0.0,N,15.8,Y,9.1,Y,5.2,6
2022-07-16,471033,0.0,N,13.8,Y,8.1,Y,6.4,5
2022-07-15,459686,0.0,N,15.5,Y,7.2,Y,8.5,4
2022-07-14,367252,1.6,N,12.6,Y,7.5,Y,7.6,3
2022-07-13,342126,1.6,N,12.4,Y,7.1,Y,8.2,2
2022-07-12,284010,1.2,N,11.0,Y,8.0,Y,5.1,1
2022-07-11,295108,0.0,N,14.0,Y,5.8,Y,9.4,0
2022-07-10,372983,0.6,N,15.9,Y,3.8,Y,8.4,6
2022-07-09,458521,5.8,N,12.9,Y,7.6,Y,7.0,5
2022-07-08,379723,2.4,N,11.9,Y,8.2,Y,5.4,4
2022-07-07,390030,0.4,N,13.9,Y,4.9,Y,8.4,3
2022-07-06,423220,0.0,N,17.6,Y,3.1,Y,9.6,2
2022-07-05,370637,0.0,N,15.0,Y,7.5,Y,9.3,1
2022-07-04,356396,0.0,N,13.3,Y,4.6,Y,9.5,0
2022-07-03,386038,0.0,N,13.2,Y,3.7,Y,8.8,6
2022-07-02,501883,0.0,N,12.5,Y,7.0,Y,6.8,5
2022-07-01,435062,0.0,N,12.5,Y,5.9,Y,5.4,4
2022-06-30,444681,0.0,N,14.1,Y,4.3,Y,9.1,3
2022-06-29,440722,0.0,N,11.7,Y,6.6,Y,7.3,2
2022-06-28,389162,0.2,N,13.4,Y,6.0,Y,6.7,1
2022-06-27,357787,5.4,N,12.8,Y,6.2,Y,7.1,0
2022-06-26,347684,0.0,N,13.1,Y,10.7,Y,5.6,6
2022-06-25,554399,0.2,N,16.2,Y,9.4,Y,9.2,5
2022-06-24,453301,4.8,N,17.3,Y,11.7,Y,7.1,4
2022-06-23,397567,0.2,N,16.4,Y,10.9,Y,6.4,3
2022-06-22,394408,1.2,N,15.8,Y,7.6,Y,6.0,2
2022-06-21,349916,3.8,N,14.9,Y,11.0,Y,8.3,1
2022-06-20,327116,0.0,N,17.7,Y,6.7,Y,6.8,0
2022-06-19,394259,0.2,N,16.2,Y,5.1,Y,8.9,6
2022-06-18,507418,0.2,N,15.7,Y,8.0,Y,8.8,5
2022-06-17,449618,3.6,N,13.8,Y,10.5,Y,7.6,4
2022-06-16,349039,0.4,N,14.4,Y,10.6,Y,5.4,3
2022-06-15,341787,0.0,N,13.8,Y,9.4,Y,5.8,2
2022-06-14,321941,0.2,N,13.5,Y,6.4,Y,6.9,1
2022-06-13,348091,4.0,N,13.0,Y,8.9,Y,7.6,0
2022-06-12,481918,0.2,N,13.3,Y,9.8,Y,6.9,6
2022-06-11,535643,0.0,N,13.0,Y,9.2,Y,5.3,5
2022-06-10,457746,0.4,N,14.1,Y,10.1,Y,7.7,4
2022-06-09,355992,0.0,N,13.4,Y,9.0,Y,6.0,3
2022-06-08,356351,3.6,N,12.8,Y,7.1,Y,6.7,2
2022-06-07,297106,6.4,N,11.9,Y,7.2,Y,7.2,1
2022-06-06,289301,2.0,N,13.3,Y,8.2,Y,6.7,0
2022-06-05,350874,0.2,N,13.7,Y,10.6,Y,4.0,6
2022-06-04,502668,0.0,N,14.9,Y,8.9,Y,7.4,5
2022-06-03,425071,0.0,N,12.6,Y,6.1,Y,7.0,4
2022-06-02,355834,10.8,N,13.0,Y,4.7,Y,8.3,3
2022-06-01,266898,4.4,N,11.9,Y,6.1,Y,3.8,2
2022-05-31,292125,10.2,N,11.4,Y,7.6,Y,5.1,1
2022-05-30,246741,0.0,N,11.7,Y,6.1,Y,3.6,0
2022-05-29,393216,0.0,N,16.5,Y,6.3,Y,7.3,6
2022-05-28,512767,0.0,N,14.6,Y,7.4,Y,7.4,5
2022-05-27,433927,3.4,N,16.6,Y,11.8,Y,6.8,4
2022-05-26,361682,0.2,N,16.3,Y,9.4,Y,4.3,3
2022-05-25,362992,0.0,N,19.6,Y,7.4,Y,8.4,2
2022-05-24,366155,0.0,N,20.8,Y,6.0,Y,10.1,1
2022-05-23,316774,0.0,N,17.1,Y,6.3,Y,9.8,0
2022-05-22,368910,0.0,N,14.3,Y,6.8,Y,7.6,6
2022-05-21,511973,0.0,N,14.9,Y,4.6,Y,10.3,5
2022-05-20,451122,0.0,N,15.8,Y,10.4,Y,5.2,4
2022-05-19,384217,0.2,N,14.7,Y,8.9,Y,5.7,3
2022-05-18,369180,0.0,N,15.4,Y,10.8,Y,8.5,2
2022-05-17,368089,3.2,N,15.6,Y,9.1,Y,7.8,1
2022-05-16,309336,1.4,N,15.9,Y,11.6,Y,5.3,0
2022-05-15,419038,2.0,N,21.8,Y,14.3,Y,8.7,6
2022-05-14,552349,0.0,N,18.5,Y,14.9,Y,2.4,5
2022-05-13,468219,0.8,N,17.9,Y,14.4,Y,4.0,4
2022-05-12,380344,0.0,N,18.1,Y,12.5,Y,8.6,3
2022-05-11,358866,0.0,N,17.5,Y,8.7,Y,5.8,2
2022-05-10,366277,0.2,N,18.4,Y,6.1,Y,11.3,1
2022-05-09,316045,0.6,N,16.6,Y,7.9,Y,10.4,0
2022-05-08,371252,0.0,N,16.3,Y,11.4,Y,9.0,6
2022-05-07,465876,1.6,N,15.3,Y,9.1,Y,4.9,5
2022-05-06,401208,0.0,N,15.2,Y,5.3,Y,8.9,4
2022-05-05,388036,0.4,N,14.1,Y,6.9,Y,11.8,3
2022-05-04,356204,0.0,N,16.4,Y,13.3,Y,5.1,2
2022-05-03,365384,0.0,N,20.7,Y,11.9,Y,11.8,1
2022-05-02,337870,0.0,N,22.1,Y,13.6,Y,9.9,0
2022-05-01,396405,0.0,N,19.3,Y,11.7,Y,8.8,6
2022-04-30,467242,31.4,N,17.9,Y,11.6,Y,9.2,5
2022-04-29,356465,0.0,N,20.8,Y,17.7,Y,4.9,4
2022-04-28,367319,0.0,N,22.4,Y,16.3,Y,7.3,3
2022-04-27,331293,0.0,N,22.0,Y,13.8,Y,8.1,2
2022-04-26,326627,0.0,N,23.1,Y,10.0,Y,11.1,1
2022-04-25,396577,0.0,N,24.2,Y,7.7,Y,12.9,0
2022-04-24,489266,0.0,N,17.6,Y,8.7,Y,11.3,6
2022-04-23,563433,0.0,N,17.8,Y,7.6,Y,13.4,5
2022-04-22,505425,0.2,N,18.2,Y,7.7,Y,13.1,4
2022-04-21,445103,0.6,N,17.1,Y,12.7,Y,8.6,3
2022-04-20,426978,9.0,N,19.9,Y,9.0,Y,8.3,2
2022-04-19,330994,13.2,N,15.8,Y,15.0,Y,2.2,1
2022-04-18,316898,13.4,N,17.5,Y,16.1,Y,2.6,0
2022-04-17,443602,0.0,N,28.0,Y,15.7,Y,13.4,6
2022-04-16,570005,0.0,N,28.9,Y,15.5,Y,13.1,5
2022-04-15,439553,0.0,N,26.2,Y,13.9,Y,11.0,4
2022-04-14,479107,0.0,N,24.7,Y,10.2,Y,12.7,3
2022-04-13,450585,0.0,N,20.0,Y,11.4,Y,14.3,2
2022-04-12,444829,0.0,N,17.7,Y,13.0,Y,8.2,1
2022-04-11,414494,1.4,N,18.8,Y,14.2,Y,8.2,0
2022-04-10,499763,0.0,N,26.7,Y,16.7,Y,15.3,6
2022-04-09,615940,0.0,N,25.1,Y,16.3,Y,9.5,5
2022-04-08,526164,0.0,N,23.4,Y,12.3,Y,14.3,4
2022-04-07,435683,0.0,N,22.8,Y,11.3,Y,13.6,3
2022-04-06,398451,0.0,N,22.3,Y,13.6,Y,10.9,2
2022-04-05,372479,0.0,N,19.9,Y,11.9,Y,12.7,1
2022-04-04,317327,1.8,N,18.4,Y,14.9,Y,5.8,0
2022-04-03,400726,1.2,N,17.8,Y,14.5,Y,5.5,6
2022-04-02,481195,0.4,N,18.2,Y,13.4,Y,4.9,5
2022-04-01,437674,0.0,N,19.1,Y,12.8,Y,12.3,4
2022-03-31,346682,0.0,N,21.7,N,13.5,N,12.9,3
2022-03-30,324164,0.0,N,20.4,N,15.9,N,12.2,2
2022-03-29,304375,0.0,N,20.0,N,15.6,N,8.2,1
2022-03-28,273283,0.0,N,24.4,N,16.3,N,10.3,0
2022-03-27,311760,0.0,N,29.1,N,12.4,N,17.6,6
2022-03-26,425986,0.0,N,22.3,N,11.1,N,18.4,5
2022-03-25,379657,0.0,Y,20.4,N,14.0,Y,12.2,4
2022-03-24,349275,0.0,N,20.3,Y,14.4,N,17.5,3
2022-03-23,334900,1.2,N,19.5,N,13.6,N,14.5,2
2022-03-22,291177,0.0,N,22.2,N,18.2,N,6.0,1
2022-03-21,278767,0.0,N,28.3,N,17.7,N,19.0,0
2022-03-20,311307,0.0,N,25.0,N,15.7,N,16.7,6
2022-03-19,420557,0.0,N,30.3,N,13.5,N,19.5,5
