date,total_people,total_rain,rain_quality,max_temp,max_temp_quality,min_temp,min_temp_quality,solar_exp,weekday
1/07/2022,435062,0,N,12.5,Y,5.9,Y,5.4,6
2/07/2022,501883,0,N,12.5,Y,7,Y,6.8,7
3/07/2022,386038,0,N,13.2,Y,3.7,Y,8.8,1
4/07/2022,356396,0,N,13.3,Y,4.6,Y,9.5,2
5/07/2022,370637,0,N,15,Y,7.5,Y,9.3,3
6/07/2022,423220,0,N,17.6,Y,3.1,Y,9.6,4
7/07/2022,390030,0.4,N,13.9,Y,4.9,Y,8.4,5
8/07/2022,379723,2.4,N,11.9,Y,8.2,Y,5.4,6
9/07/2022,458521,5.8,N,12.9,Y,7.6,Y,7,7
10/07/2022,372983,0.6,N,15.9,Y,3.8,Y,8.4,1
11/07/2022,295108,0,N,14,Y,5.8,Y,9.4,2
12/07/2022,284010,1.2,N,11,Y,8,Y,5.1,3
13/07/2022,342126,1.6,N,12.4,Y,7.1,Y,8.2,4
14/07/2022,367252,1.6,N,12.6,Y,7.5,Y,7.6,5
15/07/2022,459686,0,N,15.5,Y,7.2,Y,8.5,6
16/07/2022,471033,0,N,13.8,Y,8.1,Y,6.4,7
17/07/2022,353027,0,N,15.8,Y,9.1,Y,5.2,1
18/07/2022,322024,4,N,11.4,Y,7.2,Y,8.3,2
19/07/2022,394150,0,N,12.8,Y,3.8,Y,9.8,3
20/07/2022,386373,0.2,N,11.2,Y,0.8,Y,10.4,4
21/07/2022,358685,0,N,13.8,Y,1.2,Y,10.5,5
22/07/2022,416838,0,N,19,Y,3.4,Y,9.9,6
23/07/2022,371336,1.2,N,14.5,Y,8.1,Y,5.1,7
24/07/2022,406977,7.8,N,19.3,Y,10.4,Y,10.1,1
25/07/2022,274106,0,N,16.8,Y,8.1,Y,5.1,2
26/07/2022,316316,4.4,N,13.2,Y,8.8,Y,6.4,3
27/07/2022,340569,3,N,15.3,Y,9.3,Y,7.7,4
28/07/2022,334858,1,N,13.2,Y,9.3,Y,9.3,5
29/07/2022,405511,1,N,12.7,Y,6.5,Y,11.2,6
30/07/2022,462115,0,N,13,Y,2.1,Y,11.3,7
31/07/2022,327383,0,N,14.7,Y,4.3,Y,4.8,1
