PRCP       009564 19070101 20100131 missing_value=99999.9 KING RIVER                                
19070101     0.0
19070102     0.0
19070103     0.0
19070104     0.8
19070105     0.0
19070106     5.8
19070107     0.0
19070108     0.0
19070109     0.0
19070110     0.0
19070111     0.0
19070112     0.0
19070113     0.0
19070114     0.0
19070115     0.0
19070116     0.0
19070117     0.0
19070118     8.9
19070119     0.0
19070120     0.0
19070121     0.0
19070122     0.0
19070123     0.0
19070124     0.0
19070125     0.0
19070126     0.0
19070127     0.0
19070128     0.0
19070129     0.0
19070130     0.0
19070131     0.0
19070201     0.0
19070202     0.0
19070203     0.0
19070204     0.0
19070205     0.0
19070206     0.0
19070207     0.0
19070208     0.0
19070209     0.0
19070210     0.0
19070211     0.0
19070212     0.0
19070213     0.0
19070214     0.0
19070215     0.0
19070216     0.0
19070217     0.0
19070218     0.0
19070219     0.0
19070220     0.0
19070221     0.0
19070222     0.0
19070223     0.0
19070224     4.1
19070225     0.0
19070226     0.0
19070227     0.0
19070228     2.0
19070301     3.0
19070302     2.8
19070303     3.8
19070304     2.0
19070305     0.0
19070306     0.0
19070307     0.0
19070308     0.0
19070309     0.0
19070310     1.8
19070311     0.0
19070312     0.0
19070313     0.0
19070314     0.0
19070315     0.0
19070316     0.0
19070317     0.0
19070318     2.8
19070319    57.2
19070320     0.0
19070321     0.0
19070322     0.0
19070323     1.5
19070324     0.0
19070325     0.0
19070326     0.0
19070327    31.8
19070328     0.0
19070329     0.0
19070330     0.0
19070331     0.0
19070401     0.0
19070402     0.0
19070403     0.0
19070404     0.0
19070405     0.0
19070406     0.0
19070407     0.0
19070408     0.0
19070409     2.0
19070410     0.0
19070411     0.0
19070412     0.0
19070413     0.0
19070414     0.0
19070415     0.0
19070416     3.8
19070417     0.0
19070418     0.0
19070419     0.0
19070420     0.8
19070421     0.0
19070422     0.0
19070423     0.0
19070424     0.0
19070425     0.0
19070426     0.8
19070427    15.5
19070428     3.3
19070429     0.0
19070430     0.0
19070501     0.0
19070502     0.0
19070503     0.0
19070504     0.0
19070505     8.4
19070506     4.6
19070507     0.0
19070508     0.0
19070509     0.0
19070510     0.0
19070511     0.0
19070512     0.0
19070513     4.6
19070514     5.6
19070515     0.0
19070516     0.0
19070517    23.4
19070518     3.0
19070519    23.1
19070520     0.0
19070521     1.5
19070522     0.0
19070523     0.0
19070524     0.0
19070525     0.0
19070526    11.7
19070527     3.8
19070528     0.0
19070529     0.0
19070530     0.0
19070531    22.1
19070601    12.7
19070602     3.8
19070603     1.3
19070604     0.0
19070605     0.0
19070606     0.0
19070607     0.0
19070608     1.0
19070609     3.8
19070610     1.8
19070611     0.0
19070612     3.6
19070613     3.8
19070614     7.6
19070615     0.0
19070616     4.3
19070617     0.0
19070618     0.0
19070619     0.0
19070620    14.7
19070621     0.0
19070622     0.0
19070623     0.0
19070624     0.0
19070625     0.0
19070626     0.0
19070627     6.4
19070628     0.0
19070629    13.0
19070630     0.0
19070701     0.0
19070702     0.0
19070703     8.9
19070704     0.0
19070705     0.0
19070706     0.0
19070707     0.0
19070708     8.9
19070709     0.0
19070710     0.0
19070711     0.0
19070712     1.3
19070713     1.3
19070714     5.1
19070715     0.0
19070716     0.0
19070717     7.6
19070718    10.2
19070719     8.4
19070720     2.5
19070721     9.4
19070722     0.0
19070723     0.0
19070724    19.6
19070725    10.2
19070726     6.4
19070727     0.0
19070728     5.8
19070729    13.2
19070730     0.0
19070731     6.4
19070801    25.4
19070802     1.5
19070803     0.0
19070804    11.7
19070805     4.6
19070806    30.0
19070807     2.8
19070808     5.1
19070809    23.9
19070810     3.8
19070811     2.5
19070812     2.3
19070813     0.0
19070814     0.0
19070815     4.3
19070816     0.0
19070817     0.0
19070818     0.0
19070819    22.9
19070820     0.0
19070821     0.0
19070822     9.7
19070823     0.0
19070824     0.0
19070825     0.0
19070826     4.6
19070827     1.0
19070828     0.0
19070829     2.5
19070830     0.0
19070831     0.0
19070901     1.5
19070902     0.0
19070903     0.0
