PRCP       058063 18580201 20120731 missing_value=99999.9 CASINO AIRPORT                            
18580201     0.0
18580202     0.0
18580203     0.0
18580204     0.0
18580205     0.0
18580206     0.0
18580207     0.8
18580208     0.8
18580209     0.0
18580210     4.1
18580211     9.9
18580212     1.8
18580213     0.3
18580214     1.0
18580215     0.0
18580216     0.5
18580217     0.5
18580218     0.0
18580219     0.3
18580220     0.0
18580221     0.0
18580222     0.0
18580223     0.0
18580224     0.0
18580225     0.5
18580226     0.3
18580227     0.0
18580228    13.2
18580301     0.0
18580302     0.0
18580303     4.1
18580304     6.4
18580305     1.0
18580306     0.0
18580307     0.8
18580308     1.8
18580309     1.3
18580310     0.0
18580311     0.0
18580312     0.3
18580313     3.0
18580314     1.8
18580315     4.1
18580316     1.0
18580317    11.9
18580318     1.0
18580319     0.8
18580320     0.0
18580321     0.0
18580322     0.3
18580323     0.8
18580324     5.6
18580325     0.0
18580326     0.0
18580327    19.6
18580328    35.3
18580329     0.5
18580330     1.8
18580331    16.8
18580401     5.1
18580402     2.5
18580403     3.6
18580404     0.5
18580405     0.3
18580406     0.3
18580407     0.0
18580408     0.0
18580409     0.0
18580410     0.0
18580411     0.0
18580412     0.0
18580413     0.0
18580414    16.8
18580415    26.9
18580416    45.2
18580417    12.2
18580418     2.0
18580419    12.7
18580420    48.3
18580421     7.6
18580422     4.6
18580423    17.3
18580424     1.3
18580425     0.3
18580426     1.3
18580427     0.0
18580428     0.8
18580429     0.0
18580430     2.8
18580501     0.8
18580502     4.6
18580503     3.3
18580504     1.3
18580505     2.3
18580506     4.6
18580507     2.0
18580508     0.3
18580509     0.3
18580510     1.0
18580511     5.1
18580512     0.3
18580513     0.5
18580514     0.3
18580515     0.3
18580516     0.3
18580517     0.3
18580518     0.3
18580519     0.0
18580520     0.0
18580521     0.3
18580522     0.0
18580523     0.0
18580524     0.3
18580525     1.3
18580526     6.4
18580527     0.8
18580528     0.0
18580529     0.0
18580530     0.0
18580531     0.0
18580601     0.0
18580602     0.0
18580603     0.0
18580604     0.0
18580605     0.0
18580606     0.0
18580607     0.0
18580608     0.0
18580609     0.0
18580610     0.0
18580611     0.0
18580612     0.0
18580613     0.0
18580614     0.5
18580615     3.3
18580616     3.0
18580617    14.2
18580618     1.0
18580619     0.0
18580620     0.0
18580621     0.0
18580622     0.0
18580623     0.0
18580624     0.0
18580625     0.0
18580626     0.0
18580627     0.0
