PRCP       068034 18990701 20040630 missing_value=99999.9 POINT PERPENDICULAR LIGHTHOUSE COMPARISON 
18990701     2.0
18990702     1.0
18990703     0.0
18990704     0.0
18990705     0.0
18990706     0.0
18990707     0.0
18990708    27.9
18990709     7.6
18990710    12.7
18990711    15.2
18990712    12.7
18990713     5.3
18990714     2.5
18990715     1.3
18990716     1.8
18990717     0.0
18990718     7.6
18990719     8.1
18990720    35.6
18990721     9.7
18990722     0.0
18990723     0.0
18990724     0.0
18990725     0.0
18990726     2.5
18990727     1.8
18990728     0.0
18990729     0.0
18990730     0.0
18990731    11.4
18990801     6.4
18990802     3.0
18990803     2.5
18990804     8.9
18990805    17.8
18990806     0.0
18990807     0.0
18990808     0.0
18990809     0.0
18990810     0.0
18990811    10.2
18990812    15.2
18990813    25.4
18990814     6.4
18990815     7.1
18990816     5.1
18990817    12.7
18990818    10.2
18990819    40.6
18990820    51.6
18990821    12.7
18990822     7.6
18990823     4.1
18990824    50.8
18990825    29.7
18990826    12.7
18990827     0.0
18990828     0.0
18990829     0.0
18990830     0.0
18990831     0.0
18990901     0.0
18990902     0.0
18990903     0.0
18990904     0.0
18990905     0.0
18990906     0.0
18990907     0.0
18990908     0.0
18990909     0.0
18990910     0.0
18990911     0.0
18990912     0.0
18990913     0.0
18990914     1.3
18990915     0.0
18990916     0.0
18990917     1.8
18990918     0.0
18990919     0.0
18990920     1.3
18990921     0.0
18990922     0.0
18990923     0.0
18990924     0.0
18990925     0.0
18990926     9.4
18990927     4.1
18990928    43.2
18990929    10.7
18990930     0.0
18991001     1.8
18991002     1.3
18991003     0.0
18991004     0.0
18991005     1.5
18991006     0.0
18991007     0.0
18991008     0.0
18991009     0.0
18991010     0.0
18991011     0.0
18991012     0.0
18991013     0.0
18991014     0.0
18991015    18.3
18991016     0.0
18991017     0.0
18991018     0.0
18991019     0.0
18991020     7.1
18991021     0.0
18991022     6.4
18991023     7.1
18991024     0.0
18991025     4.6
18991026    16.5
18991027    50.8
18991028    19.1
18991029    31.8
18991030    33.0
18991031     0.0
18991101     0.0
18991102     0.0
18991103     0.0
18991104     1.3
18991105    25.4
18991106     2.5
18991107    30.5
18991108     3.0
18991109     0.0
18991110     0.0
18991111     0.0
18991112     0.0
18991113     0.0
18991114     0.0
18991115     0.0
18991116    10.7
18991117     3.0
18991118     6.9
18991119     2.5
18991120     2.5
18991121     0.0
18991122     0.0
18991123     0.0
18991124     0.0
18991125     0.0
18991126     0.0
18991127     0.0
18991128     0.0
18991129     0.0
18991130     0.0
18991201     0.0
18991202     0.0
18991203     0.0
18991204     0.0
18991205     0.0
18991206     0.0
18991207     0.0
18991208     0.0
18991209     7.6
18991210     0.0
18991211     0.0
18991212    34.5
18991213     0.0
18991214     0.0
18991215     0.0
18991216     0.0
18991217     0.0
18991218     0.0
18991219     0.0
18991220     0.0
18991221     0.0
18991222     0.0
18991223     0.0
18991224     0.0
18991225     0.0
18991226     0.0
18991227     0.0
18991228     4.1
18991229     8.4
18991230     0.0
18991231     0.0
19000101     0.0
19000102     0.0
19000103     0.0
19000104     0.0
19000105     0.0
19000106    22.9
19000107     0.0
19000108    20.3
19000109     4.1
19000110     0.0
19000111    15.2
19000112     0.0
19000113     1.8
19000114     0.0
19000115     0.0
19000116     0.0
19000117     0.0
19000118     0.0
19000119     0.0
19000120     2.0
19000121     0.0
19000122     0.0
19000123     0.0
19000124     6.4
19000125     2.5
19000126     0.0
19000127     0.0
19000128     0.0
19000129     0.0
19000130     2.5
19000131     2.0
19000201     3.0
19000202     5.3
19000203     0.0
19000204     0.0
19000205     0.0
19000206     0.0
19000207     0.0
19000208     1.3
19000209     2.8
19000210     0.0
19000211     0.0
19000212     0.0
19000213     3.0
19000214     5.1
19000215    19.1
19000216     3.8
19000217     0.0
19000218     0.0
19000219     0.0
19000220     0.0
19000221     0.0
19000222     0.0
19000223     0.0
19000224     0.0
19000225     0.0
19000226     0.0
19000227     0.0
19000228     2.5
19000301    22.9
19000302     0.0
19000303     5.1
19000304     0.0
19000305     0.0
19000306     3.8
19000307    26.7
19000308     2.5
19000309     0.0
19000310     0.0
19000311     0.0
19000312     0.0
19000313     0.0
19000314     0.0
19000315     1.0
19000316     6.4
19000317     2.5
19000318     0.0
19000319     0.0
19000320     0.0
19000321    17.8
19000322     0.0
19000323     0.0
19000324     0.0
19000325     0.0
19000326     0.0
19000327     0.0
19000328     1.3
19000329    23.4
19000330    29.2
19000331    50.8
19000401     0.0
19000402   114.3
19000403     0.0
19000404    14.2
19000405     6.4
19000406    86.4
19000407    47.0
19000408    29.2
19000409    15.7
19000410     0.0
19000411     8.4
19000412     0.0
19000413     0.0
19000414     0.0
19000415     0.0
19000416     0.0
19000417     0.0
19000418     0.0
19000419     0.0
19000420     0.0
19000421     0.0
19000422    27.9
19000423     0.0
19000424     5.1
19000425    27.2
19000426    21.6
19000427     7.6
19000428     0.0
19000429     0.0
19000430    10.2
19000501     0.0
19000502     0.0
19000503     0.0
19000504     3.0
19000505     7.6
19000506     0.0
19000507     0.0
19000508     0.0
19000509     0.0
19000510     6.4
19000511     0.0
19000512     0.0
19000513     0.0
19000514     0.0
19000515     0.0
19000516     0.0
19000517    32.5
19000518    25.4
19000519     5.1
19000520     3.8
19000521     3.8
19000522     0.0
19000523     2.5
19000524    35.6
19000525    45.7
19000526    86.4
19000527   109.2
19000528    48.3
19000529    12.7
19000530     0.0
19000531     0.0
19000601     0.0
19000602     0.0
