PRCP       091044 19070101 20180930 missing_value=99999.9 IRISHTOWN (JOHNS HILL ROAD)               
19070101     0.0
19070102     0.0
19070103     3.0
19070104     6.1
19070105     4.8
19070106     1.5
19070107     0.0
19070108     0.0
19070109     0.0
19070110     0.0
19070111     0.0
19070112     0.0
19070113     1.0
19070114     4.1
19070115     0.3
19070116     0.0
19070117     0.0
19070118     0.0
19070119     0.0
19070120     6.1
19070121     2.3
19070122     2.8
19070123     0.5
19070124     0.0
19070125     0.0
19070126     0.0
19070127     0.0
19070128     2.0
19070129     0.0
19070130     5.6
19070131     0.3
19070201     2.0
19070202     0.5
19070203     0.0
19070204     0.0
19070205     0.0
19070206     2.0
19070207     9.4
19070208     8.6
19070209     1.5
19070210     0.0
19070211     0.8
19070212     0.0
19070213     0.0
19070214     0.0
19070215     0.0
19070216     0.0
19070217     1.8
19070218     5.8
19070219     0.0
19070220     0.0
19070221     0.0
19070222     0.0
19070223     0.0
19070224     0.0
19070225     0.0
19070226     0.0
19070227     2.3
19070228     0.0
19070301     0.0
19070302     0.0
19070303     0.3
19070304     3.3
19070305     0.0
19070306     0.0
19070307     0.8
19070308     2.3
19070309     0.0
19070310     0.0
19070311     0.0
19070312     0.0
19070313     0.0
19070314     0.0
19070315     0.0
19070316     0.0
19070317     0.0
19070318     0.0
19070319    12.2
19070320    23.4
19070321     1.8
19070322     0.3
19070323     0.5
19070324     0.0
19070325     0.0
19070326     0.5
19070327     0.0
19070328     1.8
19070329     6.9
19070330     0.5
19070331     2.3
19070401     1.8
19070402     0.0
19070403     0.3
19070404     0.0
19070405     0.0
19070406     0.0
19070407     9.1
19070408    12.2
19070409     1.5
19070410     3.3
19070411     1.0
19070412     2.8
19070413     0.8
19070414     3.3
19070415     0.3
19070416     6.6
19070417    20.1
19070418    37.1
19070419     1.3
19070420     3.8
19070421    10.9
19070422     7.9
19070423    19.8
19070424     3.0
19070425    12.2
19070426     1.5
19070427     0.0
19070428     3.8
19070429    14.7
19070430     5.1
19070501     0.3
19070502     0.0
19070503     0.0
19070504     0.0
19070505     0.3
19070506     0.5
19070507     0.5
19070508     3.6
19070509     3.8
19070510     6.1
19070511     2.0
19070512     0.8
19070513     0.0
19070514     0.0
19070515     0.0
19070516     0.0
19070517     0.3
19070518     6.4
19070519    13.2
19070520    11.2
19070521    31.5
19070522    16.8
19070523    15.0
19070524     1.0
19070525     0.8
19070526     1.3
19070527     0.5
19070528     0.3
19070529     1.8
19070530     0.3
19070531     0.8
19070601     9.4
19070602     7.6
19070603     9.7
19070604     0.0
19070605     0.0
19070606     0.0
19070607     0.8
19070608     1.0
19070609    12.2
19070610     0.3
19070611     0.3
19070612     0.0
19070613     0.0
19070614     0.0
19070615    10.7
19070616    18.0
19070617     2.3
19070618     0.3
19070619     0.3
19070620     0.0
19070621     0.5
19070622     1.5
19070623     0.5
19070624     0.3
19070625     0.3
19070626     0.8
19070627     4.3
19070628     2.8
19070629    11.4
19070630    10.9
19070701    21.6
19070702     3.8
19070703     1.5
19070704    14.0
19070705     9.4
19070706     6.6
19070707     0.3
19070708     9.9
19070709    28.7
19070710     3.6
19070711     0.3
19070712     2.5
19070713     1.8
19070714     0.8
19070715     0.3
19070716     0.0
19070717     0.0
19070718     1.0
19070719     9.1
19070720     9.4
19070721    14.5
19070722     7.4
19070723     5.1
19070724     2.8
19070725     8.1
19070726     0.3
19070727    25.4
19070728     9.9
19070729     1.5
19070730     9.7
19070731     0.3
19070801     0.3
19070802     0.0
19070803     0.0
19070804     0.3
19070805     3.6
19070806     6.9
19070807     8.9
19070808     5.1
19070809     6.4
19070810     9.7
19070811     2.8
19070812    27.9
19070813    15.5
19070814    15.5
19070815     8.6
19070816     8.4
19070817     2.8
19070818     1.3
19070819     4.6
19070820     8.6
19070821     2.8
19070822     6.6
19070823     3.3
19070824     4.1
19070825    10.2
19070826    11.7
19070827     7.6
19070828     6.1
19070829     1.8
19070830     6.9
19070831     5.3
19070901     7.4
