Macrotrends Data Download,,
,,
Melbourne, Australia Metro Area Population 1950-2022,
Original Source: United Nations - World Population Prospects,,
,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,
,,
,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,
,,
,,
date, Population, Annual Change
31/12/1950,1332000,
31/12/1951,1377000,3.38
31/12/1952,1424000,3.41
31/12/1953,1473000,3.44
31/12/1954,1524000,3.46
31/12/1955,1574000,3.28
31/12/1956,1626000,3.3
31/12/1957,1680000,3.32
31/12/1958,1735000,3.27
31/12/1959,1792000,3.29
31/12/1960,1851000,3.29
31/12/1961,1912000,3.3
31/12/1962,1950000,1.99
31/12/1963,1988000,1.95
31/12/1964,2028000,2.01
31/12/1965,2068000,1.97
31/12/1966,2109000,1.98
31/12/1967,2200000,4.31
31/12/1968,2296000,4.36
31/12/1969,2395000,4.31
31/12/1970,2499000,4.34
31/12/1971,2607000,4.32
31/12/1972,2638000,1.19
31/12/1973,2669000,1.18
31/12/1974,2700000,1.16
31/12/1975,2732000,1.19
31/12/1976,2764000,1.17
31/12/1977,2783000,0.69
31/12/1978,2801000,0.65
31/12/1979,2820000,0.68
31/12/1980,2839000,0.67
31/12/1981,2858000,0.67
31/12/1982,2885000,0.94
31/12/1983,2913000,0.97
31/12/1984,2941000,0.96
31/12/1985,2969000,0.95
31/12/1986,2997000,0.94
31/12/1987,3036000,1.3
31/12/1988,3075000,1.28
31/12/1989,3114000,1.27
31/12/1990,3154000,1.28
31/12/1991,3195000,1.3
31/12/1992,3217000,0.69
31/12/1993,3238000,0.65
31/12/1994,3260000,0.68
31/12/1995,3283000,0.71
31/12/1996,3305000,0.67
31/12/1997,3319000,0.42
31/12/1998,3333000,0.42
31/12/1999,3347000,0.42
31/12/2000,3361000,0.42
31/12/2001,3375000,0.42
31/12/2002,3423000,1.42
31/12/2003,3472000,1.43
31/12/2004,3522000,1.44
31/12/2005,3573000,1.45
31/12/2006,3624000,1.43
31/12/2007,3699000,2.07
31/12/2008,3775000,2.05
31/12/2009,3853000,2.07
31/12/2010,3932000,2.05
31/12/2011,4013000,2.06
31/12/2012,4114000,2.52
31/12/2013,4217000,2.5
31/12/2014,4322000,2.49
31/12/2015,4430000,2.5
31/12/2016,4541000,2.51
31/12/2017,4654000,2.49
31/12/2018,4771000,2.51
31/12/2019,4870000,2.08
31/12/2020,4968000,2.01
31/12/2021,5061000,1.87
31/12/2022,5151000,1.78
31/12/2023,5235000,1.63
31/12/2024,5316000,1.55
31/12/2025,5392000,1.43
31/12/2026,5465000,1.35
31/12/2027,5535000,1.28
31/12/2028,5604000,1.25
31/12/2029,5671000,1.2
31/12/2030,5736000,1.15
31/12/2031,5801000,1.13
31/12/2032,5865000,1.1
31/12/2033,5929000,1.09
31/12/2034,5992000,1.06
31/12/2035,6056000,1.07
