,Turnover; Total Sales (State); Online Food Retailing ;,Turnover; Total Sales (State); Online Non-Food Retailing ;,Turnover Sales; Total (State); Online Total (Industry) ;,Turnover; Total Sales (State); Online Food Retailing ;,Turnover; Total Sales (State); Online Non-Food Retailing ;,Turnover Sales; Total (State); Online Total (Industry) ;,Turnover; Total Sales (State); Online Food Retailing ;,Turnover; Total Sales (State); Online Non-Food Retailing ;,Turnover Sales; Total (State); Online Total (Industry) ;
Unit,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions
Series Type,Original,Original,Original,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Trend,Trend,Trend
Data Type,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW
Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month
Collection Month,1,1,1,1,1,1,1,1,1
Series Start,Jul-2013,Jul-2013,Jul-2013,Jul-2013,Jul-2013,Jul-2013,Jul-2013,Jul-2013,Jul-2013
Series End,Jul-2022,Jul-2022,Jul-2022,Jul-2022,Jul-2022,Jul-2022,Jul-2022,Jul-2022,Jul-2022
No. Obs,109,109,109,109,109,109,109,109,109
Series ID,A117725601W,A117725602X,A117725605F,A117725565X,A117725566A,A117725569J,A117725583C,A117725584F,A117725587L
Jul-2013,142.8,312.8,455.6,139.5,331.5,471.0,137.5,322.1,459.6
Aug-2013,151.4,308.2,459.6,147.4,328.9,476.3,137.6,333.0,470.6
Sep-2013,144.7,321.5,466.2,140.0,322.4,462.4,138.3,344.2,482.5
Oct-2013,132.2,368.8,501.0,127.6,351.7,479.3,139.3,356.0,495.3
Nov-2013,139.2,451.3,590.5,137.8,388.4,526.2,140.9,368.3,509.2
Dec-2013,134.9,495.1,630.0,130.2,381.5,511.7,143.6,380.2,523.9
Jan-2014,137.8,388.2,526.0,148.2,399.4,547.6,147.7,390.6,538.3
Feb-2014,142.2,356.2,498.4,154.9,426.1,581.1,152.6,399.2,551.8
Mar-2014,160.1,374.8,534.9,155.9,401.6,557.5,157.5,406.5,564.1
Apr-2014,152.4,371.1,523.5,161.3,412.1,573.4,161.6,414.0,575.6
May-2014,170.2,408.1,578.3,167.7,423.3,590.9,164.5,423.6,588.0
Jun-2014,166.4,435.7,602.1,167.3,433.2,600.4,166.5,435.8,602.3
Jul-2014,172.3,423.9,596.2,167.6,450.3,617.9,168.2,449.8,618.1
Aug-2014,171.4,427.8,599.2,166.8,463.1,629.9,169.8,464.4,634.3
Sep-2014,171.8,479.3,651.1,169.6,481.2,650.9,171.2,478.3,649.5
Oct-2014,182.2,532.8,715.0,175.4,503.6,678.9,172.2,491.7,663.9
Nov-2014,184.5,567.8,752.3,180.1,492.2,672.3,173.3,505.1,678.4
Dec-2014,178.3,684.9,863.2,172.5,515.2,687.7,174.3,518.6,692.8
Jan-2015,159.3,506.2,665.5,173.0,536.1,709.1,175.5,532.8,708.2
Feb-2015,160.6,454.9,615.5,174.7,544.2,718.9,177.4,547.3,724.7
Mar-2015,188.6,530.8,719.4,184.9,567.2,752.1,180.7,560.6,741.2
Apr-2015,177.2,519.9,697.1,184.2,567.1,751.3,185.5,571.6,757.1
May-2015,190.6,549.5,740.1,187.7,579.3,767.0,191.5,578.8,770.3
Jun-2015,194.3,596.2,790.5,199.6,593.4,793.0,197.7,581.2,778.9
Jul-2015,210.9,540.0,750.9,203.7,570.4,774.0,203.4,579.6,783.0
Aug-2015,217.5,543.3,760.8,209.6,579.8,789.3,208.1,575.3,783.4
Sep-2015,217.0,577.6,794.6,214.6,581.2,795.8,211.4,570.9,782.3
Oct-2015,216.2,573.1,789.3,210.6,553.4,764.0,213.0,569.0,782.0
Nov-2015,219.4,673.3,892.7,211.8,565.9,777.7,213.2,571.7,784.9
Dec-2015,228.3,770.6,998.9,219.6,581.1,800.7,212.8,579.6,792.3
Jan-2016,194.9,585.7,780.6,210.2,636.1,846.4,212.3,592.1,804.4
Feb-2016,201.4,530.8,732.2,211.1,609.8,820.9,211.8,607.7,819.5
Mar-2016,215.0,595.6,810.6,209.8,623.6,833.5,211.4,624.1,835.5
Apr-2016,204.8,566.6,771.4,218.7,641.3,859.9,211.3,638.9,850.2
May-2016,213.2,627.2,840.4,211.2,651.1,862.3,211.6,652.1,863.8
Jun-2016,211.6,692.5,904.1,212.1,674.7,886.8,213.0,665.1,878.1
Jul-2016,216.9,610.4,827.3,211.9,668.6,880.5,215.6,678.1,893.7
Aug-2016,229.8,642.0,871.8,222.1,667.4,889.5,219.5,690.9,910.4
Sep-2016,226.6,697.2,923.8,223.4,705.0,928.3,224.8,702.1,926.9
Oct-2016,240.0,746.0,986.0,231.4,724.1,955.4,231.2,710.3,941.5
Nov-2016,245.1,863.7,1108.8,240.1,715.7,955.8,238.0,714.3,952.3
Dec-2016,252.3,1012.8,1265.1,243.3,779.2,1022.5,245.1,714.2,959.3
Jan-2017,247.7,655.3,903.0,267.5,709.4,976.9,252.2,711.2,963.4
Feb-2017,238.9,586.5,825.4,260.2,704.5,964.8,259.4,707.9,967.3
Mar-2017,258.8,680.3,939.1,250.9,712.4,963.2,266.2,709.8,976.0
Apr-2017,256.0,606.0,862.0,270.5,677.9,948.4,272.0,720.4,992.3
May-2017,283.7,717.0,1000.7,281.3,734.8,1016.1,276.4,739.7,1016.0
Jun-2017,289.3,750.0,1039.3,296.3,749.6,1045.9,279.2,766.3,1045.5
