Date,is_school_hol
01/01/12,1
02/01/12,1
03/01/12,1
04/01/12,1
05/01/12,1
06/01/12,1
07/01/12,1
08/01/12,1
09/01/12,1
10/01/12,1
11/01/12,1
12/01/12,1
13/01/12,1
14/01/12,1
15/01/12,1
16/01/12,1
17/01/12,1
18/01/12,1
19/01/12,1
20/01/12,1
21/01/12,1
22/01/12,1
23/01/12,1
24/01/12,1
25/01/12,1
26/01/12,1
27/01/12,1
28/01/12,1
29/01/12,1
30/01/12,1
31/01/12,1
01/02/12,0
02/02/12,0
03/02/12,0
04/02/12,0
05/02/12,0
06/02/12,0
07/02/12,0
08/02/12,0
09/02/12,0
10/02/12,0
11/02/12,0
12/02/12,0
13/02/12,0
14/02/12,0
15/02/12,0
16/02/12,0
17/02/12,0
18/02/12,0
19/02/12,0
20/02/12,0
21/02/12,0
22/02/12,0
23/02/12,0
24/02/12,0
25/02/12,0
26/02/12,0
27/02/12,0
28/02/12,0
29/02/12,0
01/03/12,0
02/03/12,0
03/03/12,0
04/03/12,0
05/03/12,0
06/03/12,0
07/03/12,0
08/03/12,0
09/03/12,0
10/03/12,0
11/03/12,0
12/03/12,0
13/03/12,0
14/03/12,0
15/03/12,0
16/03/12,0
17/03/12,0
18/03/12,0
19/03/12,0
20/03/12,0
21/03/12,0
22/03/12,0
23/03/12,0
24/03/12,0
25/03/12,0
26/03/12,0
27/03/12,0
28/03/12,0
29/03/12,0
30/03/12,0
31/03/12,1
01/04/12,1
02/04/12,1
03/04/12,1
04/04/12,1
05/04/12,1
06/04/12,1
07/04/12,1
08/04/12,1
09/04/12,1
10/04/12,1
11/04/12,1
12/04/12,1
13/04/12,1
14/04/12,1
15/04/12,1
16/04/12,0
17/04/12,0
18/04/12,0
19/04/12,0
20/04/12,0
21/04/12,0
22/04/12,0
23/04/12,0
24/04/12,0
25/04/12,0
26/04/12,0
27/04/12,0
28/04/12,0
29/04/12,0
30/04/12,0
01/05/12,0
02/05/12,0
03/05/12,0
04/05/12,0
05/05/12,0
06/05/12,0
07/05/12,0
08/05/12,0
09/05/12,0
10/05/12,0
11/05/12,0
12/05/12,0
13/05/12,0
14/05/12,0
15/05/12,0
16/05/12,0
17/05/12,0
18/05/12,0
19/05/12,0
20/05/12,0
21/05/12,0
22/05/12,0
23/05/12,0
24/05/12,0
25/05/12,0
26/05/12,0
27/05/12,0
28/05/12,0
29/05/12,0
30/05/12,0
31/05/12,0
01/06/12,0
02/06/12,0
03/06/12,0
04/06/12,0
05/06/12,0
06/06/12,0
07/06/12,0
08/06/12,0
09/06/12,0
10/06/12,0
11/06/12,0
12/06/12,0
13/06/12,0
14/06/12,0
15/06/12,0
16/06/12,0
17/06/12,0
18/06/12,0
19/06/12,0
20/06/12,0
21/06/12,0
22/06/12,0
23/06/12,0
24/06/12,0
25/06/12,0
26/06/12,0
27/06/12,0
28/06/12,0
29/06/12,0
30/06/12,1
01/07/12,1
02/07/12,1
03/07/12,1
04/07/12,1
05/07/12,1
06/07/12,1
07/07/12,1
08/07/12,1
09/07/12,1
10/07/12,1
11/07/12,1
12/07/12,1
13/07/12,1
14/07/12,1
15/07/12,1
16/07/12,0
17/07/12,0
18/07/12,0
19/07/12,0
20/07/12,0
21/07/12,0
22/07/12,0
23/07/12,0
24/07/12,0
25/07/12,0
26/07/12,0
27/07/12,0
28/07/12,0
29/07/12,0
30/07/12,0
31/07/12,0
01/08/12,0
02/08/12,0
03/08/12,0
04/08/12,0
05/08/12,0
06/08/12,0
07/08/12,0
08/08/12,0
09/08/12,0
10/08/12,0
11/08/12,0
12/08/12,0
13/08/12,0
14/08/12,0
15/08/12,0
16/08/12,0
17/08/12,0
18/08/12,0
19/08/12,0
20/08/12,0
21/08/12,0
22/08/12,0
23/08/12,0
24/08/12,0
25/08/12,0
26/08/12,0
27/08/12,0
28/08/12,0
29/08/12,0
30/08/12,0
31/08/12,0
01/09/12,0
02/09/12,0
03/09/12,0
04/09/12,0
05/09/12,0
06/09/12,0
07/09/12,0
08/09/12,0
09/09/12,0
10/09/12,0
11/09/12,0
12/09/12,0
13/09/12,0
14/09/12,0
15/09/12,0
16/09/12,0
17/09/12,0
18/09/12,0
19/09/12,0
20/09/12,0
21/09/12,0
22/09/12,1
23/09/12,1
24/09/12,1
25/09/12,1
26/09/12,1
27/09/12,1
28/09/12,1
29/09/12,1
