Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Southbank
01/04/2017,0,446,101,64,144,1091,0,310,207,190,48,31,67,21,41,814,979,277,105,229,-1,397,94,960,167,587,378,37,0,712,301,60,100,57,401,59,0,84,-1,127,46,45,47,887
01/04/2017,1,286,32,29,60,724,0,193,165,114,30,12,39,4,11,394,583,222,51,224,-1,229,94,793,138,382,261,45,0,479,112,21,29,30,394,41,0,48,-1,81,20,20,16,440
01/04/2017,2,191,16,17,59,394,0,87,100,68,16,15,18,1,5,263,339,103,64,194,-1,96,30,501,31,165,115,33,0,333,34,17,25,7,291,14,0,23,-1,73,20,22,15,252
01/04/2017,3,92,40,14,59,367,0,123,81,37,11,13,18,2,3,154,235,91,41,163,-1,91,39,536,24,192,110,15,0,188,15,6,24,19,195,12,0,12,-1,25,3,3,2,135
01/04/2017,4,85,21,11,22,178,0,38,29,26,8,8,2,0,0,136,232,99,31,191,-1,50,12,329,20,130,82,15,0,116,28,7,2,13,20,8,0,12,-1,19,2,4,4,75
01/04/2017,5,59,25,16,27,124,0,53,31,22,16,10,5,1,1,105,173,69,18,140,-1,77,30,148,23,44,46,15,0,42,17,6,17,4,19,21,0,13,-1,10,5,1,2,94
01/04/2017,6,37,67,20,55,119,0,42,36,50,85,15,19,6,28,97,203,95,39,176,-1,190,53,83,68,21,36,27,0,55,4,38,41,19,17,0,0,25,-1,45,18,10,11,172
01/04/2017,7,100,57,56,135,166,0,76,77,97,86,42,51,9,54,149,337,138,137,254,-1,360,59,83,186,35,29,67,0,66,39,34,59,92,34,13,0,52,-1,111,23,34,23,447
01/04/2017,8,164,136,48,352,343,0,308,233,256,135,63,93,20,102,323,563,189,185,396,-1,672,167,105,422,73,65,126,0,122,125,94,121,92,87,64,0,224,-1,194,63,97,58,722
01/04/2017,9,309,209,135,305,657,0,842,664,517,156,96,173,30,122,770,929,366,270,804,-1,966,202,289,488,132,132,244,0,228,135,151,185,177,215,171,0,348,-1,267,107,114,78,1344
01/04/2017,10,619,270,171,335,958,0,1693,1464,1004,165,94,272,63,205,1102,1279,416,444,1284,-1,1283,250,488,816,299,261,318,0,395,277,121,219,140,223,177,0,471,-1,452,112,158,106,2110
01/04/2017,11,883,330,242,380,1489,0,2752,2410,1270,177,109,268,61,223,1957,1655,516,851,1563,-1,1313,297,582,1057,639,383,398,0,605,304,177,293,170,225,219,0,582,-1,701,139,150,116,3228
01/04/2017,12,1352,434,245,337,2261,0,3261,2710,1427,176,98,317,55,246,2309,1863,793,2032,1697,-1,1154,263,871,1441,1110,628,521,0,690,380,233,307,148,220,340,0,572,-1,965,233,234,148,4542
01/04/2017,13,1596,453,249,273,2829,0,3711,2928,1617,182,124,329,85,201,2694,1975,864,2229,1873,-1,1333,294,994,1684,1320,702,461,1578,841,424,197,260,186,246,368,0,754,-1,1114,285,256,147,5111
01/04/2017,14,1794,433,190,345,2849,0,3863,3349,1576,216,122,312,92,239,2963,2264,1141,902,1663,-1,1214,286,1036,1800,1208,709,419,1943,916,450,156,201,148,190,373,0,531,-1,1112,298,213,143,5140
