Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street,Flinders La-Swanston St (West) Temporary
01/04/2019,0,56,52,235,318,122,189,-1,12,15,18,4,15,-1,88,100,45,25,8,127,74,189,246,52,113,31,138,24,47,-1,176,35,undefined,3,15,131,13,13,84,19,18,23,5,9,-1,-1,6,134,25,49,14,27,36,30,-1,36,29,84,236,-1
01/04/2019,1,36,31,163,427,42,102,-1,3,11,7,-1,7,-1,30,63,11,23,7,60,34,181,153,15,39,32,82,12,17,-1,147,26,undefined,4,-1,104,7,8,56,18,16,10,7,7,-1,-1,3,81,17,41,9,17,25,34,-1,24,15,56,116,-1
01/04/2019,2,17,20,62,156,47,63,-1,5,1,3,-1,3,-1,37,25,21,18,9,35,24,70,66,17,20,16,64,12,23,-1,88,2,undefined,2,10,35,3,4,42,1,6,10,1,-1,-1,-1,1,37,17,38,8,14,26,7,-1,12,6,42,108,-1
01/04/2019,3,11,16,51,54,43,28,-1,2,3,1,1,7,-1,19,15,15,5,4,29,17,51,61,46,40,14,59,5,29,-1,82,13,undefined,1,-1,24,10,-1,18,8,9,3,1,1,-1,-1,1,34,4,26,1,11,17,3,-1,1,5,18,97,-1
01/04/2019,4,8,17,47,36,65,45,-1,2,8,5,-1,5,-1,39,23,6,14,3,19,22,70,42,2,35,13,22,4,48,-1,71,8,undefined,1,4,31,6,4,13,14,10,5,1,-1,-1,-1,1,41,4,7,6,2,7,6,-1,10,11,13,86,-1
01/04/2019,5,46,12,71,72,128,216,-1,47,92,23,6,14,-1,104,25,34,82,29,16,43,70,143,34,242,65,50,16,71,-1,42,21,undefined,22,23,115,22,10,80,14,26,18,8,8,-1,-1,7,89,18,9,17,8,14,5,-1,16,59,80,95,-1
01/04/2019,6,104,84,172,214,339,616,-1,129,553,80,17,58,-1,241,100,100,240,173,66,29,115,619,214,801,219,86,30,292,-1,51,31,undefined,102,39,465,63,12,391,88,61,46,31,18,-1,-1,15,193,43,27,27,27,55,12,-1,38,410,391,268,-1
01/04/2019,7,305,206,369,507,1099,1723,-1,391,2174,334,41,182,-1,703,280,347,849,790,116,80,151,1440,739,2527,541,210,73,908,20,163,66,undefined,221,97,1175,248,52,1282,334,282,171,178,67,-1,-1,56,429,100,42,79,82,250,126,-1,165,1621,1282,882,-1
01/04/2019,8,771,585,822,1104,2124,4008,-1,594,4333,641,90,346,-1,1460,-1,819,2172,1818,324,157,320,2725,1447,4634,831,506,153,1917,-1,273,151,undefined,607,246,2597,730,88,2495,804,854,645,638,231,-1,-1,182,1082,259,64,174,192,675,440,-1,402,4146,2495,2455,-1
01/04/2019,9,925,662,729,1165,1674,2135,-1,301,2753,492,46,222,-1,764,-1,795,1380,1110,229,182,329,2021,866,3123,412,581,141,1314,-1,264,120,undefined,431,228,1401,563,130,1749,868,550,599,783,259,-1,-1,314,899,260,100,172,200,534,319,-1,406,2401,1749,1775,-1
01/04/2019,10,1204,983,1080,1539,1381,1136,-1,141,900,320,34,138,-1,361,-1,1001,768,511,417,273,507,1717,585,1583,399,657,111,1060,20,362,179,undefined,195,178,1056,494,186,1058,550,534,633,579,229,-1,-1,240,948,263,120,287,197,485,287,-1,419,929,1058,2559,-1
01/04/2019,11,1832,1379,1431,1977,1746,1234,-1,197,835,311,47,215,-1,452,-1,1435,683,419,596,400,724,2140,503,1634,440,687,144,1461,12,587,170,undefined,196,161,1232,468,203,1127,481,629,984,668,300,-1,-1,278,1146,240,136,352,200,620,342,-1,470,805,1127,2779,-1
01/04/2019,12,3075,2666,2438,3008,2244,1861,-1,580,1566,485,124,379,-1,670,-1,1931,1557,600,1242,709,1413,2998,958,2447,827,1158,220,1710,5,1002,304,undefined,340,301,2270,1007,325,1611,1223,902,1097,668,295,-1,-1,446,1915,378,233,443,301,1039,378,-1,840,1889,1611,3259,-1
01/04/2019,13,3254,2801,2488,3306,2477,1907,-1,530,1364,452,108,366,-1,564,-1,2081,1592,684,1198,744,1456,3167,875,2458,856,1132,204,1850,-1,952,332,undefined,364,350,2317,921,308,1689,1205,874,1134,660,289,-1,-1,491,2030,404,229,521,333,1086,442,-1,887,1480,1689,2850,-1
01/04/2019,14,2534,2093,2371,2957,2348,1574,-1,261,952,274,78,212,-1,496,-1,1536,855,518,1070,456,1063,2758,543,1837,762,748,160,1864,2,707,285,undefined,249,229,1588,631,195,1157,506,603,876,640,277,-1,-1,343,1564,310,145,448,218,927,421,-1,630,831,1157,3249,-1
01/04/2019,15,2529,1960,2190,2819,2164,1748,-1,229,1345,296,49,190,-1,633,-1,1336,723,560,901,464,932,2943,455,2402,799,692,149,1609,25,660,251,undefined,236,144,1416,553,175,1278,405,587,978,649,292,-1,-1,332,1647,269,129,396,236,802,462,-1,591,1009,1278,2369,-1
01/04/2019,16,2578,1940,2396,2789,2775,2707,-1,396,3158,468,74,301,-1,1027,-1,1247,847,1096,940,496,1018,3509,698,3757,1019,689,162,2094,-1,669,256,undefined,419,183,1893,551,233,1899,476,514,853,551,250,-1,-1,347,1776,278,150,344,210,781,470,-1,614,2165,1899,3030,-1
01/04/2019,17,3136,1942,2769,3247,3917,4531,-1,679,4125,756,95,407,-1,1877,-1,1325,1389,1864,1138,556,1428,4742,1193,5115,1400,850,247,2966,-1,873,348,undefined,651,294,3179,782,215,2577,620,633,1070,735,367,-1,-1,300,2138,341,125,460,260,911,648,-1,798,3176,2577,2891,-1
01/04/2019,18,2549,1468,2645,2434,2738,2715,-1,495,1958,382,118,452,-1,1082,-1,939,832,906,1273,573,1318,3868,618,3072,1594,786,205,1938,-1,871,349,undefined,309,223,2480,411,249,1352,373,351,829,715,289,-1,-1,235,1757,288,163,520,220,602,517,-1,575,1203,1352,2747,-1
01/04/2019,19,1548,702,2137,1659,1366,1465,-1,225,547,189,111,345,-1,456,-1,459,350,286,1049,664,1186,2742,356,1341,529,645,166,745,-1,731,394,undefined,116,101,1443,224,274,681,176,222,426,446,165,-1,-1,214,1124,195,104,423,215,463,355,-1,381,421,681,2553,-1
01/04/2019,20,771,327,1878,1229,1952,1077,-1,113,256,83,94,300,-1,353,-1,388,277,145,899,484,898,2034,193,909,288,578,138,1407,-1,586,357,undefined,78,82,1128,151,254,458,105,167,448,418,150,-1,-1,108,769,176,136,352,142,432,318,-1,293,209,458,2325,-1
01/04/2019,21,508,280,1435,1031,893,922,-1,104,111,64,50,178,-1,512,-1,346,169,126,679,337,778,1711,193,865,1888,450,108,490,-1,481,324,undefined,59,60,749,144,151,396,99,93,211,268,95,-1,-1,93,589,144,110,224,107,300,175,-1,231,124,396,1753,-1
01/04/2019,22,337,183,1050,706,829,1033,-1,35,103,28,28,131,-1,637,-1,165,119,57,514,259,544,1558,128,525,210,308,68,264,-1,421,161,undefined,53,57,605,89,87,343,76,74,119,122,53,-1,-1,65,407,77,96,166,64,190,111,-1,147,76,343,942,-1
01/04/2019,23,155,64,559,311,232,454,-1,21,58,6,13,46,-1,184,-1,76,62,33,324,147,383,979,72,293,78,231,36,116,-1,291,66,undefined,34,29,228,38,48,168,28,42,64,67,23,-1,-1,27,234,48,92,81,52,71,65,-1,73,30,168,498,-1
02/04/2019,0,92,43,252,142,90,142,-1,15,14,4,3,22,-1,48,-1,46,16,7,123,59,199,242,33,122,27,125,22,55,-1,144,23,undefined,10,12,132,15,15,95,9,26,23,8,4,-1,-1,11,93,36,63,26,37,35,40,-1,45,9,95,382,-1
02/04/2019,1,37,24,108,58,48,44,-1,6,14,2,2,10,-1,16,-1,14,13,2,103,35,116,158,14,33,25,87,10,46,-1,103,15,undefined,9,4,45,9,26,29,1,5,10,7,5,-1,-1,2,49,15,25,12,31,29,27,-1,13,10,29,121,-1
02/04/2019,2,14,16,65,31,36,24,-1,2,9,4,5,9,-1,20,-1,6,4,4,43,26,91,96,12,26,16,45,4,24,-1,61,4,undefined,1,-1,14,4,2,27,-1,4,6,5,4,-1,-1,1,39,6,37,3,19,19,8,-1,7,4,27,140,-1
02/04/2019,3,14,10,53,24,37,25,-1,3,5,8,-1,1,-1,6,-1,14,13,2,45,11,54,66,14,16,12,64,5,34,-1,57,8,undefined,3,1,7,9,5,18,1,4,5,2,2,-1,-1,2,31,7,23,6,9,3,4,-1,9,1,18,69,-1
02/04/2019,4,12,10,32,28,50,48,-1,4,4,3,1,2,-1,25,-1,7,6,2,7,11,72,77,2,30,18,34,6,52,-1,32,1,undefined,7,7,40,3,10,35,5,7,5,4,2,-1,-1,2,30,8,7,-1,5,5,3,-1,8,8,35,73,-1
02/04/2019,5,50,22,88,102,118,254,-1,61,121,17,7,23,-1,107,-1,48,90,35,25,34,81,193,53,309,65,81,8,123,-1,25,15,undefined,30,26,180,22,9,88,22,29,12,20,18,-1,-1,6,92,17,26,7,13,17,3,-1,8,90,88,165,-1
02/04/2019,6,107,99,206,239,421,992,-1,167,596,96,20,71,-1,322,-1,230,259,206,69,19,129,766,319,1139,249,137,53,508,-1,103,31,undefined,109,45,912,85,11,402,147,99,74,56,24,-1,-1,19,222,65,41,25,45,61,21,-1,68,579,402,391,-1
02/04/2019,7,394,239,373,479,1252,1892,-1,437,2468,345,56,214,-1,771,-1,488,924,834,249,106,239,1713,743,2614,669,290,95,1321,15,158,97,undefined,264,105,1411,260,61,1402,399,286,162,195,66,-1,-1,78,517,162,88,111,100,241,101,-1,138,1979,1402,853,-1
02/04/2019,8,956,620,848,1202,2346,4136,-1,690,4510,676,87,379,-1,1540,-1,1114,2206,1838,475,151,465,3009,1501,4785,1080,1301,247,2396,3,386,152,undefined,640,354,2833,779,100,2386,792,881,598,763,232,-1,-1,293,1067,330,168,177,246,778,367,-1,404,3810,2386,2835,-1
02/04/2019,9,1017,641,934,1190,1831,2240,-1,356,2746,550,64,290,-1,767,-1,943,1489,1103,268,184,415,2205,958,3161,504,1337,154,1804,3,328,140,undefined,495,252,1647,600,108,1748,747,581,689,903,248,-1,-1,384,1014,333,211,229,178,605,357,-1,367,2529,1748,1959,-1
02/04/2019,10,1307,1025,1043,1505,1564,1177,-1,177,939,447,49,192,-1,730,-1,1190,812,542,779,235,543,1871,568,1725,339,1481,298,1505,1,290,172,undefined,249,223,1134,596,107,1185,570,574,722,775,314,-1,-1,232,1022,488,315,224,197,472,346,-1,371,1288,1185,2643,-1
02/04/2019,11,1907,1387,1660,1927,1979,1209,-1,210,807,281,67,195,-1,526,-1,1258,820,475,1183,283,732,2234,535,1726,533,1826,268,1801,2,505,188,undefined,185,199,1487,526,172,1143,552,566,898,737,281,-1,-1,250,1224,563,357,334,308,639,370,-1,477,782,1143,2957,-1
02/04/2019,12,3351,2603,2343,3129,2655,2109,-1,798,1719,558,188,503,-1,790,-1,2112,1821,673,1452,726,1498,3540,1205,2567,838,2639,257,2384,18,1059,327,undefined,340,381,2819,1097,302,1745,1227,1004,1132,876,330,-1,-1,465,2000,735,542,444,358,961,475,-1,762,1900,1745,2920,-1
02/04/2019,13,3613,3036,2269,3506,2859,2183,-1,588,1490,471,170,459,-1,664,-1,2350,1761,735,1718,612,1312,3594,1130,2572,943,2776,317,2410,6,973,412,undefined,379,438,2832,1092,344,1814,1193,912,1143,873,278,-1,-1,559,2113,725,586,419,342,1050,572,-1,948,1676,1814,1915,-1
02/04/2019,14,2961,2003,2406,2947,2596,1824,-1,266,936,340,67,267,-1,580,-1,1664,1048,605,1306,447,1037,3155,675,2204,709,1941,254,2255,-1,667,269,undefined,260,243,1972,711,189,1233,676,652,940,775,258,-1,-1,387,1723,524,272,319,233,829,455,-1,591,900,1233,2153,-1
02/04/2019,15,2999,1862,2279,2840,2560,2120,-1,320,1407,383,61,229,-1,705,-1,1461,783,644,1120,419,963,3148,541,2460,911,1319,198,1871,-1,645,252,undefined,268,257,1677,554,181,1343,572,493,853,501,283,-1,-1,281,1473,404,178,326,202,765,467,-1,524,1111,1343,2483,-1
02/04/2019,16,2880,2009,2477,2955,2865,3062,-1,484,3147,611,66,277,-1,1007,-1,1382,911,1193,1072,487,1089,3551,820,3744,1056,866,192,2316,-1,733,264,undefined,480,292,2205,625,171,1989,598,519,972,645,323,-1,-1,362,1584,309,178,358,245,812,599,-1,586,2177,1989,2971,-1
02/04/2019,17,3366,2196,3116,3675,4489,4870,-1,810,4272,730,142,456,-1,1913,-1,1533,1400,1892,1327,725,1257,4813,1266,5294,1676,870,234,3453,-1,1017,354,undefined,724,457,3735,793,239,2667,657,675,1104,857,470,-1,-1,403,2129,333,189,460,228,1023,946,-1,828,3313,2667,3081,-1
02/04/2019,18,2793,1545,3038,3116,3507,3063,-1,578,1905,423,129,533,-1,1137,-1,1245,939,868,1510,793,1324,4038,703,2927,1264,730,213,2695,-1,1059,367,undefined,321,293,3047,521,204,1401,417,400,818,765,351,-1,-1,315,1862,294,121,448,260,718,661,-1,684,1328,1401,2986,-1
