Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street,Flinders La-Swanston St (West) Temporary,RMIT Building 14,380 Elizabeth St,La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library - New,Flinders Ln - Degraves St (South),Flinders Ln - Degraves St (North),Flinders Ln - Degraves St (Crossing),Errol Street (East),Westwood Place,Flinders St - ACMI,Bourke St - Spencer St (South),Spring St - Flinders St (West),Macaulay Rd - Bellair St,Harbour Esplanade - Pedestrian Path,Harbour Esplanade - Bike Path
01/04/2021,0,64,23,130,105,161,94,25,7,10,4,4,28,na,30,na,17,16,9,91,31,119,133,20,93,55,89,17,69,9,113,27,undefined,na,3,na,14,22,undefined,1,15,214,226,123,45,210,3,87,25,43,24,28,22,20,undefined,20,17,82,41,na,48,159,42,68,na,38,785,na,na,na,11,5,21,7,5,2,20,na
01/04/2021,1,37,18,69,62,70,37,9,3,7,3,6,6,na,18,na,25,11,4,38,31,61,52,12,38,40,44,5,33,3,47,18,undefined,na,na,na,14,18,undefined,1,11,136,149,82,21,106,1,59,13,37,34,35,13,9,undefined,12,8,45,27,na,23,99,36,44,na,23,1106,na,na,na,7,na,5,9,2,na,7,na
01/04/2021,2,19,39,45,35,67,46,5,1,1,2,na,4,na,21,na,9,6,1,42,10,28,65,22,28,18,36,3,24,5,33,7,undefined,na,na,na,na,9,undefined,na,11,7,4,3,32,61,1,28,1,27,2,17,17,7,undefined,13,1,43,19,na,10,113,25,46,3,11,1258,na,na,na,11,na,8,6,na,na,7,na
01/04/2021,3,12,8,50,20,57,17,4,4,6,2,na,3,na,18,na,13,6,5,13,11,49,30,16,36,20,41,8,37,4,7,4,undefined,na,na,na,5,8,undefined,na,7,4,na,na,16,61,1,60,17,27,4,12,7,4,undefined,13,8,12,26,na,14,62,21,25,3,6,1217,na,na,na,na,6,4,7,1,na,1,na
01/04/2021,4,20,8,44,30,55,42,7,3,2,na,3,4,na,32,na,4,11,4,10,5,11,24,8,34,46,45,4,48,1,22,10,undefined,na,4,na,9,13,undefined,na,8,8,1,na,27,80,1,38,18,25,9,15,7,8,undefined,8,5,13,7,na,9,57,15,5,1,16,1175,na,na,na,2,20,8,5,7,na,2,na
01/04/2021,5,19,11,37,58,86,126,13,15,28,6,7,19,na,53,na,33,57,17,10,17,24,95,26,130,80,72,13,65,12,26,6,undefined,na,15,na,12,2,undefined,3,21,22,2,1,15,185,6,50,29,18,2,28,10,3,undefined,17,28,69,19,na,24,72,15,26,9,25,1468,na,na,na,3,4,34,11,16,4,24,na
01/04/2021,6,116,52,63,157,248,368,101,39,128,35,18,55,na,150,na,64,163,72,22,16,29,336,103,348,292,186,41,250,45,46,26,undefined,na,44,na,67,12,undefined,23,41,51,18,11,52,358,4,144,68,62,19,109,19,7,undefined,57,149,191,57,na,61,253,39,49,43,38,1817,0,1,0,7,11,87,39,56,18,78,na
01/04/2021,7,167,101,106,283,592,709,196,197,501,80,33,116,na,236,na,209,367,265,42,33,91,676,256,762,489,230,100,543,80,92,66,undefined,na,56,na,103,25,undefined,67,127,81,49,17,146,699,29,236,123,51,66,62,112,42,undefined,88,487,503,136,na,88,322,51,142,172,152,1703,161,80,90,62,74,170,162,46,66,144,32
01/04/2021,8,343,212,194,604,1063,1597,303,299,1074,156,58,210,na,498,na,482,858,595,64,57,137,1370,663,1620,796,392,144,1025,101,108,103,undefined,na,100,na,299,64,undefined,173,340,163,253,56,384,1425,104,556,226,87,133,101,226,125,undefined,183,1069,997,331,na,251,546,80,261,475,540,1648,542,220,297,12,35,474,366,83,140,227,91
01/04/2021,9,634,338,274,851,756,961,197,185,575,112,33,152,na,326,na,572,706,422,129,75,206,1188,371,958,602,468,130,787,82,155,97,undefined,na,97,na,261,67,undefined,145,293,181,332,63,381,1409,107,599,230,98,239,121,229,108,undefined,137,757,721,348,na,272,618,126,296,431,295,1445,538,286,272,na,85,330,272,89,145,176,47
