Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street,Flinders La-Swanston St (West) Temporary,RMIT Building 14,380 Elizabeth St,La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library - New,Flinders Ln - Degraves St (South),Flinders Ln - Degraves St (North),Flinders Ln - Degraves St (Crossing),Errol Street (East),Westwood Place,Flinders St - ACMI,Bourke St - Spencer St (South),Spring St - Flinders St (West),Macaulay Rd - Bellair St,Harbour Esplanade - Pedestrian Path,Harbour Esplanade - Bike Path,Flinders St (South),Elizabeth St - Flinders St (East) - New footpath,Macaulay Rd (North),Queensberry St - Errol St (South)
01/04/2022,0,56,88,380,317,261,202,na,6,25,6,9,33,na,81,na,60,42,17,149,73,234,na,47,116,122,136,12,61,21,215,48,undefined,na,na,169,57,26,undefined,24,9,42,na,11,166,312,7,151,28,65,24,25,77,63,undefined,30,35,138,53,na,na,na,88,196,na,88,151,63,1,2,21,14,92,na,8,na,7,5,97,220,2,7
01/04/2022,1,41,56,198,107,85,99,na,4,12,1,4,10,na,42,na,44,24,16,94,79,151,na,13,53,70,75,8,43,28,156,11,undefined,na,na,99,20,16,undefined,8,21,17,na,3,108,161,3,86,25,44,9,22,20,32,undefined,14,6,115,15,na,na,na,69,130,na,24,78,26,1,4,1,3,176,na,1,1,4,2,56,109,1,2
01/04/2022,2,26,28,137,63,47,74,na,1,9,3,2,3,na,18,na,12,14,3,33,23,110,na,33,36,73,28,1,13,6,47,7,undefined,na,na,61,16,9,undefined,10,6,4,na,na,62,96,1,100,4,32,5,1,27,21,undefined,21,15,58,15,na,na,na,83,75,na,23,25,23,1,1,2,6,27,na,na,na,5,1,24,74,1,1
01/04/2022,3,8,11,81,29,57,32,na,1,12,6,2,5,na,17,na,11,17,3,31,48,51,na,27,38,24,23,8,37,7,32,5,undefined,na,na,19,17,11,undefined,1,5,5,na,2,31,56,9,35,13,43,na,11,11,7,undefined,19,16,17,9,na,na,na,46,46,na,23,45,10,0,16,na,3,5,na,2,1,2,1,19,47,na,na
01/04/2022,4,8,8,76,24,70,44,2,2,7,2,4,10,na,31,na,3,8,7,15,28,32,na,6,21,28,38,14,31,2,10,13,undefined,na,na,36,8,12,undefined,6,1,3,na,1,10,115,3,26,10,27,6,3,5,3,undefined,5,21,21,3,na,na,na,21,17,na,10,11,1,0,1,4,2,9,na,4,na,na,3,27,55,na,3
01/04/2022,5,14,16,74,31,80,116,na,17,29,12,4,13,na,53,na,14,39,21,9,7,31,na,38,151,102,68,8,50,17,13,12,undefined,na,na,108,21,12,undefined,8,18,5,na,na,21,163,3,55,17,33,13,13,10,14,undefined,5,35,58,11,na,na,na,32,23,na,20,32,12,0,8,8,5,35,na,10,3,5,1,47,63,7,3
01/04/2022,6,63,39,124,111,238,453,3,69,136,25,13,78,na,146,na,47,164,63,32,11,64,na,142,392,229,140,34,127,93,47,42,undefined,na,na,569,42,9,undefined,27,57,36,na,35,85,422,20,129,46,122,16,84,27,22,undefined,42,181,212,29,na,na,na,79,64,na,65,61,78,6,24,19,35,81,na,81,19,4,6,153,210,36,15
01/04/2022,7,147,107,211,311,490,664,3,170,485,48,24,149,na,250,na,138,331,234,44,26,93,na,262,623,532,193,72,299,132,89,76,undefined,na,na,838,107,29,undefined,83,128,60,na,30,161,789,49,215,87,98,50,59,98,23,undefined,81,324,473,150,na,na,na,78,118,na,186,153,180,56,71,47,25,195,na,73,63,101,34,285,500,81,20
01/04/2022,8,358,233,430,728,890,1419,11,277,1148,153,76,251,na,499,na,418,804,669,68,77,197,na,569,1310,1154,344,147,594,198,133,160,undefined,na,na,1551,268,77,undefined,223,294,217,na,74,383,1637,103,549,189,135,118,117,291,140,undefined,206,729,978,588,na,na,na,144,249,na,409,454,445,188,237,135,30,497,na,77,120,231,89,704,1064,177,76
01/04/2022,9,550,426,535,1063,744,967,5,198,770,110,58,201,na,394,na,578,636,515,118,118,233,na,331,840,892,493,130,546,232,174,127,undefined,na,na,1191,273,72,undefined,238,379,264,na,32,428,1640,112,622,245,146,199,109,237,151,undefined,218,435,754,633,na,na,na,199,347,na,410,544,443,306,199,157,126,414,na,83,119,176,69,642,966,163,74
01/04/2022,10,860,665,739,1331,1154,801,7,184,379,80,54,146,na,319,na,827,418,353,198,115,328,na,316,725,878,584,193,971,158,281,138,undefined,na,na,1052,300,113,undefined,160,376,385,na,106,529,1740,115,910,261,186,270,127,281,152,undefined,236,309,700,816,na,na,na,226,454,na,374,654,595,366,268,190,61,321,na,90,94,122,50,587,974,144,69
01/04/2022,11,1377,904,878,1815,1078,906,6,191,332,79,49,144,na,304,na,949,474,328,334,222,403,na,312,854,1039,678,207,862,265,335,163,undefined,na,na,1326,296,158,undefined,158,408,494,na,74,635,1987,114,1095,301,261,306,156,337,157,undefined,327,266,778,1045,na,na,na,242,539,na,482,887,647,304,364,213,56,296,na,87,106,108,55,645,1079,170,120
01/04/2022,12,1767,1341,1513,2331,1595,1176,9,320,649,138,46,249,na,369,na,1185,736,422,553,439,770,na,435,1011,1499,977,217,1294,372,497,272,undefined,na,na,1971,508,231,undefined,324,584,666,na,67,906,2600,150,1314,395,368,496,271,488,245,undefined,480,627,767,1549,na,na,na,266,841,na,622,1249,930,488,431,276,90,616,na,98,168,196,60,815,1649,194,138
01/04/2022,13,1965,1543,1484,2618,1369,1128,9,272,527,143,86,247,na,361,na,1216,761,456,638,459,705,na,444,1075,1541,965,254,1158,322,546,269,undefined,na,na,1952,554,327,undefined,263,514,1094,na,50,986,2601,188,1482,382,336,476,243,599,275,undefined,524,643,922,1393,na,na,na,298,871,na,645,1500,912,483,363,322,49,532,na,89,134,152,108,778,1535,175,125
01/04/2022,14,1847,1313,1539,2391,1428,1264,8,236,404,78,54,175,na,396,na,1141,500,336,548,302,676,na,345,1074,1439,542,187,928,319,463,337,undefined,na,na,1829,370,246,undefined,235,423,694,na,49,1030,2457,119,1485,285,200,387,177,485,216,undefined,458,375,695,1550,na,na,na,304,641,na,662,1487,695,371,306,227,11,470,na,115,133,161,93,784,1530,136,86
01/04/2022,15,1893,1291,1515,2481,1428,1406,5,235,485,75,50,216,na,466,na,1022,463,345,508,263,688,na,259,1082,1564,512,188,933,290,477,275,undefined,na,na,1817,295,186,undefined,146,369,504,na,41,976,2541,89,1332,266,194,372,180,444,207,undefined,359,389,804,1194,na,na,na,285,564,na,693,1562,687,340,276,228,17,390,na,126,163,215,114,754,1616,209,97
01/04/2022,16,1824,1265,1676,2704,1624,1589,5,272,812,94,55,228,na,530,na,1011,454,399,584,372,739,na,382,1401,1699,474,149,968,254,577,240,undefined,na,na,2095,326,202,undefined,214,407,396,na,49,991,2826,106,1553,231,175,360,160,491,251,undefined,515,602,996,1270,na,na,na,265,652,na,771,1675,671,306,221,300,25,496,na,121,131,204,124,840,1674,176,92
01/04/2022,17,2203,1333,1867,3249,2455,2340,8,387,913,135,62,294,na,715,na,1218,669,575,766,575,961,na,452,1687,1932,452,190,1530,413,728,293,undefined,na,na,2765,472,202,undefined,267,541,451,na,74,1454,3639,151,1654,278,152,436,185,512,335,undefined,607,729,1204,1233,na,na,na,371,850,na,1300,1992,668,254,287,321,83,840,na,184,150,299,179,1150,2142,169,131
