Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West)
01/08/2015,0,317,0,67,72,891,673,188,163,0,27,19,33,16,19,514,921,303,86,220,683,265,109,614,168,456,333,49,190,548,324,54,83,47,220,75,1971,63,539,86,0,33,53
01/08/2015,1,211,0,26,40,572,385,143,107,0,15,20,2,2,9,233,312,139,39,136,322,102,36,554,99,269,228,23,83,441,131,22,38,36,201,17,1050,54,373,72,0,29,23
01/08/2015,2,105,0,10,30,292,257,60,66,0,9,7,6,0,2,136,141,92,25,110,191,26,25,331,46,173,122,10,51,305,44,3,9,18,155,4,625,21,152,32,0,9,10
01/08/2015,3,109,0,8,35,197,182,51,49,0,3,7,7,0,3,67,103,40,24,73,163,47,13,277,19,77,74,6,30,204,26,6,11,2,113,14,532,13,125,17,0,5,3
01/08/2015,4,43,0,2,13,85,104,31,44,0,6,18,8,0,1,78,94,56,17,81,101,27,13,221,12,78,99,13,26,117,31,5,8,3,181,13,256,5,104,13,0,2,3
01/08/2015,5,45,0,9,21,122,101,45,26,0,15,13,3,4,3,57,162,72,12,65,156,74,32,140,18,46,37,10,35,95,2,6,10,8,10,1,377,12,65,24,0,5,5
01/08/2015,6,30,0,16,25,75,105,28,38,0,28,16,7,2,12,61,319,124,30,142,204,226,32,67,88,16,15,21,54,42,8,39,29,31,13,11,479,24,56,41,0,7,7
01/08/2015,7,94,0,34,29,179,209,74,87,0,77,25,17,3,16,111,503,139,77,231,360,340,67,87,217,43,40,44,58,58,30,46,60,86,55,13,686,68,147,62,0,28,23
01/08/2015,8,124,0,63,112,351,468,294,251,0,64,40,47,6,48,377,719,202,65,462,674,639,184,104,622,81,74,137,236,121,65,69,30,109,76,61,1120,166,264,109,0,52,49
01/08/2015,9,234,0,108,119,462,831,594,617,0,100,47,95,44,81,509,989,271,133,724,1069,748,194,200,625,167,141,232,385,236,102,93,62,189,161,94,1846,160,559,198,0,89,73
01/08/2015,10,526,0,130,138,782,1681,1256,1345,0,122,72,147,28,100,891,1307,366,257,1230,1358,761,187,381,665,309,277,372,704,400,191,116,125,201,179,178,2438,250,780,345,0,131,96
01/08/2015,11,845,0,148,144,1329,2493,2098,1891,0,120,74,198,51,146,1453,1601,451,306,1570,1795,1050,217,520,693,685,525,387,963,488,266,108,196,153,188,277,3302,307,1280,476,0,150,118
01/08/2015,12,1153,0,161,162,2078,3237,2553,2622,0,92,110,227,50,165,1738,1580,507,662,1826,2204,933,242,759,844,1113,810,405,1480,792,320,134,220,167,196,218,4264,353,1653,530,0,151,117
01/08/2015,13,1392,0,203,144,2587,3577,2916,2853,0,94,78,208,59,142,2091,1833,611,1585,1849,2496,963,240,924,977,1332,830,422,1728,892,365,154,224,222,234,339,4740,267,2038,575,0,301,144
01/08/2015,14,1656,0,190,134,2659,3574,3196,3088,0,156,118,209,58,179,1987,1928,545,561,2085,2437,978,247,1000,1050,1244,638,344,1573,780,403,132,139,187,208,276,4350,246,2010,712,0,259,175
01/08/2015,15,1965,0,211,121,2829,3790,3263,3325,0,115,132,257,73,180,2101,2124,608,464,1819,2628,952,234,1052,1163,1220,704,351,1718,971,402,98,174,137,206,292,4606,368,2197,633,0,236,151
01/08/2015,16,1908,0,200,103,2706,3620,3030,3269,0,105,135,263,83,180,2111,2044,608,1266,1194,2757,1109,255,983,1198,1234,488,213,1673,878,428,123,239,139,207,314,4654,284,2195,608,0,215,153
01/08/2015,17,1959,0,191,95,3058,3810,2788,2442,0,151,157,492,136,192,2683,2390,700,1702,686,2729,1248,403,1168,1289,1355,865,144,2231,991,529,196,336,215,234,352,5277,276,2440,656,0,192,128
01/08/2015,18,1614,0,160,114,2910,2624,1820,1438,0,141,196,730,135,207,2103,2231,705,343,452,2214,1212,356,1179,1225,1579,1201,127,1477,1157,706,148,230,270,202,523,3960,389,1891,377,0,224,147
01/08/2015,19,1376,0,77,91,2809,2121,1288,743,0,92,150,482,102,80,2584,1820,496,402,475,1730,829,230,1287,425,1534,1350,108,2990,1074,937,110,184,223,199,718,3584,286,1792,401,0,119,82
01/08/2015,20,1361,0,94,83,2977,1836,678,509,0,87,72,273,92,40,1572,1412,413,127,346,1435,582,156,1210,436,1371,1224,120,699,1215,976,73,142,118,232,744,3002,246,1329,215,0,84,63
01/08/2015,21,1106,0,84,57,2244,1432,462,343,0,53,96,255,60,71,1558,1457,378,101,293,1290,583,176,934,303,1061,862,61,1535,965,913,66,103,90,228,622,2562,194,967,288,0,61,47
01/08/2015,22,759,0,82,77,1899,1278,452,365,0,61,123,434,51,97,2138,1490,453,95,232,1171,743,214,1000,381,957,996,64,1861,851,751,78,126,107,308,399,2788,161,1304,170,0,74,48
01/08/2015,23,545,0,71,67,1543,999,270,257,0,33,63,97,27,31,877,1409,469,118,253,995,536,133,830,298,702,782,73,504,852,546,63,114,88,424,185,2236,179,812,165,0,38,31
02/08/2015,0,344,0,39,61,817,715,196,189,0,24,29,63,11,32,454,906,325,143,171,659,362,93,766,213,508,631,42,242,755,336,27,25,57,411,98,1899,79,545,64,0,22,25
02/08/2015,1,163,0,29,41,567,447,149,152,0,20,25,39,13,11,273,671,157,26,155,385,132,37,741,226,363,490,33,137,440,192,21,51,58,288,70,1340,38,388,66,0,16,15
02/08/2015,2,169,0,12,24,332,321,86,97,0,4,12,8,5,6,231,645,91,16,148,219,49,49,507,46,221,314,28,91,385,97,5,20,9,261,18,851,32,225,24,0,16,13
02/08/2015,3,89,0,10,32,333,196,89,104,0,8,5,17,1,6,94,306,57,18,77,193,78,25,717,25,203,293,14,71,377,30,6,3,12,333,10,662,10,142,13,0,8,10
02/08/2015,4,55,0,0,20,138,133,59,48,0,8,7,12,0,1,63,148,42,10,69,164,71,15,514,20,75,118,4,53,231,38,8,9,0,65,7,488,9,138,10,0,3,2
02/08/2015,5,45,0,11,11,155,106,27,51,0,7,0,1,1,0,69,165,30,11,50,111,52,7,197,10,50,30,5,69,172,7,3,17,1,49,8,336,9,43,28,0,2,2
02/08/2015,6,41,0,5,23,60,96,40,37,0,5,9,5,5,11,62,50,20,28,55,95,89,43,124,51,29,21,9,73,146,9,18,22,24,15,7,337,19,51,30,0,7,3
02/08/2015,7,75,0,15,24,159,144,48,53,0,26,15,49,7,32,124,247,97,85,160,230,255,43,76,80,38,42,29,190,123,39,24,23,26,20,17,571,36,134,82,0,15,11
02/08/2015,8,139,0,55,30,283,356,194,210,0,60,52,87,12,60,288,616,235,188,316,590,564,110,116,832,135,82,75,351,118,63,53,80,97,61,67,1074,95,240,190,0,32,23
02/08/2015,9,232,0,62,74,547,691,499,439,0,79,50,214,24,94,564,772,276,205,627,991,593,166,214,806,160,133,159,684,257,171,103,81,132,95,75,1789,120,516,331,0,72,61
02/08/2015,10,521,0,118,92,943,1548,1060,1106,0,72,58,246,57,160,1202,1196,387,346,1140,1327,671,179,363,873,346,312,391,1450,355,213,94,198,207,162,154,2517,156,918,579,0,105,79
02/08/2015,11,931,0,79,117,1363,2326,1709,1857,0,121,96,300,72,206,1668,1655,564,629,1410,1781,795,204,510,948,660,455,447,1943,552,285,78,177,119,135,193,3682,219,1441,798,0,130,103
02/08/2015,12,1287,0,125,150,2099,2906,2327,2430,0,72,127,467,139,250,2109,1760,546,614,1728,2169,821,174,784,1011,1135,873,483,2215,685,448,92,189,114,168,303,4183,272,2134,966,0,174,122
02/08/2015,13,1464,0,82,122,2472,3359,2825,2640,0,137,137,567,177,267,2449,1755,568,644,1773,2161,955,209,929,1105,1308,1025,462,2509,850,409,86,179,102,184,333,4494,263,1913,1010,0,161,118
02/08/2015,14,1609,0,86,110,2339,3375,3135,2913,0,120,161,1280,279,316,2243,2048,620,512,1602,2398,1045,281,1008,1219,1275,798,422,2155,958,564,92,172,99,148,352,4448,281,1937,1078,0,148,105
02/08/2015,15,1895,0,158,97,2721,3511,3004,3115,0,125,174,661,112,271,2249,2041,702,562,1325,2386,1060,237,989,1311,1194,621,311,2061,920,486,104,222,94,167,326,4465,274,2268,1017,0,152,111
02/08/2015,16,1691,0,119,91,2317,3225,2672,2548,0,99,86,246,65,198,1992,2025,632,420,817,2499,911,215,808,1181,982,469,213,1882,742,472,70,174,97,154,286,4140,172,1731,675,0,152,122
02/08/2015,17,1271,0,112,98,1781,2265,2034,1606,0,79,115,119,18,180,1202,1611,382,183,473,2001,1038,211,849,846,1060,599,159,1022,784,459,67,86,79,119,248,3642,186,822,379,0,167,117
02/08/2015,18,1044,0,89,84,1588,1502,1290,796,0,116,140,287,10,161,814,1348,367,43,335,1575,1091,244,803,785,1018,776,128,618,757,403,51,93,106,87,232,2754,177,810,147,0,136,91
02/08/2015,19,768,0,38,83,1361,1055,557,391,0,23,89,36,13,32,874,945,249,23,270,1088,528,131,586,120,904,643,67,1246,578,370,39,61,100,73,259,1921,146,433,86,0,90,62
02/08/2015,20,666,0,71,63,1557,931,287,220,0,33,59,72,11,26,443,797,240,45,261,998,350,73,667,102,698,646,86,271,655,467,29,84,26,90,171,1598,145,611,61,0,67,46
02/08/2015,21,488,0,53,45,1208,694,264,155,0,33,46,33,10,27,386,712,217,18,211,818,329,100,440,105,540,452,49,339,424,331,15,43,60,38,140,1506,120,692,81,0,54,46
02/08/2015,22,342,0,41,59,833,484,163,149,0,20,40,62,10,18,825,491,162,17,153,598,266,84,443,84,320,300,48,749,405,270,23,51,30,41,110,1275,85,398,83,0,36,28
02/08/2015,23,117,0,26,37,475,280,110,66,0,13,17,15,6,15,177,364,152,22,122,375,120,60,314,69,212,121,27,72,310,96,12,30,27,19,31,821,58,218,22,0,24,24
03/08/2015,0,73,0,7,19,243,117,42,31,0,6,5,7,3,3,70,122,47,5,56,190,66,22,160,25,96,43,9,39,408,22,5,10,12,5,15,300,28,64,9,0,12,9
03/08/2015,1,47,0,3,14,101,54,30,19,0,0,2,3,0,3,20,69,30,5,31,54,10,5,92,24,48,17,3,9,211,7,3,8,4,1,11,124,4,33,7,0,2,2
03/08/2015,2,27,0,4,20,35,30,18,31,0,2,4,10,0,0,37,30,22,4,20,46,16,6,54,9,30,18,1,10,221,14,4,5,6,4,6,84,13,9,6,0,3,4
03/08/2015,3,10,0,1,4,32,34,5,47,0,1,2,2,0,0,32,23,6,3,13,30,7,7,51,4,23,10,0,18,119,5,3,2,0,5,6,86,1,20,5,0,1,0
03/08/2015,4,6,0,2,8,27,32,9,7,0,1,10,2,1,0,32,56,38,3,14,50,24,2,72,9,21,10,3,37,79,3,3,4,0,5,8,97,8,11,5,0,2,1
03/08/2015,5,28,0,29,88,92,83,33,24,0,34,13,9,1,16,62,177,64,16,39,134,163,27,29,29,17,5,4,64,130,20,11,16,15,12,8,257,16,32,19,0,6,4
