Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Southbank
01/08/2017,0,47,9,4,0,146,77,34,33,31,20,3,11,6,5,0,153,48,0,80,-1,86,22,139,29,71,52,14,29,109,0,6,9,14,0,15,0,13,-1,13,14,15,9,129
01/08/2017,1,32,9,5,0,93,61,34,16,24,4,2,2,0,2,0,29,10,0,33,-1,27,20,154,6,49,42,13,22,95,0,9,11,7,0,7,0,1,-1,7,14,1,1,25
01/08/2017,2,16,5,2,0,37,25,15,3,6,5,2,1,0,4,0,31,11,0,28,-1,14,5,67,10,28,13,4,18,32,0,4,5,0,0,3,0,4,-1,3,7,1,0,17
01/08/2017,3,12,16,2,0,20,19,11,5,6,4,4,0,0,3,0,10,5,0,30,-1,21,1,41,6,11,30,0,36,32,0,5,8,3,0,2,0,3,-1,1,0,0,0,27
01/08/2017,4,18,12,4,0,29,25,8,15,15,5,1,3,1,3,0,62,37,0,18,-1,10,1,44,23,37,35,0,46,21,0,7,3,16,0,3,0,3,-1,3,5,7,2,42
01/08/2017,5,48,74,31,0,90,70,33,24,13,91,29,11,4,28,0,231,92,0,65,-1,260,50,46,47,27,21,17,110,42,0,31,34,30,0,13,0,17,-1,34,7,3,1,148
01/08/2017,6,85,239,159,0,181,181,108,91,101,599,74,81,20,98,0,820,255,106,102,-1,869,221,84,5,33,33,37,396,55,0,94,52,98,0,10,0,66,-1,144,41,29,18,649
01/08/2017,7,326,842,740,0,404,428,271,230,440,1923,362,178,32,271,0,1981,566,425,324,-1,2278,694,199,250,104,64,87,1144,297,0,268,210,260,0,41,0,234,-1,344,62,194,86,1586
01/08/2017,8,825,1969,1752,0,870,1057,921,612,1134,3824,628,342,32,412,0,4414,1264,690,645,-1,4302,1449,346,599,195,145,182,2197,363,0,583,292,682,0,122,0,791,-1,625,0,541,266,3343
01/08/2017,9,721,1255,1065,0,715,1020,918,585,823,2037,376,198,22,218,0,2201,508,268,697,-1,2643,835,327,387,192,135,129,1475,248,0,473,197,628,0,146,0,531,-1,410,1,692,285,1743
01/08/2017,10,805,705,502,0,1128,1557,1267,998,1008,775,266,187,34,186,0,1092,303,224,888,-1,1486,489,484,403,337,197,199,1055,348,0,275,185,404,0,183,0,544,-1,366,4,710,271,1417
01/08/2017,11,1060,658,423,0,1664,1971,1874,1486,1240,610,280,190,53,173,0,1273,390,349,1038,-1,1485,567,604,473,588,323,225,1295,532,0,237,173,343,0,168,0,533,-1,511,2,632,265,1782
01/08/2017,12,1896,1600,690,0,2859,2925,3191,2351,2104,1212,536,419,87,691,0,2132,573,601,1647,-1,2229,1047,1597,809,1167,677,270,2262,951,0,369,279,992,0,360,0,944,-1,773,0,835,362,3315
01/08/2017,13,1856,1671,706,0,2682,3171,3256,2748,2347,1147,404,360,65,580,0,2074,532,678,1643,-1,2293,943,1481,835,1137,615,244,1933,1023,0,379,423,998,0,340,0,935,-1,743,5,841,390,3276
01/08/2017,14,1742,823,536,0,2376,2661,2692,2020,1772,846,299,259,56,247,0,1686,502,412,1025,-1,1812,599,966,701,925,437,184,1376,654,0,293,244,427,0,240,0,581,-1,621,447,802,334,2109
01/08/2017,15,1801,667,674,0,2354,2606,2751,1963,1355,1138,263,208,26,248,0,1974,617,316,790,-1,2293,512,909,775,824,392,178,2047,608,0,255,198,262,0,187,0,555,-1,659,1012,855,343,1916
01/08/2017,16,2040,771,1037,0,2460,3022,2647,2041,1296,2515,581,206,47,317,0,2827,813,403,680,-1,3518,654,865,854,917,360,156,2042,653,0,403,234,383,0,220,0,496,-1,673,1080,1156,396,2547
01/08/2017,17,2785,1288,1871,0,3187,3238,2829,1918,1354,3458,745,302,59,536,0,4904,1505,728,810,-1,4885,1160,1141,1147,985,470,259,3511,771,0,540,395,541,0,222,0,646,-1,1028,1617,1171,512,4018
01/08/2017,18,1925,851,871,0,2392,2311,2309,1374,868,1538,483,210,39,322,0,3181,930,560,711,-1,2984,672,1121,779,1063,567,274,2666,892,0,380,213,302,0,242,0,489,-1,565,877,899,380,2984
01/08/2017,19,1614,316,291,0,2275,1563,1227,559,437,490,161,147,26,157,0,1640,450,163,554,-1,1414,346,962,283,1143,580,126,1062,707,0,139,112,180,0,219,0,232,-1,282,464,445,234,1682
01/08/2017,20,1165,223,148,0,2101,1024,669,363,310,238,116,126,28,81,0,1133,299,106,434,-1,905,208,737,220,911,484,95,812,682,0,95,71,79,0,201,0,215,-1,190,382,448,195,1250
01/08/2017,21,795,172,82,0,1383,778,581,268,288,139,101,111,20,54,0,1034,265,77,379,-1,625,176,659,175,621,428,80,827,656,0,61,70,104,0,138,0,225,-1,131,223,275,125,1069
01/08/2017,22,444,121,58,0,852,476,322,151,133,109,63,69,12,25,0,719,236,57,217,-1,424,124,412,112,392,262,69,1081,405,0,48,68,43,0,79,0,80,-1,88,90,98,66,684
01/08/2017,23,178,67,33,0,403,206,133,77,84,51,25,40,5,16,0,419,146,21,141,-1,282,81,286,64,193,113,45,88,230,0,22,26,32,0,49,0,41,-1,19,45,50,13,279
02/08/2017,0,61,25,4,0,172,105,32,29,36,25,12,8,3,5,0,128,39,15,106,-1,85,39,179,30,70,48,19,51,123,0,7,7,17,0,15,0,5,-1,25,19,12,10,96
02/08/2017,1,39,7,5,0,57,64,42,10,13,3,1,3,0,3,0,35,16,4,45,-1,32,8,96,15,51,38,8,15,92,0,5,5,2,0,12,0,9,-1,9,4,1,0,32
02/08/2017,2,20,3,1,0,43,24,15,7,9,4,3,3,0,1,0,23,6,9,46,-1,22,12,58,10,34,26,7,10,57,0,7,3,9,0,4,0,6,-1,4,4,2,2,46
02/08/2017,3,7,3,2,0,24,28,6,5,13,3,5,1,1,0,0,18,4,7,16,-1,12,7,62,4,16,22,5,39,47,0,6,0,1,0,5,0,4,-1,4,2,0,0,18
02/08/2017,4,10,16,10,0,25,29,16,2,13,9,5,7,0,2,0,28,23,11,16,-1,27,3,25,23,28,37,3,47,18,0,11,5,3,0,4,0,9,-1,7,3,1,0,29
02/08/2017,5,38,67,28,0,81,71,17,19,35,110,23,16,3,26,0,210,73,36,43,-1,237,35,37,15,14,25,11,67,44,0,25,46,18,0,8,0,15,-1,37,14,7,4,163
02/08/2017,6,70,272,182,0,156,171,70,66,96,583,86,69,16,101,0,763,245,145,78,-1,834,214,58,314,18,38,23,331,51,0,90,74,102,0,11,0,89,-1,126,40,27,19,698
02/08/2017,7,303,764,646,0,370,449,289,210,420,1805,319,173,23,252,0,1894,573,428,223,-1,2174,640,172,436,105,67,74,869,214,0,225,226,271,0,37,0,230,-1,347,31,118,72,1585
02/08/2017,8,857,1917,1777,0,810,1091,850,547,1031,3676,568,250,45,371,0,4179,1214,679,628,-1,4215,1383,311,661,195,151,206,2206,454,0,532,306,655,0,117,0,779,-1,891,0,523,228,3251
02/08/2017,9,880,1260,1040,0,813,1193,891,632,843,2236,402,211,14,200,0,2089,586,359,576,-1,2712,947,309,34,216,171,163,1306,286,0,413,166,600,0,92,0,600,-1,403,0,732,293,1715
02/08/2017,10,778,746,476,0,1039,1452,1240,770,1049,690,217,131,10,135,0,1222,218,264,623,-1,1646,470,465,257,372,184,97,952,342,0,224,174,390,0,122,0,659,-1,233,0,686,257,1208
02/08/2017,11,977,677,444,0,1340,1874,1710,1377,1271,679,243,117,16,182,0,1425,331,319,629,-1,1468,533,639,376,622,323,100,1265,521,0,189,192,368,0,186,0,588,-1,323,0,699,264,1393
02/08/2017,12,1792,1376,600,-1,2396,2906,2912,2551,2053,1298,457,267,59,447,-1,1938,390,515,1041,-1,2446,878,1328,711,1093,710,161,2350,1088,-1,301,266,948,-1,343,-1,930,-1,564,656,910,351,2713
02/08/2017,13,1921,1471,640,-1,2703,3307,3309,2807,2183,1205,435,291,67,467,-1,2038,365,502,1066,-1,2437,983,1423,791,1198,637,197,1510,960,-1,380,346,998,-1,332,-1,841,-1,566,1068,1048,373,2922
