Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W)
01/08/2018,0,63,28,179,108,91,143,21,10,17,6,3,21,-1,38,59,39,24,5,66,52,204,142,14,113,25,76,14,49,21,146,32,undefined,21,9,135,19,15,-1,9,10,31,7,8,93,189,8,112,27,13,-1,17,27,11
01/08/2018,1,16,10,67,41,64,67,21,3,6,1,2,7,-1,7,46,26,3,2,58,40,142,125,12,26,19,52,11,49,7,86,20,undefined,4,3,59,13,16,-1,3,11,7,3,2,39,60,2,49,11,10,-1,1,28,5
01/08/2018,2,12,17,53,24,36,35,2,-1,9,3,1,2,-1,10,34,5,14,3,37,30,59,60,20,17,34,31,9,16,9,65,9,undefined,1,1,32,6,3,-1,2,5,5,3,2,26,47,1,19,6,5,-1,9,15,3
01/08/2018,3,9,22,39,19,51,32,5,-1,3,2,-1,-1,-1,9,13,6,9,1,21,32,67,69,14,2,5,27,3,39,5,51,11,undefined,1,2,17,3,-1,-1,1,1,2,-1,-1,21,48,-1,28,2,10,-1,-1,13,9
01/08/2018,4,14,11,22,30,58,31,5,2,7,6,-1,1,-1,22,10,5,13,5,17,34,43,54,2,20,19,21,2,65,2,24,18,undefined,5,6,14,6,6,-1,4,5,11,5,2,23,55,3,48,4,4,-1,-1,6,5
01/08/2018,5,42,32,82,68,124,230,24,42,181,18,4,16,-1,86,38,29,62,38,14,31,48,150,46,326,61,34,8,90,37,59,27,undefined,20,40,169,18,9,-1,9,26,11,1,-1,41,205,5,74,13,17,-1,15,19,11
01/08/2018,6,110,69,175,189,432,904,143,115,1069,86,17,77,-1,303,85,179,220,190,26,38,92,613,251,977,256,118,32,434,133,50,29,undefined,92,68,901,75,12,-1,82,77,55,52,24,135,520,26,227,45,27,-1,31,45,68
01/08/2018,7,339,255,425,515,1110,1714,392,341,2909,366,39,206,-1,632,355,434,755,723,74,91,173,1330,714,2443,635,223,90,956,323,159,75,undefined,258,141,1634,234,53,-1,296,263,190,130,71,457,1312,51,546,136,65,-1,83,216,155
01/08/2018,8,1022,624,942,1054,2056,4009,681,534,5147,684,70,354,-1,1501,770,926,1971,1698,215,176,352,2781,1444,4435,1289,580,227,1993,543,411,150,undefined,584,300,3478,727,106,-1,762,761,742,755,288,1012,2592,421,1208,308,140,-1,191,734,431
01/08/2018,9,1072,641,814,1145,1346,2121,323,264,2779,447,15,185,-1,777,824,912,1190,949,156,145,368,2128,847,2850,716,634,157,1362,389,321,191,undefined,443,240,2049,521,115,-1,646,635,807,773,241,797,2130,331,1110,345,121,-1,122,633,350
