Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street,Flinders La-Swanston St (West) Temporary,RMIT Building 14
01/08/2019,0,88,24,241,97,112,189,5,6,16,5,3,19,-1,72,83,43,20,9,72,77,203,246,46,116,24,109,21,53,9,155,40,undefined,12,16,93,28,8,69,11,20,90,50,52,115,20,91,27,81,46,20,23,38,-1,34,19,69,2,34,76
01/08/2019,1,34,6,143,42,43,64,-1,5,5,4,1,13,-1,37,76,37,12,9,63,60,140,126,21,57,16,118,-1,18,11,118,17,undefined,3,8,48,14,13,34,10,4,47,22,22,48,4,58,2,45,57,17,27,31,-1,19,5,34,4,24,38
01/08/2019,2,22,12,73,30,16,29,6,5,3,1,1,7,-1,10,42,9,9,4,40,39,80,101,6,25,21,58,2,5,18,85,4,undefined,4,2,33,8,2,38,2,4,26,33,22,25,4,22,3,48,4,14,14,15,-1,8,6,38,6,36,28
01/08/2019,3,7,9,35,15,29,26,1,2,6,2,-1,2,-1,7,22,14,5,-1,11,33,29,102,16,20,4,62,4,35,5,37,7,undefined,-1,2,16,5,4,18,2,5,16,6,3,20,1,32,16,36,6,10,7,18,-1,5,11,18,2,38,13
01/08/2019,4,10,2,34,32,63,46,3,4,9,8,1,3,-1,38,8,16,6,1,5,12,19,56,6,44,18,31,2,51,2,25,15,undefined,3,5,11,5,15,28,11,10,-1,-1,-1,30,-1,24,7,15,10,9,2,-1,-1,3,10,28,-1,39,18
01/08/2019,5,36,7,108,77,116,239,33,35,91,21,-1,16,-1,106,33,32,89,39,30,19,45,165,50,346,48,81,14,84,19,44,14,undefined,16,33,106,30,8,132,17,18,21,5,4,34,5,76,12,17,-1,30,31,3,-1,22,80,132,3,157,30
01/08/2019,6,111,67,163,192,385,1045,123,96,543,92,17,66,-1,280,76,143,272,221,46,22,76,685,238,1105,240,131,25,305,90,71,43,undefined,71,50,677,81,18,394,103,94,41,28,18,144,35,182,58,31,47,24,58,35,-1,88,537,394,6,410,106
01/08/2019,7,330,192,332,489,944,1929,383,350,2317,381,45,170,-1,736,294,501,770,767,112,80,144,1589,711,2343,554,320,104,838,188,150,76,undefined,256,162,914,250,38,1163,347,276,166,133,51,511,122,495,177,89,87,130,210,97,-1,160,1925,1163,73,1094,311
01/08/2019,8,864,512,808,1077,2046,4059,575,522,4169,659,79,355,-1,1349,739,969,1921,1671,172,191,339,2911,1508,4386,971,757,207,1826,287,330,158,undefined,552,372,1805,689,93,2342,824,872,574,674,255,1006,352,1042,332,143,193,189,647,301,-1,423,4199,2342,521,2098,1147
01/08/2019,9,954,610,793,1121,1444,2369,288,319,2887,500,54,253,-1,784,813,1116,1524,961,168,181,326,2042,874,3025,549,859,213,1284,107,273,160,undefined,431,250,1001,533,105,1683,777,660,687,707,220,787,332,890,312,224,204,164,617,298,-1,396,2865,1683,448,1735,950
01/08/2019,10,1248,812,1046,1629,1151,1179,349,180,907,305,15,135,-1,462,770,1154,879,569,319,192,529,1776,517,1611,398,1052,177,1055,48,364,139,undefined,211,161,746,522,107,1065,543,585,819,700,258,821,269,953,355,259,223,207,522,366,-1,390,1045,1065,610,2010,1212
01/08/2019,11,1899,1138,1400,1922,1373,1295,140,197,885,278,27,190,-1,586,1040,1341,717,404,571,359,727,2110,587,1675,564,1216,201,1375,308,532,189,undefined,203,186,879,517,153,1093,587,601,986,852,253,1035,302,1208,490,334,309,255,611,461,-1,515,967,1093,656,2111,1381
