Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Collins St (North),Lincoln-Swanston (West),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Building 80,Flinders La - Swanston St (West) Temporary,RMIT Building 14,Elizabeth St-La Trobe St (East),La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library- New,Flinders Ln -Degraves St (South),Flinders Ln -Degraves St (North),Flinders Ln -Degraves St (Crossing),Errol Street (East),Westwood Place,Flinders St- ACMI,Bourke St - Spencer St (South),Spring St- Flinders St (West),Macaulay Rd-Bellair St,Harbour Esplanade (West) - Pedestrian Path,Harbour Esplanade (West) - Bike Path,Flinders St (South),Elizabeth St - Flinders St (East) - New footpath,Macaulay Rd (North),Queensberry St - Errol St (South),Errol St (West)
01/08/2022,0,7,30,250,83,77,123,na,2,9,na,2,17,na,33,na,na,4,67,70,147,na,29,80,67,122,17,26,12,181,9,undefined,na,na,127,32,21,undefined,19,6,15,18,13,61,219,13,116,25,52,10,29,na,na,33,50,7,101,74,na,54,na,59,99,na,22,62,16,1,1,8,12,9,na,4,3,11,4,64,142,na,5,6
01/08/2022,1,1,24,190,50,70,28,na,2,4,2,2,11,na,14,na,na,1,51,40,73,na,27,16,57,64,11,23,13,113,10,undefined,na,na,49,43,7,undefined,3,5,7,7,na,43,116,7,70,20,55,6,11,na,na,28,28,12,53,58,na,33,na,48,32,na,14,47,10,1,5,4,2,56,na,na,3,10,2,32,112,1,2,6
01/08/2022,2,na,4,84,27,29,22,na,4,7,3,5,15,na,12,na,na,1,29,18,37,na,15,15,8,53,5,15,6,50,2,undefined,na,na,26,16,6,undefined,4,1,8,5,4,21,30,2,36,6,25,4,17,na,na,16,16,17,32,32,na,18,na,16,23,na,4,29,6,0,0,7,2,15,na,na,na,5,2,19,53,na,3,2
01/08/2022,3,1,5,56,25,32,21,na,3,na,1,2,2,na,10,na,na,4,15,3,30,na,9,36,18,26,2,22,7,36,5,undefined,na,na,17,17,1,undefined,4,2,4,2,2,13,60,1,21,8,17,2,2,na,na,10,10,2,15,18,na,6,na,25,41,na,7,10,1,0,1,na,10,8,na,1,2,5,na,12,63,na,na,na
01/08/2022,4,2,3,44,13,25,37,na,5,2,na,3,4,na,15,na,na,2,17,1,15,na,6,33,44,30,1,26,na,33,5,undefined,na,na,19,22,5,undefined,6,3,4,na,1,16,36,2,44,3,11,5,7,na,na,5,8,6,19,37,na,14,na,17,39,na,5,21,0,0,6,2,2,35,na,13,6,2,na,17,30,1,1,1
01/08/2022,5,2,10,55,33,87,117,na,14,23,2,1,14,na,46,na,na,15,15,8,24,na,27,131,99,53,9,51,31,44,11,undefined,na,na,97,31,1,undefined,5,17,11,4,3,25,179,9,64,13,21,5,19,na,na,8,16,30,76,18,na,22,na,13,28,na,15,28,13,1,5,2,5,74,na,19,3,12,3,52,76,2,6,4
01/08/2022,6,2,31,120,88,182,387,na,58,121,24,11,58,na,126,na,na,68,30,19,55,na,141,380,241,111,21,195,63,51,11,undefined,na,na,385,44,2,undefined,37,70,39,24,7,89,379,19,129,42,63,7,89,na,na,32,30,127,196,51,na,82,na,70,62,na,22,63,61,3,11,19,5,162,na,76,10,28,4,104,273,26,16,30
01/08/2022,7,119,64,214,335,386,675,na,166,470,65,36,125,na,271,na,na,222,43,25,67,na,275,756,537,120,67,426,110,89,38,undefined,na,na,720,123,30,undefined,104,146,62,55,21,188,874,40,272,79,46,39,65,na,na,44,75,280,521,154,na,155,na,43,94,na,42,172,139,40,58,45,45,159,na,54,42,95,25,301,573,91,27,70
01/08/2022,8,326,222,438,729,824,1726,na,316,1077,102,43,174,na,528,na,na,791,96,58,188,na,623,1432,1908,231,111,733,160,147,91,undefined,na,na,1571,338,76,undefined,274,349,320,394,118,472,1869,136,565,166,44,140,99,na,na,191,231,476,1174,542,na,483,na,117,200,na,47,447,340,164,118,148,39,445,na,87,137,188,66,635,1279,157,83,141
01/08/2022,9,618,410,647,1016,744,886,1,233,576,97,39,127,na,300,na,na,433,166,65,228,na,383,1086,1791,347,122,712,155,184,121,undefined,na,na,985,290,86,undefined,204,241,475,618,113,458,1846,215,739,202,36,184,100,na,na,231,239,280,787,853,na,500,na,188,282,na,20,526,525,271,181,124,100,294,na,75,120,124,45,451,975,115,70,112
