Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West)
01/12/2015,0,83,0,8,42,241,196,65,55,30,13,12,15,5,6,102,175,57,0,133,183,112,23,229,11,95,44,21,59,132,61,8,11,14,15,15,366,22,75,29,19,9,4
01/12/2015,1,33,0,3,35,85,92,34,24,20,4,3,0,1,2,51,55,18,0,66,81,36,7,86,24,39,30,7,21,87,13,0,2,7,4,2,247,12,59,13,6,3,1
01/12/2015,2,49,0,1,22,80,44,17,10,18,2,2,5,0,2,34,19,15,0,44,66,31,10,62,14,17,8,3,15,46,8,0,3,6,3,7,132,7,14,4,1,0,0
01/12/2015,3,13,0,10,21,34,39,9,11,17,3,3,1,0,0,22,35,18,0,24,29,16,17,48,5,17,9,2,32,34,7,1,7,5,9,9,80,2,7,2,2,4,3
01/12/2015,4,12,0,4,8,25,47,11,14,7,1,2,1,0,2,41,38,22,0,27,40,19,10,27,24,5,10,4,52,40,3,2,3,7,3,3,94,3,11,9,6,5,2
01/12/2015,5,22,0,24,114,74,83,29,18,42,56,14,11,1,25,104,189,78,0,60,144,233,59,27,45,19,6,12,110,26,10,11,31,18,15,5,271,20,47,43,14,5,3
01/12/2015,6,83,0,168,819,160,186,78,110,107,507,97,105,23,148,360,787,208,0,181,531,726,255,126,234,39,18,40,391,64,36,109,63,78,73,24,655,82,247,169,46,34,19
01/12/2015,7,315,0,808,2418,433,506,270,289,400,1528,353,201,45,265,1035,1831,580,0,347,1353,2314,719,215,525,66,60,81,1116,190,117,236,171,225,229,49,1682,263,680,401,76,72,48
01/12/2015,8,704,0,1798,5184,834,1226,530,640,911,2499,492,307,98,452,1982,3971,1382,0,595,2663,4178,1531,368,1018,208,140,155,2308,390,186,543,272,575,670,160,3499,702,1647,676,275,261,175
01/12/2015,9,587,0,909,2732,856,1419,666,887,977,1079,297,170,35,178,1295,2068,617,0,691,1779,2449,831,339,420,226,140,153,1177,283,177,410,217,472,523,120,3108,476,1207,456,184,260,122
