Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Southbank
01/12/2017,0,198,55,42,-1,450,359,208,95,91,34,13,68,30,18,381,408,118,86,163,391,211,67,428,87,219,181,32,89,-1,156,15,24,-1,59,27,-1,60,undefined,48,70,2,4,413
01/12/2017,1,116,39,16,-1,308,186,108,78,51,33,10,40,7,13,169,108,48,40,121,241,95,37,303,60,143,117,19,48,-1,37,7,23,-1,47,22,-1,28,undefined,35,8,2,4,191
01/12/2017,2,70,29,6,-1,184,99,60,25,40,6,2,16,1,11,60,78,25,28,127,183,38,14,221,39,120,62,10,28,-1,32,5,25,-1,29,5,-1,16,undefined,17,5,1,2,66
01/12/2017,3,24,12,4,-1,148,88,71,31,11,14,13,14,4,5,85,52,15,15,60,80,61,17,235,23,27,96,12,43,-1,14,2,5,-1,19,3,-1,10,undefined,23,10,-1,-1,70
01/12/2017,4,26,18,15,-1,77,61,29,14,24,14,4,2,-1,1,90,81,41,18,52,89,35,16,146,15,15,65,4,61,-1,2,6,12,-1,4,4,-1,13,undefined,23,25,-1,-1,61
01/12/2017,5,32,68,32,-1,77,103,48,32,34,118,16,10,4,34,151,225,80,68,83,196,237,62,65,79,23,24,8,84,-1,25,19,38,-1,16,17,-1,37,undefined,37,17,6,3,169
01/12/2017,6,88,202,133,-1,189,208,159,108,81,529,76,70,9,111,359,873,221,170,137,532,858,206,86,231,36,35,48,293,-1,42,78,134,-1,92,15,-1,98,undefined,71,216,31,20,766
01/12/2017,7,312,711,603,-1,368,491,459,296,407,1690,283,146,17,192,866,1897,475,235,309,1266,2031,713,164,359,88,76,72,696,-1,92,236,156,-1,237,41,-1,313,undefined,195,121,62,40,1535
01/12/2017,8,695,1916,1477,-1,644,1012,969,775,892,2864,451,171,22,361,1592,3622,762,329,505,2249,3816,1332,316,604,223,129,177,1240,-1,160,601,254,-1,621,141,-1,924,undefined,313,296,149,79,2910
01/12/2017,9,554,1362,858,-1,662,1132,1125,819,940,1662,332,87,8,161,906,2048,379,132,534,1559,2630,923,313,446,212,149,143,671,-1,92,542,236,-1,502,105,-1,768,undefined,139,239,204,121,1735
01/12/2017,10,626,858,525,-1,882,1622,1585,1235,1067,822,238,112,17,128,939,1364,322,120,681,1417,1696,567,446,484,317,207,174,760,-1,160,289,191,-1,442,130,-1,597,undefined,216,215,132,103,1242
