Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West)
01/02/2016,0,103,64,18,52,281,297,27,81,43,19,17,27,8,7,724,214,74,160,119,381,123,52,220,59,130,57,26,732,261,90,36,58,24,14,17,922,34,192,108,6,6,3
01/02/2016,1,87,18,4,29,114,105,8,35,20,10,5,4,0,10,70,46,35,46,51,102,48,13,123,30,67,31,8,63,210,44,13,17,12,6,13,289,9,85,36,5,6,3
01/02/2016,2,38,24,4,20,74,55,29,32,10,7,1,7,0,4,45,30,26,53,37,47,22,7,88,7,61,15,1,25,142,17,3,4,0,8,7,160,0,37,14,5,1,0
01/02/2016,3,19,3,3,13,38,32,9,21,15,3,6,0,0,4,44,41,24,24,26,33,21,18,100,5,37,4,2,39,183,8,1,6,7,3,5,96,9,22,5,6,0,1
01/02/2016,4,17,19,6,14,40,39,17,18,7,4,5,7,0,4,43,70,35,10,18,46,47,26,57,12,15,13,2,77,125,9,7,6,11,3,5,138,8,19,7,4,1,1
01/02/2016,5,24,52,24,100,92,88,66,17,27,56,12,19,3,48,129,167,79,49,40,139,211,64,61,74,14,13,8,123,110,4,20,15,14,14,7,341,12,38,37,15,6,3
01/02/2016,6,51,227,168,736,158,160,121,80,85,429,78,90,13,152,338,756,255,312,99,475,644,259,149,227,19,28,22,351,80,24,100,54,74,52,10,624,64,174,131,49,41,28
01/02/2016,7,265,820,700,2045,342,475,337,254,344,1378,300,184,31,277,990,1703,536,543,177,1274,1953,850,146,601,67,59,62,994,161,99,234,113,223,161,56,1760,224,629,345,101,67,52
01/02/2016,8,608,2045,1687,4517,793,1077,858,597,876,2523,457,379,91,470,1757,4127,1349,951,419,2620,3771,2120,350,976,175,94,152,2017,327,170,550,328,491,657,136,3322,604,1513,682,318,373,209
01/02/2016,9,581,1352,940,2132,752,997,907,686,868,1516,366,226,35,209,1169,2064,551,385,484,1690,2349,1461,335,609,208,145,122,1330,245,208,331,206,540,494,138,2591,481,945,389,336,377,155
