Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Southbank
01/02/2017,0,106,37,9,49,247,0,58,55,54,16,18,29,0,5,155,194,83,14,90,0,124,39,212,38,158,72,21,96,151,111,8,20,24,54,24,0,16,0,35,10,4,6,212
01/02/2017,1,51,12,3,22,148,0,30,16,15,10,4,5,0,5,60,57,34,7,75,0,48,9,94,18,86,26,10,45,130,32,6,7,7,6,12,0,0,0,22,5,3,5,59
01/02/2017,2,25,1,2,10,34,0,33,16,12,5,4,2,0,3,43,38,21,11,25,0,20,6,86,13,32,17,4,18,58,5,4,4,0,3,4,0,3,0,17,6,2,3,35
01/02/2017,3,16,11,0,12,30,0,15,6,6,6,1,2,0,0,35,24,2,28,17,0,17,5,62,6,16,20,3,41,41,6,1,1,0,7,7,0,0,0,7,4,2,0,20
01/02/2017,4,7,12,5,1,24,0,28,27,21,1,15,2,0,4,61,40,22,28,34,0,29,5,30,15,14,11,3,60,17,11,6,4,6,3,1,0,5,0,7,4,1,0,43
01/02/2017,5,30,67,33,120,80,0,35,22,39,104,20,16,0,39,116,215,83,59,46,0,248,56,29,69,11,12,14,119,14,14,55,26,24,19,14,0,21,0,53,12,9,5,227
01/02/2017,6,94,208,177,636,164,0,98,69,98,523,97,94,0,145,366,800,253,269,140,0,829,226,61,265,38,20,22,436,53,39,170,53,99,74,11,0,91,0,204,33,25,16,792
01/02/2017,7,293,756,707,2289,417,0,392,251,364,1637,332,188,0,288,962,1889,594,544,219,0,2141,613,189,592,115,54,76,1015,300,76,295,123,306,191,45,0,236,0,487,71,74,58,1732
01/02/2017,8,744,1841,1738,4997,810,0,903,601,820,3358,536,275,0,400,1883,4101,1232,835,462,0,4109,1271,337,813,217,159,138,1959,288,145,609,328,625,641,138,0,628,0,674,234,231,143,3449
01/02/2017,9,658,1303,1024,2616,829,0,884,712,824,1913,340,162,0,205,1093,1987,481,365,465,0,2462,739,361,422,245,165,102,1017,255,158,405,177,581,496,129,0,525,0,396,266,208,118,1720
01/02/2017,10,739,783,639,1019,1097,0,1210,1166,1089,680,275,147,0,123,1294,1226,301,347,595,0,1725,503,425,390,405,209,114,1047,370,215,250,148,419,452,145,0,485,0,460,268,147,107,1448
01/02/2017,11,895,797,500,925,1352,0,1846,1761,1323,606,209,230,0,197,1503,1255,300,383,685,0,1552,603,687,459,654,374,124,1142,445,201,244,167,339,463,169,0,519,0,670,319,236,132,1610
01/02/2017,12,1558,1665,779,1174,2227,0,2806,2988,2131,1441,507,464,0,577,1921,2193,527,531,1122,0,2330,1016,1292,793,1278,781,156,1558,1051,349,423,347,935,927,396,0,1013,0,811,374,332,163,3153
01/02/2017,13,1648,1507,687,1477,2314,0,2908,3243,2265,1243,419,493,0,527,1923,2154,513,538,973,0,2363,993,1277,846,1152,746,179,1383,979,382,397,371,862,887,377,0,802,0,1001,466,444,219,3081
