Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Australia on Collins,Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South)
01/02/2018,0,115,78,310,243,521,265,43,37,32,11,24,44,-1,92,118,78,17,3,164,113,272,300,65,131,49,175,23,153,168,198,54,undefined,24,41,469,60,9,-1,15,42,20,10,7,190,479,5,206,39,87,15,59,56
01/02/2018,1,53,26,166,97,169,103,14,6,22,5,6,17,-1,40,83,31,14,5,90,53,202,156,28,44,40,135,17,68,27,196,19,undefined,5,15,142,25,7,-1,10,10,10,2,2,69,190,3,76,35,90,4,18,45
01/02/2018,2,22,39,76,41,54,42,23,5,11,2,1,6,-1,18,50,14,13,3,36,50,113,87,5,35,23,58,11,28,14,90,8,undefined,8,4,30,17,2,-1,4,8,1,1,-1,41,103,-1,42,12,68,4,8,29
01/02/2018,3,19,14,33,30,33,47,25,4,2,6,-1,2,-1,25,25,21,4,-1,32,78,68,96,18,27,14,55,1,42,4,48,-1,undefined,10,7,49,6,6,-1,4,4,3,2,2,19,56,2,48,10,31,3,20,17
01/02/2018,4,32,1,27,32,60,52,21,3,13,1,-1,2,-1,34,16,6,6,10,55,19,23,60,14,20,27,35,2,73,9,25,8,undefined,7,12,24,15,9,-1,2,5,5,1,1,22,62,-1,18,7,32,12,7,2
01/02/2018,5,36,27,76,81,111,222,40,34,127,16,1,14,-1,92,40,30,51,39,15,37,62,148,67,212,71,57,7,119,35,15,22,undefined,11,39,166,21,5,-1,13,21,8,3,3,58,189,6,67,19,15,4,14,10
01/02/2018,6,130,74,197,196,426,880,153,139,683,97,15,66,-1,280,83,132,179,158,37,16,97,660,214,936,245,121,22,480,122,58,34,undefined,84,141,847,75,7,-1,121,86,42,31,21,121,435,22,226,41,73,19,37,52
01/02/2018,7,320,233,284,458,1067,2079,443,331,2058,391,48,200,-1,624,291,567,705,685,60,86,173,1438,682,2204,501,302,67,990,371,212,96,undefined,242,111,1729,221,38,-1,314,238,83,67,71,419,1094,84,540,106,128,89,56,184
01/02/2018,8,878,534,703,1046,1948,4444,721,545,3016,585,52,287,-1,1356,685,1180,1835,1692,168,139,371,2703,1424,3802,804,554,159,2061,571,308,168,undefined,596,284,3515,631,105,-1,707,738,265,355,300,860,2607,200,1218,225,248,164,115,553
01/02/2018,9,866,579,750,1018,1259,2441,277,238,2081,416,30,209,-1,608,660,963,1374,1034,155,136,365,1928,885,2534,470,791,117,1239,340,282,172,undefined,403,169,2069,586,114,-1,545,581,340,290,172,743,2000,278,988,244,257,188,130,462
