Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street
01/02/2019,0,99,65,194,146,116,251,-1,12,28,3,14,27,-1,103,96,62,25,17,157,147,243,-1,44,110,31,167,28,56,59,201,72,undefined,12,10,187,83,7,114,12,23,75,5,5,-1,-1,3,169,36,65,19,24,67,16,-1,49,50,114,undefined
01/02/2019,1,56,53,86,102,28,82,-1,2,13,2,5,13,-1,34,40,46,17,18,62,101,201,-1,34,49,18,94,13,41,24,112,42,undefined,1,7,68,38,12,58,4,10,43,2,1,-1,-1,-1,75,20,35,15,20,46,1,-1,25,22,58,undefined
01/02/2019,2,43,26,45,37,24,72,-1,4,10,1,4,8,-1,25,27,15,8,4,51,57,133,-1,23,27,27,45,9,32,11,78,22,undefined,4,8,34,36,13,44,4,12,62,-1,-1,-1,-1,-1,54,16,36,4,19,16,6,-1,21,16,44,undefined
01/02/2019,3,27,30,26,35,17,72,-1,2,7,-1,-1,3,-1,31,25,18,6,2,18,58,122,-1,27,38,21,35,3,48,8,65,10,undefined,4,1,19,33,9,20,2,10,36,-1,-1,-1,-1,-1,61,6,30,-1,9,15,3,-1,17,9,20,undefined
01/02/2019,4,23,21,32,34,12,52,-1,2,6,4,-1,1,-1,33,16,6,12,2,10,25,66,-1,28,36,14,33,7,85,6,17,26,undefined,5,4,35,13,6,18,5,5,82,4,5,-1,-1,3,54,10,41,8,5,15,7,-1,13,22,18,undefined
01/02/2019,5,28,33,50,99,21,238,-1,44,96,14,4,17,-1,114,23,45,73,26,17,30,43,-1,54,321,179,82,11,114,45,32,5,undefined,23,15,129,32,14,112,27,46,58,9,3,-1,-1,6,89,18,38,9,17,27,3,-1,18,89,112,undefined
01/02/2019,6,131,70,110,235,71,910,-1,149,583,67,46,89,-1,272,86,153,229,169,51,35,98,-1,263,984,286,148,39,401,332,52,24,undefined,93,29,703,80,17,341,127,104,116,35,26,-1,-1,22,208,45,48,22,48,54,43,-1,39,511,341,undefined
01/02/2019,7,390,215,208,454,193,1769,-1,446,2000,297,50,213,-1,642,283,455,784,736,93,94,167,-1,691,2115,664,338,99,930,855,144,67,undefined,227,144,1194,268,44,1177,310,225,162,63,59,-1,-1,53,633,139,117,66,51,181,59,-1,143,1868,1177,undefined
01/02/2019,8,806,570,446,978,344,3918,-1,566,3625,581,103,372,-1,1462,527,763,2107,1727,230,172,402,-1,1415,4049,815,586,188,1571,1468,300,138,undefined,617,210,2271,666,110,2127,857,636,378,205,135,-1,-1,156,1107,277,127,163,117,582,142,-1,413,4079,2127,undefined
01/02/2019,9,988,681,139,1071,267,2143,-1,291,2175,470,34,262,-1,791,527,983,1264,989,240,191,425,-1,870,2756,500,602,143,917,909,265,148,undefined,503,148,1399,559,118,1496,797,525,578,209,107,-1,1,174,986,252,164,191,122,491,149,-1,375,2835,1496,undefined
01/02/2019,10,1498,1208,-1,1493,388,1338,-1,169,863,226,75,382,-1,487,738,1035,861,564,347,372,500,-1,600,1853,447,820,153,848,982,453,186,undefined,220,151,1119,495,150,1022,582,492,598,191,117,-1,-1,141,1076,348,208,264,147,449,123,-1,415,1138,1022,undefined
01/02/2019,11,2040,1758,-1,2219,629,1375,-1,295,783,296,40,294,-1,446,875,1345,821,442,627,460,776,-1,657,1648,588,1025,198,999,1193,575,213,undefined,206,116,1435,504,177,1246,545,517,463,218,147,-1,-1,118,1455,505,277,323,203,561,132,-1,550,1120,1246,undefined
01/02/2019,12,3156,2889,-1,2989,830,2506,-1,694,1725,521,123,398,-1,699,1366,2161,1756,605,1130,824,1563,-1,1431,2641,857,1655,258,1302,1505,1132,294,undefined,337,267,2834,1123,253,1799,1370,857,446,315,150,-1,-1,261,2369,586,551,424,338,966,187,-1,805,2306,1799,undefined
01/02/2019,13,3762,3147,-1,3364,934,2467,-1,534,1517,524,242,623,-1,685,1723,2098,1687,733,1149,781,1588,-1,1158,2612,948,1777,282,1546,1784,1041,339,undefined,346,391,2832,1213,335,1843,1383,928,492,388,183,-1,-1,268,2419,638,529,409,317,938,219,-1,880,2127,1843,undefined
01/02/2019,14,3012,2443,-1,2987,868,2242,-1,291,1036,279,69,288,-1,645,1377,1744,926,535,986,466,1103,-1,667,2204,890,1076,256,1355,1608,711,269,undefined,244,276,2120,690,224,1296,714,516,345,251,153,-1,-1,157,1794,496,339,436,241,746,163,-1,650,1065,1296,undefined
01/02/2019,15,2898,2245,-1,2899,810,2545,-1,261,1437,271,73,298,-1,686,1278,1480,700,544,893,463,995,-1,597,2389,844,883,258,1556,1666,808,339,undefined,270,234,2030,453,172,1326,539,442,331,248,121,-1,-1,136,1842,487,278,402,186,699,190,-1,521,1208,1326,undefined
01/02/2019,16,3095,2402,-1,3039,1089,3371,-1,436,2932,577,82,334,-1,1048,1435,1511,897,1024,921,448,1026,-1,771,3680,1173,918,225,1754,1849,714,308,undefined,416,250,2076,654,233,1988,524,452,286,243,169,-1,-1,139,2171,481,213,445,199,770,198,-1,620,2613,1988,undefined
01/02/2019,17,3714,2631,-1,3545,1815,5557,-1,699,3413,714,118,469,-1,1681,1926,1709,1279,1547,1094,671,1357,-1,1175,4530,1551,718,247,2656,2596,1098,453,undefined,502,447,3801,926,265,2558,597,722,287,276,175,-1,-1,143,2661,438,140,536,219,934,307,-1,817,3262,2558,undefined
01/02/2019,18,3340,2040,-1,3335,1880,3508,-1,467,1524,315,142,417,-1,1145,1818,1168,772,731,1472,996,1583,-1,576,2677,1545,695,263,2609,2557,1285,483,undefined,347,394,3652,592,238,1436,390,500,176,128,102,-1,-1,83,2131,426,148,666,208,823,175,-1,689,1303,1436,undefined
01/02/2019,19,2416,1660,-1,2588,1566,2332,-1,254,559,124,110,484,-1,782,1396,858,434,366,1569,1040,1475,-1,351,1615,1135,563,192,2369,2052,1211,604,undefined,259,283,3064,391,289,814,217,425,164,104,68,-1,-1,47,1548,292,146,655,176,753,142,-1,575,624,814,undefined
01/02/2019,20,2150,1176,-1,2749,1265,1960,-1,278,281,107,142,554,-1,608,1341,520,331,204,1499,1224,1304,-1,198,1015,989,567,159,1072,1390,1127,767,undefined,148,220,2201,399,292,699,142,259,101,41,40,-1,-1,45,1261,214,130,599,146,658,132,-1,437,353,699,undefined
01/02/2019,21,1268,617,-1,1883,1131,1753,-1,190,213,82,158,457,-1,659,1087,397,244,125,1212,1031,1260,-1,205,975,911,524,143,1229,1380,1051,808,undefined,109,145,2278,444,326,573,120,206,106,29,50,-1,-1,38,1190,206,126,492,160,627,108,-1,400,297,573,undefined
01/02/2019,22,715,366,-1,1530,972,1722,-1,158,143,63,109,331,-1,645,768,311,175,142,853,884,957,-1,220,835,831,408,130,2177,1614,1078,592,undefined,133,195,2109,423,225,528,123,406,53,10,36,-1,-1,38,666,199,95,422,124,556,93,-1,331,202,528,undefined
01/02/2019,23,444,278,-1,1616,1023,1339,-1,102,94,24,51,159,-1,591,534,291,181,125,772,728,1125,-1,160,756,368,311,117,723,1100,847,460,undefined,279,512,2419,407,169,384,75,156,27,14,10,-1,-1,13,567,140,81,207,96,431,76,-1,160,173,384,undefined
02/02/2019,0,309,160,-1,832,537,871,-1,49,31,30,40,112,-1,281,311,146,75,66,405,348,762,-1,96,327,211,206,51,247,335,712,220,undefined,33,60,677,303,69,262,38,78,18,6,12,-1,-1,8,385,61,106,53,76,411,37,-1,148,86,262,undefined
02/02/2019,1,171,112,-1,455,253,579,-1,19,33,6,25,56,-1,165,290,111,26,28,350,234,464,-1,52,175,180,126,47,77,171,372,112,undefined,18,24,413,291,29,160,29,18,13,2,3,-1,-1,8,222,54,66,26,58,220,13,-1,67,47,160,undefined
02/02/2019,2,96,98,-1,301,222,364,-1,9,19,-1,3,26,-1,128,132,53,14,22,192,159,392,-1,56,90,48,95,14,85,98,293,50,undefined,4,12,137,159,21,106,17,12,8,2,-1,-1,-1,-1,205,20,65,4,23,127,11,-1,54,25,106,undefined
02/02/2019,3,85,59,-1,208,150,245,-1,9,17,3,1,9,-1,89,68,37,14,10,127,107,351,-1,30,66,44,79,17,52,46,208,16,undefined,5,11,74,181,12,108,15,17,20,12,7,-1,-1,-1,124,24,50,5,12,83,11,-1,22,11,108,undefined
02/02/2019,4,45,27,-1,99,66,135,-1,8,6,1,-1,3,-1,76,38,38,23,5,45,81,169,-1,11,49,20,78,9,51,48,101,18,undefined,12,10,75,97,10,28,5,8,7,1,1,-1,-1,1,85,15,36,14,4,41,2,-1,19,12,28,undefined
02/02/2019,5,34,24,-1,106,31,117,-1,17,33,7,2,12,-1,66,23,31,17,7,25,43,127,-1,20,114,47,70,17,52,50,82,19,undefined,27,18,79,23,11,56,11,25,9,2,2,-1,-1,3,66,20,24,8,17,26,1,-1,13,35,56,undefined
02/02/2019,6,70,34,-1,132,46,219,-1,48,67,8,21,46,-1,101,43,62,56,20,24,44,128,-1,33,318,73,117,35,80,89,66,19,undefined,35,40,239,22,5,128,20,40,31,8,10,-1,-1,5,70,61,48,12,30,35,3,-1,17,67,128,undefined
02/02/2019,7,149,112,-1,194,65,403,-1,95,58,28,35,75,-1,152,121,118,87,32,57,93,79,-1,96,460,185,289,75,136,175,74,31,undefined,42,40,491,63,24,237,35,52,49,19,20,-1,-1,17,181,134,89,37,65,41,39,-1,46,95,237,undefined
02/02/2019,8,301,206,-1,404,105,514,-1,172,100,64,45,133,-1,209,154,247,119,61,85,59,116,-1,141,671,248,427,160,249,322,104,79,undefined,67,47,784,81,53,404,97,97,65,45,19,-1,-1,30,254,231,171,84,183,148,46,-1,142,299,404,undefined
02/02/2019,9,673,560,-1,835,233,989,-1,235,146,79,69,261,-1,383,250,483,179,105,132,183,250,-1,246,1046,517,775,237,516,690,223,102,undefined,113,97,1205,137,106,507,163,128,122,83,60,-1,-1,30,499,433,255,235,235,312,67,-1,226,310,507,undefined
02/02/2019,10,1332,1137,-1,1445,502,1231,-1,249,181,100,79,300,-1,409,526,882,205,130,297,308,337,-1,292,1235,759,1172,356,757,1060,362,198,undefined,84,179,1528,228,133,803,201,152,255,87,72,-1,-1,56,984,618,444,362,177,413,62,-1,399,306,803,undefined
02/02/2019,11,2249,1773,-1,2020,781,1567,-1,235,189,77,77,294,-1,472,744,1175,258,196,657,366,611,-1,287,1413,780,1497,388,1377,1554,508,253,undefined,88,98,2063,233,177,856,200,195,234,74,52,-1,-1,46,1352,807,453,426,267,509,98,-1,483,283,856,undefined
02/02/2019,12,2947,2021,-1,2478,1123,1764,-1,249,167,106,74,336,-1,373,1031,1257,263,190,1158,566,737,-1,240,1326,944,1733,442,2211,1876,653,408,undefined,58,110,2224,188,317,845,151,285,200,93,79,-1,-1,65,1484,780,502,520,279,642,110,-1,511,301,845,undefined
02/02/2019,13,3045,2168,-1,2598,1043,1815,-1,213,169,99,113,298,-1,425,1252,1283,319,180,1364,554,907,-1,258,1336,1105,1549,384,1919,1827,732,531,undefined,118,120,2174,206,274,821,208,478,272,120,61,-1,-1,60,1547,702,404,536,325,716,134,-1,664,297,821,undefined
02/02/2019,14,3043,2293,-1,2727,1029,2084,-1,232,149,69,65,270,-1,477,1105,1232,216,184,1299,338,904,-1,244,1505,1032,1272,341,1745,1737,667,663,undefined,160,124,2264,218,253,766,186,194,198,74,50,-1,-1,67,1401,558,343,598,311,594,132,-1,507,269,766,undefined
02/02/2019,15,3004,2307,-1,2876,1029,2054,-1,210,159,86,88,222,-1,522,1127,1234,312,153,1144,427,967,-1,277,1480,1037,973,217,1700,1640,663,653,undefined,148,209,2306,213,229,773,150,284,187,148,89,-1,-1,41,1259,507,253,599,264,598,121,-1,466,288,773,undefined
02/02/2019,16,2800,2104,-1,2585,1171,2190,-1,195,155,73,88,182,-1,547,1166,1090,272,134,1102,377,939,-1,220,1358,959,628,159,2530,1834,705,575,undefined,132,267,2557,223,177,833,186,274,135,104,63,-1,-1,40,1275,300,90,537,221,497,136,-1,410,386,833,undefined
02/02/2019,17,2636,1674,-1,2482,1541,2221,-1,157,145,94,201,380,-1,541,1175,865,341,149,1229,513,888,-1,247,1288,914,573,166,1646,1586,748,654,undefined,182,225,2881,244,226,782,215,280,127,121,72,-1,-1,59,1201,235,93,545,156,654,120,-1,456,328,782,undefined
02/02/2019,18,2264,1311,-1,2165,1359,2094,-1,161,185,133,241,492,-1,551,1166,542,376,131,1225,682,932,-1,252,1258,958,531,133,1555,1580,841,994,undefined,145,283,2571,239,239,736,207,339,81,71,45,-1,-1,55,1198,204,124,673,171,501,107,-1,466,239,736,undefined
02/02/2019,19,1907,984,-1,1893,1479,1850,-1,166,122,103,289,736,-1,637,1306,452,288,144,1430,833,1071,-1,162,1013,706,524,121,1986,1580,854,1353,undefined,88,217,2564,191,475,493,172,288,112,50,35,-1,-1,49,1166,180,115,903,134,526,104,-1,442,237,493,undefined
02/02/2019,20,1291,668,-1,1523,1551,1875,-1,159,121,77,260,887,-1,804,1157,412,290,74,1275,1048,1005,-1,181,833,759,544,115,566,1280,968,1514,undefined,87,160,2639,231,574,531,85,169,70,48,35,-1,-1,38,927,160,113,834,163,568,88,-1,396,206,531,undefined
02/02/2019,21,803,377,-1,1290,1445,1799,-1,201,116,69,266,848,-1,915,1033,305,171,90,1135,884,1020,-1,158,741,810,477,110,834,1094,935,1686,undefined,58,113,2828,281,597,447,126,201,94,29,14,-1,-1,24,889,154,114,741,112,479,91,-1,401,211,447,undefined
02/02/2019,22,650,365,-1,1282,1346,1761,-1,127,89,51,206,637,-1,705,805,294,177,98,949,777,846,-1,185,907,647,325,94,1305,1517,862,1529,undefined,109,370,3306,267,557,455,82,413,147,27,15,-1,-1,25,631,148,129,630,131,550,51,-1,281,216,455,undefined
02/02/2019,23,372,306,-1,1155,1153,1421,-1,81,71,67,88,342,-1,549,530,316,171,102,629,880,827,-1,206,718,487,280,83,718,1139,1009,863,undefined,130,307,2874,386,292,470,110,177,166,11,14,-1,-1,19,541,130,100,305,72,557,23,-1,228,177,470,undefined
03/02/2019,0,269,214,-1,672,701,963,-1,36,44,40,57,154,-1,414,281,162,78,39,426,473,643,-1,105,465,401,176,30,205,375,692,381,undefined,30,55,1060,243,103,222,57,97,103,4,5,-1,-1,6,383,38,75,89,38,485,28,-1,126,93,222,undefined
03/02/2019,1,191,142,-1,414,264,543,-1,24,30,18,14,66,-1,274,200,139,37,27,310,217,551,-1,83,257,208,138,25,58,141,503,207,undefined,16,22,545,268,39,154,19,45,42,2,4,-1,-1,6,254,33,79,26,48,336,15,-1,106,43,154,undefined
03/02/2019,2,130,102,-1,330,110,397,-1,17,33,9,4,31,-1,154,120,52,25,14,260,127,424,-1,55,148,74,93,19,84,110,333,53,undefined,10,18,264,121,15,133,11,23,3,2,2,-1,-1,5,208,19,39,6,80,172,15,-1,45,36,133,undefined
03/02/2019,3,90,86,-1,214,87,258,-1,7,30,14,-1,12,-1,130,97,70,11,2,130,149,343,-1,22,133,79,98,10,57,69,323,17,undefined,9,11,112,119,18,64,8,13,9,1,4,-1,-1,2,160,24,50,5,25,201,10,-1,43,20,64,undefined
03/02/2019,4,57,69,-1,138,57,196,-1,1,14,5,-1,6,-1,101,60,25,15,1,71,127,223,-1,23,101,40,76,8,34,41,165,33,undefined,11,14,71,49,8,51,19,14,6,3,5,-1,-1,1,123,18,29,9,15,58,8,-1,24,32,51,undefined
03/02/2019,5,29,32,-1,125,50,219,-1,10,10,6,2,10,-1,148,39,34,25,8,45,49,97,-1,38,118,35,66,9,85,37,241,7,undefined,11,12,83,21,8,52,6,17,4,6,3,-1,-1,-1,99,12,23,10,9,44,1,-1,12,19,52,undefined
03/02/2019,6,33,34,-1,154,52,193,-1,37,32,8,12,34,-1,107,46,29,28,19,18,33,70,-1,57,160,73,99,28,76,80,94,18,undefined,17,16,162,20,8,87,17,23,12,4,5,-1,-1,1,90,45,44,13,8,29,3,-1,24,39,87,undefined
03/02/2019,7,78,62,-1,192,63,305,-1,89,47,29,40,110,-1,145,95,77,53,20,70,91,94,-1,78,356,158,170,32,206,161,96,19,undefined,43,33,417,47,20,168,21,37,21,12,8,-1,-1,12,180,73,55,33,49,41,26,-1,53,58,168,undefined
03/02/2019,8,157,141,-1,315,112,416,-1,115,84,51,41,211,-1,164,116,138,82,48,124,46,120,-1,153,585,260,365,79,340,263,107,49,undefined,50,37,756,85,38,307,100,53,37,23,23,-1,-1,22,222,151,116,68,91,106,50,-1,103,120,307,undefined
03/02/2019,9,464,468,-1,608,241,795,-1,160,112,62,89,270,-1,212,257,245,155,71,118,197,231,-1,226,844,450,760,172,705,551,231,125,undefined,65,40,1144,143,98,412,129,76,102,48,34,-1,-1,29,515,288,236,137,155,212,63,-1,148,157,412,undefined
03/02/2019,10,1020,912,-1,1048,381,1238,-1,161,119,71,64,336,-1,328,440,628,213,78,260,395,356,-1,233,1058,618,1120,252,1207,970,455,178,undefined,86,98,1620,117,131,615,110,150,251,52,41,-1,-1,45,768,428,460,271,167,327,68,-1,335,261,615,undefined
