Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street,Flinders La-Swanston St (West) Temporary,RMIT Building 14,380 Elizabeth St,La Trobe St (North),231 Bourke St,Royal Pde - Grattan St
01/02/2020,0,230,148,824,644,880,802,194,29,35,28,25,78,-1,1,278,210,-1,57,298,219,462,709,66,304,412,182,41,154,257,491,190,undefined,-1,79,683,307,75,undefined,55,75,24,10,5,396,10,369,54,52,61,58,262,29,undefined,115,34,206,3,-1,86,388,89,-1,16
01/02/2020,1,136,102,523,414,398,472,20,8,22,6,8,34,-1,3,228,76,-1,15,229,123,318,452,44,183,433,138,35,64,32,423,49,undefined,-1,25,248,275,15,undefined,18,30,10,2,1,272,4,224,38,55,28,21,211,7,undefined,75,26,110,13,-1,47,291,43,-1,12
01/02/2020,2,91,81,266,241,205,176,14,5,12,-1,3,14,-1,4,112,44,-1,6,87,85,209,329,35,76,241,98,25,81,45,308,33,undefined,-1,15,88,241,15,undefined,18,10,4,2,1,199,2,172,29,41,8,15,144,19,undefined,40,15,92,8,-1,44,163,28,-1,3
01/02/2020,3,50,55,211,164,124,143,10,2,13,4,7,12,-1,1,69,37,-1,7,82,72,166,224,17,49,96,90,17,43,23,266,19,undefined,-1,5,45,176,16,undefined,4,11,6,2,1,114,3,120,16,34,12,20,137,19,undefined,38,14,45,4,-1,53,159,17,-1,5
01/02/2020,4,57,42,114,91,88,110,19,8,18,4,3,13,-1,1,39,22,-1,5,26,28,126,155,12,47,76,50,5,30,14,150,10,undefined,-1,4,41,10,17,undefined,5,8,1,-1,1,67,1,75,12,28,8,17,23,4,undefined,22,6,34,-1,-1,25,94,26,-1,1
01/02/2020,5,40,75,83,89,81,137,13,19,11,2,1,7,-1,2,21,28,-1,12,19,36,130,135,21,86,91,76,14,56,11,77,16,undefined,-1,10,76,14,6,undefined,8,21,6,-1,1,48,2,73,36,13,17,16,24,5,undefined,23,17,33,1,-1,41,93,20,-1,2
01/02/2020,6,64,34,82,102,115,225,41,33,75,7,4,28,-1,1,36,40,-1,30,29,37,62,225,40,233,125,103,30,53,34,94,19,undefined,-1,33,174,20,-1,undefined,25,35,8,4,3,77,5,95,61,34,16,51,21,14,undefined,21,27,76,7,-1,41,110,41,-1,19
01/02/2020,7,94,69,160,143,201,373,75,58,82,35,22,91,-1,3,78,79,-1,38,58,49,102,352,57,378,216,203,50,106,60,124,44,undefined,-1,52,387,34,-1,undefined,30,46,8,7,9,153,12,141,111,46,41,57,26,35,undefined,85,54,169,29,-1,55,178,18,-1,39
01/02/2020,8,297,167,276,290,344,479,86,77,99,90,29,117,-1,9,145,211,-1,80,125,70,94,738,103,668,346,358,166,199,104,175,101,undefined,-1,67,532,90,-1,undefined,89,102,29,19,15,195,25,306,238,70,90,80,161,33,undefined,157,197,290,66,-1,133,278,36,-1,49
01/02/2020,9,526,465,419,709,743,859,254,118,132,70,49,162,-1,9,282,559,-1,111,151,121,173,1141,151,864,765,640,210,322,164,287,73,undefined,-1,94,734,159,-1,undefined,107,135,33,66,72,358,27,686,380,157,264,155,200,33,undefined,226,236,402,80,-1,213,548,75,-1,65
