Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street,Flinders La-Swanston St (West) Temporary,RMIT Building 14,380 Elizabeth St,La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library - New,Flinders Ln - Degraves St (South),Flinders Ln - Degraves St (North),Flinders Ln - Degraves St (Crossing),Errol Street (East),Westwood Place,Flinders St - ACMI,Bourke St - Spencer St (South),Spring St - Flinders St (West),Macaulay Rd - Bellair St,Harbour Esplanade - Pedestrian Path,Harbour Esplanade - Bike Path
01/02/2021,0,41,39,130,101,156,86,22,25,7,1,11,25,na,44,na,10,4,7,67,23,100,223,11,48,49,72,7,73,5,88,52,undefined,na,2,54,12,47,undefined,1,14,14,5,5,66,167,9,94,18,27,9,14,22,4,undefined,29,na,49,34,na,31,142,17,55,3,44,57,na,na,na,na,na,21,14,7,undefined,undefined,undefined
01/02/2021,1,25,7,79,43,55,67,10,5,na,6,8,27,na,17,na,13,5,1,52,13,49,97,20,34,56,43,3,46,1,93,15,undefined,na,4,29,5,9,undefined,1,1,9,4,3,22,86,4,54,13,39,5,20,13,6,undefined,10,na,39,19,na,18,102,22,20,4,12,33,na,na,na,na,1,4,5,12,undefined,undefined,undefined
01/02/2021,2,13,16,44,17,51,26,5,3,na,2,na,3,na,24,na,7,9,2,33,15,56,89,19,12,23,44,2,31,na,61,6,undefined,na,1,22,2,12,undefined,na,3,4,na,2,14,44,na,33,9,30,6,13,14,3,undefined,4,na,35,19,na,12,84,15,45,2,9,32,na,na,na,na,2,1,13,na,undefined,undefined,undefined
01/02/2021,3,23,5,29,11,50,20,2,3,2,5,2,4,na,5,na,18,8,1,15,7,29,103,6,6,9,24,6,40,na,31,1,undefined,na,3,12,2,3,undefined,2,7,5,2,1,11,80,1,25,9,19,na,na,11,1,undefined,4,na,12,7,na,7,71,28,22,6,7,12,na,na,na,na,1,1,5,4,undefined,undefined,undefined
01/02/2021,4,12,1,43,20,60,47,9,4,5,1,3,7,na,23,na,8,4,3,20,2,23,33,6,18,49,32,3,50,na,41,12,undefined,na,2,14,9,9,undefined,2,2,4,2,na,5,50,3,16,4,20,8,5,5,2,undefined,7,na,8,12,na,11,40,17,15,3,10,22,na,na,na,na,na,5,6,2,undefined,undefined,undefined
01/02/2021,5,35,9,31,67,84,126,56,15,37,2,3,15,na,54,na,28,35,15,6,16,25,126,22,100,93,35,10,54,2,39,8,undefined,na,15,63,20,9,undefined,2,14,16,1,1,14,145,3,72,9,15,14,17,14,3,undefined,13,na,76,15,na,23,82,17,18,14,25,22,na,na,na,4,na,25,18,12,undefined,undefined,undefined
01/02/2021,6,64,38,93,165,300,319,123,91,118,35,23,71,na,125,na,69,113,52,30,19,32,323,92,304,338,76,11,209,12,52,32,undefined,na,28,271,31,12,undefined,32,34,63,17,9,57,401,9,142,17,45,17,73,22,4,undefined,80,na,175,64,na,40,301,39,33,45,103,38,57,39,21,10,6,79,46,56,undefined,undefined,undefined
01/02/2021,7,131,88,77,330,623,603,256,185,382,40,43,146,na,245,na,157,277,192,32,30,56,659,186,645,568,128,41,487,13,51,46,undefined,na,43,460,100,14,undefined,75,102,107,48,35,111,663,24,214,67,39,68,93,84,22,undefined,61,na,403,142,na,102,297,52,101,115,123,90,194,119,103,38,24,113,115,53,undefined,undefined,undefined
01/02/2021,8,301,194,113,505,830,1114,352,260,786,81,48,220,na,318,na,404,642,502,78,61,140,1181,507,1230,710,230,65,695,11,127,100,undefined,na,71,740,294,50,undefined,194,272,204,115,66,252,1240,62,458,106,46,155,80,269,53,undefined,146,na,733,267,na,216,469,119,188,212,273,239,424,196,202,103,67,339,353,63,undefined,undefined,undefined
01/02/2021,9,435,281,183,641,620,652,183,178,397,83,39,155,na,254,na,465,425,332,100,63,150,951,243,769,574,258,49,483,9,162,95,undefined,na,53,409,225,80,undefined,165,172,197,87,31,233,1132,53,465,89,60,158,195,198,41,undefined,159,na,501,242,na,224,564,128,212,167,231,247,512,216,166,139,88,170,207,56,undefined,undefined,undefined
