Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West)
01/01/2016,0,1535,0,409,785,2829,3044,461,883,1081,915,984,4034,1785,444,3995,3643,623,1405,0,1838,1241,538,1900,2844,651,355,156,2427,953,268,375,1019,0,613,175,3681,582,2536,0,36,15,16
01/01/2016,1,1442,0,200,313,2905,2908,430,597,546,380,382,1516,654,198,3513,2009,811,1124,0,1850,1330,421,1646,1783,873,402,115,2213,1114,204,193,424,0,436,92,4511,129,2606,0,37,36,30
01/01/2016,2,747,0,96,116,1733,2036,195,294,287,125,173,540,246,95,2492,3238,1881,614,0,1271,691,266,959,784,518,290,76,1149,807,36,94,191,0,314,49,4311,66,2200,0,11,7,11
01/01/2016,3,352,0,48,85,1214,1162,161,183,210,93,114,392,181,53,1325,2164,1185,363,0,1034,477,171,749,385,367,168,37,475,829,37,24,50,0,244,42,3638,39,1437,0,15,3,1
01/01/2016,4,109,0,12,40,357,657,90,118,63,33,16,80,26,34,570,1161,690,194,0,535,305,135,410,152,120,98,35,197,375,21,17,26,0,66,23,2604,30,448,0,10,7,4
01/01/2016,5,65,0,31,38,179,294,54,68,34,32,14,30,8,10,315,682,381,159,0,300,218,52,243,109,80,57,22,72,313,7,12,16,0,32,7,1277,25,234,0,8,4,4
01/01/2016,6,52,0,15,40,160,168,55,47,32,17,10,37,8,19,183,388,219,87,0,203,273,49,170,113,56,71,19,75,172,10,13,20,0,26,4,702,20,107,0,6,1,1
01/01/2016,7,67,0,10,40,166,172,38,52,55,23,10,54,12,30,142,373,127,79,0,200,303,33,99,94,36,41,13,73,151,23,28,17,0,31,23,549,18,132,0,11,6,7
01/01/2016,8,73,0,25,49,190,224,68,120,67,31,10,82,16,56,189,275,96,116,0,275,376,54,79,141,71,30,29,130,68,29,14,17,0,36,19,637,18,150,0,16,8,6
01/01/2016,9,142,0,34,67,398,466,214,333,222,51,43,138,35,61,399,545,217,177,0,547,554,142,157,244,99,96,33,279,116,69,35,35,0,60,39,987,82,278,0,23,10,4
