Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North)
01/01/2019,0,918,770,-1,3025,531,3284,2733,762,1830,1217,1339,4003,-1,701,1548,1441,769,440,633,494,1745,-1,577,1867,3658,637,137,2800,1360,759,192,undefined,617,802,2802,775,125,1286,207,539,16,10,20,2836,-1,23,1650,194,301,141,446,573,61,-1,373,-1,1286
01/01/2019,1,995,635,-1,3077,3854,2751,1086,336,656,470,352,1518,-1,2172,1494,750,246,192,908,361,1722,-1,416,1838,2122,719,165,1746,1896,1154,141,undefined,248,374,6096,607,78,934,99,153,49,4,12,2271,-1,26,1387,203,186,94,156,545,84,-1,290,-1,934
01/01/2019,2,416,262,-1,1927,2234,2553,571,138,240,202,100,363,-1,2217,878,259,83,70,469,304,1113,-1,222,896,774,370,72,940,731,671,54,undefined,67,98,2711,370,29,451,60,50,21,9,10,1328,-1,2,779,101,131,29,90,329,57,-1,145,-1,451
01/01/2019,3,382,194,-1,998,1045,1769,208,95,111,116,29,137,-1,1358,309,213,43,30,289,208,786,-1,133,686,797,256,34,466,288,474,29,undefined,56,59,1347,141,29,340,21,27,8,7,9,671,-1,8,588,73,64,15,48,251,23,-1,106,-1,340
01/01/2019,4,165,106,-1,472,483,911,83,25,29,31,5,60,-1,766,133,79,43,8,155,149,405,-1,87,346,258,197,23,109,134,321,28,undefined,18,10,544,96,9,160,15,4,4,-1,1,240,-1,-1,355,36,75,14,53,85,14,-1,49,-1,160
01/01/2019,5,117,53,-1,209,267,506,46,30,30,17,1,29,-1,469,110,56,35,11,93,65,249,-1,50,284,88,130,15,64,63,279,18,undefined,20,16,283,46,13,104,31,14,3,-1,3,141,-1,7,212,31,38,6,51,50,20,-1,49,-1,104
01/01/2019,6,48,55,-1,131,214,360,48,16,45,27,10,22,-1,244,42,21,47,22,44,51,117,-1,82,285,91,103,9,57,69,82,7,undefined,29,17,246,22,7,100,17,13,5,-1,-1,82,-1,4,113,17,25,13,30,39,8,-1,28,-1,100
01/01/2019,7,47,51,-1,153,169,260,49,32,38,9,11,42,-1,147,50,83,32,24,73,72,76,-1,70,292,86,96,16,84,70,60,14,undefined,21,19,292,16,8,129,31,22,10,7,5,100,-1,4,123,20,42,12,32,31,16,-1,27,-1,129
01/01/2019,8,86,87,-1,207,235,352,65,56,60,15,19,90,-1,159,83,73,68,33,113,25,99,-1,70,377,134,163,17,124,83,86,36,undefined,18,17,446,29,18,182,46,23,34,4,2,127,-1,5,175,44,29,21,33,56,25,-1,48,-1,182
01/01/2019,9,253,258,-1,388,433,508,116,124,88,28,39,181,-1,182,128,219,97,44,82,98,131,-1,127,567,295,260,40,268,170,133,64,undefined,54,54,893,54,29,319,116,65,158,18,19,219,-1,12,363,93,64,69,76,101,45,-1,106,-1,319
01/01/2019,10,956,689,-1,955,885,815,225,154,109,92,59,365,-1,361,284,427,166,79,302,368,294,-1,208,963,522,399,67,536,282,287,119,undefined,84,99,1472,100,127,497,112,81,320,19,15,527,-1,25,714,142,153,132,75,209,27,-1,174,-1,497
01/01/2019,11,1542,1141,-1,1369,1589,1272,291,193,105,79,136,432,-1,525,473,575,228,99,471,446,530,-1,193,1135,862,490,79,1132,562,372,225,undefined,92,94,2326,129,129,603,176,126,212,36,31,770,-1,25,1000,187,165,267,103,302,50,-1,300,-1,603
01/01/2019,12,2084,1634,-1,1887,2029,1514,354,250,133,75,162,614,-1,484,702,728,225,114,952,656,634,-1,241,926,1130,512,131,1427,710,522,277,undefined,104,105,2706,148,237,618,100,150,106,42,22,1016,-1,39,1142,264,153,365,115,315,63,-1,363,-1,618
01/01/2019,13,2324,1723,-1,2198,2286,1664,465,277,116,66,187,544,-1,548,815,728,248,86,1240,746,802,-1,194,939,1220,487,147,1608,986,548,360,undefined,120,83,3100,78,264,657,85,161,104,45,18,1146,-1,29,1282,239,111,514,128,338,53,-1,394,-1,657
01/01/2019,14,2677,1831,-1,2343,2517,1714,452,299,124,36,169,470,-1,629,968,818,194,124,1214,472,802,-1,183,922,1457,416,97,1927,1076,689,501,undefined,82,92,3212,115,218,635,61,153,133,37,23,1210,-1,25,1185,186,109,498,113,412,80,-1,468,-1,635
01/01/2019,15,2658,2057,-1,2430,2741,1844,482,287,119,59,200,426,-1,666,1063,832,260,128,1207,368,861,-1,186,964,1491,442,89,1752,1056,665,514,undefined,100,113,3470,124,240,635,135,167,71,39,25,1377,-1,40,1376,166,116,551,111,441,146,-1,379,-1,635
01/01/2019,16,2819,1989,-1,2348,2504,1771,620,280,123,86,168,454,-1,634,1042,652,233,111,1128,313,882,-1,202,1120,1285,388,86,1590,1077,682,422,undefined,100,130,3153,96,199,679,101,129,109,44,21,1338,-1,26,1315,150,116,430,111,398,61,-1,383,-1,679
01/01/2019,17,2587,1727,-1,2239,2462,1870,975,258,134,85,142,481,-1,818,1084,649,194,120,1090,452,963,-1,203,1107,1222,425,115,1244,1200,752,452,undefined,106,146,4259,116,212,614,101,167,115,30,28,1233,-1,27,1474,171,100,394,117,374,66,-1,359,-1,614
