Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street,Flinders La-Swanston St (West) Temporary,RMIT Building 14,380 Elizabeth St,La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library - New,Flinders Ln - Degraves St (South),Flinders Ln - Degraves St (North),Flinders Ln - Degraves St (Crossing),Errol Street (East),Westwood Place,Flinders St - ACMI,Bourke St - Spencer St (South),Spring St - Flinders St (West),Macaulay Rd - Bellair St,Harbour Esplanade - Pedestrian Path,Harbour Esplanade - Bike Path
01/01/2021,0,349,236,708,1461,3834,1678,250,270,62,60,308,988,na,998,na,196,79,33,413,500,575,1608,264,356,1093,171,50,753,9,446,119,undefined,na,79,3579,201,107,undefined,14,86,9,3,5,638,2556,8,588,65,75,67,54,438,12,undefined,153,95,213,84,na,183,769,95,424,15,747,697,na,na,na,na,12,742,124,na,undefined,undefined,undefined
01/01/2021,1,246,174,482,860,2123,1215,1027,112,34,56,72,349,na,612,na,159,51,30,341,302,506,1281,235,287,856,229,51,325,25,500,90,undefined,na,47,1651,138,70,undefined,9,54,14,13,9,421,1716,14,494,78,112,49,73,401,15,undefined,151,116,298,62,na,175,680,115,374,7,407,404,na,na,na,na,5,234,130,6,undefined,undefined,undefined
01/01/2021,2,173,122,418,597,1057,862,58,71,35,31,24,178,na,395,na,122,62,26,224,130,331,993,159,267,292,192,35,235,22,325,40,undefined,na,20,758,129,38,undefined,11,43,10,5,6,358,1160,7,390,50,64,30,46,307,13,undefined,155,59,152,65,na,88,517,144,250,14,370,336,na,na,na,13,8,133,116,na,undefined,undefined,undefined
01/01/2021,3,134,75,323,393,607,495,44,59,27,32,15,63,na,310,na,53,21,5,119,128,339,765,87,169,214,222,35,171,4,296,24,undefined,na,10,246,57,4,undefined,11,23,12,6,3,277,1027,2,358,51,91,11,28,266,27,undefined,151,27,120,68,na,96,439,92,211,13,204,165,na,na,na,na,3,55,108,na,undefined,undefined,undefined
01/01/2021,4,106,82,240,242,337,321,30,14,12,9,5,37,na,230,na,39,10,7,88,102,162,424,78,117,210,138,22,71,3,198,8,undefined,na,5,167,74,15,undefined,na,5,12,5,3,90,499,7,222,29,62,6,20,127,12,undefined,64,10,60,40,na,35,308,65,123,6,57,98,na,na,na,na,5,44,30,na,undefined,undefined,undefined
01/01/2021,5,41,34,151,145,205,184,25,7,10,4,6,17,na,115,na,15,15,8,31,48,108,240,57,109,99,77,12,52,8,111,17,undefined,na,5,89,22,18,undefined,3,12,na,na,na,54,226,4,133,16,39,11,27,59,3,undefined,19,28,63,34,na,28,178,45,68,7,56,99,2,0,0,na,6,27,14,3,undefined,undefined,undefined
01/01/2021,6,28,23,51,113,180,163,21,26,11,5,6,23,na,93,na,43,22,5,45,40,47,224,54,125,183,55,14,50,12,73,29,undefined,na,3,85,19,19,undefined,13,9,7,3,2,39,264,na,69,11,49,1,29,22,1,undefined,15,20,83,46,na,28,132,17,35,14,35,34,23,17,3,na,8,11,16,6,undefined,undefined,undefined
01/01/2021,7,46,24,62,102,103,178,39,42,27,12,16,74,na,79,na,22,18,9,38,27,38,222,34,163,169,54,9,64,8,76,19,undefined,na,7,148,10,14,undefined,13,12,8,5,5,46,202,12,78,13,41,18,11,21,4,undefined,19,22,68,35,na,35,123,21,29,19,39,52,46,19,11,na,3,35,26,12,undefined,undefined,undefined
01/01/2021,8,70,37,54,119,201,191,47,59,13,17,29,89,na,80,na,42,33,9,49,21,32,307,28,178,175,113,9,83,11,57,43,undefined,na,13,260,21,39,undefined,4,27,10,9,5,63,210,8,112,19,37,40,21,31,3,undefined,28,31,86,56,na,26,164,16,45,12,60,56,90,44,24,11,49,31,19,6,undefined,undefined,undefined
01/01/2021,9,152,136,110,250,395,272,92,103,41,58,47,157,na,123,na,51,57,20,83,43,72,388,77,197,343,132,27,224,30,95,52,undefined,na,19,459,26,47,undefined,13,45,8,2,9,109,408,6,217,36,43,48,37,58,6,undefined,42,71,118,84,na,70,229,51,106,19,87,111,148,124,59,50,6,66,27,10,undefined,undefined,undefined
01/01/2021,10,519,356,178,586,651,480,115,178,49,35,58,207,na,192,na,151,63,23,192,89,157,840,89,336,564,236,42,390,38,214,68,undefined,na,19,850,65,80,undefined,8,42,17,14,9,219,673,7,402,83,103,163,62,145,7,undefined,83,118,264,119,na,94,398,61,180,23,171,229,381,235,145,99,7,137,36,25,undefined,undefined,undefined
01/01/2021,11,841,601,318,814,1060,675,157,216,27,35,95,284,na,268,na,271,120,28,333,209,271,1046,121,370,722,341,47,687,45,293,80,undefined,na,34,991,90,113,undefined,17,89,20,26,14,367,1127,6,679,81,111,150,87,183,6,undefined,192,126,317,162,na,174,538,55,359,41,268,342,436,277,192,165,7,145,46,22,undefined,undefined,undefined
01/01/2021,12,1158,736,421,1052,1340,851,116,263,42,60,86,302,na,221,na,401,154,48,611,265,299,1224,123,455,950,348,56,834,53,326,156,undefined,na,49,1294,72,121,undefined,22,124,24,14,21,460,1184,20,693,87,107,279,85,264,14,undefined,238,120,298,227,na,167,821,86,305,35,314,509,375,241,175,136,14,142,51,46,undefined,undefined,undefined
01/01/2021,13,1520,837,594,1299,1386,856,130,226,50,37,61,272,na,303,na,310,114,55,817,321,420,1317,136,376,1023,318,72,1055,46,375,199,undefined,na,55,1321,51,124,undefined,27,155,34,18,13,492,1492,14,850,105,78,325,91,311,26,undefined,296,142,347,142,na,204,919,108,349,49,306,577,378,247,161,157,9,159,60,32,undefined,undefined,undefined
01/01/2021,14,1670,912,607,1395,1533,997,136,238,53,42,59,288,na,305,na,486,148,58,799,195,412,1388,110,470,1217,320,107,1063,77,370,322,undefined,na,85,1258,86,174,undefined,31,93,24,19,17,554,1424,14,940,133,95,319,97,302,16,undefined,283,91,341,225,na,194,960,87,326,32,345,665,359,259,125,142,2,136,57,42,undefined,undefined,undefined
01/01/2021,15,1722,893,684,1341,1420,981,142,193,48,58,54,289,na,277,na,412,155,51,806,196,465,1283,106,457,1108,314,48,968,72,427,267,undefined,na,65,1331,59,168,undefined,21,98,48,39,33,519,1432,17,797,96,71,383,119,259,13,undefined,247,104,387,291,na,181,1032,133,294,29,281,747,411,268,116,137,11,198,51,37,undefined,undefined,undefined
