Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West)
01/07/2015,0,54,33,13,32,245,140,64,17,0,4,7,10,6,6,151,224,77,21,66,247,85,21,192,48,114,42,28,50,0,79,3,27,17,26,9,376,19,77,29,9,9,4
01/07/2015,1,38,9,9,14,100,67,35,7,0,12,8,4,1,3,41,50,21,15,57,83,24,12,85,25,49,21,5,21,0,35,6,2,5,5,7,149,11,30,17,7,5,2
01/07/2015,2,31,13,2,6,51,42,36,9,0,1,1,2,1,0,36,22,16,20,25,47,29,22,61,12,43,16,2,16,6,27,2,1,3,1,7,96,0,31,11,0,4,3
01/07/2015,3,4,6,3,5,52,30,17,0,0,7,7,3,4,1,50,24,18,4,44,36,7,4,76,14,20,7,4,34,52,8,1,4,2,3,12,94,4,18,4,0,1,1
01/07/2015,4,18,7,4,8,37,37,11,17,0,4,4,4,1,2,62,72,41,3,26,50,25,0,44,14,11,6,4,44,27,12,3,7,7,5,2,130,9,15,6,7,2,2
01/07/2015,5,15,48,25,92,110,82,35,21,0,48,14,11,9,26,96,199,88,32,33,131,180,42,24,45,22,4,10,81,41,7,13,21,6,8,12,317,11,41,24,7,7,5
01/07/2015,6,49,222,195,687,129,167,99,94,0,451,88,59,12,106,315,949,278,166,93,519,623,133,79,177,15,15,22,285,53,27,87,51,81,52,12,639,56,176,150,41,39,20
01/07/2015,7,249,747,694,2179,343,460,252,228,0,1509,317,135,38,210,802,2252,501,391,174,1171,1933,478,163,469,59,53,58,678,220,73,191,102,181,204,55,1450,215,570,244,65,83,46
01/07/2015,8,624,1730,1673,4719,676,996,678,577,0,3021,511,263,77,381,1665,4298,1196,722,400,2344,3600,965,238,854,195,137,142,1508,338,167,409,273,474,656,149,3121,627,1276,526,4,236,169
01/07/2015,9,552,1182,899,2517,782,1221,789,706,0,1451,330,136,23,192,1135,2258,573,326,394,1556,2001,626,276,910,205,152,147,1116,308,137,304,167,469,473,143,2411,524,982,258,3,230,137
