Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Southbank
01/07/2017,0,334,82,51,0,826,682,280,177,167,35,27,48,2,22,0,768,229,74,162,696,407,87,788,297,418,428,37,200,514,244,59,62,44,296,55,0,0,-1,73,17,23,22,655
01/07/2017,1,241,59,21,0,577,500,156,107,90,21,19,35,4,8,0,570,157,25,136,604,241,69,636,158,350,200,26,92,493,67,26,38,24,180,9,0,0,-1,63,7,8,6,402
01/07/2017,2,116,25,9,0,360,311,63,64,52,22,11,22,0,6,0,314,167,19,108,389,83,49,401,18,116,123,13,70,298,30,9,10,7,251,15,0,0,-1,32,3,4,8,227
01/07/2017,3,66,9,14,0,248,223,51,61,42,23,15,10,1,2,0,250,77,14,100,260,79,44,348,7,93,110,19,59,227,21,10,9,5,142,13,0,0,-1,10,7,4,2,114
01/07/2017,4,35,16,6,0,108,122,18,39,19,13,6,9,0,9,0,157,67,25,58,215,59,25,223,19,90,44,14,42,92,24,9,5,14,20,9,0,0,-1,19,5,1,4,49
01/07/2017,5,43,30,14,0,147,96,28,20,33,20,14,8,2,4,0,146,71,29,67,168,106,34,163,20,37,33,21,76,94,2,11,9,5,9,7,0,0,-1,27,12,6,7,56
01/07/2017,6,34,47,23,0,91,99,39,35,40,71,6,22,2,15,0,250,94,43,102,216,207,46,72,93,27,49,37,57,48,21,24,16,28,11,7,0,0,-1,40,10,6,4,146
01/07/2017,7,74,88,52,0,175,135,72,73,104,77,31,63,3,25,0,370,114,120,179,385,352,72,72,209,52,34,40,253,55,21,49,42,52,27,7,0,0,-1,99,34,11,8,350
01/07/2017,8,163,127,82,0,389,401,303,187,213,124,65,80,15,80,0,691,193,137,394,806,661,144,143,647,100,50,129,537,133,50,62,30,131,101,55,0,0,-1,176,80,72,46,862
01/07/2017,9,278,199,126,0,569,846,718,645,554,250,69,165,5,138,0,1093,290,222,734,1137,907,264,272,1367,155,161,249,1221,237,127,214,112,191,167,74,0,0,-1,304,120,101,76,1331
01/07/2017,10,494,268,167,0,945,1636,1548,1322,927,253,102,256,18,194,0,1441,481,314,1211,1593,1088,312,378,2086,392,258,326,2094,331,193,154,135,216,200,112,0,0,-1,457,89,112,74,1995
01/07/2017,11,817,376,246,0,1506,2563,2706,2339,1287,209,101,313,28,239,0,1739,573,641,1570,1971,1379,354,646,2331,697,515,409,2734,536,215,176,223,159,216,180,0,0,-1,722,89,118,87,2812
01/07/2017,12,1140,370,207,0,2146,3306,3397,2680,1609,238,143,685,59,347,0,1918,414,1567,1837,2282,1483,393,966,2320,1093,646,465,3339,772,273,281,252,169,289,230,0,0,-1,1148,170,154,95,3456
01/07/2017,13,1586,394,241,0,2448,3604,3772,2714,1547,233,117,960,70,357,0,2164,445,2617,1752,2594,1702,358,1235,2430,1413,821,457,3625,857,369,333,249,179,231,245,0,0,-1,1245,178,194,128,3379
01/07/2017,14,1745,385,253,0,2427,3347,3722,2986,1657,196,105,425,56,294,0,2330,533,898,1659,2665,1177,312,1091,2720,1353,653,420,3043,865,335,154,175,120,225,318,0,0,-1,1253,133,164,107,3433
01/07/2017,15,1796,368,200,0,2458,3497,3882,3184,1492,187,84,484,93,260,0,2569,606,950,1181,2763,1407,385,1078,2736,1247,590,301,3085,801,416,145,157,142,227,315,0,0,-1,1295,153,172,89,3976
01/07/2017,16,1719,316,206,0,2520,3242,4073,2941,1541,248,283,1517,161,446,0,2634,588,1177,728,2871,2018,411,1204,2400,1280,652,224,3058,916,451,225,254,129,294,269,0,0,-1,1235,125,139,79,3554
01/07/2017,17,1859,579,193,0,2417,3189,3474,2296,1083,293,199,3103,464,307,0,2690,542,3124,503,2887,1945,529,1159,2007,1357,850,185,1788,1033,479,424,531,176,309,388,0,0,-1,893,158,236,141,4164
01/07/2017,18,1488,417,208,0,2397,2286,2593,1446,771,327,238,4850,1004,271,0,2226,511,416,479,2269,1448,418,1304,1581,1520,1090,185,835,1136,678,213,206,291,275,468,0,0,-1,356,94,84,69,3235
01/07/2017,19,1318,342,179,0,2652,1952,1852,711,514,202,270,3712,1648,170,0,1697,361,284,420,2015,989,281,1512,575,1555,1269,117,825,1267,964,120,145,213,225,653,0,0,-1,267,75,55,33,2752
01/07/2017,20,1131,310,124,0,2386,1463,1032,477,399,229,437,4090,870,218,0,1585,272,131,364,1603,910,271,1137,481,1212,1080,111,541,1026,949,91,138,163,229,658,0,0,-1,172,64,33,27,2631
01/07/2017,21,967,194,80,0,2061,1353,632,359,303,113,155,1286,194,95,0,1461,397,362,291,1433,664,259,952,348,1022,788,68,363,872,804,64,124,132,180,439,0,0,-1,194,55,30,24,1885
01/07/2017,22,686,187,129,0,1562,898,499,271,372,76,130,342,58,54,0,1276,335,96,243,1119,690,228,903,318,817,740,46,462,897,699,76,89,140,333,385,0,0,-1,136,46,22,19,1473
01/07/2017,23,477,159,55,0,1212,713,324,176,201,79,66,107,11,24,0,1057,343,104,167,874,546,155,840,229,502,763,36,205,755,439,59,63,88,334,108,0,0,-1,96,28,20,17,938
02/07/2017,0,302,87,35,0,732,750,136,129,139,34,57,105,36,18,0,721,199,81,150,510,333,92,541,179,373,391,34,89,470,282,28,44,48,348,71,0,0,-1,78,15,14,7,542
02/07/2017,1,147,53,17,0,598,424,147,110,94,17,32,40,4,5,0,538,144,46,113,485,157,71,478,98,283,242,11,50,385,124,19,23,27,402,36,0,0,-1,50,12,6,4,305
02/07/2017,2,138,18,6,0,253,343,68,59,66,21,20,17,5,4,0,384,130,13,54,444,135,21,471,61,135,149,19,73,215,57,20,22,10,314,16,0,0,-1,28,13,7,6,213
02/07/2017,3,59,18,24,0,272,265,129,51,58,17,20,15,10,3,0,311,94,15,69,274,90,40,361,34,92,163,13,39,235,21,5,10,13,251,10,0,0,-1,9,6,4,0,79
