Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W)
01/07/2018,0,236,111,851,650,449,640,19,20,30,50,33,108,-1,-1,212,132,83,29,362,358,618,550,72,406,226,174,45,155,55,593,189,undefined,28,52,693,352,32,-1,66,75,19,19,16,316,982,7,320,59,59,-1,26,370,12
01/07/2018,1,179,113,512,440,297,432,10,12,30,23,8,23,-1,-1,145,109,27,25,258,235,456,418,90,187,182,99,36,71,81,470,97,undefined,17,26,322,310,15,-1,36,41,3,9,4,275,733,5,250,39,22,-1,14,216,11
01/07/2018,2,147,124,452,487,313,642,4,22,39,4,11,31,-1,-1,136,107,28,24,156,160,496,446,66,200,114,158,6,77,39,305,54,undefined,18,30,290,256,1,-1,31,72,6,3,2,247,623,9,183,16,46,-1,37,173,22
01/07/2018,3,79,72,313,210,213,425,4,10,24,7,9,14,-1,-1,70,55,17,6,130,167,314,335,38,108,56,115,9,54,17,290,44,undefined,14,5,165,198,2,-1,20,10,4,6,4,145,380,5,144,15,21,-1,8,182,12
01/07/2018,4,50,37,123,113,131,268,17,6,19,5,8,9,-1,-1,32,29,18,2,56,95,203,271,39,103,30,75,11,37,23,134,33,undefined,11,14,57,88,1,-1,10,18,3,1,1,78,264,2,76,12,18,-1,5,61,3
01/07/2018,5,39,45,84,127,93,160,14,3,16,8,4,18,-1,-1,43,19,13,3,30,42,147,195,25,88,20,48,14,75,15,138,8,undefined,17,18,81,61,17,-1,10,20,1,-1,-1,73,227,-1,61,16,22,-1,8,48,2
01/07/2018,6,50,36,111,158,91,217,31,22,40,6,10,17,-1,-1,49,33,22,29,19,68,93,238,35,151,40,60,22,103,29,57,16,undefined,26,23,197,13,1,-1,10,17,5,5,3,78,282,1,81,34,20,-1,16,18,18
01/07/2018,7,70,72,138,160,162,239,59,34,47,17,12,52,-1,-1,68,57,54,75,31,49,119,363,43,318,16,132,30,186,28,67,16,undefined,24,27,210,20,6,-1,27,28,17,10,11,110,354,4,195,58,62,-1,28,63,20
01/07/2018,8,156,115,270,260,384,369,122,82,108,33,19,80,-1,-1,142,161,108,13,38,49,95,533,97,587,88,290,79,448,-1,78,40,undefined,38,48,493,53,22,-1,114,54,52,46,30,224,512,21,247,139,132,-1,51,99,32
01/07/2018,9,580,373,411,595,810,782,232,191,150,61,87,242,-1,-1,202,305,138,69,147,105,255,993,185,911,542,625,165,846,6,219,89,undefined,73,119,1165,97,32,-1,145,120,85,58,28,337,1000,49,584,308,292,-1,100,214,78
01/07/2018,10,1061,927,733,1234,1636,1018,466,237,192,106,130,418,-1,-1,464,677,206,99,326,287,391,1334,240,1278,948,1065,249,1652,8,339,127,undefined,113,89,1833,143,96,-1,160,222,72,94,55,642,1719,36,915,416,503,-1,154,348,168
01/07/2018,11,2087,1307,1239,1785,2167,1417,939,308,240,65,153,492,-1,-1,799,899,276,125,727,554,607,1680,254,1331,1110,1420,387,2030,468,650,214,undefined,132,164,2684,152,128,-1,116,297,93,142,79,1025,2476,73,1341,638,712,-1,222,428,140
01/07/2018,12,2941,2021,1807,2662,3095,1698,1813,424,280,138,167,657,-1,-1,1228,1131,432,122,1310,946,962,1903,342,1414,1599,1816,548,2768,43,857,288,undefined,132,200,3298,195,202,-1,133,494,113,134,91,1377,3178,58,1719,877,777,-1,301,628,102
