Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street,Flinders La-Swanston St (West) Temporary,RMIT Building 14
01/07/2019,0,67,37,250,133,79,160,4,9,10,12,25,55,-1,77,79,44,15,7,121,36,161,257,38,121,-1,92,-1,46,17,175,32,undefined,13,11,88,11,5,73,17,16,20,15,12,63,13,91,20,66,17,34,43,23,-1,25,28,73,5,178,54
01/07/2019,1,44,8,109,66,51,61,2,3,7,12,4,7,-1,21,62,21,11,2,60,39,119,99,21,47,-1,66,-1,46,17,152,16,undefined,1,2,47,6,2,51,8,7,11,1,1,60,4,58,13,40,5,13,19,11,-1,18,14,51,-1,148,31
01/07/2019,2,22,20,48,49,27,43,-1,5,1,-1,7,13,-1,9,13,9,8,6,31,17,67,146,7,26,-1,44,-1,17,3,75,9,undefined,1,4,20,5,1,29,5,5,4,3,3,17,2,36,1,55,2,2,21,6,-1,20,4,29,-1,74,9
01/07/2019,3,24,10,68,20,42,39,2,-1,4,-1,5,8,-1,8,23,13,4,5,13,25,67,70,21,12,-1,22,-1,34,3,44,6,undefined,1,2,31,8,1,25,-1,6,4,1,2,8,-1,23,4,39,1,3,8,1,-1,9,6,25,2,43,30
01/07/2019,4,15,23,36,36,47,52,3,5,8,3,5,5,-1,36,11,14,11,2,21,19,45,68,13,27,-1,39,-1,51,3,55,19,undefined,12,4,16,5,8,41,5,8,4,1,1,27,2,34,12,17,8,4,9,6,-1,9,7,41,1,45,15
01/07/2019,5,31,22,79,66,117,248,32,41,92,33,5,22,-1,102,34,41,85,48,24,31,42,203,60,355,-1,53,-1,105,12,44,10,undefined,26,22,93,19,8,105,16,20,15,8,8,64,2,68,7,21,5,15,23,11,-1,27,86,105,1,136,30
01/07/2019,6,120,79,155,205,395,1014,114,113,556,93,13,75,-1,279,99,129,250,187,36,20,69,793,267,1139,-1,106,-1,371,58,80,29,undefined,104,76,591,63,12,399,100,91,41,26,20,159,21,164,47,40,23,21,48,17,-1,80,507,399,8,392,72
01/07/2019,7,269,232,261,407,888,1829,343,318,2204,361,57,175,-1,641,253,388,766,748,70,77,147,1416,724,2233,-1,172,-1,893,119,125,71,undefined,215,135,818,245,40,1216,291,238,82,70,47,422,46,462,118,48,78,72,182,52,-1,136,2013,1216,57,3,244
01/07/2019,8,788,498,647,927,1719,3936,589,540,4217,673,127,379,-1,1454,566,800,2130,1685,180,190,373,2613,1501,4326,-1,510,-1,1634,285,386,131,undefined,546,310,1714,642,107,2419,779,700,294,357,164,916,114,978,248,72,168,99,526,126,-1,350,4352,2419,198,-1,550
01/07/2019,9,1001,711,680,1083,1244,2102,229,289,2570,516,100,269,-1,685,563,908,1329,932,200,191,375,2018,878,2804,-1,487,-1,1137,232,294,147,undefined,393,223,1034,538,141,1514,689,627,262,269,136,764,128,952,172,105,245,135,471,102,-1,331,2914,1514,323,-1,505
01/07/2019,10,1439,1070,804,1481,1476,1251,143,194,873,327,68,152,-1,457,634,1169,727,473,334,234,490,1862,604,1665,-1,484,-1,1477,300,320,185,undefined,216,236,852,490,128,1077,504,483,205,153,82,817,110,1076,239,114,273,151,412,114,-1,378,1132,1077,246,1800,569
01/07/2019,11,2114,1490,1244,2160,1826,1477,152,242,717,288,77,242,-1,485,836,1445,688,399,537,402,737,2482,634,1663,-1,649,-1,1865,482,551,168,undefined,181,219,1152,423,134,1094,509,488,241,162,118,1032,99,1321,307,144,357,151,498,144,-1,509,965,1094,243,2367,628
01/07/2019,12,3511,2637,2330,3240,2286,2111,281,743,1354,524,158,430,-1,685,1347,2193,1499,546,1103,701,1427,3228,1090,2414,-1,1035,-1,2268,574,873,326,undefined,354,337,2192,890,338,1576,1284,886,430,197,145,1895,240,2132,360,241,591,238,865,154,-1,814,2297,1576,381,2970,895
01/07/2019,13,3851,2999,2358,3559,2366,2211,318,559,1178,487,120,370,-1,699,1486,2365,1498,618,1121,853,1591,3720,1051,2439,-1,987,-1,2047,629,984,346,undefined,329,392,2132,875,336,1590,1212,801,376,242,129,2141,212,2292,340,228,691,217,993,233,-1,870,1789,1590,660,3499,1008
01/07/2019,14,3233,2400,2110,3194,2144,1987,241,284,839,295,108,265,-1,647,1410,1714,805,479,992,614,1114,3150,626,2023,-1,688,-1,1861,492,765,295,undefined,244,256,1549,584,249,1089,555,492,287,175,110,1630,151,1799,231,170,485,212,756,209,-1,604,953,1089,358,3279,832
01/07/2019,15,3145,2317,2252,2913,2133,2300,210,287,1307,395,84,328,-1,748,1472,1432,720,568,922,589,1067,3186,565,2399,-1,611,-1,1884,526,760,239,undefined,249,246,1430,514,190,1264,418,393,301,192,126,1517,123,1832,336,121,450,135,743,222,-1,550,1218,1264,306,-1,766
01/07/2019,16,3189,1999,2096,2770,2457,3121,309,389,2962,638,91,266,-1,1083,1691,1346,705,957,839,407,1064,3729,835,3665,-1,572,-1,2086,479,600,218,undefined,387,219,1488,555,175,1954,468,447,323,258,129,1586,146,1968,241,134,459,137,650,220,-1,617,2742,1954,283,-1,779
