Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street,Flinders La-Swanston St (West) Temporary,RMIT Building 14,380 Elizabeth St,La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library - New,Flinders Ln - Degraves St (South),Flinders Ln - Degraves St (North),Flinders Ln - Degraves St (Crossing),Errol Street (East),Westwood Place
01/07/2020,0,16,12,120,18,46,31,2,7,6,4,1,20,-1,19,-1,20,5,2,38,20,-1,98,10,44,24,63,7,40,3,18,30,undefined,-1,3,27,2,5,undefined,-1,5,16,3,6,27,46,11,57,9,104,5,16,6,1,undefined,13,4,20,1,-1,23,124,53,35,3,19,36,-1,-1,-1,undefined,undefined
01/07/2020,1,11,15,40,13,34,42,2,6,6,1,3,22,-1,15,-1,13,5,4,43,14,-1,73,8,21,37,46,5,16,5,17,15,undefined,-1,1,12,9,8,undefined,-1,6,1,-1,-1,15,36,1,30,7,58,2,5,13,-1,undefined,17,2,3,-1,-1,27,80,26,23,2,12,28,-1,-1,-1,undefined,undefined
01/07/2020,2,12,7,26,20,20,8,3,3,1,1,3,5,-1,6,-1,20,1,3,54,6,-1,23,2,7,4,52,5,10,1,26,15,undefined,-1,1,1,6,1,undefined,-1,2,7,-1,-1,14,35,-1,27,3,60,1,9,2,-1,undefined,11,1,25,-1,-1,15,66,23,19,2,12,19,-1,-1,-1,undefined,undefined
01/07/2020,3,10,5,48,79,22,6,5,-1,-1,1,2,-1,-1,8,-1,13,4,5,16,10,-1,45,19,17,13,18,1,27,2,19,18,undefined,-1,4,17,5,8,undefined,-1,2,3,-1,3,8,17,5,37,3,24,10,9,1,1,undefined,8,2,15,-1,-1,13,25,15,9,4,3,7,-1,-1,-1,undefined,undefined
01/07/2020,4,5,10,34,25,51,17,16,2,5,1,-1,-1,-1,13,-1,11,7,3,3,8,-1,46,14,26,4,29,3,46,5,20,4,undefined,-1,1,9,2,1,undefined,-1,-1,3,3,3,13,30,5,22,1,28,-1,4,1,-1,undefined,1,2,18,-1,-1,7,38,35,10,3,7,16,-1,-1,-1,undefined,undefined
01/07/2020,5,9,2,31,48,98,105,15,17,49,5,1,10,-1,93,-1,22,48,9,14,6,-1,155,22,116,46,58,4,69,7,6,23,undefined,-1,14,30,10,8,undefined,-1,11,4,3,2,26,110,2,47,9,18,6,15,4,3,undefined,12,19,71,-1,-1,17,82,14,13,12,11,14,-1,-1,-1,undefined,undefined
01/07/2020,6,89,25,86,102,192,216,63,53,189,42,17,58,-1,250,-1,80,91,44,23,12,-1,293,85,339,179,83,23,130,34,38,49,undefined,-1,29,136,39,5,undefined,-1,27,58,19,12,47,314,10,87,37,32,11,55,20,4,undefined,72,58,115,-1,-1,32,226,38,37,51,39,41,23,7,6,undefined,undefined
01/07/2020,7,125,86,140,156,280,269,153,136,294,75,31,109,-1,260,-1,124,157,124,27,16,-1,493,158,447,340,135,37,176,69,43,44,undefined,-1,50,183,52,22,undefined,-1,61,52,27,23,145,384,17,149,70,82,38,25,36,9,undefined,53,137,257,4,-1,67,196,24,83,119,99,102,73,61,65,undefined,undefined
01/07/2020,8,210,142,251,274,461,339,177,161,327,71,40,171,-1,370,-1,279,300,198,62,62,-1,764,227,665,445,190,61,288,110,71,67,undefined,-1,54,218,163,45,undefined,-1,155,47,34,25,165,590,22,300,81,50,84,66,122,11,undefined,105,129,386,31,-1,125,315,49,106,114,152,129,182,120,215,undefined,undefined
01/07/2020,9,343,236,243,429,326,295,106,145,173,66,43,139,-1,296,-1,389,273,200,69,59,-1,775,164,539,383,199,65,228,81,121,72,undefined,-1,49,162,176,64,undefined,-1,125,68,46,25,215,762,45,363,93,97,140,63,109,3,undefined,106,131,313,44,-1,119,350,44,177,142,134,175,230,146,191,undefined,undefined
01/07/2020,10,595,406,350,671,525,283,100,146,115,61,37,155,-1,285,-1,459,253,208,128,64,-1,870,159,484,351,304,100,324,118,168,114,undefined,-1,62,189,167,86,undefined,-1,165,81,34,16,273,918,47,472,111,92,259,75,160,9,undefined,143,112,310,68,-1,174,526,54,212,92,139,314,244,139,189,undefined,undefined
01/07/2020,11,865,644,601,916,574,326,141,184,107,52,61,196,-1,357,-1,592,273,180,235,134,-1,1070,161,528,443,395,139,423,197,234,168,undefined,-1,54,298,184,101,undefined,-1,142,89,60,37,442,1147,46,628,159,101,322,143,215,-1,undefined,190,122,343,80,-1,185,585,99,313,107,195,431,346,170,255,undefined,undefined
01/07/2020,12,1291,904,832,1310,847,530,180,229,167,76,74,214,-1,469,-1,807,343,209,414,188,-1,1370,267,629,667,621,123,512,185,341,176,undefined,-1,84,525,303,160,undefined,-1,212,128,68,45,517,1425,74,783,201,141,361,173,271,4,undefined,297,170,400,113,-1,294,887,137,441,162,281,660,439,233,325,undefined,undefined
01/07/2020,13,1623,1044,1003,1400,854,504,164,230,213,84,67,230,-1,554,-1,895,357,185,476,239,-1,1580,291,685,786,560,121,569,247,369,240,undefined,-1,67,652,292,178,undefined,-1,240,163,114,70,703,1590,71,1092,203,90,400,156,368,5,undefined,293,218,464,117,-1,356,1048,160,505,163,382,861,505,245,363,undefined,undefined
01/07/2020,14,1624,1032,1017,1441,989,573,171,252,164,61,85,234,-1,586,-1,811,293,197,405,187,-1,1640,195,661,774,472,152,579,249,307,208,undefined,-1,89,582,233,183,undefined,-1,171,162,119,69,649,1547,87,1157,201,68,337,165,322,3,undefined,303,152,397,96,-1,348,1164,158,334,135,395,965,427,228,299,undefined,undefined
01/07/2020,15,1606,996,1029,1484,873,561,199,281,227,54,70,239,-1,626,-1,710,242,181,456,206,-1,1715,160,846,845,408,152,488,253,305,225,undefined,-1,85,505,187,114,undefined,-1,128,108,82,54,596,1541,49,1078,197,109,312,155,301,2,undefined,281,159,411,101,-1,291,1215,123,392,150,322,996,406,202,296,undefined,undefined
01/07/2020,16,1594,817,1030,1286,872,577,216,255,302,73,64,240,-1,581,-1,631,205,165,399,145,-1,1767,220,852,929,350,114,540,204,304,190,undefined,-1,70,410,194,108,undefined,-1,136,93,89,70,576,1548,50,1053,152,92,250,128,262,-1,undefined,227,165,431,76,-1,346,1156,146,336,182,356,1059,340,198,266,undefined,undefined
01/07/2020,17,1471,604,1087,1162,907,587,238,309,358,94,91,286,-1,657,-1,495,216,215,430,243,-1,2037,240,978,739,333,116,431,197,312,211,undefined,-1,83,466,216,108,undefined,-1,155,93,84,68,576,1364,55,1012,154,108,260,110,271,2,undefined,249,216,502,11,-1,309,1225,168,341,143,371,1004,291,57,101,undefined,undefined
01/07/2020,18,758,351,1009,803,602,536,166,184,147,73,82,225,-1,553,-1,249,120,99,402,249,-1,1459,157,597,467,357,78,313,121,288,256,undefined,-1,50,362,158,118,undefined,-1,67,83,65,47,391,1012,44,698,134,166,217,144,190,7,undefined,234,114,295,-1,-1,245,991,168,287,102,248,804,200,3,7,undefined,undefined
01/07/2020,19,591,170,753,493,357,289,62,111,74,40,77,222,-1,295,-1,156,68,52,410,182,-1,1179,129,370,267,277,71,180,64,259,265,undefined,-1,42,263,59,93,undefined,-1,82,61,44,26,300,672,31,543,107,134,231,81,185,4,undefined,262,75,175,-1,-1,193,865,149,181,51,156,623,130,2,4,undefined,undefined
01/07/2020,20,288,125,620,366,330,224,38,72,51,46,43,135,-1,210,-1,120,43,42,361,239,-1,809,100,290,185,221,60,115,87,282,349,undefined,-1,51,210,55,121,undefined,-1,53,41,31,12,224,463,33,322,76,91,156,88,148,1,undefined,197,48,141,-1,-1,142,655,118,201,34,131,467,103,2,4,undefined,undefined
01/07/2020,21,131,58,426,260,226,205,35,33,69,42,50,105,-1,227,-1,77,25,21,284,131,-1,678,72,284,156,152,49,74,46,202,309,undefined,-1,18,159,47,121,undefined,-1,44,30,34,18,179,382,20,278,47,105,136,81,105,-1,undefined,155,49,131,-1,-1,99,619,104,125,29,109,308,54,1,0,undefined,undefined
01/07/2020,22,69,50,245,183,186,117,13,32,47,16,29,98,-1,137,-1,33,41,17,162,81,-1,397,40,165,116,149,22,58,22,113,178,undefined,-1,10,87,20,51,undefined,-1,33,12,19,11,80,285,12,182,46,74,51,53,53,-1,undefined,57,34,105,-1,-1,65,368,73,106,13,67,217,-1,-1,-1,undefined,undefined
01/07/2020,23,62,21,122,69,119,94,18,17,12,8,-1,26,-1,88,-1,33,17,9,64,39,-1,178,52,129,43,92,19,63,17,96,90,undefined,-1,3,47,22,26,undefined,-1,11,19,21,18,64,161,13,94,39,106,17,42,33,-1,undefined,37,15,64,-1,-1,38,235,63,45,3,55,64,-1,-1,-1,undefined,undefined
02/07/2020,0,36,13,80,49,39,40,15,12,13,9,-1,3,-1,26,-1,13,3,3,28,29,-1,87,24,39,34,66,9,17,6,41,52,undefined,-1,15,22,8,7,undefined,-1,9,11,5,2,20,103,9,73,16,77,6,9,16,-1,undefined,28,4,24,-1,-1,18,120,33,40,5,12,25,-1,-1,-1,undefined,undefined
02/07/2020,1,17,9,76,37,29,41,2,4,6,6,7,15,-1,20,-1,15,8,2,31,18,-1,40,20,30,18,55,8,18,-1,43,13,undefined,-1,-1,15,4,6,undefined,-1,18,2,-1,-1,9,58,2,30,10,43,4,28,12,-1,undefined,10,3,22,-1,-1,12,73,20,6,1,3,30,-1,-1,-1,undefined,undefined
02/07/2020,2,9,11,85,11,17,8,1,-1,1,2,4,5,-1,3,-1,7,3,4,8,5,-1,52,13,7,1,32,5,16,2,6,4,undefined,-1,1,9,4,3,undefined,-1,1,2,-1,-1,7,21,5,27,5,30,1,10,9,-1,undefined,9,1,20,-1,-1,13,47,23,18,2,3,13,-1,-1,-1,undefined,undefined
02/07/2020,3,4,11,30,14,34,12,2,3,1,-1,3,7,-1,7,-1,16,-1,1,9,4,-1,49,5,5,24,41,5,30,1,20,-1,undefined,-1,2,5,3,-1,undefined,-1,-1,-1,-1,2,12,13,-1,20,3,13,3,5,1,-1,undefined,-1,2,18,-1,-1,22,45,25,14,7,4,16,-1,-1,-1,undefined,undefined
02/07/2020,4,3,4,19,19,51,15,9,-1,-1,2,-1,-1,-1,6,-1,11,3,2,11,4,-1,56,18,15,13,47,2,62,2,4,22,undefined,-1,5,5,2,8,undefined,-1,1,4,1,2,13,41,1,34,2,27,5,2,6,-1,undefined,-1,2,16,-1,-1,19,35,3,20,-1,6,14,-1,-1,-1,undefined,undefined
02/07/2020,5,22,5,56,44,69,101,15,15,43,2,2,11,-1,97,-1,38,47,14,13,1,-1,106,23,119,42,52,5,57,11,8,34,undefined,-1,12,17,15,10,undefined,-1,19,6,3,1,31,117,2,48,17,16,10,44,6,-1,undefined,15,23,64,-1,-1,22,107,20,11,11,24,18,-1,-1,-1,undefined,undefined
02/07/2020,6,62,31,80,106,168,239,65,56,200,31,12,37,-1,269,-1,56,105,50,9,19,-1,248,85,323,140,99,36,115,37,42,29,undefined,-1,33,102,49,4,undefined,-1,36,63,21,10,56,322,23,98,44,46,12,49,27,1,undefined,62,61,129,-1,-1,27,237,47,32,49,43,40,19,10,2,undefined,undefined
02/07/2020,7,123,92,116,195,255,323,116,140,256,89,44,140,-1,223,-1,129,168,114,23,13,-1,429,147,449,305,162,54,180,53,47,39,undefined,-1,40,165,83,22,undefined,-1,68,51,35,15,117,404,11,143,90,52,52,33,58,-1,undefined,35,103,241,11,-1,64,179,27,76,123,86,62,87,54,72,undefined,undefined
02/07/2020,8,218,174,166,288,423,486,167,165,308,78,33,190,-1,395,-1,341,295,208,37,38,-1,764,190,687,367,268,91,277,107,82,63,undefined,-1,62,280,180,37,undefined,-1,151,62,58,39,185,651,32,314,121,85,84,58,105,-1,undefined,114,167,368,19,-1,114,292,44,116,133,126,136,197,116,230,undefined,undefined
02/07/2020,9,359,204,267,454,376,353,104,135,179,58,30,131,-1,250,-1,394,258,218,56,48,-1,670,174,462,334,328,110,241,77,105,94,undefined,-1,45,240,173,51,undefined,-1,133,67,51,35,213,710,46,365,152,119,140,79,127,-1,undefined,89,124,339,33,-1,108,381,52,158,138,124,188,205,123,205,undefined,undefined
02/07/2020,10,538,379,332,681,505,373,94,170,122,81,35,131,-1,319,-1,529,253,141,115,83,-1,892,138,544,351,494,145,358,98,136,116,undefined,-1,50,296,197,72,undefined,-1,145,73,51,31,294,907,45,529,239,172,195,98,159,2,undefined,177,102,251,59,-1,146,539,87,221,131,177,325,301,143,243,undefined,undefined
02/07/2020,11,815,594,487,933,544,403,115,167,122,88,36,149,-1,324,-1,629,273,198,212,135,-1,930,137,494,434,526,154,389,145,239,127,undefined,-1,56,382,176,89,undefined,-1,178,80,64,28,372,1197,47,565,267,133,276,129,207,-1,undefined,174,137,350,96,-1,185,614,96,303,24,205,398,326,190,254,undefined,undefined
02/07/2020,12,1199,797,660,1249,706,449,186,218,174,79,74,211,-1,408,-1,744,394,198,372,204,-1,1249,217,570,564,882,164,467,162,303,227,undefined,-1,71,492,271,149,undefined,-1,231,141,77,37,515,1400,44,816,300,296,370,196,303,-1,undefined,254,163,343,80,-1,239,893,141,421,130,236,570,404,272,373,undefined,undefined
02/07/2020,13,1410,940,929,1361,807,539,115,245,180,58,59,199,-1,423,-1,719,387,194,383,250,-1,1363,248,721,652,833,203,435,147,311,276,undefined,-1,52,528,213,162,undefined,-1,182,136,94,59,608,1474,58,970,356,220,331,206,313,-1,undefined,331,140,398,115,-1,303,1162,159,411,130,328,661,451,248,346,undefined,undefined
02/07/2020,14,1439,956,887,1430,851,491,129,181,175,54,46,165,-1,475,-1,702,285,187,330,246,-1,1386,159,624,552,750,175,431,188,302,196,undefined,-1,71,475,225,139,undefined,-1,115,97,80,32,613,1534,73,851,331,214,317,139,268,-1,undefined,261,140,398,112,-1,339,1080,179,348,112,320,938,438,218,363,undefined,undefined
02/07/2020,15,1557,933,949,1291,805,536,140,231,230,80,33,163,-1,538,-1,657,239,183,388,201,-1,1462,158,775,601,489,141,458,176,308,167,undefined,-1,43,402,189,143,undefined,-1,118,97,53,37,572,1440,55,1040,288,139,263,150,282,-1,undefined,260,166,407,114,-1,307,1173,173,397,139,346,910,413,204,321,undefined,undefined
02/07/2020,16,1468,888,976,1205,799,571,190,199,318,86,61,217,-1,557,-1,615,205,191,375,217,-1,1694,217,809,728,389,124,457,185,317,177,undefined,-1,56,461,204,129,undefined,-1,113,97,82,40,572,1375,44,975,171,101,275,146,263,-1,undefined,212,155,434,134,-1,290,1228,152,348,165,349,965,340,159,281,undefined,undefined
02/07/2020,17,1360,608,924,1135,871,674,217,266,310,113,81,288,-1,672,-1,475,228,185,453,233,-1,1972,232,845,661,380,142,475,150,335,192,undefined,-1,74,510,174,102,undefined,-1,141,98,79,48,543,1384,65,997,175,122,191,189,247,1,undefined,294,196,482,28,-1,298,1185,173,313,155,364,936,261,38,86,undefined,undefined
02/07/2020,18,875,354,855,779,604,498,155,181,122,63,94,294,-1,482,-1,248,117,118,473,250,-1,1432,138,514,368,279,91,283,98,281,233,undefined,-1,32,454,147,95,undefined,-1,85,63,85,38,367,980,29,722,114,99,203,103,229,1,undefined,215,96,296,-1,-1,255,1155,163,254,137,262,775,179,1,11,undefined,undefined
02/07/2020,19,503,192,810,585,418,314,80,105,66,59,80,277,-1,295,-1,134,76,41,366,142,-1,1030,98,322,243,265,91,212,78,256,303,undefined,-1,16,339,93,115,undefined,-1,57,41,45,23,289,667,27,561,116,107,194,86,169,1,undefined,249,82,176,-1,-1,172,865,119,186,37,196,593,134,1,6,undefined,undefined
02/07/2020,20,227,97,625,353,334,284,43,74,53,32,35,155,-1,266,-1,107,49,24,328,190,-1,802,91,233,181,224,56,114,43,226,355,undefined,-1,8,224,69,152,undefined,-1,36,53,29,13,180,381,24,378,65,68,191,72,142,-1,undefined,166,54,151,-1,-1,175,629,134,145,28,128,512,96,1,0,undefined,undefined
02/07/2020,21,119,67,404,246,263,223,12,30,53,28,39,126,-1,201,-1,67,33,22,216,111,-1,638,49,255,105,181,42,111,18,205,217,undefined,-1,21,127,36,63,undefined,-1,44,25,32,21,141,373,31,275,65,82,94,55,85,-1,undefined,104,24,116,-1,-1,103,603,93,134,32,120,323,52,0,0,undefined,undefined
02/07/2020,22,95,38,314,199,213,127,29,43,52,18,21,101,-1,126,-1,39,32,18,144,99,-1,322,48,187,70,128,31,80,21,123,136,undefined,-1,17,94,31,48,undefined,-1,36,22,16,12,101,293,18,182,37,71,77,41,46,-1,undefined,84,35,86,-1,-1,65,376,44,91,36,62,204,-1,-1,-1,undefined,undefined
02/07/2020,23,39,32,143,89,104,84,6,12,16,14,5,31,-1,72,-1,16,14,6,53,34,-1,189,14,104,54,117,24,43,7,85,154,undefined,-1,12,39,19,27,undefined,-1,30,9,9,10,29,162,10,123,21,60,32,38,17,-1,undefined,32,14,53,-1,-1,44,241,54,47,15,38,60,-1,-1,-1,undefined,undefined
03/07/2020,0,17,17,76,36,40,27,7,2,7,5,7,22,-1,22,-1,7,4,3,36,22,-1,107,11,36,14,63,10,35,5,44,41,undefined,-1,5,30,5,30,undefined,-1,4,9,8,8,22,57,5,71,13,60,5,37,26,-1,undefined,22,5,13,-1,-1,14,188,39,31,8,22,39,-1,-1,-1,undefined,undefined
03/07/2020,1,17,8,94,27,22,47,4,3,6,3,2,4,-1,14,-1,6,1,4,43,30,-1,96,10,20,12,54,6,18,4,22,25,undefined,-1,1,13,2,9,undefined,-1,2,10,4,1,5,49,9,60,7,39,1,13,9,-1,undefined,13,3,10,-1,-1,11,74,27,19,7,10,26,-1,-1,-1,undefined,undefined
03/07/2020,2,9,76,38,23,20,11,-1,-1,3,6,1,5,-1,6,-1,7,5,2,37,8,-1,116,5,17,5,63,2,13,2,23,12,undefined,-1,2,9,5,4,undefined,-1,2,4,4,5,8,26,5,35,7,51,1,22,10,-1,undefined,3,3,15,-1,-1,13,91,24,9,2,8,10,1,0,0,undefined,undefined
03/07/2020,3,8,6,50,17,49,12,3,1,4,1,-1,1,-1,8,-1,18,1,1,16,18,-1,52,22,13,8,41,2,30,3,33,27,undefined,-1,2,6,4,5,undefined,-1,5,2,3,3,8,23,2,31,4,33,8,9,4,-1,undefined,6,1,10,-1,-1,5,55,25,11,3,3,12,-1,-1,-1,undefined,undefined
03/07/2020,4,9,5,39,12,53,13,7,1,2,-1,-1,5,-1,9,-1,4,2,2,17,3,-1,45,7,15,7,37,4,61,1,21,5,undefined,-1,4,6,1,4,undefined,-1,3,2,-1,1,5,45,1,47,9,16,-1,16,10,-1,undefined,3,-1,16,-1,-1,9,60,4,15,-1,5,16,-1,-1,-1,undefined,undefined
03/07/2020,5,21,5,46,50,83,109,13,13,35,2,1,7,-1,109,-1,31,38,6,13,9,-1,105,21,119,36,61,9,67,7,8,16,undefined,-1,18,17,16,6,undefined,-1,17,9,3,-1,28,134,2,50,12,25,10,19,10,-1,undefined,12,14,56,-1,-1,19,109,21,18,9,10,14,-1,-1,-1,undefined,undefined
