Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street,Flinders La-Swanston St (West) Temporary,RMIT Building 14,380 Elizabeth St,La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library - New,Flinders Ln - Degraves St (South),Flinders Ln - Degraves St (North),Flinders Ln - Degraves St (Crossing),Errol Street (East),Westwood Place,Flinders St - ACMI,Bourke St - Spencer St (South),Spring St - Flinders St (West),Macaulay Rd - Bellair St,Harbour Esplanade - Pedestrian Path,Harbour Esplanade - Bike Path
1/7/21,0,47,32,96,99,160,115,6,4,10,4,3,9,-1,23,-1,35,11,10,77,2,113,123,31,70,56,93,10,131,18,99,23,undefined,-1,7,26,11,8,undefined,4,23,10,9,10,83,217,3,105,13,45,10,18,25,14,undefined,34,11,69,54,-1,24,185,39,61,3,44,98,20,1,1,9,2,22,-1,10,1,15,1
1/7/21,1,27,22,106,51,67,27,-1,-1,5,1,-1,5,-1,9,-1,6,9,1,44,31,71,66,3,21,28,75,15,56,12,76,6,undefined,-1,6,14,9,4,undefined,1,7,2,1,2,38,108,-1,72,17,38,10,17,16,2,undefined,34,2,50,16,-1,20,120,44,45,6,24,41,7,0,3,8,-1,28,-1,1,2,6,2
1/7/21,2,10,6,33,23,49,31,6,-1,8,8,2,3,-1,7,-1,17,11,1,28,24,16,46,9,13,10,49,3,23,1,26,3,undefined,-1,3,15,5,-1,undefined,1,2,2,2,-1,24,54,-1,47,8,18,4,6,8,9,undefined,11,2,39,12,-1,10,112,37,27,2,12,24,2,0,2,3,8,28,-1,-1,1,-1,-1
1/7/21,3,5,24,23,24,42,39,5,2,4,1,3,4,-1,2,-1,4,17,3,21,5,23,40,9,16,18,64,3,39,1,9,1,undefined,-1,2,15,1,2,undefined,-1,4,2,-1,-1,8,28,-1,30,7,25,1,11,9,1,undefined,8,2,7,4,-1,4,73,15,19,1,2,27,5,0,1,6,4,49,-1,-1,2,5,2
1/7/21,4,16,9,28,28,46,32,9,5,7,3,5,8,-1,16,-1,6,12,3,37,2,13,42,7,17,32,38,-1,49,3,19,13,undefined,-1,3,10,1,15,undefined,-1,5,11,1,1,27,58,1,27,7,33,11,18,3,15,undefined,5,3,17,2,-1,6,59,8,13,4,6,11,5,0,1,2,1,22,-1,5,1,9,-1
1/7/21,5,23,11,23,56,134,142,20,10,32,5,2,15,-1,56,-1,21,43,15,15,7,28,130,36,125,80,51,8,147,14,22,5,undefined,-1,13,31,20,2,undefined,5,11,22,14,11,39,254,6,63,17,27,5,18,7,6,undefined,8,45,52,7,-1,14,108,21,26,10,27,39,19,6,9,-1,7,43,-1,14,2,14,2
1/7/21,6,91,36,71,147,488,372,79,35,110,26,7,40,-1,114,-1,80,139,53,11,14,43,355,115,329,277,121,22,584,60,47,16,undefined,-1,41,123,42,6,undefined,7,48,38,17,14,82,563,3,139,45,91,15,76,23,23,undefined,29,138,187,31,-1,53,308,30,107,37,54,70,88,24,23,8,9,92,-1,50,8,44,3
1/7/21,7,139,87,79,335,998,686,165,165,336,59,28,112,-1,253,-1,145,283,174,30,18,80,734,184,658,441,154,57,1112,136,68,46,undefined,-1,61,230,90,24,undefined,53,87,39,38,19,177,1034,26,201,93,73,42,58,92,23,undefined,69,280,356,120,-1,98,317,44,170,167,126,159,149,76,104,44,31,146,-1,53,45,148,13
1/7/21,8,298,204,174,563,2044,1401,270,241,720,93,44,165,-1,506,-1,431,772,465,82,45,145,1289,553,1224,681,309,106,2060,301,93,88,undefined,-1,133,453,333,46,undefined,129,252,107,99,45,462,1888,46,500,144,86,110,72,189,62,undefined,171,579,912,287,-1,196,549,118,297,332,381,307,369,208,187,137,37,292,-1,70,90,175,45
1/7/21,9,476,385,205,777,1486,832,129,147,291,84,18,151,-1,310,-1,456,513,319,72,62,159,1038,343,786,604,356,96,1303,229,142,85,undefined,-1,84,335,275,75,undefined,99,196,116,141,49,429,1726,79,541,192,108,150,86,194,81,undefined,157,346,543,281,-1,219,503,89,291,327,278,355,434,269,206,174,127,253,-1,47,118,157,49
1/7/21,10,906,788,292,1129,1609,754,117,177,177,120,27,163,-1,301,-1,673,382,245,176,84,249,1076,220,652,784,512,151,1408,292,218,117,undefined,-1,97,454,222,86,undefined,123,220,106,94,40,460,2053,70,654,270,134,230,123,196,79,undefined,235,230,474,326,-1,253,664,142,363,256,315,549,489,294,191,197,22,438,-1,43,138,153,45
