Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Collins St (North),Lincoln-Swanston (West),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Building 80,Flinders La - Swanston St (West) Temporary,RMIT Building 14,Elizabeth St-La Trobe St (East),La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library- New,Flinders Ln -Degraves St (South),Flinders Ln -Degraves St (North),Flinders Ln -Degraves St (Crossing),Errol Street (East),Westwood Place,Flinders St- ACMI,Bourke St - Spencer St (South),Spring St- Flinders St (West),Macaulay Rd-Bellair St,Harbour Esplanade (West) - Pedestrian Path,Harbour Esplanade (West) - Bike Path,Flinders St (South),Elizabeth St - Flinders St (East) - New footpath,Macaulay Rd (North),Queensberry St - Errol St (South),Errol St (West)
01/07/2022,0,26,50,243,104,76,125,na,8,22,8,5,9,na,48,na,47,11,na,69,233,na,39,112,101,98,22,18,21,221,10,undefined,na,na,122,32,13,undefined,15,20,14,7,6,169,341,10,160,49,34,8,34,na,45,32,49,17,111,66,na,58,na,64,106,7,na,73,39,0,3,6,3,33,na,1,na,na,10,79,156,4,2,6
01/07/2022,1,17,55,157,56,58,75,na,10,14,2,1,na,na,40,na,11,10,na,58,171,na,24,90,61,85,15,24,16,206,9,undefined,na,na,68,26,12,undefined,8,8,8,3,1,66,176,2,86,15,31,7,25,na,33,26,27,10,59,50,na,46,na,41,92,7,na,69,13,0,0,4,1,50,na,na,na,na,16,39,105,na,2,2
01/07/2022,2,13,18,118,42,39,21,1,na,6,7,na,na,na,16,na,6,7,na,31,100,na,13,36,38,48,10,28,9,96,36,undefined,na,na,49,19,9,undefined,16,15,2,1,2,31,128,1,38,6,41,2,17,na,25,7,28,7,43,33,na,22,na,31,58,3,na,39,13,0,1,na,2,21,na,1,na,1,na,35,93,na,na,na
01/07/2022,3,8,23,111,23,37,23,na,3,9,4,3,na,na,8,na,8,4,na,86,91,na,37,48,16,34,9,19,11,50,7,undefined,na,na,11,14,4,undefined,12,4,7,6,3,18,83,na,31,14,16,6,1,na,13,23,13,14,12,37,na,18,na,19,52,2,na,42,9,0,2,na,2,15,na,na,2,1,1,19,62,na,1,1
01/07/2022,4,10,10,101,18,34,32,na,na,11,2,3,na,na,19,na,18,na,na,77,34,na,5,38,39,43,3,28,2,31,12,undefined,na,na,21,17,5,undefined,10,3,6,1,3,25,97,na,58,11,16,9,8,na,14,7,4,15,35,24,na,26,na,11,24,2,na,34,5,0,0,1,na,8,na,3,na,na,1,9,65,na,na,2
01/07/2022,5,7,20,70,33,74,110,na,14,25,5,1,na,na,57,na,47,19,na,84,37,na,32,138,79,50,5,43,29,11,6,undefined,na,na,108,13,10,undefined,14,31,9,6,3,33,207,4,60,19,35,6,5,na,17,3,10,30,92,20,na,21,na,20,23,11,na,25,15,1,5,1,1,23,na,19,na,na,na,66,59,3,5,6
01/07/2022,6,25,44,110,95,162,376,na,39,149,27,3,na,na,131,na,164,51,na,16,41,na,112,402,194,136,23,117,59,44,16,undefined,na,na,363,48,8,undefined,25,74,33,16,10,69,444,16,133,38,64,7,71,na,54,20,39,111,197,59,na,67,na,66,45,57,3,39,80,6,25,10,23,103,na,80,4,4,3,130,215,27,19,20
01/07/2022,7,116,99,178,277,314,631,na,140,422,63,32,108,na,252,na,294,225,na,27,75,na,254,763,342,203,73,263,81,60,66,undefined,na,na,649,96,28,undefined,139,126,54,29,20,141,743,29,269,103,53,34,98,na,176,25,76,196,485,122,na,150,na,63,92,109,na,125,165,30,66,57,208,169,na,54,34,78,17,221,524,62,37,68
01/07/2022,8,339,271,382,717,629,1484,1,246,1166,106,58,211,na,447,na,837,828,na,70,184,na,620,1518,709,286,139,541,144,110,111,undefined,na,na,1539,251,49,undefined,352,294,126,95,41,346,1522,81,564,165,107,79,57,na,544,67,194,515,1089,257,na,251,na,109,253,216,na,295,448,228,171,112,79,340,na,68,87,213,44,544,1093,117,65,122
01/07/2022,9,619,494,518,952,602,942,1,185,747,119,41,164,na,296,na,618,485,na,71,221,na,424,1104,875,370,129,542,168,161,117,undefined,na,na,1126,295,101,undefined,443,243,122,119,32,395,1487,74,792,65,174,138,165,na,678,80,235,269,796,294,na,305,na,212,305,314,na,449,565,319,237,134,69,326,na,72,112,178,58,485,1016,133,87,159
01/07/2022,10,1018,745,702,1636,888,897,2,114,367,89,57,253,na,342,na,456,327,na,142,322,na,295,962,1123,661,179,917,203,276,136,undefined,na,na,1077,265,128,undefined,406,258,298,117,33,469,1954,72,964,15,296,183,128,na,988,122,262,213,680,353,na,351,na,210,428,180,na,577,707,422,282,157,113,307,na,53,93,162,66,672,1230,114,88,145
01/07/2022,11,1642,1235,1312,2298,1189,1024,1,211,376,74,89,332,na,416,na,475,362,na,266,566,na,370,1075,1286,754,216,1288,326,313,157,undefined,na,na,1497,305,154,undefined,403,272,344,138,56,646,2591,86,1392,14,328,319,206,na,1071,150,376,226,866,598,na,415,na,221,601,203,25,1031,697,440,378,218,177,415,na,77,125,201,68,687,1315,130,84,220
01/07/2022,12,2294,1785,1929,3373,1509,1308,7,323,628,137,106,352,na,385,na,809,410,na,481,907,na,514,1163,1737,1023,249,1611,496,613,240,undefined,na,na,2046,576,178,undefined,578,445,312,143,55,1123,3456,123,1802,16,412,411,273,na,1427,160,532,390,933,741,na,446,na,314,874,227,19,1494,946,589,417,374,72,614,na,122,130,239,113,912,1714,214,161,335
01/07/2022,13,2542,2029,2013,3234,1597,1388,4,341,578,167,116,432,na,514,na,730,402,na,571,1062,na,534,1114,1881,1140,233,1787,573,685,262,undefined,na,na,2317,576,266,undefined,587,334,235,124,72,1258,3586,103,2031,75,403,541,238,na,1734,154,679,437,1083,792,na,465,na,370,870,255,1,1900,920,568,461,388,175,693,na,107,137,244,73,913,1981,129,149,315
01/07/2022,14,2568,1996,1987,3540,1616,1420,na,268,443,127,110,405,na,493,na,494,330,na,466,913,na,474,1296,1938,863,201,1735,548,617,320,undefined,na,na,2371,381,249,undefined,469,270,161,92,50,1254,3487,68,1985,295,343,423,169,na,1549,174,575,425,840,801,na,514,na,363,793,240,na,2012,882,465,395,256,145,690,na,106,126,295,72,844,2099,166,131,175
01/07/2022,15,2427,1994,1947,3457,1719,1465,1,310,559,158,102,458,na,550,na,542,389,na,422,873,na,486,1386,1892,641,167,1619,519,558,213,undefined,na,na,2111,346,136,undefined,257,237,161,100,43,1062,3585,114,2031,282,227,413,167,na,1363,195,529,423,950,899,na,475,na,255,734,173,3,1997,757,344,377,245,89,761,na,77,99,371,115,894,2113,126,88,172
