Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Southbank
1/06/2017,0,84,27,5,0,225,0,12,76,31,12,11,12,3,0,103,162,34,18,159,-1,122,31,193,20,110,67,21,47,136,45,5,13,20,33,10,0,19,-1,26,62,29,10,169
1/06/2017,1,37,9,2,0,109,0,16,46,12,6,9,10,0,1,47,49,17,4,58,-1,26,5,115,27,67,32,8,26,75,25,8,13,17,35,3,0,3,-1,16,35,24,14,50
1/06/2017,2,24,14,3,0,73,0,13,10,10,5,5,1,0,1,33,39,3,8,52,-1,31,2,80,17,54,27,1,11,75,10,2,3,15,36,5,0,3,-1,8,23,8,5,57
1/06/2017,3,9,17,2,0,52,0,22,8,4,0,5,1,1,5,40,30,8,16,45,-1,15,7,50,31,30,34,5,32,29,12,3,2,2,7,7,0,4,-1,15,17,4,3,26
1/06/2017,4,8,7,3,0,41,0,34,4,10,4,0,1,0,10,55,76,34,9,32,-1,19,7,48,12,15,24,3,56,30,16,7,8,4,5,3,0,9,-1,3,9,3,3,22
1/06/2017,5,32,62,30,0,81,0,18,23,21,114,31,20,5,33,120,207,37,49,75,-1,259,41,40,40,25,27,14,90,32,11,13,28,10,18,14,0,15,-1,41,14,3,1,137
1/06/2017,6,68,231,184,0,134,0,91,79,98,573,97,95,17,123,376,816,93,163,137,-1,911,214,66,211,30,20,29,321,35,28,86,59,107,60,15,0,61,-1,118,45,38,34,653
1/06/2017,7,302,837,754,0,326,0,326,252,407,1915,327,163,11,234,967,1963,185,436,321,-1,2256,659,158,404,64,57,99,798,208,67,253,187,279,223,30,0,254,-1,327,97,75,50,1640
1/06/2017,8,724,2029,1882,0,711,0,764,563,947,3908,591,299,18,376,1907,4146,329,803,587,-1,4208,1385,347,868,230,134,146,1732,477,172,606,302,702,621,115,0,848,-1,518,277,234,131,3160
1/06/2017,9,682,1295,1063,0,696,0,865,644,888,2121,392,184,15,246,1361,2093,195,370,610,-1,2524,805,367,413,278,157,150,1174,294,155,477,215,646,496,145,0,594,-1,337,364,338,174,1778
