Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W)
01/06/2018,0,88,64,278,222,147,237,12,18,17,7,6,29,-1,-1,117,50,28,24,128,91,288,313,27,168,30,142,26,58,17,183,49,undefined,14,14,238,68,4,-1,9,33,49,27,9,110,294,25,161,40,54,-1,12,73,-1
01/06/2018,1,41,40,180,99,89,70,9,7,12,3,2,17,-1,-1,57,27,19,9,96,45,178,130,24,54,26,116,21,34,15,142,18,undefined,3,5,75,24,8,-1,12,8,28,15,6,47,150,9,144,22,46,-1,10,61,-1
01/06/2018,2,41,17,141,73,40,49,23,6,3,7,2,3,-1,-1,27,31,9,7,41,66,132,102,22,19,15,90,7,41,20,99,5,undefined,7,10,63,24,3,-1,14,6,10,2,1,17,123,2,65,18,28,-1,3,27,-1
01/06/2018,3,56,23,84,46,54,56,8,1,5,1,2,5,-1,-1,41,24,10,3,29,36,109,122,35,23,11,44,9,44,6,66,1,undefined,4,3,25,19,-1,-1,6,2,7,3,3,24,88,3,45,7,25,-1,3,13,-1
01/06/2018,4,17,22,50,51,54,47,23,2,6,2,4,4,-1,-1,18,7,11,6,18,23,45,96,11,51,20,44,5,69,9,40,7,undefined,10,3,44,8,11,-1,6,16,14,3,3,31,81,4,34,5,21,-1,2,8,-1
01/06/2018,5,21,31,72,71,146,222,52,46,110,20,4,9,-1,-1,27,25,54,29,16,15,64,165,52,322,73,94,15,123,24,35,19,undefined,14,28,183,18,7,-1,37,20,13,7,5,46,174,10,87,25,44,-1,14,24,-1
01/06/2018,6,126,62,221,196,433,829,151,141,726,87,12,76,-1,-1,85,309,217,163,42,23,107,640,260,950,209,200,45,480,119,53,27,undefined,74,68,788,74,6,-1,99,95,49,43,22,137,501,28,266,38,72,-1,46,49,-1
01/06/2018,7,331,268,340,447,1008,1746,336,321,1902,323,37,165,-1,-1,278,469,754,696,78,76,233,1368,766,2330,446,314,117,1137,298,133,87,undefined,258,151,1516,229,35,-1,269,313,127,69,35,464,1405,60,536,157,136,-1,68,211,-1
01/06/2018,8,858,622,758,1053,1898,3726,571,482,3657,503,56,343,-1,-1,605,978,1780,1588,216,117,351,2553,1487,4407,930,617,225,1918,551,395,174,undefined,621,291,3213,663,114,-1,788,743,311,257,139,894,2665,259,1239,267,153,-1,116,628,-1
01/06/2018,9,1091,766,848,1255,1455,2230,396,282,2335,422,13,188,-1,-1,776,973,1307,803,204,164,399,1864,1095,3134,739,774,192,1386,349,332,190,undefined,429,261,2321,582,88,-1,722,577,327,377,168,831,2295,296,1121,285,256,-1,115,517,-1
01/06/2018,10,1551,1179,1226,1662,1263,1314,397,241,936,212,36,178,-1,-1,858,1133,689,488,373,258,478,1717,734,1745,758,816,218,1276,414,432,180,undefined,308,251,1546,453,136,-1,493,495,345,297,140,908,2488,222,1171,247,418,-1,171,538,-1
01/06/2018,11,2076,1575,1393,2148,1838,1358,552,214,878,268,25,174,-1,-1,901,1395,658,406,588,332,694,2006,703,1628,809,1072,238,1761,407,550,234,undefined,279,226,1787,474,168,-1,387,588,436,341,168,1034,2797,225,1555,406,439,-1,168,512,-1
01/06/2018,12,3571,2767,2300,3112,1920,2186,694,663,1535,584,145,462,-1,-1,1605,2176,1377,660,1078,815,1638,2558,1274,2622,982,1719,337,1579,744,1176,361,undefined,521,303,3442,1237,331,-1,1147,922,542,376,198,1868,3268,319,2292,564,655,-1,237,956,-1
01/06/2018,13,3895,2964,2311,3436,1819,2229,655,605,1477,470,116,465,-1,-1,1727,2237,1653,635,1250,755,1682,2793,1446,2614,1243,1756,327,1601,862,1121,544,undefined,466,308,3313,1149,350,-1,1160,939,585,463,214,2254,3348,403,2369,631,730,-1,225,1111,-1
01/06/2018,14,3125,2463,2033,3012,2219,2045,640,309,1147,313,66,293,-1,-1,1553,1637,909,529,1054,559,1239,2481,786,2201,1062,1226,220,1713,643,782,314,undefined,322,239,2522,600,300,-1,591,614,409,385,170,1841,3429,278,2193,477,549,-1,196,829,-1
01/06/2018,15,3037,2261,2189,2909,2060,2466,447,326,1403,311,54,204,-1,-1,1636,1542,721,518,913,484,927,2760,815,2520,1279,865,265,1591,700,752,268,undefined,339,260,2721,565,149,-1,405,552,441,419,191,1752,3635,196,1912,471,391,-1,219,744,-1
01/06/2018,16,3384,2321,2329,3105,2210,3013,459,439,2830,595,84,285,-1,-1,1664,1402,831,939,1009,509,1034,3120,1017,3822,1394,825,188,1589,611,817,249,undefined,483,263,3033,639,184,-1,462,519,392,430,196,1812,3662,190,2205,393,266,-1,186,707,-1
01/06/2018,17,4162,2646,2933,3646,3335,4362,550,594,3045,633,67,363,-1,-1,2286,1631,1293,1456,1215,710,1326,3702,1284,4526,1518,727,218,2410,709,1149,317,undefined,593,316,4125,949,245,-1,697,703,534,580,316,2089,4613,255,2565,328,188,-1,182,971,-1
01/06/2018,18,3496,1917,3091,3248,2946,3175,328,362,1257,330,118,369,-1,-1,2005,1224,786,682,1627,1100,1524,3005,592,2880,1227,760,214,2170,493,1298,409,undefined,269,166,3436,617,253,-1,440,448,378,392,159,2115,3717,250,2129,300,157,-1,164,926,-1
01/06/2018,19,2623,1383,2631,2535,2061,1994,154,172,466,178,66,279,-1,-1,1738,747,471,328,1591,1114,1441,2256,393,1575,742,682,144,2119,347,1296,570,undefined,140,107,2618,444,270,-1,231,264,338,302,157,1768,2833,198,1543,215,123,-1,145,719,-1
01/06/2018,20,1979,1029,2227,2055,1621,1577,142,148,244,106,71,247,-1,-1,1386,620,367,196,1470,1089,1166,1836,297,1095,560,547,133,853,196,1230,617,undefined,94,114,2009,371,344,-1,118,201,213,198,126,1626,2369,97,1226,212,126,-1,117,685,-1
01/06/2018,21,1173,543,2267,1875,1706,1514,89,101,184,105,34,189,-1,-1,1342,454,205,104,1258,875,1100,1697,237,1049,530,421,113,1126,218,1196,562,undefined,78,75,1821,390,252,-1,182,175,151,126,81,1633,2210,88,1220,159,96,-1,83,659,-1
01/06/2018,22,799,444,1744,1319,1887,1333,93,58,119,68,42,158,-1,-1,1062,406,261,122,1020,835,1126,1361,201,731,263,390,111,1509,197,1031,483,undefined,82,87,1701,391,173,-1,135,273,156,104,56,1201,1757,64,778,130,92,-1,84,466,-1
01/06/2018,23,390,262,1348,1293,845,1104,59,32,84,35,31,124,-1,-1,617,182,115,67,745,507,742,976,110,604,221,260,58,469,124,735,248,undefined,50,58,1034,418,99,-1,89,119,91,67,33,585,1412,41,627,70,77,-1,78,362,-1
02/06/2018,0,247,160,799,597,407,611,30,33,30,13,12,70,-1,-1,271,120,76,31,441,333,571,600,61,294,110,210,31,205,44,473,164,undefined,42,32,527,262,37,-1,23,71,67,35,17,406,771,17,321,52,78,-1,36,264,-1
02/06/2018,1,139,107,517,367,305,311,30,14,22,10,6,32,-1,-1,159,57,17,27,206,191,496,409,60,154,114,175,20,98,33,374,81,undefined,31,26,225,205,26,-1,9,29,30,29,11,300,545,15,241,24,57,-1,20,167,-1
02/06/2018,2,102,99,234,223,273,179,2,9,16,8,-1,12,-1,-1,99,42,17,5,125,127,323,352,27,73,43,94,14,143,19,257,67,undefined,8,19,159,194,12,-1,18,18,12,9,7,217,487,3,168,28,34,-1,15,121,-1
02/06/2018,3,89,59,260,172,132,144,21,2,17,1,1,2,-1,-1,90,32,12,5,124,110,364,226,24,64,22,79,10,74,19,225,31,undefined,6,3,74,148,3,-1,5,3,13,6,2,135,354,4,119,19,42,-1,25,91,-1
02/06/2018,4,38,23,89,77,131,96,12,4,6,11,1,5,-1,-1,45,16,16,8,47,77,239,134,33,61,14,57,2,77,8,119,24,undefined,11,4,55,31,5,-1,12,-1,4,6,5,66,177,2,90,8,28,-1,3,39,-1
