Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Collins St (North),Lincoln-Swanston (West),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Building 80,Flinders La - Swanston St (West) Temporary,RMIT Building 14,Elizabeth St-La Trobe St (East),La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library- New,Flinders Ln -Degraves St (South),Flinders Ln -Degraves St (North),Flinders Ln -Degraves St (Crossing),Errol Street (East),Westwood Place,Flinders St- ACMI,Bourke St - Spencer St (South),Spring St- Flinders St (West),Macaulay Rd-Bellair St,Harbour Esplanade (West) - Pedestrian Path,Harbour Esplanade (West) - Bike Path,Flinders St (South),Elizabeth St - Flinders St (East) - New footpath,Macaulay Rd (North),Queensberry St - Errol St (South),Errol St (West)
01/06/2022,0,14,20,176,33,43,80,na,3,9,1,na,10,na,34,na,19,9,83,10,83,na,9,70,59,57,18,17,7,96,25,undefined,na,na,57,4,15,undefined,10,6,22,17,11,37,137,3,56,30,62,7,18,na,19,36,23,16,71,49,na,26,na,49,39,3,34,22,17,2,1,8,8,40,na,na,na,7,1,30,75,na,8,13
01/06/2022,1,16,8,127,33,39,16,na,1,6,7,1,14,na,10,na,24,2,49,5,37,na,14,28,36,46,11,15,6,75,8,undefined,na,na,26,2,3,undefined,1,3,7,9,4,38,63,6,44,13,19,2,9,na,10,6,5,10,37,36,na,20,na,43,29,11,15,32,13,1,4,3,8,7,na,na,na,9,na,15,49,na,12,2
01/06/2022,2,5,8,88,8,21,9,na,2,1,8,na,3,na,na,na,9,na,36,6,30,na,8,32,17,48,5,3,5,32,1,undefined,na,na,17,5,na,undefined,1,1,2,3,4,6,39,7,39,4,16,1,9,na,13,4,7,na,39,24,na,7,na,30,19,na,4,8,6,0,0,3,4,6,na,na,na,2,1,10,15,1,4,2
01/06/2022,3,2,4,86,6,30,8,na,1,na,1,na,na,na,2,na,12,3,7,11,29,na,7,19,14,26,8,16,1,18,na,undefined,na,na,19,12,2,undefined,1,na,na,na,na,8,47,na,35,11,4,1,4,na,2,8,3,na,7,6,na,14,na,11,18,1,2,5,3,0,0,na,3,5,na,1,na,1,na,6,27,na,4,na
01/06/2022,4,1,3,39,7,44,34,na,2,4,1,na,5,na,18,na,7,1,80,5,7,na,6,24,14,33,4,29,na,21,9,undefined,na,na,19,4,5,undefined,3,na,10,1,1,6,23,4,25,2,10,9,3,na,6,4,4,5,12,11,na,11,na,8,9,1,3,12,1,0,3,1,na,12,na,3,na,1,na,30,20,na,2,na
01/06/2022,5,3,8,57,12,67,115,na,15,40,2,1,12,na,52,na,43,15,5,na,11,na,41,107,59,32,8,46,20,20,13,undefined,na,na,88,11,10,undefined,12,12,11,6,7,35,202,6,72,12,13,10,10,na,12,4,7,33,61,16,na,22,na,15,16,11,23,23,15,0,13,7,2,27,na,17,1,6,na,40,75,6,12,6
01/06/2022,6,38,39,119,73,226,432,na,58,193,16,3,37,na,111,na,178,60,25,13,54,na,128,509,258,95,17,124,49,41,22,undefined,na,na,472,43,6,undefined,29,82,35,20,15,61,416,23,105,32,75,12,48,na,41,13,36,140,231,40,na,68,na,64,56,58,54,63,65,5,21,5,10,67,na,19,9,19,6,148,256,30,15,43
01/06/2022,7,90,110,187,183,329,756,na,121,554,36,3,111,na,257,na,373,136,23,28,102,na,213,1136,359,107,54,174,57,111,87,undefined,na,na,757,137,27,undefined,84,186,49,31,11,146,823,32,177,89,55,40,49,na,90,30,68,328,461,61,na,168,na,48,118,119,133,92,68,15,33,54,21,114,na,37,24,1,na,312,518,65,34,65
01/06/2022,8,230,231,308,521,597,1666,na,194,1402,106,4,56,na,414,na,877,462,57,52,142,na,592,2226,750,130,76,337,57,179,75,undefined,na,na,1433,338,59,undefined,310,419,145,91,33,344,1629,95,447,139,44,89,58,na,219,89,196,734,1132,150,na,345,na,96,202,292,359,236,180,130,92,132,38,375,na,59,41,45,20,674,932,115,15,93
01/06/2022,9,421,307,358,784,527,876,1,132,860,68,1,43,na,255,na,655,388,97,75,166,na,393,1233,569,180,75,489,51,175,84,undefined,na,na,763,287,59,undefined,232,337,143,179,46,371,1381,125,467,117,77,136,85,na,411,66,208,410,718,288,na,318,na,93,249,292,281,421,286,254,118,138,59,257,na,49,51,45,26,468,629,84,44,107
