Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West)
01/03/2016,0,144,29,11,34,195,165,75,65,49,10,8,25,15,12,153,225,66,23,112,248,93,27,154,36,106,49,21,50,118,26,16,12,6,6,12,459,19,97,37,29,25,19
01/03/2016,1,39,13,7,19,106,78,26,61,19,20,16,6,3,7,66,45,20,32,84,152,46,22,126,45,54,35,8,23,77,49,3,4,8,5,13,255,14,60,30,12,11,12
01/03/2016,2,31,13,5,17,47,48,31,63,7,4,3,4,0,1,27,40,20,14,49,41,24,14,71,9,31,16,1,13,57,24,1,1,10,3,8,85,2,45,13,7,2,2
01/03/2016,3,10,8,2,2,51,50,19,48,6,1,4,3,1,1,32,23,9,16,21,36,12,15,55,6,33,21,7,38,31,4,3,1,7,4,2,97,1,28,14,5,1,1
01/03/2016,4,15,7,4,9,29,40,11,33,13,4,1,3,0,0,34,40,32,20,26,34,24,5,58,7,22,9,3,44,7,5,4,3,0,9,3,80,2,32,4,9,3,1
01/03/2016,5,27,58,24,111,103,80,48,23,25,59,19,7,2,41,132,215,85,104,80,156,188,52,27,66,21,9,11,82,21,14,12,19,18,16,8,304,16,37,40,17,4,1
01/03/2016,6,80,220,179,865,172,183,67,75,133,490,103,102,22,144,384,825,275,306,136,517,692,219,124,287,34,22,28,333,69,22,104,79,92,75,15,719,83,215,176,32,40,22
01/03/2016,7,340,875,793,2431,477,574,259,301,462,1531,303,228,50,259,1192,1852,598,735,370,1163,2078,641,143,639,68,62,91,961,184,113,246,145,242,212,55,1861,222,713,417,267,223,124
01/03/2016,8,811,1961,1786,5205,1053,1297,787,584,927,3165,611,337,78,404,2369,4315,1329,950,710,2666,3877,1409,316,1244,197,140,220,2237,296,163,669,335,581,728,114,3868,669,1541,672,1001,741,355
01/03/2016,9,788,1523,987,2873,1030,1285,1109,740,869,1502,294,177,49,207,1369,2111,569,399,696,1821,2399,912,354,609,152,160,141,1464,294,149,372,273,564,510,129,2900,533,1207,376,1231,977,435
01/03/2016,10,1085,986,486,1144,1421,1654,1452,1046,956,573,276,127,32,137,1203,1247,416,289,861,1660,1527,538,386,467,366,180,155,889,388,227,257,204,402,488,137,2798,527,1135,365,1474,1052,401
01/03/2016,11,1299,756,465,888,1925,2072,2118,1451,1340,541,233,127,37,153,1247,1242,526,351,1107,1753,1515,531,491,407,604,214,183,938,462,191,339,231,298,497,166,3092,438,1231,420,1418,1007,432
01/03/2016,12,2241,1585,740,1333,2975,3191,3384,2625,2136,1161,588,315,92,531,1883,2156,535,484,1701,2628,2328,963,1284,715,1242,443,248,1372,964,397,358,353,960,824,405,3915,856,1696,660,1573,1129,327
01/03/2016,13,2231,1637,695,1698,2850,3537,3892,2945,2265,1094,567,236,64,479,1707,2179,518,472,1572,2768,2375,858,1241,677,1293,427,275,1445,1023,422,417,441,996,867,345,4202,855,1783,613,1578,1282,334
01/03/2016,14,1915,830,498,1148,2610,3073,2869,2054,1573,627,288,121,58,197,1443,1749,424,420,967,2317,1733,467,792,508,955,333,150,1208,591,384,274,221,456,498,223,4062,474,1686,578,1393,1095,399
01/03/2016,15,1810,696,542,1391,2473,2852,2773,1937,1180,855,356,145,56,225,1702,1866,476,279,811,2412,2103,413,626,651,884,313,179,1504,599,385,253,201,298,432,164,4264,479,1545,466,1631,1193,400
01/03/2016,16,2364,811,1072,2719,2655,3122,2778,1903,1142,1767,462,173,27,312,2001,2755,778,407,693,2602,3253,672,731,899,898,306,156,1853,642,290,381,229,272,420,181,4553,390,1920,652,1559,1154,401
01/03/2016,17,2516,1323,1879,4314,2887,3259,2994,2008,1213,2815,660,328,62,681,3390,4943,1625,885,849,3454,4285,981,947,1408,1030,416,261,3118,737,404,580,397,452,724,176,5463,430,2783,1056,1503,1211,463
01/03/2016,18,1997,887,847,1935,2503,2971,2372,1486,734,1298,241,324,72,390,2711,3126,1022,762,646,2998,2661,629,872,984,1020,565,181,2464,746,408,250,270,299,411,235,4321,303,2119,934,941,799,325
01/03/2016,19,1638,399,317,722,2280,2562,1557,651,444,349,128,359,97,229,1577,1728,553,366,503,1962,1409,327,760,546,1039,632,119,1335,754,598,116,183,320,259,243,3111,229,1502,605,489,445,197
01/03/2016,20,1536,280,172,334,2343,2114,743,473,321,191,130,364,107,140,1586,1434,458,247,416,1618,823,175,678,411,862,478,106,872,747,637,73,166,113,197,318,2741,189,1257,352,425,296,139
01/03/2016,21,1033,247,112,264,1663,1433,635,283,262,99,80,341,115,88,1352,1299,320,183,363,1296,703,155,577,308,720,397,109,761,576,683,65,97,93,177,285,2323,143,1145,262,237,228,143
01/03/2016,22,550,171,63,152,1046,738,312,166,196,66,40,138,43,57,1257,913,255,136,252,984,450,92,397,219,443,302,69,1261,430,425,55,85,72,79,156,1570,135,621,200,117,82,59
01/03/2016,23,236,99,38,103,642,1010,215,126,149,31,22,63,23,38,436,719,241,76,184,600,225,90,360,94,219,123,33,176,276,182,32,54,35,49,67,1626,48,392,99,45,37,35
02/03/2016,0,101,35,10,46,259,225,105,68,42,9,6,41,11,14,238,219,78,22,112,339,115,38,196,40,116,50,26,122,132,106,9,18,18,22,25,537,23,132,43,36,32,29
02/03/2016,1,58,20,6,32,98,113,56,22,32,6,12,14,4,6,73,104,55,10,69,113,28,8,124,16,62,34,10,31,127,16,1,11,10,11,7,237,26,89,39,6,8,10
02/03/2016,2,35,16,4,30,74,49,35,21,16,4,8,17,3,2,42,83,44,17,57,65,21,7,67,8,26,17,4,15,60,6,7,41,3,11,8,168,6,31,12,5,3,3
02/03/2016,3,21,11,1,12,48,46,21,19,11,3,1,2,0,1,37,42,20,7,50,51,19,11,43,11,66,14,8,40,29,8,3,0,1,2,1,162,2,20,7,13,3,3
02/03/2016,4,8,9,3,7,28,41,11,21,5,5,1,6,1,1,43,75,50,12,23,47,42,8,50,18,15,15,9,69,18,2,11,5,0,9,3,158,1,12,14,3,2,2
02/03/2016,5,20,52,38,141,56,92,60,20,34,71,24,22,3,37,114,200,89,90,40,157,218,59,41,123,12,6,11,133,27,15,14,18,19,13,7,329,18,38,38,10,3,4
02/03/2016,6,77,239,173,769,192,191,107,76,117,473,76,84,20,168,403,845,372,252,105,526,667,234,144,304,20,14,24,450,68,23,192,79,91,59,12,745,65,238,172,38,36,21
02/03/2016,7,276,871,753,2339,452,510,371,232,414,1429,344,191,53,269,1100,1876,593,703,288,1357,2090,614,199,634,79,48,73,1076,160,116,284,140,231,254,53,1805,253,713,438,242,224,103
02/03/2016,8,827,2077,1843,5215,1125,1206,883,568,930,3079,542,332,80,434,2087,4345,1387,894,600,2585,4209,1322,378,1583,182,145,190,2217,352,188,518,308,549,752,120,3734,724,1502,724,964,753,328
02/03/2016,9,816,1255,848,2796,1077,1236,864,710,747,1533,338,185,28,203,1458,2273,591,545,529,1920,2329,816,414,843,171,159,140,1494,296,169,430,217,562,559,131,2817,503,1190,455,1311,957,395
02/03/2016,10,1028,1072,626,988,1520,1458,1337,1131,1039,535,245,124,38,114,1059,1272,321,339,695,1526,1629,497,406,432,389,159,120,851,367,202,224,166,518,545,145,2672,563,1122,347,1004,872,376
02/03/2016,11,1271,769,422,818,1928,2147,2070,1514,1401,526,252,135,43,173,1264,1620,426,290,828,1798,1745,473,556,445,635,208,134,1069,515,229,223,178,343,497,200,3102,501,1335,479,1498,982,402
02/03/2016,12,2353,1818,716,1402,3070,3243,3504,2702,2069,1218,590,247,99,448,1763,2101,516,615,1169,2638,2630,931,1336,659,1297,481,190,1418,985,497,462,328,980,864,425,3855,903,1925,675,1330,1225,424
02/03/2016,13,2299,1688,710,1747,2900,3622,3843,3024,2345,1017,562,269,77,439,1731,2191,476,529,1208,2860,2283,794,1325,831,1231,458,167,1558,949,457,435,402,1037,1032,282,4373,828,1864,671,1379,1253,344
02/03/2016,14,1941,925,522,1229,2774,3138,3062,2116,1588,743,292,138,44,186,1723,2267,684,386,830,2455,1949,862,899,1548,1000,336,187,1484,613,315,315,246,471,515,264,4334,455,1691,478,1194,1003,301
02/03/2016,15,1761,760,612,1415,2463,3077,3008,1912,1451,928,290,134,51,231,1860,2318,604,273,763,2439,2298,1156,725,704,976,299,145,1514,606,373,333,219,296,452,188,4453,597,1773,629,1511,1152,398
02/03/2016,16,2203,803,1069,2573,2513,3141,2918,2044,1317,1776,531,175,51,262,2105,2685,767,417,829,2789,3428,922,797,945,836,317,201,1774,688,315,380,227,298,528,156,4639,490,1967,672,1269,1233,355
02/03/2016,17,2761,1287,1738,4218,3088,3266,3205,2071,1283,2726,626,378,88,483,3293,4911,1695,865,1074,3683,3923,1021,992,1313,1025,481,275,2650,875,457,584,372,370,740,213,5313,505,2836,1224,1499,1245,510
02/03/2016,18,2090,792,908,1966,2657,2694,2721,1601,863,1097,364,350,139,331,2546,3001,1031,1150,1201,2769,2417,524,1118,1056,1114,667,316,1861,838,448,306,253,243,446,279,4327,302,2158,1151,935,684,314
02/03/2016,19,1665,396,318,765,2551,1933,1574,786,404,320,143,264,102,195,1858,1819,587,505,1291,2015,1356,268,981,496,1132,695,316,1635,806,482,128,188,128,259,319,3166,254,1565,689,546,415,204
02/03/2016,20,1335,353,181,458,2401,1553,809,466,320,151,96,273,81,130,1611,1566,485,218,1222,1584,873,218,846,321,1048,546,353,830,704,743,79,106,69,177,322,2546,197,1192,523,352,282,137
02/03/2016,21,1022,206,95,329,1690,1170,621,296,285,95,72,299,98,92,1375,1378,322,126,909,1429,696,175,652,390,721,409,269,894,660,640,56,71,115,142,302,2209,133,955,293,216,212,113
02/03/2016,22,524,163,78,192,1168,682,394,156,194,58,55,104,22,56,923,899,274,95,627,963,469,103,521,389,471,293,136,639,463,429,36,58,55,93,189,1532,90,648,201,108,89,45
02/03/2016,23,205,122,50,114,633,378,232,91,117,33,17,59,27,14,529,661,177,44,220,633,297,107,261,146,252,131,60,276,357,201,30,21,52,69,86,1210,61,370,79,72,40,46
03/03/2016,0,105,48,16,43,285,178,93,56,36,9,9,13,5,8,166,204,65,32,125,245,90,47,168,51,128,54,35,61,165,79,12,14,15,51,22,444,23,130,31,42,45,28
