Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Australia on Collins,Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South)
01/03/2018,0,87,73,318,169,181,206,37,20,21,5,10,21,-1,76,103,47,60,22,141,86,205,316,43,125,26,154,21,68,37,171,70,undefined,25,25,198,26,11,-1,16,32,46,27,25,77,317,3,156,35,57,24,19,38
01/03/2018,1,50,31,174,111,84,87,24,6,15,4,-1,16,-1,29,68,21,11,1,102,78,189,126,17,56,40,97,14,45,29,136,41,undefined,2,4,89,41,6,-1,5,10,31,10,10,71,169,-1,64,40,33,15,9,35
01/03/2018,2,34,24,84,62,22,28,16,4,2,5,-1,17,-1,6,36,13,10,4,39,36,92,108,16,29,23,77,4,20,12,60,11,undefined,2,3,48,29,6,-1,11,8,18,7,3,37,100,-1,40,8,25,17,15,13
01/03/2018,3,16,8,44,43,54,61,13,1,2,-1,1,2,-1,14,18,17,9,3,31,23,125,55,16,12,10,35,2,33,6,62,-1,undefined,-1,2,37,11,4,-1,6,3,24,1,1,13,65,-1,34,6,34,1,3,11
01/03/2018,4,18,29,43,31,61,58,10,5,8,10,1,3,-1,35,8,14,15,3,29,16,74,49,8,34,38,36,6,45,7,31,12,undefined,5,8,44,4,2,-1,9,6,17,-1,-1,35,58,1,65,8,8,2,3,4
01/03/2018,5,46,40,59,65,126,247,41,57,93,23,1,9,-1,77,31,23,62,35,17,32,44,146,43,269,75,76,12,85,41,66,13,undefined,12,41,182,22,10,-1,35,24,25,8,5,36,205,7,90,24,22,16,9,21
01/03/2018,6,125,91,161,211,410,1051,334,138,736,102,11,41,-1,230,73,116,220,171,35,17,73,535,237,995,252,140,37,352,136,68,36,undefined,90,80,915,89,6,-1,99,88,75,26,20,144,573,27,218,55,50,18,54,63
01/03/2018,7,332,264,388,475,1143,2237,579,321,2300,458,30,138,-1,595,313,546,830,778,76,79,184,1280,635,2576,518,279,85,885,358,232,104,undefined,248,194,1703,239,49,-1,312,258,200,217,89,428,1269,59,553,100,107,55,56,195
01/03/2018,8,872,674,998,1150,2240,4613,812,512,4212,655,62,245,-1,1352,775,1106,1838,1661,175,166,308,2619,1435,4517,1005,654,229,1895,576,308,143,undefined,567,284,3633,691,132,-1,805,697,791,833,368,1045,2853,357,1191,244,179,168,109,735
01/03/2018,9,1003,868,894,1274,1856,2536,629,255,2525,460,22,119,-1,575,810,1113,1536,1190,197,182,335,1842,1117,3235,501,687,132,1415,411,305,145,undefined,431,193,2146,635,153,-1,775,597,710,884,317,849,2362,326,1083,251,218,223,130,574
01/03/2018,10,1381,1009,1156,1469,1616,1411,232,139,901,298,27,108,-1,391,966,1325,853,554,348,237,480,1625,645,1886,335,784,173,1182,304,447,268,undefined,280,155,1380,511,205,-1,468,535,816,840,310,856,2363,320,999,296,308,262,126,432
01/03/2018,11,1983,1493,1617,2143,1993,1459,243,184,733,281,21,115,-1,377,1207,1483,754,498,591,427,618,1777,529,1833,528,1103,201,1765,328,555,182,undefined,233,157,1734,513,149,-1,404,522,1044,838,377,1215,2803,258,1329,410,490,315,219,492
01/03/2018,12,3146,2776,2731,3156,2728,2580,391,543,1464,519,76,353,-1,674,2022,2273,1771,687,1137,849,1421,2679,1131,2548,887,1665,286,3222,576,1218,331,undefined,364,328,3433,1065,406,-1,1397,885,1279,991,366,2014,3611,393,2125,573,693,471,337,1005
01/03/2018,13,3291,2940,2819,3456,2485,2557,794,483,1334,476,93,338,-1,542,2201,2431,1573,617,1222,901,1465,3036,1018,2599,890,1672,266,2411,658,1177,417,undefined,372,333,3398,1010,352,-1,1218,890,1442,1227,458,2244,3805,482,2353,522,666,546,307,997
01/03/2018,14,2463,2247,2609,3040,2101,2204,483,218,961,234,51,199,-1,579,2126,1947,907,551,1039,498,983,2440,611,2012,801,1184,288,1813,581,805,329,undefined,308,183,2334,728,229,-1,584,524,1244,1049,360,1735,3632,274,2016,480,436,430,253,822
01/03/2018,15,2354,2278,2693,3092,3666,2432,326,212,1408,261,79,241,-1,662,2264,1521,794,567,1008,473,992,2751,585,2392,1079,839,246,3448,661,679,328,undefined,306,193,2491,564,249,-1,476,451,1113,1158,411,1641,3927,232,1752,390,296,363,174,678
01/03/2018,16,3027,2275,2793,3306,3321,3300,393,379,2667,633,66,303,-1,998,2363,1556,820,1014,1027,425,1000,3485,848,3715,1144,790,227,2776,767,783,306,undefined,454,252,3007,648,184,-1,464,423,1171,946,407,1735,4294,311,2249,311,198,384,165,763
01/03/2018,17,3520,2342,3164,3630,4354,5413,840,637,3598,785,71,339,-1,1758,2856,1636,1395,1852,1166,679,1320,4389,1209,4809,1602,818,262,3313,1154,1037,341,undefined,622,331,4555,832,217,-1,677,608,1196,907,516,2183,4983,301,2662,341,205,478,187,880
01/03/2018,18,3207,1818,2854,3216,3803,3530,742,422,1678,295,82,326,-1,1140,2289,1101,912,856,1317,859,1355,3594,723,3128,1074,766,300,3208,1483,1127,401,undefined,345,265,3888,556,276,-1,406,361,857,709,500,1818,4166,220,2205,333,207,532,214,746
01/03/2018,19,2162,1180,2534,2220,2446,2108,503,213,554,139,85,348,-1,610,1721,644,382,309,1348,928,1142,2580,306,1568,604,570,209,2106,1402,1102,528,undefined,205,172,2708,332,250,-1,232,246,526,326,244,1401,2836,133,1412,239,136,536,201,558
01/03/2018,20,1762,826,2116,1897,1699,1718,358,196,335,125,127,364,-1,479,1634,441,322,177,1273,790,1081,1989,303,1071,383,534,165,900,949,918,531,undefined,164,143,2198,261,280,-1,152,158,292,332,239,1158,2335,82,1213,219,117,474,145,469
01/03/2018,21,965,375,2038,1692,1516,1256,183,106,169,101,99,259,-1,397,1113,398,216,112,918,644,875,1759,189,1017,313,517,133,974,215,818,497,undefined,107,98,1794,255,252,-1,107,156,264,238,130,963,1909,72,1003,173,99,424,120,392
01/03/2018,22,632,231,1211,864,2154,1060,194,57,151,67,40,147,-1,359,652,279,227,115,625,816,748,1233,158,721,319,319,110,2201,951,615,347,undefined,58,80,1441,205,142,-1,68,123,89,68,44,753,1420,35,585,144,85,172,59,271
01/03/2018,23,224,145,791,897,1700,741,544,43,72,17,16,70,-1,234,312,159,106,64,412,849,648,904,104,423,133,224,47,717,831,438,231,undefined,68,129,786,111,62,-1,35,87,78,55,41,553,1354,20,331,53,103,55,38,140
02/03/2018,0,121,81,386,482,313,295,40,11,26,4,5,21,-1,102,146,79,40,21,215,520,385,424,84,220,60,171,26,124,69,350,96,undefined,23,43,290,71,22,-1,35,18,21,38,34,156,557,13,231,35,55,20,35,94
02/03/2018,1,79,72,222,231,95,100,24,4,16,16,3,11,-1,29,84,38,36,15,167,207,230,226,30,72,32,195,8,48,50,239,32,undefined,12,17,101,59,18,-1,12,16,18,13,9,126,238,5,151,11,95,27,27,54
02/03/2018,2,67,31,151,96,54,40,11,3,16,3,1,1,-1,8,71,34,18,8,98,103,176,88,50,48,14,88,13,24,23,135,8,undefined,7,8,43,19,8,-1,6,10,6,16,11,47,180,1,83,28,40,4,17,47
02/03/2018,3,47,41,155,115,77,49,17,6,10,5,2,7,-1,12,52,26,13,5,55,83,236,155,19,30,16,53,2,60,9,112,11,undefined,2,7,46,21,8,-1,6,3,9,12,9,38,156,6,74,11,39,3,10,21
02/03/2018,4,49,28,39,46,66,92,24,4,10,7,1,3,-1,44,21,18,18,5,40,40,96,114,27,25,30,50,5,70,13,35,16,undefined,7,6,66,29,5,-1,23,20,5,1,1,40,121,-1,59,23,21,9,11,27
