Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street,Flinders La-Swanston St (West) Temporary
01/03/2019,0,181,94,467,770,262,377,-1,36,28,11,-1,38,-1,165,154,96,31,17,226,224,315,485,70,213,103,158,20,96,157,282,99,undefined,22,25,310,82,17,165,32,26,38,7,20,-1,-1,13,291,40,77,34,39,203,35,-1,36,37,165,320,undefined
01/03/2019,1,91,69,289,189,92,117,-1,11,19,6,-1,23,-1,58,73,34,18,14,174,90,229,287,37,56,65,182,24,51,86,193,37,undefined,1,14,143,45,11,88,19,16,14,1,7,-1,-1,9,174,26,90,14,38,77,23,-1,38,30,88,242,undefined
01/03/2019,2,93,28,160,68,49,90,-1,1,5,3,-1,14,-1,43,45,24,23,22,121,81,179,216,30,50,34,122,9,25,68,114,10,undefined,8,12,92,32,14,48,3,4,25,12,10,-1,-1,-1,150,23,55,10,20,43,24,-1,29,26,48,114,undefined
01/03/2019,3,39,31,136,44,25,52,-1,2,8,4,-1,8,-1,15,33,22,26,6,44,65,85,160,28,39,46,61,7,45,31,88,11,undefined,2,1,32,16,3,21,3,3,9,2,3,-1,-1,-1,69,9,15,1,19,14,13,-1,19,19,21,100,undefined
01/03/2019,4,24,28,51,62,14,60,-1,7,11,6,-1,4,-1,35,24,19,13,12,42,37,95,97,13,55,16,48,8,62,46,61,29,undefined,12,14,58,14,9,26,9,7,14,4,4,-1,-1,-1,55,9,41,7,15,12,5,-1,5,13,26,61,undefined
01/03/2019,5,37,24,94,122,33,262,-1,59,134,22,-1,31,-1,122,31,30,62,35,20,27,65,214,42,298,122,90,20,97,109,23,25,undefined,30,32,238,22,16,90,21,34,16,10,5,-1,-1,7,92,21,21,13,9,13,8,-1,23,106,90,139,undefined
01/03/2019,6,140,81,188,222,90,887,-1,144,578,76,-1,105,-1,286,75,179,211,167,65,25,88,715,262,1065,261,151,24,267,308,65,25,undefined,80,61,777,103,9,332,73,88,56,19,10,-1,-1,18,228,41,68,33,48,49,30,-1,44,474,332,380,undefined
01/03/2019,7,386,330,410,546,215,1756,-1,353,2065,345,-1,222,-1,643,338,421,815,756,100,122,184,1445,731,2227,617,395,82,723,854,112,74,undefined,211,132,1283,234,50,1193,326,250,125,75,48,-1,-1,63,500,138,94,81,98,181,96,-1,133,1819,1193,439,undefined
01/03/2019,8,949,649,771,1007,408,3942,-1,497,4406,541,-1,356,-1,1291,663,801,2039,1744,178,169,317,2758,1523,4332,1183,647,165,1363,1403,294,115,undefined,588,273,2637,739,91,2233,850,721,324,264,110,-1,-1,144,1138,308,127,149,123,573,189,-1,401,4345,2233,1359,undefined
01/03/2019,9,1016,797,750,1169,374,2171,-1,254,2801,478,-1,236,-1,711,730,618,1342,993,174,227,389,2242,883,3077,642,749,205,1043,1122,338,169,undefined,431,250,1573,574,109,1649,741,583,404,367,131,-1,-1,197,986,331,192,211,144,533,220,-1,365,2930,1649,1100,undefined
