Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street,Flinders La-Swanston St (West) Temporary,RMIT Building 14,380 Elizabeth St,La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library - New,Flinders Ln - Degraves St (South),Flinders Ln - Degraves St (North),Flinders Ln - Degraves St (Crossing),Errol Street (East),Westwood Place,Flinders St - ACMI,Bourke St - Spencer St (South),Spring St - Flinders St (West),Macaulay Rd - Bellair St,Harbour Esplanade - Pedestrian Path,Harbour Esplanade - Bike Path
01/03/2021,0,41,35,na,60,125,92,6,19,6,8,7,17,na,36,na,44,16,10,48,25,129,109,36,87,73,66,8,36,8,132,42,undefined,na,2,na,10,28,undefined,6,1,16,7,4,50,140,6,81,6,49,15,17,25,8,undefined,28,14,50,35,na,32,176,52,na,2,41,na,na,na,na,5,5,13,43,4,1,undefined,undefined
01/03/2021,1,19,20,na,59,64,58,4,16,2,8,1,10,na,27,na,20,8,1,71,11,68,72,16,56,59,62,3,30,6,105,5,undefined,na,2,na,4,4,undefined,2,3,2,na,na,28,123,5,57,5,52,3,6,21,3,undefined,8,11,29,29,na,21,91,19,na,4,22,na,na,na,na,8,5,14,108,1,na,undefined,undefined
01/03/2021,2,10,22,na,23,29,41,11,10,1,na,5,12,na,12,na,4,6,na,14,4,64,42,8,26,23,42,6,24,4,41,5,undefined,na,6,na,na,3,undefined,na,6,2,2,na,6,53,na,17,11,28,3,18,13,4,undefined,12,3,31,8,na,11,76,19,na,2,11,na,na,na,na,7,15,11,11,2,na,undefined,undefined
01/03/2021,3,23,11,na,12,54,63,18,na,1,2,2,5,na,23,na,17,8,3,20,10,32,30,8,19,42,11,4,46,7,46,7,undefined,na,na,na,5,3,undefined,na,2,na,na,na,9,56,na,29,6,36,3,7,2,2,undefined,6,7,14,16,na,22,45,12,na,na,2,na,na,na,na,7,10,11,13,2,na,undefined,undefined
01/03/2021,4,11,13,na,28,60,36,11,2,na,na,4,5,na,21,na,16,8,3,16,11,23,64,7,11,49,16,6,51,na,43,10,undefined,na,1,na,4,11,undefined,5,5,2,na,na,41,34,1,25,3,33,5,15,6,1,undefined,3,na,16,10,na,5,40,11,na,2,11,na,na,na,na,11,2,1,9,4,1,undefined,undefined
01/03/2021,5,22,5,na,43,85,143,27,18,21,2,9,24,na,58,na,14,47,16,9,9,24,123,20,106,71,38,1,69,6,45,11,undefined,na,8,na,20,8,undefined,6,19,16,5,3,33,165,na,47,6,23,7,29,20,3,undefined,19,33,59,16,na,29,98,11,na,10,22,na,na,na,na,6,1,24,21,24,1,undefined,undefined
01/03/2021,6,66,35,na,131,251,327,88,46,107,19,20,75,na,136,na,53,92,57,23,23,27,370,86,317,293,96,23,230,28,52,22,undefined,na,18,na,46,7,undefined,21,53,86,12,9,42,372,10,125,24,39,14,70,20,9,undefined,69,103,182,70,na,45,279,39,na,41,69,na,3,4,4,16,4,56,36,39,26,undefined,undefined
01/03/2021,7,117,93,na,244,621,588,234,182,322,54,50,157,na,226,na,146,300,207,30,31,55,635,228,682,520,157,40,499,64,68,50,undefined,na,29,na,105,21,undefined,89,110,86,26,20,145,593,29,201,71,39,41,94,97,36,undefined,82,225,446,174,na,143,283,58,na,130,130,na,171,110,124,23,36,125,68,70,70,undefined,undefined
01/03/2021,8,324,183,na,497,1000,1184,380,266,722,116,42,233,na,397,na,364,637,483,70,65,152,1130,484,1214,769,255,73,1073,73,101,73,undefined,na,36,na,268,74,undefined,164,253,246,237,53,269,1193,77,395,96,55,110,104,228,108,undefined,179,466,949,520,na,392,518,100,na,421,291,na,467,192,213,na,42,309,144,58,145,undefined,undefined
01/03/2021,9,418,254,na,615,802,645,168,181,379,98,36,164,na,259,na,490,403,351,117,48,127,1006,258,710,507,308,62,599,70,141,99,undefined,na,31,na,295,71,undefined,139,201,270,182,41,288,1184,72,480,118,89,156,205,205,90,undefined,176,311,613,603,na,399,515,114,na,345,237,na,463,263,196,na,87,189,194,46,129,undefined,undefined
