Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street,Flinders La-Swanston St (West) Temporary,RMIT Building 14,380 Elizabeth St,La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library - New,Flinders Ln - Degraves St (South),Flinders Ln - Degraves St (North),Flinders Ln - Degraves St (Crossing),Errol Street (East),Westwood Place,Flinders St - ACMI,Bourke St - Spencer St (South),Spring St - Flinders St (West),Macaulay Rd - Bellair St,Harbour Esplanade - Pedestrian Path,Harbour Esplanade - Bike Path,Flinders St (South),Elizabeth St - Flinders St (East) - New footpath,Macaulay Rd (North),Queensberry St - Errol St (South)
01/03/2022,0,36,31,221,80,115,92,na,9,9,2,9,22,na,29,na,34,13,5,81,30,80,na,11,65,72,91,13,42,21,94,22,undefined,na,na,162,9,20,undefined,15,9,12,na,7,na,173,11,100,na,70,30,40,36,24,undefined,34,9,70,28,na,47,na,84,101,4,40,72,16,1,7,3,17,23,20,3,2,25,3,54,105,2,na
01/03/2022,1,31,16,147,63,32,34,na,8,4,1,2,20,na,13,na,21,5,5,50,18,31,na,12,34,29,66,8,22,4,75,11,undefined,na,na,75,5,13,undefined,3,2,10,na,6,na,82,8,106,na,37,17,22,22,41,undefined,24,2,55,31,na,21,na,45,54,3,37,24,20,2,6,3,9,12,na,2,na,4,na,26,55,na,na
01/03/2022,2,24,38,72,29,37,13,na,5,5,1,7,10,na,9,na,16,6,na,22,16,26,na,26,19,46,42,2,16,10,25,4,undefined,na,na,56,3,1,undefined,3,11,8,na,6,na,36,1,71,na,28,4,12,16,6,undefined,12,3,54,8,na,16,na,42,51,na,19,16,9,0,8,1,35,15,na,4,na,11,2,26,33,na,na
01/03/2022,3,11,26,55,19,41,39,na,na,3,na,1,7,na,21,na,22,13,3,11,13,18,na,8,25,17,41,6,35,13,14,5,undefined,na,na,27,7,3,undefined,3,2,na,na,1,na,63,1,60,na,22,na,33,15,3,undefined,3,2,6,1,na,19,na,22,28,1,7,15,7,0,1,2,6,6,na,na,na,7,3,28,47,na,na
01/03/2022,4,8,4,42,32,58,36,na,6,5,3,1,4,na,15,na,16,14,na,11,na,12,na,12,22,34,40,4,50,1,15,12,undefined,na,na,25,3,7,undefined,na,3,2,na,1,na,63,4,62,na,45,9,9,3,9,undefined,7,7,11,3,na,11,na,18,32,na,18,12,3,1,0,1,4,10,na,2,na,6,na,21,25,na,na
01/03/2022,5,15,13,43,59,99,111,3,21,26,13,5,21,na,48,na,25,34,10,11,10,38,na,20,120,74,49,9,95,50,16,11,undefined,na,na,101,13,9,undefined,13,15,4,na,1,na,199,4,64,na,21,5,16,13,8,undefined,13,31,68,9,na,24,na,31,33,13,47,28,21,3,8,3,3,17,na,10,2,21,1,67,73,9,na
01/03/2022,6,76,43,121,146,267,457,4,89,92,23,18,59,na,145,na,55,134,52,20,14,43,na,94,328,310,98,32,184,71,36,30,undefined,na,na,531,30,8,undefined,33,51,34,na,15,na,389,13,102,na,63,18,94,33,16,undefined,32,167,217,49,na,78,na,57,84,66,99,83,75,22,27,14,15,78,na,27,28,75,2,166,243,21,na
01/03/2022,7,140,114,203,286,534,815,16,201,383,65,40,109,na,295,na,176,345,182,32,25,74,na,169,688,564,201,61,405,155,47,57,undefined,na,na,880,128,28,undefined,92,88,105,na,46,na,702,39,248,na,66,46,67,71,45,undefined,82,374,485,225,na,190,na,95,152,192,135,178,177,73,82,74,58,192,na,75,63,151,58,338,620,96,na
01/03/2022,8,342,268,468,639,980,1512,6,284,894,124,45,215,na,476,na,416,900,477,72,55,139,na,559,1287,954,379,132,731,197,124,109,undefined,na,na,1518,321,57,undefined,186,332,381,na,147,na,1647,137,563,na,89,121,78,253,169,undefined,200,669,950,931,na,699,na,131,273,633,405,427,400,197,158,119,39,455,na,82,148,233,76,784,1100,212,na
01/03/2022,9,475,301,550,802,819,780,6,149,545,87,38,172,na,248,na,564,509,323,117,77,188,na,294,842,968,430,124,748,161,141,106,undefined,na,na,913,253,85,undefined,186,259,543,na,192,na,1427,160,599,na,126,178,97,207,164,undefined,163,544,587,734,na,678,na,169,326,626,309,506,403,251,141,138,95,264,na,57,90,136,53,487,899,130,na
