Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Southbank
01/05/2017,0,112,17,5,-1,200,0,77,48,31,18,5,21,1,7,121,187,80,31,119,156,138,51,208,48,82,71,12,26,209,81,7,12,0,17,8,0,25,-1,15,26,20,15,156
01/05/2017,1,63,5,4,-1,77,0,52,41,22,7,2,9,1,1,53,69,22,11,70,73,47,18,185,23,93,25,4,11,109,31,4,2,0,12,12,0,15,-1,19,25,11,7,66
01/05/2017,2,25,5,3,-1,45,0,20,7,13,1,2,3,2,1,37,19,14,18,37,57,29,7,121,9,51,18,6,10,60,8,0,5,0,2,2,0,2,-1,11,10,3,0,29
01/05/2017,3,20,3,1,-1,34,0,20,8,3,6,3,9,1,1,29,27,14,5,20,73,7,5,101,14,28,6,3,19,54,1,1,2,0,19,2,0,6,-1,8,5,0,0,27
01/05/2017,4,19,15,8,-1,13,0,9,14,14,9,4,6,0,0,47,61,30,6,20,42,34,5,125,16,39,7,2,55,25,5,15,7,0,1,2,0,5,-1,7,7,5,2,49
01/05/2017,5,39,45,39,-1,76,0,54,16,24,96,23,12,3,30,120,257,89,43,50,137,246,43,36,43,17,10,12,93,17,12,21,28,0,10,16,0,19,-1,126,25,42,35,147
01/05/2017,6,75,211,167,-1,169,0,104,105,83,571,109,89,19,111,323,803,75,216,123,549,897,216,98,251,30,26,35,318,49,37,80,57,0,79,7,0,54,-1,187,46,44,29,711
01/05/2017,7,328,737,794,-1,387,0,320,224,381,1978,362,160,15,247,968,1980,0,509,242,1253,2229,657,156,471,138,78,64,862,203,57,227,178,0,213,47,0,235,-1,394,150,141,102,1601
01/05/2017,8,796,1899,1831,-1,836,0,855,587,912,3754,615,262,20,356,1995,4435,0,877,534,2659,4360,1358,336,752,225,123,134,1918,310,144,609,319,0,708,116,0,678,-1,723,470,481,214,3434
01/05/2017,9,740,1260,1105,-1,868,0,997,703,901,1952,358,161,31,219,1395,2174,0,320,595,1799,2606,835,361,368,261,170,62,1288,301,145,397,215,0,566,128,0,505,-1,315,592,592,265,1991
01/05/2017,10,774,739,564,-1,1103,0,1374,1042,1024,699,223,154,26,160,1203,1194,0,234,561,1678,1640,488,476,363,358,227,81,1110,360,229,209,158,0,480,129,0,564,-1,339,566,440,252,1325
01/05/2017,11,1003,689,403,-1,1392,0,1996,1392,1310,581,260,181,13,192,1522,1294,0,315,601,1985,1664,458,615,460,621,397,105,1627,575,214,244,181,0,447,195,0,522,-1,553,839,539,277,1434
01/05/2017,12,1839,1633,681,-1,2334,0,3248,2801,2182,1410,572,340,101,598,1800,2107,0,393,1018,2623,2454,907,1272,707,1074,746,140,1697,1015,358,288,288,0,998,322,0,813,-1,711,839,545,313,3192
01/05/2017,13,1848,1567,742,-1,2324,0,3545,3134,2586,1192,535,371,145,481,1929,2089,0,401,1035,2892,2232,885,1442,694,1176,663,156,1986,1021,415,329,412,0,1073,296,0,858,-1,805,945,494,360,2798
01/05/2017,14,1737,852,540,-1,2260,0,2999,2225,1660,738,292,249,47,224,1916,1829,0,353,678,2434,1775,572,1060,629,914,471,116,1815,719,343,264,267,0,635,221,0,566,-1,609,734,487,310,1849
01/05/2017,15,1866,689,580,-1,2063,0,2663,2191,1352,1075,314,221,38,209,1893,1941,0,341,670,2579,2205,488,921,816,858,474,168,1597,705,275,284,242,0,552,231,0,540,-1,633,792,656,325,1897
01/05/2017,16,1939,815,1032,-1,2377,0,2727,2022,1335,2632,556,218,38,244,2183,2912,0,562,603,3025,3508,622,845,881,830,411,152,1924,680,317,425,256,0,603,196,0,424,-1,654,689,698,285,2533
01/05/2017,17,2437,1397,1887,-1,2726,0,2741,1740,1290,3703,880,310,45,501,3070,4883,0,873,675,3761,4883,1064,1148,1166,928,597,181,2662,825,363,610,327,0,817,240,0,572,-1,921,932,891,438,4011
01/05/2017,18,1628,725,786,-1,2166,0,1845,1132,765,1333,370,179,66,284,1737,2656,0,471,610,2808,2897,526,1014,645,954,498,179,1195,759,370,242,193,0,347,247,0,312,-1,428,629,637,288,2509
01/05/2017,19,1273,292,235,-1,1827,0,954,508,383,339,205,54,14,119,992,1380,0,120,438,1795,1384,295,802,235,871,458,72,494,612,334,97,86,0,193,260,0,232,-1,211,442,420,200,1360
01/05/2017,20,857,240,117,-1,1543,0,459,311,256,117,76,48,10,60,660,921,0,48,325,1296,795,175,748,134,730,336,78,399,572,346,60,70,0,103,199,0,248,-1,100,315,301,176,894
01/05/2017,21,489,131,76,-1,937,0,309,153,148,71,69,36,11,31,465,679,0,32,201,995,664,119,451,122,506,285,92,312,459,257,41,46,0,108,116,0,89,-1,69,183,203,78,560
01/05/2017,22,338,96,49,-1,674,0,204,111,107,64,32,29,0,26,284,492,0,14,179,668,437,107,293,109,262,212,48,123,374,144,41,43,0,36,53,0,76,-1,52,124,107,58,379
01/05/2017,23,181,78,35,-1,355,0,98,53,47,31,22,17,8,10,158,360,0,16,129,430,245,43,214,52,150,94,21,61,151,84,25,20,0,18,31,0,29,-1,46,62,77,29,261
02/05/2017,0,78,24,9,-1,154,0,70,27,25,21,6,15,0,5,66,136,0,10,88,118,87,32,162,11,93,52,13,28,101,37,6,11,0,11,6,0,10,-1,27,33,11,14,96
02/05/2017,1,55,6,7,-1,72,0,36,15,10,8,6,8,0,3,29,44,0,18,79,48,39,15,75,5,44,29,5,21,86,27,0,9,0,2,7,0,5,-1,13,19,3,2,41
02/05/2017,2,27,11,5,-1,18,0,23,20,11,1,2,5,0,2,19,21,0,24,60,57,19,6,58,8,27,11,2,9,35,4,4,4,0,5,8,0,5,-1,10,4,0,0,16
02/05/2017,3,10,11,0,-1,43,0,16,5,3,4,3,0,0,0,20,10,0,39,46,60,24,6,37,1,23,8,1,25,21,3,0,3,0,3,3,0,2,-1,2,3,7,3,23
02/05/2017,4,13,8,3,-1,21,0,15,12,9,3,7,3,1,2,32,55,0,12,25,80,28,10,28,20,17,10,2,36,34,1,12,9,0,2,0,0,9,-1,13,3,2,1,76
02/05/2017,5,41,57,45,-1,64,0,31,22,23,103,28,22,6,34,113,244,0,90,66,168,213,32,26,54,12,10,15,99,26,29,20,37,0,16,12,0,13,-1,127,26,50,44,175
02/05/2017,6,93,202,198,-1,185,0,116,78,126,637,88,83,22,126,332,781,0,206,178,576,823,206,79,238,23,34,49,392,51,26,79,43,0,63,9,0,79,-1,185,63,56,32,757
02/05/2017,7,350,787,804,-1,410,0,347,281,436,2081,369,184,17,268,1101,2210,0,575,377,1557,2425,678,198,484,126,85,89,1040,210,85,289,203,0,283,67,0,262,-1,414,187,149,99,1684
