Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Australia on Collins,Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South)
01/05/2018,0,57,52,228,84,177,110,18,16,16,9,6,23,-1,-1,97,68,-1,6,124,58,172,147,29,114,18,149,17,60,28,150,41,undefined,5,14,127,9,13,-1,13,18,26,22,18,77,188,16,92,18,80,14,27,38
01/05/2018,1,24,21,89,63,55,53,31,6,17,1,4,10,-1,-1,53,36,-1,4,49,121,131,76,16,35,16,112,11,21,8,89,23,undefined,5,3,48,6,3,-1,3,5,17,8,6,37,85,10,46,10,59,29,21,23
01/05/2018,2,25,10,58,30,29,25,6,3,2,2,7,3,-1,-1,29,5,-1,1,33,39,90,69,8,22,11,65,6,21,11,76,2,undefined,2,3,26,4,-1,-1,11,3,6,-1,-1,22,74,-1,50,11,26,2,15,18
01/05/2018,3,15,15,25,18,32,22,13,3,1,2,1,2,-1,-1,45,11,-1,2,23,50,71,70,5,10,11,41,4,34,1,34,8,undefined,3,7,20,6,3,-1,4,4,5,3,3,7,34,1,25,6,21,3,2,17
01/05/2018,4,17,21,28,27,47,34,22,2,3,8,-1,4,-1,-1,8,4,-1,6,15,25,50,83,12,24,29,19,2,59,13,13,8,undefined,3,6,36,6,11,-1,11,6,8,-1,1,21,50,3,40,1,15,13,6,7
01/05/2018,5,56,24,91,64,122,247,18,44,134,19,3,16,-1,-1,40,13,-1,31,22,38,43,183,53,272,112,72,8,106,42,27,13,undefined,15,32,219,19,12,-1,20,18,11,6,5,44,178,9,80,18,29,9,10,23
01/05/2018,6,151,139,191,195,466,915,166,169,831,96,15,82,-1,-1,73,159,-1,173,37,25,116,644,286,1052,267,149,52,497,179,76,22,undefined,114,95,950,87,12,-1,95,89,62,46,37,115,512,35,207,74,50,22,52,57
01/05/2018,7,434,305,440,512,1142,1900,452,400,2224,364,45,201,-1,-1,338,485,-1,793,81,95,236,1548,776,2323,618,295,83,1198,365,169,105,undefined,306,189,2113,274,26,-1,353,326,208,163,86,465,1357,62,646,130,110,64,73,244
01/05/2018,8,1041,669,1085,1153,2126,3915,716,559,3949,590,37,308,-1,-1,848,992,-1,1779,184,200,365,2716,1517,4173,852,663,244,2095,665,464,147,undefined,679,304,3711,791,112,-1,755,914,605,637,229,1025,2810,317,1284,301,204,149,138,822
01/05/2018,9,1063,663,1002,1229,1481,2354,310,262,2699,426,16,212,-1,-1,816,999,-1,1067,248,147,349,2040,964,2720,461,740,172,1521,432,328,152,undefined,490,251,2352,571,113,-1,785,634,660,762,251,800,2369,276,998,301,216,184,166,668
01/05/2018,10,1496,927,1176,1510,1220,1211,205,156,887,313,25,186,-1,-1,896,1195,-1,577,475,253,509,1662,528,1489,419,903,229,1100,436,332,204,undefined,277,174,1543,527,126,-1,466,619,662,691,221,811,2187,245,1019,327,291,264,160,469
01/05/2018,11,2073,1485,1637,2071,1283,1358,336,208,672,216,55,195,-1,-1,1191,1385,-1,500,642,363,742,1816,557,1511,549,1084,224,1141,463,554,202,undefined,262,188,1655,579,158,-1,404,591,802,680,263,1089,2520,276,1349,466,442,294,191,581
01/05/2018,12,3271,2711,2503,3235,1795,2428,423,696,1374,547,129,465,-1,-1,1961,2358,-1,704,1215,765,1521,2831,1118,2344,799,1770,274,1311,702,1056,329,undefined,375,348,3403,1041,268,-1,1124,1003,1070,830,354,2182,3369,353,2334,569,734,439,274,1102
