Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street,Flinders La-Swanston St (West) Temporary
01/05/2019,0,96,42,285,147,174,190,13,15,20,6,5,23,-1,83,131,58,26,12,143,60,151,316,33,134,37,140,20,154,-1,218,39,undefined,9,10,180,20,22,110,18,23,35,14,9,-1,12,119,25,57,11,27,33,40,-1,46,11,110,5,213
01/05/2019,1,71,16,191,85,91,103,3,8,11,5,2,16,-1,32,56,43,21,11,86,28,106,138,35,50,34,112,10,72,-1,125,16,undefined,6,11,68,17,8,70,5,20,16,5,7,-1,4,52,11,44,2,21,51,35,-1,30,9,70,5,100
01/05/2019,2,30,21,72,24,50,31,4,3,7,-1,3,7,-1,16,35,7,13,8,54,50,59,118,11,17,26,57,5,27,-1,81,12,undefined,2,6,38,7,5,43,5,6,6,4,3,-1,2,49,7,21,2,13,20,11,-1,13,4,43,3,39
01/05/2019,3,8,16,45,28,54,78,6,1,4,1,4,9,-1,14,40,11,13,8,27,36,65,80,26,22,8,46,4,40,-1,40,2,undefined,6,2,21,12,5,10,3,13,5,-1,-1,-1,-1,32,4,23,-1,10,20,-1,-1,6,-1,10,-1,69
01/05/2019,4,19,17,41,29,55,44,14,3,14,4,-1,1,-1,30,13,5,14,2,36,34,48,67,6,37,50,36,2,55,-1,33,19,undefined,11,10,19,8,15,15,12,18,12,2,1,-1,1,24,4,41,10,6,7,4,-1,7,5,15,1,55
01/05/2019,5,42,29,86,94,139,239,32,40,113,23,4,18,-1,113,35,27,97,47,20,5,34,154,50,335,57,48,11,86,-1,32,24,undefined,22,29,139,21,8,103,15,28,26,50,40,-1,4,86,19,24,7,20,17,6,-1,8,65,103,2,179
01/05/2019,6,105,84,203,249,519,960,135,127,613,89,21,76,-1,326,90,204,253,190,69,25,96,753,263,1151,279,119,23,399,-1,72,54,undefined,84,65,655,81,15,377,124,103,84,65,45,-1,22,183,47,34,23,32,59,39,-1,44,409,377,13,467
01/05/2019,7,386,222,409,520,1292,1890,418,395,2299,362,55,238,-1,795,311,576,836,814,121,79,133,1515,754,2660,589,243,92,941,-1,162,85,undefined,273,188,1217,228,56,1251,360,295,197,188,83,-1,68,549,128,48,76,81,238,112,-1,158,1491,1251,120,1102
01/05/2019,8,1014,659,855,1096,2365,3965,578,556,4528,645,79,325,-1,1489,841,1017,2082,1814,260,137,346,2984,1492,4596,867,769,192,2042,9,320,169,undefined,640,328,2213,803,94,2479,860,991,571,623,241,-1,209,1209,308,82,157,170,759,354,-1,413,3312,2479,567,2117
01/05/2019,9,1084,748,892,1211,1437,2167,219,252,2806,432,40,194,-1,687,768,1065,1388,1010,242,158,367,2151,1012,3087,511,598,117,1298,14,317,180,undefined,461,247,1249,684,90,1857,746,760,636,860,274,-1,289,980,225,81,227,156,593,319,-1,417,2147,1857,461,1990
