Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West)
01/11/2015,0,473,0,70,97,1387,1417,206,251,243,61,66,100,34,20,980,1041,374,0,227,0,439,144,849,298,537,721,75,241,727,305,44,71,66,0,121,2597,80,732,143,151,70,43
01/11/2015,1,314,0,60,85,861,1121,180,183,186,37,18,23,13,16,519,569,187,0,204,0,272,145,744,200,428,524,42,181,568,167,22,54,64,0,52,1716,82,485,118,146,56,32
01/11/2015,2,176,0,43,61,519,485,109,180,163,23,22,10,1,17,332,329,158,0,219,0,102,108,746,74,270,384,27,110,399,89,9,31,27,0,17,1413,43,351,81,73,18,14
01/11/2015,3,88,0,7,41,480,355,75,140,112,8,27,16,2,5,191,152,74,0,120,0,115,72,479,39,199,292,18,77,343,34,13,21,12,0,17,1084,29,261,43,25,4,1
01/11/2015,4,71,0,12,39,178,200,50,73,42,12,3,9,2,12,106,121,92,0,106,0,107,39,480,35,104,109,8,38,209,29,9,12,20,0,12,676,29,170,48,38,5,2
01/11/2015,5,72,0,23,20,199,280,52,88,66,16,8,12,0,5,263,289,174,0,107,0,102,106,377,83,77,48,25,120,172,20,8,31,18,0,17,870,37,180,127,40,5,4
01/11/2015,6,41,0,13,31,140,150,24,42,23,14,4,15,8,14,130,187,91,0,121,0,107,42,137,69,39,27,45,100,145,11,24,33,5,0,12,619,24,127,88,44,8,9
01/11/2015,7,77,0,21,32,202,179,46,63,43,45,18,47,14,51,178,316,148,0,182,0,387,95,71,175,56,48,37,255,78,19,48,43,20,0,14,674,44,156,108,63,23,18
01/11/2015,8,123,0,44,41,330,338,126,169,121,67,43,144,31,57,314,486,198,0,397,0,511,207,93,479,99,35,69,379,102,49,76,82,71,0,35,1017,41,281,183,82,62,55
01/11/2015,9,275,0,104,66,577,737,393,522,347,122,36,172,45,122,640,952,374,0,712,0,790,250,171,1648,154,142,147,652,289,104,55,86,131,0,94,1430,83,554,312,128,90,67
01/11/2015,10,578,0,108,92,939,1360,745,1201,752,88,50,323,60,149,1224,1212,500,0,1050,0,871,288,288,2407,382,281,247,1172,374,164,84,136,144,0,120,2229,150,896,517,212,132,112
01/11/2015,11,893,0,133,96,1387,2182,1185,1948,1085,111,56,416,126,201,1659,1521,552,0,1436,0,901,269,434,1785,682,455,270,1616,546,240,110,137,156,0,203,3255,150,1284,706,201,142,101
01/11/2015,12,1185,0,145,104,2008,2786,1400,2542,1121,119,40,426,117,181,1998,1621,553,0,1569,0,1061,232,698,1782,1164,695,334,2007,639,311,89,177,121,0,225,3574,175,1679,704,344,245,124
01/11/2015,13,1530,0,118,125,2049,3098,1618,2757,1317,74,43,463,103,153,2301,1843,529,0,1628,0,945,297,833,1711,1341,679,328,2077,811,425,89,120,120,0,284,3878,142,1686,898,325,236,107
01/11/2015,14,1603,0,155,95,2093,3082,1656,2814,1110,68,59,353,167,153,2018,1838,678,0,1427,0,939,281,800,1748,1137,639,330,1925,835,482,101,105,119,0,270,3853,141,1653,811,306,246,96
01/11/2015,15,1455,0,116,86,2240,2942,1713,2944,1150,81,80,341,96,166,2028,1833,553,0,1157,0,1046,257,825,1634,1033,489,272,1626,730,543,91,96,138,0,301,3859,154,1702,714,205,189,114
01/11/2015,16,1414,0,102,80,1946,2744,1425,2677,970,83,56,343,109,145,1800,1837,584,0,744,0,1099,282,823,1598,930,469,169,1658,713,483,78,121,124,0,288,3648,136,1724,656,266,159,86
01/11/2015,17,1401,0,110,82,2053,2102,1089,1990,609,138,40,358,107,118,1675,1637,623,0,501,0,977,315,863,2077,1000,572,128,1094,767,578,85,152,103,0,303,3261,150,1735,590,265,201,113
