Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Southbank
01/11/2016,0,310,59,26,119,0,0,230,113,118,36,16,34,7,21,429,487,185,0,216,0,360,129,538,280,276,156,28,152,468,196,30,50,36,187,26,1562,23,320,74,75,39,26,553
01/11/2016,1,151,30,20,80,0,0,170,94,72,23,16,35,1,12,228,193,91,0,155,0,127,61,572,207,257,139,32,171,420,69,16,25,11,118,19,964,27,201,80,71,43,16,303
01/11/2016,2,94,23,6,51,0,0,107,79,44,9,14,11,1,2,146,151,47,0,119,0,76,27,348,68,182,79,16,66,236,42,8,31,15,105,13,728,8,108,58,31,7,5,177
01/11/2016,3,112,12,2,26,0,0,87,57,20,3,4,4,0,7,105,115,28,0,94,0,59,20,409,44,107,75,9,43,270,21,1,10,11,87,6,439,11,76,30,23,10,7,101
01/11/2016,4,32,12,5,22,0,0,48,44,30,9,3,0,0,4,66,161,71,0,59,0,87,33,508,21,62,42,9,62,170,12,4,11,5,68,5,425,1,60,15,7,4,5,65
01/11/2016,5,25,25,9,30,0,0,40,27,25,14,6,2,0,7,71,165,102,0,79,0,130,30,177,40,33,29,3,81,109,9,8,9,14,11,16,408,21,41,25,8,3,6,83
01/11/2016,6,31,45,34,58,0,0,98,38,35,41,18,24,4,33,95,198,102,0,80,0,207,64,68,83,40,21,9,53,102,9,26,31,17,24,9,392,25,84,59,24,18,9,216
01/11/2016,7,99,146,60,178,0,0,99,56,74,110,67,63,7,77,213,407,138,0,139,0,588,126,87,159,52,44,18,131,80,36,34,42,72,43,15,593,40,196,111,50,51,30,466
01/11/2016,8,200,167,153,280,0,0,270,189,197,156,104,188,35,81,453,808,213,0,324,0,688,143,151,352,101,60,51,390,109,99,63,71,154,82,53,1094,136,310,194,235,224,126,892
01/11/2016,9,292,189,100,200,0,0,595,421,225,143,65,144,15,125,680,1328,397,0,530,0,1083,186,199,601,151,94,85,459,192,103,84,105,152,105,106,1754,91,516,210,214,260,123,1311
01/11/2016,10,610,196,118,203,0,0,992,737,505,115,54,147,39,153,1014,1525,475,0,636,0,1329,218,319,580,392,172,139,622,285,123,84,84,108,77,100,2400,109,740,387,214,190,94,1441
01/11/2016,11,780,219,96,259,0,0,1538,1100,529,129,65,227,52,177,1314,1568,487,0,764,0,1191,219,493,749,584,360,128,837,381,212,63,88,117,99,143,2607,130,883,559,233,198,119,1873
01/11/2016,12,1165,219,113,241,0,0,2080,1423,623,136,79,295,75,213,1610,1426,458,0,838,0,1075,219,693,930,1182,564,137,1182,525,348,88,97,67,107,267,2965,235,1084,701,511,318,168,1940
01/11/2016,13,1379,194,95,217,0,0,2367,1806,710,125,79,204,31,133,1712,1511,485,0,811,0,900,168,790,1001,1157,607,125,1208,644,397,70,81,74,116,270,3299,210,1225,783,531,381,162,2175
01/11/2016,14,1320,150,102,193,0,0,2541,1915,725,136,78,208,73,155,1556,1319,446,0,597,0,808,172,771,1091,1135,495,118,1111,584,487,93,106,46,125,225,3308,139,1104,651,306,207,128,2010
01/11/2016,15,1337,182,93,186,0,0,2376,1866,739,127,62,161,65,158,1697,1542,584,0,405,0,886,177,796,1074,1044,413,112,941,639,427,57,78,55,119,233,3525,129,1169,663,275,206,115,1912
01/11/2016,16,1347,168,122,226,0,0,2193,1751,573,207,104,206,46,199,1784,1934,584,0,451,0,1177,207,721,1023,940,389,106,878,582,408,76,116,46,121,212,3358,147,1112,534,312,263,135,2406
01/11/2016,17,1555,150,120,251,0,0,1995,1321,484,207,87,199,70,168,1770,2138,553,0,496,0,1219,217,738,1077,1083,417,105,773,616,454,88,116,87,132,305,3432,157,1249,539,454,292,153,2288
01/11/2016,18,1371,218,98,207,0,0,1690,1071,379,199,124,283,89,121,2048,2447,568,0,532,0,1289,245,864,899,1001,565,136,695,667,600,98,121,111,157,350,3314,129,1266,568,470,260,143,2876
01/11/2016,19,1056,117,65,176,0,0,1052,470,310,119,84,190,45,70,1442,1673,414,0,427,0,925,243,920,428,1007,593,67,395,689,636,56,116,152,112,352,2864,174,815,347,337,193,89,2497
01/11/2016,20,896,105,53,165,0,0,471,275,222,74,124,176,53,53,1064,1322,373,0,348,0,553,175,817,404,798,548,69,282,652,599,69,96,74,103,377,2113,105,606,208,306,166,104,1790
01/11/2016,21,661,105,34,102,0,0,360,203,176,54,66,67,20,27,697,881,254,0,266,0,492,130,598,353,534,427,59,258,517,464,49,60,103,86,231,1560,84,522,109,166,115,47,1342
01/11/2016,22,370,61,26,107,0,0,262,127,127,35,40,53,9,28,589,751,230,0,220,0,407,125,468,250,401,267,42,194,471,345,22,29,48,46,106,1202,46,359,74,169,105,52,991
