Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street,Flinders La-Swanston St (West) Temporary,RMIT Building 14,380 Elizabeth St,La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library - New,Flinders Ln - Degraves St (South),Flinders Ln - Degraves St (North),Flinders Ln - Degraves St (Crossing),Errol Street (East),Westwood Place,Flinders St - ACMI,Bourke St - Spencer St (South),Spring St - Flinders St (West),Macaulay Rd - Bellair St,Harbour Esplanade - Pedestrian Path,Harbour Esplanade - Bike Path
1/11/20,0,59,42,312,147,257,281,34,24,6,11,10,40,-1,44,-1,24,17,3,149,76,-1,286,27,-1,83,97,16,62,28,198,484,undefined,-1,7,217,40,122,undefined,5,28,9,10,7,118,279,-1,138,30,79,56,35,90,11,undefined,34,19,50,-1,-1,54,223,67,92,-1,76,165,-1,-1,-1,-1,2,undefined,17,undefined,undefined,undefined,undefined
1/11/20,1,64,27,203,104,203,121,14,20,4,9,13,53,-1,43,-1,9,3,2,111,47,-1,228,24,-1,85,67,17,33,49,135,273,undefined,-1,3,167,23,77,undefined,-1,12,14,6,5,63,240,-1,75,13,54,13,16,70,10,undefined,14,10,28,-1,-1,39,152,68,59,-1,37,131,-1,-1,-1,5,5,undefined,5,undefined,undefined,undefined,undefined
1/11/20,2,24,15,132,46,85,38,14,7,6,8,6,22,-1,6,-1,13,10,3,42,23,-1,114,12,-1,38,88,10,35,26,93,76,undefined,-1,5,40,7,21,undefined,3,1,7,3,2,38,98,-1,63,20,68,4,12,12,8,undefined,11,4,22,-1,-1,29,109,39,31,-1,14,53,-1,-1,-1,3,6,undefined,11,undefined,undefined,undefined,undefined
1/11/20,3,18,12,80,33,49,60,3,-1,7,1,7,7,-1,1,-1,12,4,3,36,7,-1,70,4,-1,20,54,5,23,6,44,56,undefined,-1,-1,15,9,10,undefined,2,11,9,3,1,20,69,-1,42,8,64,9,9,4,3,undefined,11,9,16,-1,-1,17,76,25,36,-1,19,23,-1,-1,-1,-1,2,undefined,4,undefined,undefined,undefined,undefined
1/11/20,4,6,2,59,23,42,18,6,3,3,3,-1,12,-1,3,-1,15,2,-1,11,7,-1,49,7,-1,27,50,4,18,-1,12,32,undefined,-1,4,12,3,-1,undefined,-1,-1,1,-1,-1,8,52,-1,47,3,48,7,11,19,4,undefined,7,12,19,-1,-1,17,69,28,5,-1,8,18,-1,-1,-1,-1,9,undefined,12,undefined,undefined,undefined,undefined
1/11/20,5,6,8,79,41,39,30,8,5,7,7,3,3,-1,21,-1,23,6,-1,8,4,-1,88,10,-1,18,28,7,29,13,14,7,undefined,-1,3,27,9,12,undefined,-1,8,2,1,-1,27,96,-1,38,11,28,7,6,3,3,undefined,13,5,16,-1,-1,10,15,7,3,-1,8,11,-1,-1,-1,-1,4,undefined,8,undefined,undefined,undefined,undefined
1/11/20,6,13,14,78,61,77,63,35,30,14,2,7,15,-1,32,-1,6,18,2,13,10,-1,106,8,-1,62,61,15,51,15,18,11,undefined,-1,13,56,9,10,undefined,1,9,7,6,5,48,116,-1,67,24,22,8,9,8,3,undefined,9,11,46,-1,-1,20,70,6,12,-1,44,31,10,2,1,-1,7,undefined,12,undefined,undefined,undefined,undefined
1/11/20,7,44,28,76,77,86,70,90,51,26,8,19,43,-1,38,-1,35,21,3,18,18,-1,191,17,-1,146,98,27,49,35,11,15,undefined,-1,13,170,12,8,undefined,7,11,8,8,5,31,154,-1,64,56,42,28,21,15,3,undefined,12,19,53,3,-1,20,79,13,25,-1,21,31,32,6,6,-1,2,undefined,8,undefined,undefined,undefined,undefined
1/11/20,8,94,45,102,100,137,152,152,129,25,13,34,102,-1,62,-1,22,45,8,22,16,-1,212,36,-1,376,209,52,98,65,23,37,undefined,-1,27,329,18,18,undefined,9,19,11,16,4,41,235,-1,103,93,64,72,44,34,14,undefined,19,38,55,16,-1,30,132,31,35,-1,41,55,92,37,44,12,-1,undefined,26,undefined,undefined,undefined,undefined
1/11/20,9,287,171,222,228,258,276,206,225,38,17,67,215,-1,144,-1,132,80,15,66,34,-1,446,32,-1,687,366,149,163,103,67,59,undefined,-1,21,561,23,42,undefined,26,35,23,37,21,106,400,-1,350,196,135,196,64,57,14,undefined,59,41,91,32,-1,87,271,43,89,-1,70,164,118,83,114,120,32,undefined,29,undefined,undefined,undefined,undefined
