Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street,Flinders La-Swanston St (West) Temporary,RMIT Building 14,380 Elizabeth St,La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library - New,Flinders Ln - Degraves St (South),Flinders Ln - Degraves St (North),Flinders Ln - Degraves St (Crossing),Errol Street (East),Westwood Place,Flinders St - ACMI,Bourke St - Spencer St (South),Spring St - Flinders St (West),Macaulay Rd - Bellair St,Harbour Esplanade - Pedestrian Path,Harbour Esplanade - Bike Path,Flinders St (South)
01/11/2021,0,49,31,274,111,137,163,19,13,14,na,9,18,na,49,na,29,14,7,69,45,123,177,16,79,47,98,16,74,20,87,72,undefined,na,5,180,38,26,undefined,23,15,8,8,6,84,213,3,105,24,52,10,26,41,11,undefined,38,22,55,23,na,51,233,47,190,4,61,95,10,1,0,9,8,34,8,7,1,26,4,137
01/11/2021,1,43,18,122,50,106,83,1,5,4,na,2,9,na,33,na,25,3,4,49,30,78,115,9,26,63,63,10,35,na,86,20,undefined,na,3,120,16,17,undefined,1,9,7,3,1,36,111,na,74,19,50,1,13,17,20,undefined,29,8,48,13,na,20,201,35,107,6,18,73,17,1,2,2,na,16,14,4,2,9,na,119
01/11/2021,2,17,10,77,37,64,47,1,2,1,1,4,6,na,13,na,6,2,na,24,13,79,129,5,12,16,44,7,22,4,39,13,undefined,na,1,68,9,5,undefined,2,3,1,1,1,4,94,na,75,2,28,5,8,12,10,undefined,24,3,35,8,na,14,110,13,97,2,2,32,18,4,1,2,na,9,12,na,na,8,2,26
01/11/2021,3,10,3,63,22,19,19,na,na,2,na,na,3,na,7,na,14,4,3,12,4,47,93,11,22,15,26,13,41,1,32,5,undefined,na,na,32,6,3,undefined,1,3,4,1,1,15,44,1,53,11,36,1,10,6,12,undefined,12,8,27,5,na,31,104,16,70,na,5,40,11,0,2,3,na,2,6,1,na,7,1,28
01/11/2021,4,18,14,52,30,39,52,5,1,4,na,2,5,na,23,na,6,3,3,14,8,17,67,6,20,19,38,4,60,1,27,6,undefined,na,na,25,27,1,undefined,na,2,8,2,1,12,73,1,38,5,21,7,5,7,5,undefined,1,9,16,4,na,10,40,5,82,na,10,12,14,1,14,2,na,2,7,1,na,4,na,31
01/11/2021,5,17,11,36,38,49,63,6,11,10,na,2,16,na,37,na,10,35,13,9,8,21,94,16,62,123,19,5,57,6,4,16,undefined,na,6,60,10,14,undefined,4,8,2,na,1,15,89,12,43,6,10,6,5,10,1,undefined,20,27,41,2,na,20,73,6,71,8,12,36,4,3,12,3,na,16,5,na,6,13,na,41
01/11/2021,6,55,25,90,72,103,203,50,76,39,na,8,44,na,83,na,66,53,18,23,14,39,223,66,200,207,54,9,108,41,30,19,undefined,na,17,255,25,7,undefined,18,20,34,12,3,21,205,8,132,13,47,13,44,28,6,undefined,20,68,96,33,na,36,122,19,23,38,23,44,64,20,8,15,5,32,26,16,16,53,21,89
01/11/2021,7,100,68,110,195,151,302,119,125,91,6,36,125,na,164,na,108,157,82,41,13,47,438,84,283,396,101,38,200,61,44,31,undefined,na,36,472,50,16,undefined,21,51,41,30,16,79,376,16,160,54,42,44,42,56,30,undefined,59,129,169,75,na,85,241,50,77,91,88,88,127,80,43,42,18,67,45,18,34,97,41,134
01/11/2021,8,230,113,225,358,288,392,182,205,149,6,68,196,na,214,na,201,224,191,66,31,115,781,173,502,537,125,46,363,83,64,57,undefined,na,31,625,121,31,undefined,41,160,67,57,37,169,704,39,331,68,55,136,52,114,46,undefined,89,207,311,129,na,133,328,58,179,140,140,185,246,128,63,102,51,98,77,28,88,161,78,237
01/11/2021,9,604,297,382,511,313,426,144,200,114,9,37,143,na,213,na,359,203,135,114,52,139,818,144,470,583,176,65,338,89,121,86,undefined,na,58,755,117,55,undefined,61,106,51,55,45,248,978,31,486,109,58,212,65,102,56,undefined,129,128,305,169,na,176,421,104,209,156,167,297,251,167,104,133,81,120,76,37,123,149,64,222
01/11/2021,10,1182,588,515,1054,437,530,132,268,103,17,77,209,na,270,na,599,257,160,259,108,227,1027,143,417,751,277,103,331,115,153,145,undefined,na,61,956,99,89,undefined,64,140,55,58,31,390,1220,22,712,146,91,338,67,179,76,undefined,224,165,334,246,na,172,564,171,307,127,231,471,319,131,112,206,42,116,78,33,109,171,105,327
01/11/2021,11,1703,1066,844,1621,698,668,188,252,88,6,74,232,na,309,na,903,283,160,415,159,368,1360,138,410,1022,400,108,405,190,292,214,undefined,na,57,1212,131,124,undefined,50,152,60,92,43,570,1861,38,1071,165,157,397,113,256,159,undefined,235,136,352,298,na,241,868,164,453,143,369,804,369,180,119,228,56,247,97,38,122,240,121,408
01/11/2021,12,2450,1433,1242,2087,923,850,213,296,160,13,67,248,na,346,na,1024,306,181,665,251,524,1515,237,518,1311,503,155,532,214,319,263,undefined,na,75,1577,153,178,undefined,92,240,68,114,67,840,2105,40,1432,232,150,555,87,447,132,undefined,321,245,374,355,na,307,959,206,628,153,491,1142,569,287,196,296,51,254,131,32,123,250,162,498
01/11/2021,13,2623,1506,1516,2269,915,973,208,326,124,18,95,306,na,343,na,1064,342,158,692,286,506,1860,200,604,1512,485,141,509,234,465,255,undefined,na,77,1608,188,203,undefined,67,193,98,107,70,881,2375,63,1414,207,118,489,151,468,133,undefined,472,228,462,324,na,278,989,238,628,163,511,1326,585,360,169,310,23,253,145,42,133,297,126,555
01/11/2021,14,2688,1502,1498,2147,964,1034,204,297,113,2,83,270,na,346,na,1036,206,155,672,242,552,1786,160,533,1546,348,114,505,238,391,296,undefined,na,81,1724,192,209,undefined,78,193,69,87,62,882,2188,42,1498,203,126,485,117,400,165,undefined,391,219,431,372,na,267,980,175,619,157,558,1333,495,364,132,300,21,249,119,32,126,238,114,515
01/11/2021,15,2585,1546,1523,2030,880,1024,221,333,95,7,89,277,na,304,na,939,229,142,608,214,559,1743,148,592,1651,370,98,484,216,341,264,undefined,na,62,1579,158,188,undefined,75,166,81,91,72,882,2130,26,1405,151,130,396,128,333,156,undefined,344,208,444,429,na,280,990,136,708,133,564,1260,507,280,137,305,13,257,96,30,121,224,122,481
01/11/2021,16,2311,1305,1481,1806,934,1065,205,293,147,10,89,273,na,367,na,624,197,147,516,216,529,1910,174,621,1442,328,95,537,250,318,211,undefined,na,90,1642,180,149,undefined,52,134,77,91,62,748,2029,56,1360,143,138,380,114,388,183,undefined,239,256,443,394,na,234,1109,140,424,156,444,1451,460,223,82,319,12,227,101,54,121,220,119,532
01/11/2021,17,2109,995,1338,1619,1058,1085,203,334,160,10,99,329,na,373,na,496,176,184,565,256,537,1547,216,732,1381,334,110,597,219,335,206,undefined,na,88,1912,150,148,undefined,64,149,105,66,64,681,2014,28,1209,156,81,381,112,336,251,undefined,302,243,525,422,na,269,1087,187,448,177,480,1330,351,167,40,334,74,299,115,62,128,319,106,521
01/11/2021,18,1996,677,1520,1276,963,1052,249,308,115,2,129,421,na,327,na,253,128,90,718,281,627,1428,162,580,1334,361,99,389,270,396,351,undefined,na,67,2125,88,146,undefined,47,129,87,38,62,585,1549,24,1042,145,122,435,122,292,247,undefined,319,247,367,450,na,314,1298,132,349,115,359,1282,312,129,34,320,53,210,96,40,101,405,85,480
01/11/2021,19,1214,362,1550,1050,894,868,212,228,75,15,141,410,na,293,na,187,80,46,857,410,641,1332,148,376,805,372,91,335,226,454,468,undefined,na,58,1999,73,294,undefined,22,134,59,26,49,533,1290,31,905,131,123,501,83,308,249,undefined,329,224,328,455,na,286,1157,207,345,78,293,1311,271,129,44,214,31,167,91,46,86,429,70,441
