Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West)
1/10/2015,0,123,0,16,39,230,198,49,44,0,11,25,14,3,4,152,202,86,22,92,274,67,76,207,38,123,57,17,77,203,69,9,15,28,46,22,436,26,107,37,35,21,18
1/10/2015,1,58,0,5,19,132,89,29,24,0,7,12,4,0,1,39,47,15,20,56,98,28,61,137,14,58,29,5,36,112,28,2,7,12,46,13,191,9,47,7,17,6,5
1/10/2015,2,40,0,3,16,98,47,16,9,0,5,11,5,1,1,20,28,18,10,65,21,40,20,70,11,64,24,7,17,89,10,4,6,0,63,9,108,16,30,13,24,6,4
1/10/2015,3,24,0,2,12,38,27,8,13,0,3,7,7,0,1,43,34,4,14,36,24,22,9,57,3,29,13,5,58,50,4,0,3,1,25,1,107,5,8,1,5,3,2
1/10/2015,4,20,0,5,10,47,38,24,8,0,5,1,0,0,0,40,69,45,4,23,41,15,5,47,10,42,10,9,55,55,17,4,13,18,1,4,81,7,23,5,4,2,1
1/10/2015,5,19,0,30,96,60,78,44,28,0,64,27,12,1,29,97,186,76,48,85,134,218,41,24,78,17,6,7,109,18,8,40,38,9,5,2,274,13,51,43,15,8,10
1/10/2015,6,84,0,174,732,158,169,101,90,0,433,111,70,11,122,316,739,276,208,195,498,774,220,126,225,48,18,50,366,63,23,118,64,78,87,12,731,71,182,138,31,29,16
1/10/2015,7,302,0,771,2365,415,556,331,285,0,1534,357,186,27,291,919,1867,641,527,370,1370,1923,533,176,443,102,73,102,1016,283,111,246,159,222,225,49,1803,261,626,323,125,109,79
1/10/2015,8,723,0,1659,4931,965,1154,839,647,0,2971,577,318,68,411,1703,3876,1240,689,718,2380,3705,1146,339,860,241,147,175,1853,396,207,537,296,487,677,197,3280,642,1381,552,259,410,233
1/10/2015,9,687,0,804,2292,1033,1516,1027,1073,0,1282,422,264,60,207,1352,2085,601,500,845,1769,2305,788,373,664,293,184,192,1279,325,215,356,238,436,585,142,2909,521,1055,417,335,312,136
1/10/2015,10,996,0,494,1004,1347,1847,1617,1644,0,613,305,237,60,174,1554,1624,471,620,1122,1947,1692,511,550,675,456,297,229,1402,429,262,244,179,421,493,192,3459,529,1272,448,243,253,136
1/10/2015,11,1299,0,503,925,1965,2657,2578,2461,0,526,321,270,76,197,1926,1895,586,790,1453,2171,1700,617,705,873,865,432,313,1609,611,252,251,210,349,546,234,4459,577,1616,781,288,326,170
1/10/2015,12,2190,0,728,1425,2963,3989,3799,3882,0,1157,565,487,137,658,2643,2853,723,1344,1944,3038,2486,943,1386,1197,1524,922,405,2197,1385,490,406,344,815,922,469,5366,874,2439,1117,519,520,212
1/10/2015,13,2391,0,750,1561,3068,4639,4363,4504,0,1084,568,583,161,664,2654,3086,730,1377,2095,3470,2336,1039,1390,1306,1605,835,379,2205,1228,620,387,334,885,928,428,6110,880,2854,1190,531,544,295
1/10/2015,14,2105,0,481,988,2893,4320,3493,3942,0,712,291,412,105,360,2515,2697,632,869,1565,3143,1979,624,1145,1083,1441,653,310,2165,962,610,299,269,416,708,333,5572,571,2573,1149,335,332,183
1/10/2015,15,2066,0,652,1279,2864,4021,3366,3628,0,835,290,366,131,271,2533,2740,762,1024,989,2972,2230,623,1108,1148,1162,497,187,2020,778,577,273,274,310,629,305,5743,563,2508,1030,353,380,241
1/10/2015,16,2189,0,969,2361,2774,3937,3310,3335,0,1691,380,414,130,434,2957,3522,1052,1137,702,3445,3079,747,1153,1174,1073,540,199,1906,851,499,467,324,430,550,277,5695,617,2741,1041,434,438,246
1/10/2015,17,2647,0,1551,3254,3452,4206,3826,3125,0,2152,590,394,92,563,4347,4792,1480,1205,723,3944,3978,837,1362,1527,1354,762,294,3609,1073,459,510,381,453,782,365,6552,697,3383,1169,561,574,272
1/10/2015,18,2070,0,758,1460,2936,3493,3048,2324,0,918,349,353,90,342,2955,3683,1022,984,564,3219,2581,537,1438,1102,1457,982,248,2302,1190,601,378,228,331,515,412,5418,424,2518,813,390,337,203
1/10/2015,19,1771,0,292,607,2782,2666,2022,1418,0,330,189,250,75,197,2529,2287,644,1109,468,2515,1374,372,1358,627,1670,1216,156,2469,1191,678,210,176,254,325,436,4472,334,2036,512,273,234,142
1/10/2015,20,1412,0,185,343,2731,2209,1566,1011,0,136,167,271,74,126,1640,1907,475,369,416,2002,980,254,1177,467,1465,1117,139,878,1096,735,92,163,170,254,522,3355,247,1447,326,179,158,104
1/10/2015,21,1179,0,145,297,2394,1714,785,534,0,153,94,153,41,61,1453,1707,430,238,388,1606,750,234,1140,420,1261,1067,100,789,1001,761,87,117,194,204,403,3023,187,1220,221,159,170,97
1/10/2015,22,818,0,128,202,1863,1273,460,346,0,68,63,123,35,55,1724,1466,456,220,278,1207,570,141,1032,294,910,1051,83,1594,1024,628,73,81,105,290,260,2642,167,1262,197,117,88,56
1/10/2015,23,464,0,88,143,1382,1000,309,247,0,52,40,73,13,32,972,1151,336,637,267,1000,474,108,938,315,610,1253,74,477,952,411,51,95,79,238,97,2635,87,715,143,64,47,34
2/10/2015,0,335,0,45,92,931,727,206,193,0,41,24,32,8,32,628,551,210,1126,228,643,280,110,686,207,424,881,34,153,689,173,45,101,58,137,36,2078,68,471,166,29,30,36
2/10/2015,1,138,0,19,55,434,408,97,121,0,23,24,17,3,9,284,250,83,53,125,251,101,39,534,113,309,488,27,86,582,112,9,38,28,148,14,1084,27,290,79,39,15,13
2/10/2015,2,94,0,10,25,285,216,76,109,0,4,3,6,0,1,153,136,48,16,115,156,45,21,462,36,132,306,12,67,525,64,6,12,6,79,19,786,17,109,34,10,9,7
2/10/2015,3,86,0,7,17,267,165,53,94,0,1,3,3,2,7,132,84,60,14,62,129,28,18,420,10,144,326,7,58,387,29,8,19,3,177,4,518,11,82,55,12,7,9
2/10/2015,4,59,0,6,10,114,154,59,58,0,12,9,12,0,1,100,107,74,60,40,130,72,31,467,16,41,442,6,46,290,29,8,21,23,34,13,630,7,69,51,2,5,4
2/10/2015,5,51,0,9,30,87,124,64,58,0,17,10,27,1,5,153,200,126,31,70,177,63,39,132,54,43,193,12,94,255,6,7,13,10,20,4,683,7,132,75,9,4,4
2/10/2015,6,32,0,58,32,102,147,50,49,0,53,46,54,6,28,141,304,138,117,125,213,280,55,113,85,37,33,22,122,178,16,25,34,106,24,9,863,40,116,124,16,10,8
2/10/2015,7,117,0,89,41,268,280,123,80,0,157,66,114,17,90,302,467,203,172,210,503,515,87,104,174,52,42,85,227,244,37,59,73,36,60,28,975,50,264,240,49,32,26
2/10/2015,8,196,0,199,109,425,525,302,313,0,216,102,173,19,105,564,704,327,373,405,737,766,223,147,287,172,85,100,424,150,71,146,99,107,127,68,1600,99,487,400,100,175,75
2/10/2015,9,461,0,284,116,784,1571,872,1089,0,183,145,257,58,153,1319,1003,456,778,767,1387,956,284,227,525,300,148,152,842,276,131,178,229,121,169,115,3152,154,1261,702,151,155,89
2/10/2015,10,795,0,692,145,1384,2275,1720,2220,0,217,161,324,78,211,1912,1566,684,1933,1129,2173,1395,398,537,729,570,298,280,1364,458,172,549,864,142,224,238,4381,272,1839,833,155,152,104
2/10/2015,11,1175,0,1621,158,1978,2803,2656,2802,0,184,110,434,100,238,2490,2080,796,3480,1265,2409,1427,350,583,978,864,481,286,1577,654,236,1433,1409,164,230,248,5133,652,2244,1192,220,229,148
2/10/2015,12,1435,0,1423,173,2313,3731,2920,3201,0,206,167,420,146,291,3223,2215,743,2756,1322,2297,1241,325,878,1187,1341,824,270,1817,838,362,1547,2577,274,217,290,5519,574,2895,1201,420,407,163
2/10/2015,13,1868,0,534,226,2820,4571,3444,3889,0,226,125,552,201,256,3587,3050,849,4895,1440,3180,1253,314,1205,1357,1712,838,294,1979,1048,535,391,2570,240,236,311,6487,360,2961,1514,495,365,195
2/10/2015,14,2004,0,345,169,3105,4517,3979,4136,0,203,147,588,180,314,3423,3157,799,2286,1321,3094,1207,373,1069,1511,1686,793,290,2066,1008,754,217,512,184,229,336,5946,316,2802,1422,300,223,130
2/10/2015,15,1899,0,238,146,3021,4188,3655,3601,0,209,104,483,169,261,3255,3031,822,1587,1177,2895,1306,345,1030,1450,1415,628,215,1904,880,986,144,321,195,232,292,5828,241,3055,1353,299,340,177
2/10/2015,16,1946,0,239,160,2789,3594,3352,3331,0,232,127,530,144,274,2972,3163,1024,1179,935,3115,1383,322,1042,1668,1284,490,171,1671,833,756,135,217,164,239,274,5218,244,2476,1156,268,291,156
2/10/2015,17,2149,0,249,173,2807,3132,2816,2607,0,192,217,540,200,241,3041,2711,804,987,579,2642,1271,261,1033,1347,1284,630,163,1794,896,815,177,248,235,243,353,4698,274,2288,1140,308,308,185
2/10/2015,18,1763,0,244,147,2843,2718,2223,1904,0,275,114,680,198,239,2781,2443,765,1325,482,116,1229,244,1047,1474,1613,984,140,1576,992,811,174,202,259,241,481,4331,264,2231,841,249,230,128
2/10/2015,19,1578,0,206,106,2521,2250,1765,1319,0,103,135,586,151,174,2726,2163,662,723,414,0,800,223,1120,858,1596,1078,146,2312,954,1219,144,170,190,220,658,4067,231,1800,665,185,207,108
2/10/2015,20,1478,0,165,102,2528,2151,1474,1038,0,105,80,487,182,108,2147,1746,476,363,420,0,617,180,1133,588,1586,1115,120,709,927,1362,162,135,122,141,902,3474,261,1662,453,162,134,90
2/10/2015,21,1254,0,96,97,2590,1844,938,556,0,80,98,416,149,89,2189,1608,505,342,419,0,529,194,1104,510,1276,883,127,1098,908,1416,93,148,108,163,810,3409,240,1643,477,158,102,69
2/10/2015,22,812,0,103,101,1824,1277,456,293,0,51,77,224,86,69,2361,1417,416,814,324,0,614,198,964,422,914,717,104,1716,791,1083,121,127,157,292,533,2787,192,1244,339,103,92,70
2/10/2015,23,534,0,75,70,1321,884,315,234,0,53,58,95,44,18,1031,1134,370,537,292,0,407,149,713,332,680,478,43,310,662,601,79,93,93,319,246,2129,116,912,194,89,64,57
3/10/2015,0,262,0,25,68,868,621,164,176,0,39,26,41,22,25,474,779,273,84,198,0,254,83,547,210,384,302,30,172,407,258,32,67,36,232,80,1743,41,461,89,23,18,20
3/10/2015,1,215,0,9,35,437,336,123,111,0,12,5,17,5,5,226,259,120,37,169,0,83,51,459,89,261,228,35,91,433,107,11,29,41,209,35,913,55,235,41,22,11,16
3/10/2015,2,109,0,4,28,325,255,66,68,0,8,8,14,2,0,104,141,71,15,128,0,45,13,348,42,175,174,13,45,321,83,5,8,22,174,9,553,2,135,32,20,12,12
3/10/2015,3,78,0,12,22,246,183,68,78,0,5,20,6,0,6,84,65,30,20,136,0,31,20,368,31,125,116,5,49,193,23,4,18,1,142,17,458,12,114,22,11,5,6
3/10/2015,4,82,0,2,10,108,106,37,29,0,9,2,8,0,0,45,96,63,25,62,0,33,8,291,37,49,40,14,38,164,22,4,14,5,170,18,295,2,77,21,12,1,1
3/10/2015,5,35,0,15,14,98,100,36,25,0,16,7,7,0,9,83,114,64,94,88,0,103,14,122,45,40,20,10,72,88,14,4,10,9,54,0,502,16,72,40,8,3,3
3/10/2015,6,32,0,21,16,132,142,40,33,0,24,35,22,7,39,122,208,93,163,207,0,188,53,71,100,29,23,35,119,63,31,27,49,52,16,5,483,31,92,112,13,7,6
3/10/2015,7,192,0,49,40,294,385,109,113,0,43,12,74,13,58,466,413,160,426,278,0,384,84,85,385,53,50,82,458,82,44,61,59,74,46,21,875,40,291,317,34,25,16
3/10/2015,8,197,0,161,61,554,709,422,440,0,104,45,164,35,102,590,685,268,812,529,0,710,174,185,265,168,107,174,356,172,94,133,105,123,114,79,1534,101,461,362,76,77,60
3/10/2015,9,393,0,172,112,751,1343,901,1150,0,140,68,205,38,163,1016,1129,412,1871,887,0,964,274,258,584,196,160,250,562,274,170,206,207,208,159,154,2602,195,1125,472,92,103,87
3/10/2015,10,618,0,189,130,1205,1846,1622,1899,0,136,100,276,71,184,1676,1497,657,3408,1208,0,1082,272,422,923,487,279,304,973,433,171,263,324,180,169,210,4024,267,1514,810,110,131,114
3/10/2015,11,1021,0,292,147,1563,2788,2401,2425,0,120,87,273,92,207,2418,1978,848,5363,1447,0,1157,271,572,952,798,432,298,1213,577,280,382,618,181,193,253,5398,333,2095,1106,141,188,123
3/10/2015,12,1323,0,246,140,2016,2999,2390,2311,0,117,117,274,78,182,2444,1670,594,6974,1371,0,1156,156,630,827,1152,518,309,1528,633,396,435,529,160,234,325,5129,311,2310,1015,259,233,117
3/10/2015,13,1235,0,230,114,2196,2950,2596,2182,0,113,107,246,83,156,2176,1591,534,3846,1362,0,1149,126,727,931,1397,544,305,2072,627,439,264,267,152,177,248,4613,275,1921,735,314,228,143
3/10/2015,14,1437,0,129,95,2199,2799,2673,2361,0,71,102,304,78,166,1671,1429,431,706,1234,0,985,159,737,877,1213,438,203,1228,622,414,96,155,103,115,215,4075,222,1680,624,206,147,95
3/10/2015,15,1348,0,88,107,2145,2791,2550,2339,0,88,49,270,72,118,1622,1392,369,508,730,0,899,139,689,836,1076,374,163,1251,548,423,95,113,86,122,193,4368,217,1623,630,226,156,99
3/10/2015,16,1604,0,97,118,2206,2506,2344,2171,0,73,34,286,88,111,2057,1446,507,882,441,0,863,162,738,842,1021,355,97,1828,541,415,115,110,102,141,172,3978,182,1839,798,188,167,109
3/10/2015,17,1746,0,169,106,2324,2848,2084,1915,0,70,86,314,116,184,2199,1871,668,5160,385,0,1132,235,843,872,945,528,122,1038,764,551,453,719,121,191,293,4425,232,2098,937,228,166,116
3/10/2015,18,1519,0,195,109,2624,2440,1722,1374,0,163,176,609,151,231,2750,1950,800,7085,499,0,1095,258,1065,1033,1350,793,152,1097,860,851,482,822,233,173,378,4524,378,2333,1094,199,186,92
3/10/2015,19,1380,0,124,127,2551,2219,1214,701,0,93,117,540,154,156,2401,1902,516,1996,526,0,851,240,1193,612,1340,1029,142,1476,993,1139,314,338,208,199,589,4033,211,2090,581,190,159,67
3/10/2015,20,1285,0,123,78,2246,1937,839,512,0,98,143,440,106,99,2285,1679,472,1860,349,0,583,213,1130,557,1282,1044,125,787,883,1368,171,198,142,163,732,3812,217,1780,408,154,79,40
3/10/2015,21,1067,0,112,86,2173,1718,577,393,0,58,73,390,77,86,1841,1567,486,660,334,0,541,191,947,534,1207,877,102,587,799,1358,122,133,168,216,764,3183,163,1375,341,112,70,38
3/10/2015,22,912,0,70,93,1709,1312,356,293,0,69,74,318,68,53,1902,1445,477,809,292,0,621,190,860,396,877,643,79,1032,764,1007,76,113,146,303,429,2801,149,1493,320,121,59,40
