Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Southbank
01/10/2016,0,296,64,28,115,922,934,206,96,109,24,20,18,7,20,425,603,225,65,211,0,243,92,600,179,405,318,33,128,410,239,24,38,32,261,49,1632,42,320,72,28,23,20,557
01/10/2016,1,223,30,20,28,653,890,136,110,86,16,13,23,4,7,271,447,177,25,124,0,106,77,405,52,210,138,28,59,400,93,26,24,14,233,16,1072,27,222,34,22,20,14,302
01/10/2016,2,142,24,12,20,350,851,123,81,59,20,4,6,4,3,176,187,98,26,119,0,78,35,324,47,111,99,6,52,295,35,9,10,13,200,6,922,7,145,28,12,20,15,165
01/10/2016,3,64,18,7,43,356,759,69,78,28,5,10,5,1,6,123,146,78,21,141,0,77,18,275,30,96,64,9,37,230,17,14,15,3,164,16,779,17,92,12,9,2,4,121
01/10/2016,4,45,21,8,17,182,277,42,31,20,5,8,4,0,5,106,170,61,80,108,0,48,10,217,22,45,44,6,34,128,15,6,11,20,18,18,506,4,75,25,3,3,2,74
01/10/2016,5,20,25,7,12,92,71,26,25,30,19,5,3,0,5,95,149,74,102,71,0,98,30,132,39,33,24,18,45,40,18,8,13,7,11,7,398,11,36,29,4,5,3,83
01/10/2016,6,38,40,16,58,76,100,69,43,26,32,11,26,1,13,68,206,93,116,135,0,164,32,46,61,32,28,46,52,60,20,14,18,82,16,5,400,28,64,60,11,11,8,191
01/10/2016,7,78,105,45,97,182,219,122,108,94,47,33,26,0,32,182,368,116,244,225,0,395,70,85,253,27,37,83,106,84,33,42,28,52,22,21,640,57,117,95,23,20,16,414
01/10/2016,8,160,211,146,182,430,499,362,338,267,62,62,66,8,67,426,646,210,851,447,0,653,96,137,170,193,46,121,222,197,92,111,75,102,106,107,1326,186,352,163,57,48,36,882
01/10/2016,9,272,289,163,308,577,1118,899,875,680,115,81,103,2,90,772,833,337,1620,733,0,1058,227,269,280,191,133,216,388,243,158,174,155,192,132,150,2267,231,649,403,67,90,50,1341
01/10/2016,10,580,400,246,225,954,1773,1680,1567,1194,99,103,184,30,151,1384,1294,529,3599,989,0,1266,281,401,754,413,258,253,779,391,190,307,314,143,167,190,3605,229,1207,700,104,110,78,2418
01/10/2016,11,857,488,397,270,1436,2470,2285,2195,1337,120,121,263,54,142,2191,1840,959,7038,1301,0,1491,330,697,754,708,445,360,1209,508,198,320,407,236,223,170,4579,402,1924,836,149,140,107,3240
01/10/2016,12,1169,503,284,216,1936,2722,2734,2212,1367,125,78,262,49,169,2033,1483,662,8591,1441,0,1122,260,855,933,1083,559,276,1202,676,360,294,343,137,239,273,4530,348,1982,824,212,145,89,2812
01/10/2016,13,1498,288,236,214,301,2858,2993,2313,1105,109,93,258,84,190,1995,1485,583,3397,1400,0,1019,217,920,963,1284,547,229,1489,699,311,237,205,76,208,205,4150,482,1854,757,219,212,108,2102
01/10/2016,14,1546,273,135,240,0,2578,3057,2255,963,111,64,323,79,121,1553,1244,429,823,1271,0,954,179,893,1052,1062,468,250,1038,657,354,107,129,97,186,247,3732,222,1659,710,200,175,104,1690
01/10/2016,15,1585,239,108,168,0,2705,2934,2356,959,82,38,187,62,161,1660,1395,478,581,832,0,899,173,834,1103,992,430,192,1133,591,355,81,131,84,141,210,3922,257,1618,633,208,138,85,1998
01/10/2016,16,1509,236,135,169,0,2351,2872,2207,801,95,57,219,57,143,1879,1405,418,520,536,0,866,180,822,838,910,372,103,1388,686,339,94,123,77,168,209,3782,415,1768,745,154,143,101,1689
01/10/2016,17,1636,469,164,227,0,2647,2742,2079,765,95,87,286,61,146,2019,1512,668,4788,442,0,1067,263,1024,1097,1187,604,140,1064,722,310,341,519,129,247,219,4029,290,2263,864,287,207,129,2908
01/10/2016,18,1466,666,221,264,0,2456,2297,1394,715,140,124,371,102,209,2679,2070,818,9716,486,0,1309,358,1339,952,1230,973,163,1079,941,494,587,848,245,210,426,4328,481,2259,877,196,109,61,4832
01/10/2016,19,1240,345,142,194,0,1885,1708,782,541,102,89,310,86,114,2157,1805,555,2379,489,0,918,250,1320,575,1425,1059,121,779,1060,755,256,304,205,154,447,3692,330,1633,483,166,133,74,3714
01/10/2016,20,1358,315,133,171,0,1680,1054,564,452,84,110,305,78,81,2106,1739,539,2862,453,0,765,262,1177,473,1372,993,110,749,900,737,199,285,188,203,499,3419,228,1624,430,136,102,63,3344
01/10/2016,21,1023,180,72,208,0,1404,663,385,329,86,94,190,67,49,1599,1391,441,657,282,0,693,196,916,390,1030,860,100,402,901,773,105,134,112,280,478,2883,158,1135,303,114,85,59,2452
01/10/2016,22,733,167,116,161,0,1156,509,292,304,73,74,151,41,54,1424,1376,464,885,276,0,683,192,938,382,817,684,73,539,897,571,100,117,159,392,260,2492,347,1135,236,96,44,37,2056
01/10/2016,23,409,101,66,164,0,876,403,210,274,50,72,104,35,29,930,1076,342,211,236,0,635,183,815,283,546,514,47,219,674,467,62,76,93,657,141,2154,122,805,111,69,54,34,1212
02/10/2016,0,267,52,28,78,0,669,257,131,124,30,36,47,27,16,506,746,268,179,202,0,373,103,624,178,387,302,31,132,512,261,27,65,73,540,54,1760,49,465,56,13,14,14,684
02/10/2016,1,165,34,19,29,0,611,143,157,92,26,29,31,5,4,353,487,196,155,156,0,248,77,610,138,260,257,30,96,466,139,19,44,16,441,17,1578,25,268,67,23,13,14,433
02/10/2016,2,2,5,2,5,0,73,131,11,108,3,2,1,0,3,48,436,10,459,174,0,168,69,673,20,256,153,29,150,440,84,25,43,18,487,22,1795,23,331,105,11,13,15,305
02/10/2016,3,2,5,2,5,0,73,131,11,108,3,2,1,0,3,48,436,10,459,174,0,168,69,673,20,256,153,29,150,440,84,25,43,18,487,22,1795,23,331,105,11,13,15,305
02/10/2016,4,77,14,11,10,0,164,116,72,58,6,7,1,0,1,236,270,123,91,127,0,111,49,485,40,131,72,12,72,276,31,2,11,23,295,6,1419,14,162,61,12,9,7,148
