Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North)
01/10/2018,0,94,42,-1,139,123,146,22,12,33,6,6,27,-1,88,92,28,18,7,143,63,179,151,43,107,63,141,26,62,25,172,36,undefined,13,2,126,19,6,78,14,21,27,12,12,99,213,18,106,25,73,12,27,59,27,-1,39,35,78
01/10/2018,1,28,29,-1,49,46,91,5,5,14,3,3,4,-1,28,34,12,2,2,60,41,85,122,6,47,51,72,12,18,22,111,10,undefined,4,4,81,4,5,36,1,13,7,5,4,50,60,9,48,10,41,3,14,30,17,-1,12,6,36
01/10/2018,2,12,22,-1,47,25,38,12,4,7,-1,-1,1,-1,18,36,4,6,6,42,47,77,58,13,26,11,55,4,36,15,93,5,undefined,2,2,62,7,1,22,3,2,5,3,2,28,41,4,41,3,30,-1,-1,29,14,-1,16,7,22
01/10/2018,3,10,18,-1,39,48,33,8,6,3,-1,2,6,-1,20,12,7,6,-1,30,52,87,114,5,9,13,40,-1,35,19,44,3,undefined,2,2,26,8,2,10,-1,2,1,-1,1,19,61,3,50,2,15,4,4,8,3,-1,4,-1,10
01/10/2018,4,16,18,-1,21,50,62,21,2,7,3,2,3,-1,32,18,3,16,6,22,34,51,48,5,65,14,12,-1,61,8,69,7,undefined,7,5,28,4,9,21,5,13,9,3,1,18,64,-1,48,-1,10,1,2,11,5,-1,5,4,21
01/10/2018,5,30,25,-1,75,115,184,29,25,88,17,7,21,-1,92,33,28,55,38,27,25,56,111,50,239,60,45,11,103,33,31,22,undefined,17,15,131,19,8,73,16,15,8,5,3,35,182,8,89,13,18,11,9,12,69,-1,8,107,73
01/10/2018,6,125,72,-1,176,358,544,124,149,552,78,10,64,-1,219,85,104,232,151,35,46,84,598,221,872,244,83,30,384,118,39,19,undefined,57,41,589,56,11,330,80,87,44,26,13,135,417,15,231,56,39,23,41,38,24,-1,43,515,330
01/10/2018,7,412,226,-1,460,1059,1665,393,382,2128,379,43,215,-1,679,341,382,787,734,112,116,194,1397,700,2352,563,228,72,1198,343,159,73,undefined,256,132,1651,232,33,1177,310,265,135,120,72,495,1242,69,496,117,74,70,70,243,120,-1,128,2157,1177
01/10/2018,8,868,649,-1,1023,2003,3737,622,509,3815,615,70,361,-1,1424,757,945,2051,1702,202,206,429,2605,1467,4134,752,554,138,2278,656,395,164,undefined,554,253,3668,682,94,2255,774,827,498,512,217,942,2270,274,1258,255,127,143,157,702,333,-1,430,4770,2255
01/10/2018,9,1171,874,-1,1239,1596,2208,328,276,1965,408,39,268,-1,756,752,994,1172,841,237,241,344,1823,823,2713,503,580,137,1412,406,307,170,undefined,377,233,2181,508,131,1493,587,539,603,573,178,806,2006,254,1132,217,92,195,141,583,296,-1,441,2640,1493
01/10/2018,10,1777,1472,-1,1680,2828,1514,292,246,772,277,42,286,-1,501,914,1291,663,447,452,373,613,1887,552,1795,686,606,139,2032,498,430,195,undefined,224,199,2019,468,210,1122,463,549,605,510,203,1104,2385,237,1300,253,191,280,142,564,276,-1,521,1270,1122
01/10/2018,11,2612,2048,-1,2639,2513,1695,378,311,705,313,97,330,-1,582,1096,1463,768,399,781,470,800,2434,618,1878,820,819,168,1857,776,637,226,undefined,212,224,2303,571,218,1178,402,557,834,757,221,1458,2607,252,1584,305,213,390,208,631,322,-1,570,1032,1178
01/10/2018,12,3911,3482,-1,3738,3579,2650,650,879,1551,490,204,571,-1,772,1833,2358,1812,687,1434,817,1522,3120,1231,2609,1227,1161,219,2647,1164,1168,335,undefined,341,410,4694,1078,432,1649,1062,934,943,767,255,2440,3202,433,2702,344,353,446,264,1049,399,-1,855,2715,1649
01/10/2018,13,4139,3860,-1,4282,3332,2927,726,671,1370,442,217,588,-1,861,2148,2429,1823,664,1457,786,1577,3568,1201,2670,1318,1053,214,2766,1172,1253,544,undefined,361,480,4538,952,390,1813,956,895,1102,715,324,2645,3349,495,2978,385,341,556,181,1157,454,-1,990,2202,1813
01/10/2018,14,3558,2778,-1,3553,3394,2262,549,312,729,258,120,416,-1,723,1920,1882,889,523,1244,631,1285,3044,648,2014,1131,742,183,2413,1093,855,423,undefined,232,252,3478,636,249,1232,508,605,815,565,237,2140,3098,317,2355,301,197,482,242,798,428,-1,716,1118,1232
01/10/2018,15,3375,2572,-1,3501,2923,2376,654,339,1245,277,89,441,-1,809,1950,1727,705,578,1103,533,1131,3242,570,2332,1308,709,156,2179,1041,816,375,undefined,288,236,3274,497,248,1304,322,530,874,525,255,1938,3169,242,2074,262,140,483,190,685,463,-1,627,1347,1304
01/10/2018,16,3175,2281,-1,3186,2785,2983,638,460,2822,495,98,372,-1,1062,2043,1367,772,980,1026,476,1057,3403,759,3791,1409,662,191,2247,1037,703,365,undefined,464,241,3627,562,219,1870,407,447,798,606,302,1919,3126,265,2282,248,176,463,204,715,478,-1,636,2797,1870
01/10/2018,17,3428,2282,-1,3480,3733,4692,915,740,3841,763,145,487,-1,1823,2424,1360,1273,1756,1177,610,1429,4237,1283,4834,1632,841,260,2948,1295,888,494,undefined,630,383,5050,718,278,2405,590,590,912,713,341,2125,3383,335,2596,340,168,549,195,896,591,-1,782,3931,2405
01/10/2018,18,2646,1819,-1,2612,2382,2759,680,434,1544,371,118,435,-1,1156,1998,794,625,747,1339,799,1368,3433,561,2625,1166,775,244,1813,878,905,556,undefined,260,232,3622,385,302,1342,333,370,733,568,236,1697,2782,251,1918,294,121,634,208,723,505,-1,542,1501,1342
01/10/2018,19,1610,703,-1,1788,1612,1712,242,151,522,156,113,321,-1,551,1541,342,265,223,1276,877,1151,2440,314,1351,388,588,119,1296,324,791,452,undefined,79,96,2364,210,295,697,159,177,403,311,150,1153,1885,156,1341,171,119,438,147,457,285,-1,385,489,697
01/10/2018,20,738,448,-1,1212,1185,1083,212,90,203,118,83,238,-1,396,1208,273,264,140,963,579,992,1825,202,913,296,508,90,553,215,781,497,undefined,61,73,1764,134,264,452,104,143,290,225,85,1024,1424,101,933,129,91,402,79,383,188,-1,339,270,452
01/10/2018,21,548,251,-1,867,1237,902,111,68,121,88,39,165,-1,288,793,243,124,98,731,531,700,1493,150,694,202,455,89,1013,183,579,409,undefined,58,90,1201,151,148,428,102,98,224,248,97,724,1097,80,675,115,102,203,83,312,158,-1,196,182,428
01/10/2018,22,297,188,-1,522,588,701,70,42,106,29,26,96,-1,255,455,99,74,56,500,317,527,1063,128,490,134,332,52,300,110,423,184,undefined,26,36,722,64,72,283,49,51,146,114,70,407,759,82,385,79,114,167,47,172,122,-1,127,115,283
01/10/2018,23,129,67,-1,205,282,411,40,24,51,21,12,35,-1,208,199,46,63,28,198,120,326,586,55,260,64,184,35,107,40,241,141,undefined,20,18,333,34,31,161,33,31,72,52,23,154,348,34,181,53,53,48,34,55,39,-1,62,59,161
02/10/2018,0,70,53,-1,99,125,156,24,9,7,3,8,20,-1,85,100,24,12,7,88,61,179,181,27,97,47,140,14,50,26,170,51,undefined,6,6,143,30,10,89,9,16,35,15,8,67,197,13,110,23,42,12,23,42,38,-1,49,27,89
02/10/2018,1,44,18,-1,56,44,60,12,2,4,4,-1,4,-1,22,35,3,19,2,40,27,122,95,10,30,39,73,8,42,23,131,11,undefined,-1,3,70,11,6,31,6,9,17,5,5,20,97,4,50,6,58,20,10,17,9,-1,25,8,31
02/10/2018,2,28,11,-1,16,33,33,19,2,7,-1,1,6,-1,17,37,4,8,3,30,46,55,54,6,34,17,59,19,23,11,45,7,undefined,3,7,54,7,-1,21,3,4,3,2,1,17,53,1,25,22,33,3,7,18,3,-1,20,11,21
