Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street,Flinders La-Swanston St (West) Temporary,RMIT Building 14,380 Elizabeth St,La Trobe St (North)
01/10/2019,0,38,21,204,83,112,125,8,12,16,8,2,10,-1,37,79,20,-1,8,73,51,179,190,43,125,-1,104,21,60,18,139,57,undefined,-1,12,69,4,15,undefined,13,17,17,12,6,74,8,83,35,-1,10,18,33,19,undefined,37,10,74,2,-1,79,248,77
01/10/2019,1,30,13,93,42,44,42,1,8,4,-1,11,5,-1,15,56,3,-1,3,49,14,111,73,28,29,-1,65,20,27,6,90,23,undefined,-1,4,26,7,12,undefined,2,7,9,3,1,32,5,28,19,-1,10,19,24,5,undefined,13,4,37,-1,-1,24,157,59
01/10/2019,2,31,13,44,13,32,32,2,3,3,7,-1,3,-1,9,21,5,-1,6,25,31,84,81,56,15,-1,69,3,26,2,37,13,undefined,-1,1,13,4,3,undefined,1,6,9,4,2,23,1,25,8,-1,2,8,14,5,undefined,12,4,37,-1,-1,23,112,32
01/10/2019,3,8,21,40,24,41,31,-1,1,4,5,1,2,-1,12,14,16,-1,8,16,38,48,57,8,22,-1,51,2,44,2,56,4,undefined,-1,2,7,8,2,undefined,-1,4,9,1,-1,24,-1,34,6,-1,-1,7,10,7,undefined,7,1,19,-1,-1,12,75,18
01/10/2019,4,9,10,23,42,61,62,6,3,9,7,2,5,-1,36,4,8,-1,4,10,12,36,69,14,28,-1,32,4,59,5,32,14,undefined,-1,-1,34,2,10,undefined,15,4,5,1,2,16,1,31,4,-1,5,1,14,4,undefined,11,9,17,-1,-1,16,51,14
01/10/2019,5,21,24,74,81,126,192,27,40,96,52,3,19,-1,92,36,44,-1,27,20,13,65,166,40,252,-1,75,18,102,34,40,6,undefined,-1,37,125,16,12,undefined,16,21,18,9,2,43,3,74,13,-1,9,9,22,2,undefined,14,85,136,3,-1,22,118,27
01/10/2019,6,125,98,190,194,368,989,151,119,531,96,31,103,-1,264,95,163,-1,179,35,53,94,769,223,905,-1,183,37,427,115,75,42,undefined,-1,78,685,85,11,undefined,78,99,26,25,13,215,23,232,64,-1,28,46,54,37,undefined,74,483,382,21,-1,111,364,55
01/10/2019,7,386,251,305,538,990,1946,459,363,2229,393,70,297,-1,675,301,478,-1,788,90,160,212,1669,747,1993,-1,334,123,1022,260,138,98,undefined,-1,142,1022,238,34,undefined,358,294,108,99,50,568,52,567,181,-1,119,78,207,91,undefined,204,1827,1254,96,-1,315,653,74
01/10/2019,8,955,534,719,1066,1795,3908,663,570,3727,630,118,279,-1,1353,635,999,-1,1733,219,264,401,2966,1497,3721,-1,641,226,1890,432,430,176,undefined,-1,268,1954,751,73,undefined,728,876,290,247,104,983,156,1112,352,-1,190,159,636,199,undefined,444,3750,2414,320,-1,863,1271,130
01/10/2019,9,1130,703,828,934,1349,2109,258,296,2231,491,55,149,-1,645,630,992,-1,867,168,218,405,2068,853,2591,-1,741,221,1207,377,320,144,undefined,-1,213,1162,539,139,undefined,699,574,296,290,119,703,190,1010,373,-1,210,163,556,158,undefined,467,2094,1712,263,-1,924,1186,189
