Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street,Flinders La-Swanston St (West) Temporary,RMIT Building 14,380 Elizabeth St,La Trobe St (North),231 Bourke St,Royal Pde - Grattan St,Swanston St - City Square,State Library - New,Flinders Ln - Degraves St (South),Flinders Ln - Degraves St (North),Flinders Ln - Degraves St (Crossing),Errol Street (East),Westwood Place
01/10/2020,0,9,5,54,9,43,15,6,2,4,3,4,9,-1,2,-1,3,1,3,21,6,-1,33,11,30,15,36,9,34,5,6,23,undefined,-1,-1,9,3,3,undefined,-1,1,1,1,4,4,47,8,47,3,55,4,12,1,-1,undefined,10,-1,17,-1,-1,11,62,28,12,3,1,7,-1,-1,-1,undefined,undefined
01/10/2020,1,1,6,38,6,15,26,8,2,3,1,2,2,-1,2,-1,1,1,-1,7,2,-1,34,5,10,5,23,2,15,1,4,10,undefined,-1,-1,7,3,1,undefined,-1,1,8,5,3,1,74,1,50,4,32,-1,8,1,-1,undefined,2,-1,15,-1,-1,4,38,17,6,4,2,7,-1,-1,-1,undefined,undefined
01/10/2020,2,4,5,24,3,22,-1,7,1,-1,3,-1,5,-1,-1,-1,2,-1,-1,16,3,-1,36,1,2,10,28,2,21,-1,3,4,undefined,-1,-1,4,-1,-1,undefined,-1,4,-1,-1,-1,1,10,-1,15,4,39,3,12,3,-1,undefined,10,-1,11,-1,-1,6,34,13,5,4,1,9,-1,-1,-1,undefined,undefined
01/10/2020,3,5,4,24,6,26,3,13,2,3,-1,-1,3,-1,-1,-1,6,-1,-1,4,1,-1,11,1,8,3,19,-1,27,-1,2,7,undefined,-1,-1,3,1,6,undefined,-1,-1,-1,-1,-1,2,13,-1,31,9,27,5,3,4,-1,undefined,1,-1,7,-1,-1,4,6,6,3,2,1,6,-1,-1,-1,undefined,undefined
01/10/2020,4,3,5,14,12,32,13,3,-1,1,1,4,3,-1,1,-1,13,4,1,2,-1,-1,22,2,15,10,24,3,39,-1,6,-1,undefined,-1,1,5,1,6,undefined,-1,-1,8,-1,-1,6,20,3,28,9,19,1,5,3,-1,undefined,1,-1,26,-1,-1,9,18,17,6,2,2,11,-1,-1,-1,undefined,undefined
01/10/2020,5,5,9,20,25,46,65,17,14,15,10,7,12,-1,-1,-1,10,32,3,7,10,-1,93,10,103,46,54,5,44,6,13,1,undefined,-1,9,46,17,10,undefined,3,17,19,5,4,14,101,8,64,11,25,6,22,9,-1,undefined,2,-1,55,-1,-1,14,75,16,12,9,6,11,1,2,4,undefined,undefined
01/10/2020,6,43,24,57,75,118,154,134,76,83,17,19,69,-1,7,-1,31,73,13,9,41,-1,191,50,203,161,89,19,122,51,22,38,undefined,-1,30,208,43,6,undefined,17,29,40,16,11,33,227,14,87,23,59,10,83,13,-1,undefined,15,-1,121,7,-1,25,202,29,34,51,26,26,46,18,28,undefined,undefined
01/10/2020,7,80,48,77,121,202,268,228,163,59,29,49,151,-1,2,-1,64,160,44,29,16,-1,297,79,248,312,152,61,171,90,28,36,undefined,-1,56,372,65,18,undefined,36,66,60,30,16,74,276,38,155,65,68,49,68,30,-1,undefined,32,-1,158,12,-1,39,154,47,63,143,41,49,81,37,25,undefined,undefined
01/10/2020,8,116,69,96,196,239,218,233,142,69,36,60,181,-1,9,-1,94,184,88,35,31,-1,539,66,298,320,209,75,180,72,43,51,undefined,-1,40,353,98,32,undefined,34,65,65,47,29,96,375,30,184,82,90,87,79,38,-1,undefined,20,-1,207,30,-1,57,200,63,81,139,68,75,108,68,47,undefined,undefined
01/10/2020,9,118,96,147,220,211,203,177,134,65,46,72,180,-1,6,-1,115,179,47,65,28,-1,488,63,236,291,298,105,160,78,47,71,undefined,-1,48,301,108,63,undefined,39,70,84,28,19,101,330,21,257,143,115,107,119,38,-1,undefined,24,-1,181,38,-1,80,229,60,112,110,83,122,129,65,52,undefined,undefined
