Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West)
01/09/2015,0,65,0,10,34,207,80,43,27,0,7,3,4,3,3,85,128,34,12,78,167,56,16,118,24,74,51,14,35,95,29,1,10,17,7,15,231,15,60,22,29,7,7
01/09/2015,1,28,0,2,12,89,64,12,16,0,1,10,1,2,0,26,71,17,5,30,69,15,3,62,10,47,20,3,9,53,13,0,2,1,8,11,74,5,41,12,28,22,14
01/09/2015,2,13,0,4,7,41,28,11,10,0,2,7,1,0,0,2,31,8,11,38,21,11,4,53,6,25,2,3,10,29,10,0,5,0,7,8,75,0,16,3,10,9,2
01/09/2015,3,20,0,0,17,21,18,13,10,0,2,10,0,0,0,33,11,4,8,22,19,10,5,41,1,20,7,0,38,39,2,1,1,4,7,3,48,0,17,4,7,2,1
01/09/2015,4,7,0,10,6,28,32,10,7,0,1,2,4,0,2,48,50,25,7,19,33,19,2,31,5,21,6,9,41,14,5,5,4,1,5,3,96,2,7,7,6,3,2
01/09/2015,5,23,0,29,117,77,62,39,17,0,62,24,12,1,25,84,213,91,37,84,115,205,33,34,56,11,4,12,105,24,12,11,27,32,12,10,291,31,44,48,15,10,8
01/09/2015,6,61,0,202,716,146,160,88,76,0,435,83,85,11,88,318,896,274,150,110,494,744,184,117,155,41,17,36,374,60,34,84,61,97,67,10,662,79,212,146,30,22,22
01/09/2015,7,289,0,702,2229,380,486,257,238,0,1527,356,165,44,226,926,2066,603,485,277,1212,1988,488,178,462,57,61,104,1036,134,100,217,148,201,235,64,1714,255,640,348,102,123,80
01/09/2015,8,679,0,1644,5176,897,1059,641,634,0,2871,580,301,76,419,1925,4473,1255,662,653,2732,3721,1136,341,754,124,155,238,2144,318,179,530,276,428,698,179,3584,759,1368,606,404,478,180
01/09/2015,9,569,0,925,2482,939,1173,752,763,0,1346,335,163,118,183,1212,2130,569,303,631,1742,2002,671,441,341,178,156,159,1415,314,192,356,210,400,504,130,2835,667,1014,378,668,643,261
