Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Southbank
01/09/2017,0,111,20,7,-1,275,212,74,59,43,17,18,23,2,-1,-1,230,71,16,138,-1,116,48,286,46,159,92,33,64,139,80,18,19,20,-1,10,-1,21,undefined,21,47,15,15,208
01/09/2017,1,40,10,4,-1,190,131,59,39,39,9,9,9,4,-1,-1,80,24,11,75,-1,32,18,197,31,79,47,14,19,156,26,3,5,3,-1,3,-1,4,undefined,17,23,7,5,51
01/09/2017,2,35,5,3,-1,181,96,45,16,17,2,8,2,1,-1,-1,37,12,7,51,-1,21,12,167,17,55,74,5,18,83,16,2,5,-1,-1,4,-1,10,undefined,12,19,5,2,55
01/09/2017,3,21,6,2,-1,192,83,70,36,20,5,7,7,-1,-1,-1,44,12,4,43,-1,9,4,175,2,39,45,6,40,51,7,1,6,15,-1,6,-1,-1,undefined,8,9,4,2,54
01/09/2017,4,10,26,4,-1,64,42,22,18,10,1,2,4,-1,-1,-1,53,34,11,42,-1,23,13,122,13,62,31,3,67,45,4,8,17,14,-1,3,-1,3,undefined,5,1,3,2,27
01/09/2017,5,25,66,33,-1,76,90,31,28,27,118,29,9,3,-1,-1,232,89,36,80,-1,249,32,58,11,17,13,7,115,26,23,21,30,11,-1,12,-1,22,undefined,45,8,7,4,156
01/09/2017,6,72,195,146,-1,189,206,106,82,149,605,106,52,9,-1,-1,686,210,112,125,-1,834,206,84,17,22,27,38,402,48,26,66,53,84,-1,13,-1,69,undefined,116,58,43,32,595
01/09/2017,7,268,747,670,-1,385,464,327,243,463,1685,338,137,8,-1,-1,1933,524,294,277,-1,2055,625,190,100,65,66,106,934,233,73,223,176,261,-1,46,-1,244,undefined,308,131,100,68,1528
01/09/2017,8,688,1911,1545,-1,776,1187,915,592,941,3620,582,240,10,-1,-1,4285,1218,550,637,-1,4072,1273,391,852,157,181,213,1940,257,173,542,345,659,-1,109,-1,780,undefined,558,441,458,181,3153
01/09/2017,9,695,1437,964,-1,802,1225,1150,818,959,1954,374,247,9,-1,-1,2234,598,310,702,-1,2569,865,402,560,208,174,179,1515,235,180,388,257,582,-1,116,-1,584,undefined,430,561,643,258,1954
