Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W)
01/09/2018,0,324,227,832,709,839,647,82,34,49,27,14,47,-1,293,325,93,89,45,502,580,746,730,71,317,153,211,44,570,76,634,192,undefined,51,32,601,349,52,-1,56,87,41,22,17,546,950,32,374,45,82,-1,30,303,61
01/09/2018,1,192,170,675,544,515,364,39,10,32,17,9,20,-1,125,217,78,27,36,381,272,551,524,52,210,93,193,34,429,52,519,71,undefined,24,23,390,331,26,-1,28,35,23,5,4,285,636,13,295,39,66,-1,51,279,31
01/09/2018,2,159,95,403,266,376,304,29,10,15,4,2,4,-1,101,105,61,17,12,151,182,434,359,41,149,72,164,28,224,25,353,28,undefined,5,11,158,309,15,-1,12,19,13,7,4,195,488,4,145,29,62,-1,28,144,23
01/09/2018,3,92,55,344,192,282,254,41,3,32,10,9,9,-1,88,54,44,28,13,89,140,314,219,26,58,29,90,10,219,22,261,13,undefined,3,4,81,246,9,-1,7,14,8,4,2,138,313,3,117,25,34,-1,26,150,15
01/09/2018,4,53,33,147,121,194,206,27,-1,7,3,1,4,-1,70,38,24,10,6,55,97,230,165,18,59,18,100,10,156,16,138,7,undefined,6,6,48,59,1,-1,9,6,9,4,2,75,228,1,71,7,51,-1,15,32,14
01/09/2018,5,53,49,163,84,321,115,41,8,29,10,3,6,-1,68,71,26,24,8,49,68,165,145,22,118,24,63,14,355,37,140,17,undefined,11,18,80,25,14,-1,16,8,22,5,4,74,222,10,53,18,40,2,15,15,9
01/09/2018,6,82,105,99,107,445,253,39,42,126,10,9,26,-1,97,34,45,41,18,37,56,121,266,29,261,76,122,28,480,57,64,22,undefined,24,39,307,29,5,-1,50,30,15,11,13,60,339,4,85,38,57,-1,19,19,26
01/09/2018,7,82,74,155,168,833,349,124,53,113,35,11,58,-1,139,98,118,67,30,52,104,69,378,72,433,212,241,69,850,119,64,24,undefined,28,66,425,59,12,-1,70,47,26,16,10,124,375,7,131,96,72,2,75,60,45
01/09/2018,8,330,226,310,432,1427,540,267,135,156,99,13,117,-1,217,159,306,150,62,117,102,143,784,133,689,475,406,181,1517,255,133,53,undefined,59,71,756,160,67,-1,95,108,100,66,62,263,763,45,347,233,182,-1,94,152,70
01/09/2018,9,774,580,583,988,1928,822,352,171,187,142,40,223,-1,382,369,584,230,73,173,164,274,1231,187,981,661,805,289,2060,451,274,95,undefined,80,116,1269,151,91,-1,214,129,153,123,87,469,1480,73,689,411,296,1,177,331,124
01/09/2018,10,1545,1253,845,1522,2455,1184,341,202,187,118,36,239,-1,442,659,855,244,149,290,297,416,1522,233,1133,699,1134,377,2430,503,433,179,undefined,106,126,1694,200,161,-1,140,189,247,164,80,683,2129,86,1053,528,475,-1,215,402,120
01/09/2018,11,2364,1808,1288,2461,3599,1370,351,238,254,106,54,247,-1,473,929,1138,242,137,626,489,677,1864,205,1088,954,1529,399,3553,614,653,208,undefined,71,127,2155,169,187,-1,206,244,235,127,75,1029,3064,73,1540,649,580,-1,269,523,155
01/09/2018,12,2861,2291,1846,2861,3912,1602,344,209,185,156,40,176,-1,532,1111,1329,270,151,1142,715,870,2008,222,1319,872,1767,472,3944,574,825,237,undefined,93,105,2106,243,230,-1,135,337,325,131,108,1212,3528,139,1640,690,617,-1,289,645,166
01/09/2018,13,3146,2341,2132,2968,3961,1428,194,161,166,181,26,98,-1,396,1325,1461,288,163,1142,772,995,2117,237,1234,851,1430,394,4200,487,894,241,undefined,93,84,1868,172,208,-1,158,476,366,184,107,1261,3494,163,1630,657,498,1,227,714,153
01/09/2018,14,3313,2510,2230,2975,3570,1542,151,191,222,131,31,156,-1,545,1638,1440,267,132,1099,644,934,2265,218,1174,1065,1508,440,3616,440,914,268,undefined,133,113,2149,187,183,-1,144,279,220,192,100,1433,3304,162,1916,696,485,2,273,665,164
01/09/2018,15,3484,2631,2171,2923,4790,1675,184,196,120,78,24,160,-1,560,1646,1433,275,149,1113,655,1052,2419,258,1209,1155,1083,289,4516,505,859,276,undefined,83,113,2048,194,175,-1,162,218,201,193,95,1401,3562,105,1847,514,379,3,187,672,186
01/09/2018,16,3462,2409,2159,2863,3851,1584,155,192,166,48,31,148,-1,570,1509,1153,301,168,1069,499,1002,2338,270,1316,1245,660,223,3983,487,744,286,undefined,101,127,1976,208,208,-1,121,339,232,170,107,1672,3355,113,1634,410,146,7,155,682,147
01/09/2018,17,3001,1919,2135,2701,3622,1651,174,144,164,81,37,156,-1,625,1652,1077,358,148,1184,617,1030,2266,251,1226,1122,555,189,3486,399,889,372,undefined,132,135,2082,220,207,-1,185,254,250,216,89,1497,3143,136,1576,305,104,7,134,663,193
01/09/2018,18,2332,1226,2270,2256,3370,1502,179,170,154,104,68,215,-1,551,1524,582,318,143,1478,926,1278,2119,286,1090,942,548,167,3352,305,1145,511,undefined,165,131,2303,196,318,-1,185,370,226,159,89,1331,2587,125,1462,262,129,8,171,569,159
01/09/2018,19,1758,621,2628,1857,2752,1302,243,96,85,88,59,205,-1,426,1519,461,248,107,1489,1182,1338,1850,199,860,447,615,166,2813,313,1187,611,undefined,106,138,2312,252,420,-1,118,271,170,148,74,1339,2424,84,1366,207,126,9,118,522,170
01/09/2018,20,833,455,2368,1693,2081,1098,114,73,103,95,95,258,-1,384,1373,362,253,94,1232,992,1108,1518,200,699,429,487,136,1551,211,1134,723,undefined,98,106,2034,350,399,-1,98,218,156,101,47,1215,1928,66,921,193,165,11,127,585,132
01/09/2018,21,621,368,1965,1268,2218,1071,66,52,57,44,43,150,-1,390,1018,311,126,52,1025,726,1028,1375,147,656,321,445,106,2039,165,1084,686,undefined,52,68,1736,272,393,-1,99,134,121,93,45,929,1666,53,852,154,109,8,91,592,90
01/09/2018,22,403,278,1373,1076,1606,901,72,46,48,51,31,145,-1,270,626,224,180,96,722,769,888,1160,135,567,267,321,92,1360,161,849,555,undefined,82,52,1255,425,187,-1,71,339,107,92,44,667,1317,36,501,113,67,3,77,366,118
01/09/2018,23,333,183,1187,873,1120,732,51,37,40,55,8,80,-1,266,367,185,135,81,546,1053,759,871,120,497,181,221,52,878,77,808,355,undefined,46,70,886,488,84,-1,76,141,64,73,29,469,1167,27,402,70,78,1,55,413,53
02/09/2018,0,171,115,740,721,715,580,53,17,42,28,13,23,-1,202,245,165,73,27,366,319,549,526,71,343,126,194,54,644,32,480,204,undefined,22,26,593,490,27,-1,46,64,32,20,17,315,830,14,245,63,59,-1,29,308,26
02/09/2018,1,152,129,586,450,376,302,28,7,7,14,4,23,-1,158,158,77,24,20,338,273,492,430,40,147,83,95,23,343,32,381,136,undefined,9,25,370,449,16,-1,31,22,18,14,16,192,679,10,215,23,50,-1,18,231,17
02/09/2018,2,77,59,332,279,322,245,17,2,14,11,2,15,-1,99,85,50,23,22,162,170,428,308,66,98,42,101,18,271,22,296,60,undefined,15,13,219,258,23,-1,7,19,21,15,11,169,512,2,128,23,27,-1,22,136,11
02/09/2018,3,92,76,282,193,375,195,209,5,17,13,-1,20,-1,88,78,47,20,20,167,129,335,300,31,80,26,59,15,288,70,306,49,undefined,8,25,141,268,4,-1,25,16,5,1,2,155,423,1,99,17,24,-1,11,139,13
02/09/2018,4,43,37,142,106,238,160,42,1,21,6,2,5,-1,63,17,17,8,5,91,51,201,192,19,60,11,88,4,242,11,150,40,undefined,11,13,96,108,2,-1,14,10,1,1,1,77,279,-1,98,17,16,-1,12,104,8
02/09/2018,5,57,26,94,105,186,146,14,4,10,7,2,3,-1,71,43,37,14,3,49,41,113,197,36,96,25,49,8,218,10,107,8,undefined,9,16,93,53,15,-1,10,5,3,3,2,50,244,3,68,13,26,-1,7,46,4
02/09/2018,6,28,47,91,146,293,181,35,13,24,3,5,18,-1,98,46,31,18,5,22,41,142,299,51,113,82,80,14,355,88,49,5,undefined,22,20,176,29,7,-1,27,26,11,2,2,75,383,5,112,25,49,-1,17,31,4
02/09/2018,7,57,65,117,177,524,234,88,48,50,18,13,49,-1,109,100,68,65,20,43,73,71,403,70,348,124,166,64,675,234,68,27,undefined,28,28,319,29,19,-1,35,31,26,17,17,129,459,8,186,78,75,-1,35,56,29
02/09/2018,8,150,135,266,316,871,463,226,105,103,30,30,121,-1,217,130,136,93,35,53,65,116,658,112,553,321,367,77,1053,417,126,47,undefined,46,65,767,88,23,-1,105,66,54,77,45,211,661,29,283,124,130,-1,91,80,43
02/09/2018,9,629,461,419,662,1492,712,256,135,94,52,41,199,-1,271,239,392,144,56,136,122,229,994,156,705,538,716,191,1724,551,232,106,undefined,103,98,1184,101,64,-1,138,153,105,135,57,367,1210,49,631,243,309,-1,82,233,86
